00-00	Declaraziun universala digls dretgs humans
00-01	Cunsiderant ca la racunaschientscha da la dignitad da tut igls members da la famiglia humana a da lur dretgs eguals a nunmidevels furma igl fundamaint da la libertad, da la gisteia a da la pasch segl mund;
00-02	cunsiderant ca la scanuschientscha ad igl spretsch digls dretgs humans an mano ad acts da barbareia c’ofendan la cunzienzia da la humanitad a ca la creaziun d’egn mund, an igl qual igls humans an la libertad da discurer a da crer libers da terur a da miseria, e vagnida proclamada sco l’aspiraziun suprema digl human;
00-03	cunsiderant c’igl e essenzial da proteger igls dretgs humans cun leschas par c’igl carstgan segi betga sfurzo d’aplitgear sco davos mied la revolta ancunter la tiraneia a l’opressiun;
00-04	cunsiderant c’igl e essenzial da promover las relaziuns amitgevlas tranter las naziuns;
00-05	cunsiderant c’igls pievels da las Naziuns Unidas an proclamo danovameing an igl statut lur cardientscha an igls dretgs fundamentals digl carstgan, an la dignitad ad an la valeta da la parsuna humana, an l’egualitad digls dretgs dad um a duna, a c’els an sadeclaro dezisiv da favurisar igl progress sozial a d’instituir miglras cundiziuns da viver an egna libertad ple vasta;
00-06	cunsiderant c’igls stadis comembers an s’obligo da sirar, an cooperaziun cun l’Organisaziun da las Naziuns Unidas, igl respect universal ad efectiv digls dretgs humans a da las libertads fundamentalas;
00-07	cunsiderant c’egna conzepziun comunabla da quels dretgs a da quellas libertads e d’impurtanza suprema par ademplir cumplagnameing que angaschamaint,
00-08	proclamescha la Redunanza generala la preschainta declaraziun universala digls dretgs humans sco ideal c’e da cuntanscher cuminevlameing da tut igls pievels a da tut las naziuns, par ca tut igls carstgans a tut igls organs da la sozietad vegian adigna preschaint quella Declaraziun, a sastaintian da promover an l’instrucziun ad an l’educaziun igl respect da quels dretgs a da quellas libertads a da sirar a quels cun masiras progressivas sen plan naziunal ad internaziunal racunaschientscha ad aplicaziun universala ad efectiva, tant tranter las populaziuns digls stadis comembers sezs sco tranter igls teritoris sutamess a lur giurisdicziun.
01-00	Art. 1:
01-01	Tut igls humans neschan libers ad eguals an dignitad ad an dretgs. Els en dotos cun raschun a cunzienzia a den agir egn anviers l’oter an spiert da fraternitad.
