00-00	Non ahuuacaimain huatiroquin ishon. Niaifofoan ichanancashon mato cunushonifo.
00-01	Manifoti ato niaifofoan ichanancashon iscahuanifo: -Nantifin yoran isharanonfo isharatiroquin. Tsoancai mato chaca huatatiroma. Non yoia cuscan nan manifoti ato tapimahuu. Cunuti pushu muranshorifin ato tapimahuu.
00-02	Tsoan mato paranonmafin non mato yosin sharaicai.
00-03	Ahuua tsacatama rarama shara ninonfo ishon. Yora futsan ato chaca huanonma non rutunanmitsaimisi inonma. Ascahuashu non isharatiro. Non isharacun copiquirifin niaifofoan noco sharahuatirofoquin.
00-04	Ascanrifin ratoranfoan yora chacahuapai ato onufain ato paranfain chacahuaifoan. Nantifinfain shinantaqui shinanfo, -Ascahuacai sharamafinquin. Nantifin yoran manifoanati ahuara shara yoipaiqui yoitirofoquin. icoinranhuapaiqui icoinranhuatiofoquin. Ascanhuacun futsan ato ratutiroma. Nan ahuuara yopaqui fipaiaiton, -Ma. Un mia inantiroma. Unuun oinmatifosi ato inantiro. Mato inantiromaran, ato huashon. Ascanhuatirofoma. Nan yopaifotifin ayarin inonfo.
00-05	Niaifofoan noco yoiaiton, -Manfin nan non mato yoia fustisi nan fustisi man yoitiro. Nan fustisi icoinranhuatiro, -noco huacun. Noco ratupaifafainquin. Nan non yopai cuscancai noco humatiroma. Noco niaifofoan anori acaifoanhuuncai non ato icoinran non huatiromafinquin.
00-06	Mani futsanfoya shara huatanannonfo ishon nunori non yoinon.
00-07	Nan manifoti ato niaifofoan ichanancashon iscahuanifo: -Nantifin yora isharatirofo. Nocofunufo yafin ainfoforifin isharafoan niaifofoan ato cushu sharatiro. Non atonfin imapai sharaquin. Ascancuncai yononmitsamisifo itiromafinquin.
00-08	Ascan manifotifoan ato niaifofoan ichanancashon nunori yoinifo, -Non nantifin yorafo yoipai isharononfo ishon. Yononmitsamisifo inonfoma.
00-09	Ascan non yoia cuscan manifoti non tapimapai.
00-10	Articulos
00-11	Ascancunfin nonfin manifotifin anoashu ichanancashon nantifin yorafo manifoti ano yoipai isharanonfo. Non yoia cuscan shinanshu inonfo. Ascanrifiantan ato tapimannonfo. Ascanshon nantifin yoran iscahuanonfo, -Aicho man ichananfo noco yoini cuscan asharanonfo. Noco yoini cuscan non anon. Niaifofoan nantifin ato caifo anorin yoitiroran, ishon huafo.
01-00	1.
01-01	Nantifin naanno rasisin cainnifoquin. Tsoan mato iscahuatiroma cuscan, -Manfin uhuunnacoinquin. Ahuua tsacatama rarama shara ninonfo ishon. Nantififain aton mapo shinantirofoquin. Ato nomuranrin chaca iyamarain sharamainqui icashon. Ascanrifiantan nantifin manifoti yorahuan tanannon icashu.
02-00	2.
02-01	Nantifin yorafoti nocofunufo yafin ainfofo ahuuomafo non ahuara ichapayafo nanscarifin asho icoinranhaunonfoquian.
02-02	Nan non cunua cuscanhuafain cunoshonon.
03-00	3.
03-01	Nantifinfin isharatirofoquin. Ahuua tsacatama rarama shara ninonfo ishon. Tsoqui musutama nitirofoquin.
