00-00	Sixjiex Renvjuanv Xuanxyanv
00-01	Avzangf Cymfddov juanvtif cenvyuanv syvnax alf zunxyanv ningx pingvdengf ningx myv gaifbianx juanvlix lev cenvrenx sax, sixjiex zyxyyv, zengxyix ningx hovpingv jixcuf,
00-02	Renvjuanv lev myv ccangf ningx wufmiex yefmanv boxxingv ef lungx, ccax lev boxxingv avzangf lyangvxinx lev dianxwux lungx, avzangf syvnax yanvlunx ningx xinxyangf zyxyyv alf kongfjux ningx kuixfav myvalf sixjiex avblax sax, puftongx avzangf taiftaix mrangf yuanxwangx lanx lungx,
00-03	Avzangf pox bux dev yif tingf arx zyf xianf boxzengx ningx yaxpox lev myv fanfpanx, renvjuanv fafzyx lev bofhux bixyox alf,
00-04	Gox guiv gamf gwanxxiv cuxjin bixyox alf,
00-05	Lyanvhov Guiv guivjiax renvminv Lyanvhov Guiv Xyanxzangx avnyx jixbenf renvjuanv, renvgev zunxyanv ningx jiaxziv ningx langxlaf pyvmax pingvdengf juanvlix lev xinxnianx congvsenx lungx, taif zyxyyv avnyx sexhuix jinxbux ningx sengxhov suifpingv sotxsotx gamf cuxcengv mitx lungx,
00-06	Gox Huixyuanv guiv ningx Lyanvhov Guiv av syvnangx, renvjuanv ningx jixbenf zyxyyv pufbyanx zunxzongx ningx zunxxingv cuxjinx sixyuanx lungx,
00-07	CCax lev juanvlix ningx zyxyyv lev pufbyanx sox sax ccax sixyuanx congxfenx sivxianx sax lev gyvmaif taix zongxyoxxinx alf,
00-08	Tanx,
00-09	Daxhuix,
00-10	ccax Sixjiex Renvjuanv Xuanxyanv faxbux, renvminv ningx guivjiax nuflix sivxianx gongxtongv byoxzunf zzux, avzangf ningx sexhuix jixgyx avdangxmyvdangx ccax xuanxyanv lev mitx jyoxhuix ningx jyoxyux mix juanvlix ningx zyxyyv zunxzongx cuxjinx, guivjiax ningx guivjix jianxjinx coxsix mix, ccax lev juanvlix ningx zyxyyv huifyuanv guiv renvminv ningx jjiapx avmrax renvminv avnyx pufbyanx ningx xioxgof alf cengvrenx ningx zunxxingv lev byv tonx.
01-00	Dix yiv
01-01	Avzangf max pyvccuf byv syvnax zyxyyv ef, lifxingx ningx lyangvxinx alf, taixrav angvnikxrav gwanxxix mix syv av duixdaix.
02-00	Dix arx
02-01	Avzangf max syvnax ccax xuanxyanv avnyx brif juanvlix ningx zyxyyv lev alf jixgev alf, zongfzuv, fuxsex, xingxbyev, gax, zongxjyox ningx jivtax jianxjief, guivjiv ningx sexhuix cuxsenx, caivcanf, pyvccuf sax ningx jivtax senxfenx dengf lev myv krix.
03-00	Dix sanx
03-01	Avzangf max syvnax sengxminx, zyxyyv ningx renvsenx anxjuanv alf juanvlix alf.
04-00	Dix six
04-01	Avzangf nuvlix ningx nuvyix manx syv zzux nyv. Tangf xingvsix nuvlix zixdux ningx nuvlix moxyix syvnax manx zzux nyv.
05-00	Dix wuf
05-01	Avzangf kuxxingv manx topx nyv, canvrenf, myv renvdox ningx wufrufxingx daixyux ningx xingvfav lev manx topx nyv.
06-00	Dix luv
06-01	Avzangf max avraxdov syvnax faflix uxzzuf renvgev cenvrenx juanvlix alf.
07-00	Dix jix
07-01	Faflix uxzzuf avzangf max syvnax pingvdengf, pingvdengf falix lev bofhux juanvlix alf.
08-00	Dix bax
08-01	Avzangf xianxfaf ningx faflix lev bix jixbenf juanvlix jinxhaix topx jjinf, hevgev guivjiax faftingv lev ccax qinxhaiv xingvweiv xioxgof alf bufjyx zzux juanvlix alf.
09-00	Dix jyf
09-01	Avzangf lev manx renfyif daixbuf, avbalx ningx dalx nyv.
10-00	Dix siv
10-01	Avzangf juanvlix ningx yixwux panxdingx lev topx jjinf, xingvsix kongxgaox lev topx jjinf, duvlix ningx sixxinx myv alf faftingv lev gongxzengx gongxkaix senfpanx juanvlix alf.
11-00	Dix siv yiv
11-00	Xingvsix kongxgaox topx avzangf, faflix mix gongxkaix senfpanx zuix alf sax myv zenxsiv, zuix myv alf sax mitx nyv. Senfpanx davbyanx bofzangx lev lax bix.
11-01	Avzangf xingvsix xingvweiv ningx myv xingvweiv, klotxxyv avlangf, guivjiax ningx guivjix faf mix syvnax zuivxingv myv ef, manx zuiv ef nyv. Xingvfav zuiv fanv avlangf faflix guixdingx lev avlif manx ef nyv.
12-00	Dix siv arx
12-01	Avzangf yinfsix, cymfdov, cymf ningx tongxxinx lev renxyix manx ganxsex nyv. Avzangf faflix bofhux mix ccax ganxsex ningx gongxjix lev bixmianf juanvlix alf.
13-00	Dix siv sanx
13-00	Avzangf guivjiax avnyx zyxyyv celx ningx rongf juanvlix alf.
13-01	Avzangf guiv klotxxyv juanvlix alf, avdyf guivjiax alf, guiv avblaf juanvlix alf.
14-00	Dix siv six
14-00	Avzangf poxhaix bixmyanf taixongf guivjiax avnyx bixhux lev gyx ningx topx juanvlix alf.
14-01	Gaixsangx myv zengxzixxingx zuixxingv ningx Lyanvhov Guiv zongxzif ningx yuanvzev lev weivbeix xingvweiv cax jifsux jjinf, ccax juanvlix manx hhatx nyv.
15-00	Dix siv wuf
15-00	Avzangf guivjiv alf juanvlix alf.
15-01	Avzangf guivjiv renxyix manx tulx nyv, guivjiv lev gaifbyanx juanvlix manx fyfrenx nyv.
16-00	Dix siv luv
16-00	Langxlaf ningx pyvmax, zongfzuv, guivjiv ningx zongxjyox lev myv xyanxzix, hunxjiax ningx cymfdov lev cengvlix juanvlix alf. Angning hunxyinx dov, hunx jiex avlangf ningx avnongx avlangf, pingvdengf juanvlix alf.
16-01	Avzangf avnix ccox avddyf syvnaxnax tongvyix lungx, hunx jiex nif.
16-02	Cymfdov tyanxranv ningx jixbenf sexhuix danxyuanv ef, sexhuix ningx guivjiax lev bofhux sax ef.
17-00	Dix siv jix
17-00	Avzangf avdyf caivcanf alf ningx avzangf av alf juanvlix alf.
17-01	Avzangf caivcanf renxyix manx tulx nyv.
18-00	Dix siv bax
