00-00	INSON HUKUKLARI UMUMZhAHON DEKLARATSIYaSI
00-01	Inson oilasi barcha azolariga hos bulgan kadr-kimmat hamda ularning teng va azhralmas hukuklarini tan olish erkinlik, adolat va yalpi tinchlikning asosi bulishini etiborga olib,
00-02	Inson hukuklarini mensimaslik va oek-osti kilish odamzod vizhdonini urtaetgan vahshiylarcha kilmishlarga olib kelganini hamda kishilar suz va maslak erkinligi sohibi bulib, kurkuv va muhtozhlikdan holi bulib yashaidigan duneni buned etish odamlarning nufuzli intilishi, deb elon kilinganligini etiborga olib,
00-03	Inson sunggi chora sifatida zulm va istibdodga karshi isen kilib bosh kutarishga mazhbur bulmasligining oldini olish maksadida inson hukuklarni konun izmi bilan muhofaza etilishi zarurligini etiborga olib,
00-04	Khalklar urtasida dustona munosabatlarni rivozhlantirishga kumaklashish zarurligini etiborga olib,
00-05	Birlashgan Millatlarning khalklari Ustavda insonning asosy hukuklarni, kadr-kimmati va inson shakhsning benazirligiga hamda erkaklar va aellarning teng hukukligiga uz ishonchlarini tasdiklaganliklarni hamda katta hukuk bilan izhtimoy tarakkiet va turmush sharoitini yakhshilashga erdam berishga karor kilganliklarni etiborga olib,
00-06	Azo bulgan davlatlar Birlashgan Millatlar Tashkiloti bilan hamkorlikda inson hukuklari va asosy erkinliklarni yalpi hurmat kilish va rioya etishga erdamlashish mazhburiyatini olganliklarni etiborga olib,
00-07	Ushbu hukuklar va erkinliklar tusini yalpisiga tushunib olish mazkur mazhburiyatni tula-tukis bazharilishi uchun zhuda katta ahamiyatga ega buladi.
00-08	Bosh Assambleya
00-09	Inson hukuklari mazkur umumzhahon deklaratsiyasini barcha khalklar va barcha davlatlar bazharishiga intilishi lozim bulgan vazifa sifatida elon kilar ekan, bundan muddao shuki, har bir inson va zhamiyatning har bir tashkiloti hamisha ana shu deklaratsiyani nazarda tutib marifat va ilm iuli bilan ushbu hukuklar va erkinliklarning hurmat kilinishiga erdam berishga intilishlari hamda milly va khalkaro tarakkiyparvar tadbirla iuli bilan ham, ushbu hukuklar va erkinliklarning Tashkilotga azo bulgan davlatlar khalklari urtasida va mazkur davlatlarning yurisdiktsiyasidagi hududlarda yashaetgan khalklar urtasida yalpisiga va samarali tan olinishiga kerak.
01-00	1-modda
01-01	Barcha odamlar erkin, kadr-kimmat va hukuklarda teng bulib tughiladilar. Ular akl va vizhdon sohibidirlar va bir-birlariga birodarlarcha muomala kilishlari zarur.
02-00	2-modda
