00-00	Universol Declarason lo Hiuman Raits
00-01	Taem umi kam fo luk savve lo digniti en ikwol raits blo evri memba blo hiuman famili. Dis wan hemi givim fandasen fo friidom, jastis en pis insaed lo dis fala wol.
00-02	Taem pipol no luk savve lo dis fala hiuman raits, risalt blo hem nao pipol i no luk savve lo gud wei en rabis wei. Lo dis fala wol, olketa pipol sapos fo garem friidom fo tallem tingting blo olketa en wanem olketa believim. Olketa pipol sapos fo stap frii fo no fraet en fo stap gud. Olketa tingting ya hemi dea wea evri wan savve olsem hemi samting gud fo evri wan.
00-03	Hemi impoten tumas dat nomata wanem hemi hapen, loa hemi mas mek sua dat hemi kipim strong disfala hiuman raits.
00-04	Hemi impoten tumas fo buildim up gud fala relensensip mele wan oketa kantre.
00-05	Olketa pipol blo United Nations i bin talem raits aot agen anda disfala Charter dat olketa garem strong tingting lo saed blo olketa baraba importen samting olsem digniti en olketa gud samting insaed lo evri wan, en fo man en mere tufala semsem lo saed lo evriting olketa duim. Olketa samting ya nao mekem United Nations tingting strong fo buildim up en mek sua dat evri wan stap gud en frii.
00-06	Olketa Stet wea memba blo United Nations tu i promis fo respectim en help supportim hiuman raits en olketa importen samting wea bae hemi givim friidom.
00-07	Fo mekem dis fala promis hemi waka, evri wan mas meanim en keepim olketa raits ya en friidoms.
00-08	So distaem,
00-09	Olketa General Assembly,
00-10	Talem aot dis fala Universal Declarason ya evri nasen en pipol olketa mas trae fo achievim en keepim. Evriwan mas help fo teachim en lanem olketa pipol fo luk savve en uppim olketa raits en friidom blo wanwan. Evri groups wea pat blo gavman or nomoa mas waka fo findim beta wei fo mekem pipol evriwea lo wol ya kam fo luk savve lo olketa hiuman raits ya.
01-00	Article 1
01-01	Evri man en mere olketa born frii en ikwol lo digniti en raits blo olketa. Olketa evriwan olketa garem maeni fo tingting en olketa sapos fo treatim isada wittim spirit blo bradahood.
02-00	Article 2
02-01	Evri wan nomata olketa garem difren kala, langus, siosi, status, man or mere from difren kantre, evri wan stil garem rait en friidom wea hemi lo disfala Declarason, en nomata man hemi kam from kantre wea garem difren politiks or status lo nara kantre, or hemi indipenden or nomoa, hemi stil garem olketa raits en friidom ya.
03-00	Article 3
03-01	Evriwan i garem rait lo laef, friidom en sekuriti blo olketa.
04-00	Article 4
04-01	No eni wan sapos fo hemi slev blo nara man, dis wan hemi baraba tambu fo duim en babae no hapen lo eni kaen or eni wan.
05-00	Article 5
05-01	No eni wan babae panisim or tritim nara man no gud or mekem eni wan fo gare kil.
06-00	Article 6
06-01	Evri wan i garem rait lo eniwea fo loa luk savve lo olketa.
07-00	Article 7
07-01	Evri wan luk semsem en garem taetol lo loa fo loa luk aftam olketa. Dis fala loa hemi mek sua dat fo luk daonim or tritim no gud nara man bikos lo rabis tingting hemi brekim disfala Declarason.
08-00	Article 8
08-01	Olketa nasinol kaonsels olketa i stap fo helpim evriwan stretem kaen problems wea pipol luk daonim or tritim no gud nara fala. Olketa fo helpim evriwan fo stretem bak kaen problem wea man no luk savve lo raits wea loa i givim lo evri wan.
09-00	Article 9
