00-00	Ram Tin Tian iium Minung Pakhat ciar ii Covo Thuthan
00-01	Mi hmuah hmuah ii miphun sunloih nak thawn mikip ii bangrep ii covo kan neih mipawl kan sunsak awk hi mi hmuah hmuah ii thu neih nak thu neih bangrep nak, daih nak timipawl hi athu pi tawdaap a si ih hrangah siseh, mi nung pakhat ciar ii thil ti thei nak ziang siar lo nak ihsin mikip siat suah duh nak asuah ter ruang ah siseh, zalen tak ih sim thei nak, zalen zet in maiduh mi zum thei nak, tih phan nak, nunhar nak it sin zalen zet ii nun khua sak theinak leilung pi a can thei nak dingah mi phun kip ii atul bik miduh san nak kha simthan zo a si mi tlun ah siseh,
00-02	Mi hmuah hmuah in daan um mumal lo, nen niam duh nak lungput, hmuh suam zomh taih nak pawl kha ti-ngaih nak dang a um thei lo ii ruangah meithar thawn tan nak, dodal nak um lo in minung pakhat ciar ii thil ti theinak kha hum him atul ruangah siseh,
00-03	Ram pakhat lepakhat rualremzet ii pawl awk nak cu kan than so pi ding ah kan zuam a tul ruang ah siseh,
00-04	UNO ah sungrtel ram pawl ii kan covo ciouah siseh, minung sun lawih nak siseh, mipa nunau hlei dan lo ding thu ah siseh, tipawl kha thupi ah neih ding kan hnemnget ih hlei ah minung nuncan khua sak tha sin ii, zalen nak khal um sin, khaisang sinding ah kan tiam kam mi par ah siseh,
00-05	UNO sungtel ram pawl ii UNO thawn peh zom ii minung pawl zalen nak lam ah siseh, ahrampi in minung pakhat ciar ii covo lam ah siseh, leilung tlun pumpuluk ah upat nak thawn peh zom vivo ding ah kan tiam kamzo a si bang tuk in siseh;
00-06	Cu Hrang Ah
00-07	Thu rel nak khawmpi ih sin,
00-08	Ramtintian ii minung covo thuthan nak cu, mikip le pawl kom tintian ah ruat ring ring ii lei lung tlun pumpuluk ah a cui minung kip ii covo, zalen nak pawl hi upat ciou dingah, folh fial nak thawn kan zuam ciouding ti in siseh, UNO sungtel ram pawl le cui ram pawl ii thu nei tupawl ih uk nak sungah ram mi pawl hnen ah cui covo le zalen nak khi kau zet le sung lawi zet ii thlun ciou dingah, ramsung ram leng tiang in zuam ciou ding ah siseh, Ram tintian ii covo, thuthan mikha ram tintian, mikip in bangrep ten tuan ciou dingah hi ti in kan than a si.
01-00	Thu 1
01-01	Mikip in bangrep ii zalen nak le sunlawih nak thawn, bangrep in covo nei in, asuak mi kan si. Anmah in hleidan thei nak fim nak le nuncan neih thei nak ruah nak nei ii, pakhat le pakhat duh dawt nak, pawl awk nak nei ding asi.
