00-00	DISKLERIADUR HOLLVEDEL GWIRIOU MAB-DEN
00-01	–O vezan ma’z eo war anaout an dellezegezh enstag ouzh holl izili an denelezh hag o gwiriou par ha diwerzhus eo diazezet ar frankiz, ar reizhded hag ar peoc’h,
00-02	–o vezan ma’z eo war dizanaout ha dismegansin gwiriou mab-den eo bet ganet an aktou a varbariezh a sav koustians mab-den en o enep, ha ma’z eo bet embannet eo donedigezh ur bed a vo ennan gant an dud frankiz da gomz ha da gredin, dieubet ma vint diouzh ar spont hag an dienez, a zo mennad uhelan mab-den,
00-03	–o vezan ma’z eo ret-holl diwall gwiriou mabden gant reolenn al lezenn evit na vefe ket rediet an dud d’en em sevel ouzh an tirantegezh hag ar gwaskerezh da rekour diwezhan,
00-04	–o vezan ma’z eo ret-holl kas war-raok an darempredou a vignoniezh etre ar broadou,
00-05	–o vezan ma’z eo bet embannet adarre er Garta gant poblou ar Broadou-Unanet o feiz e gwiriou diazez mab-den, e dellezegezh ha talvoudegezh mab-den, e parded ar baotred hag ar merc’hed en o gwiriou, ha ma’z eo bet diskleriet ganto e oant mennet da gas war-raok an diorroadur kevredigezhel ha da wellaat an aoziou-buhez en ur frankiz vrasoc’h,
00-06	-o vezan ma’z eo bet gouestlet gant ar Stadou-Ezel diogelin, gant kenlabour Aozadur ar Broadou-Unanet, an doujans hollvedel ha gwirion ouzh gwiriou mab-den hag ar frankiziou pennan,
00-07	–hago vezan ma’z eo a bouez bras kengompren ar gwiriou hag ar frankiziou-man a-benn sevenin ar gouestl,
00-08	EZ EMBANN
00-09	AR VODADEG-VEUR
00-10	DISKLERIADUR HOLLVEDEL GWIRIOU MABDEN
00-11	evel uhelvennad boutin da vezan diraezet gant an holl boblou hag an holl vroadou, d’an holl dud hag ensavaduriou, gant an Diskleriadur-man atav en o freder, da lakaat kreskin dre ar c’helenn hag an deskadurezh, an doujans ouzh ar gwiriou ha frankiziou-man, d’o lakaat da vezan anavezet ha sevenet tamm-ha-tamm da vat hag e pep lec’h, dre ziarbennou broadel hag etrevroadel, koulz e-touez poblou ar Stadou-Ezel hag e-touez ar re zo war zouarou dindan o lezennou.
01-00	Mellad unan (1)
01-01	Dieub ha par en o dellezegezh hag o gwiriou eo ganet an holl dud. Poell ha skiant zo dezho ha dleout a reont bevan an eil gant egile en ur spered a genvreudeuriezh.
02-00	Mellad daou (2)
