00-00	IFYASOSELE IFYALO PALWA NSAMBU SHA MUNTU
00-01	Apo kwaba ukwishiba ubucindami bwa muntu nomulinganya pamo ne nsambu shishifwile kufumyapo ku muntunse nge shinte lya buntungwa, umulinganya pamo nomutende pano isonde,
00-02	Apo uku kana posako mano nokusula insambu sha muntu fya lenga imicitile ya bunkalwe yikalifya amatontonkanyo ya bantu, elyo nokupilibula imikalile ya mu calo umo abantu bonse bengala sekelamo mu nsambu sha kulanda nokusumina ifyo balefwaya ukubikapo nokula ikala ukwabula icintinya nokubulilwa fyalisoswa nge fikabila nganshi umuntu onse,
00-03	Apo cikankala, nga cakuti umuntu tali nokula patikishiwa ukuilubula, nge nshila yakushalikishako, ukulasangukila aba buluku nabalya banyantilila abanabo, mukuti insambu sha muntu shifwile ukucingililwa na mafunde,
00-04	Apo caba cikankala ukutwala pantanshi icumfwano pakati ka fyalo,
00-05	Apo abantu bamu kabungwe kafyalo fyaikatana muli kalata balibwekeshapo isubilo mu nsambu, mu bucindami no bukankala bwa muntu pamo nomulingaya pakati ka baume nabanakashi pamo nokuipela ukutwalilila abuyantanshi mu mikalila isuma mu butungwa ubukalamba,
00-06	Apo ifyalo fyaba ba membala fyali ipela ukufikilisha, ukupitila mukwampana pamo nakabungwe ka fyalo fya ikatana, ukutwala pantanshi ukula cindika nokukonka pafya nsambu sha muntu ne nsambu shimbi pano isonde,
00-07	Apo pakwishiba ishi nsambu nobuntungwa ecikankala sana pakuti ici cilayo cinga fikilishiwa ukupwililika,
00-08	Nomba, eyapa UKULONGANA KWAFYALO FYONSE kwasosa, Ifyasosele ifyalo fyonse palwa nsambu sha muntu nge cilingile ukufikilishiwa ku muntu naku fyalo fyonse, pakuti cila muntu ne ncende yonse mu calo aikala, ukulaibukisha ifi fyasoswa lyonse, nokwesha ukulafunda nokusambilila mu kutwala pantanshi ukucindika ishi nsambu bo buntungwa, elyo mukubomfya inshila shalinga, ifyalo nafyo ukumona ukuti ifi fyaishibikwa nokukonkwa isonde lyonse, ku bantu baba mu fyalo fyaba bumembala ukubikapo nefyalo fitungululwa kuli bambi.
01-00	Icikomo 1
01-01	Abantu bonse bafyalwa abalubuka nokulingana mu mucinshi nensambu. Balikwata amano nokutontonkanya, eico bafwile ukulacita ifintu ku banabo mu mutima wa bwananyina.
02-00	Icikomo 2
02-01	Cila muntu ali linga ukukwata ishi nsambu no buntungwa filelondololwa, ukwabula akapatulula kali konse ngaka mutuntu, inkanda, umwaume nangu umwanakashi, ululimi, uko apepa, ifyo atontonkanya pa fikansa fya calo, uko atula ku calo, ifyuma akwata, uko afyalwa nangu akapatulula akali konse.
02-02	Kabili, takuli kapatulula kali nokucitwa pa mulandu wafikansa fya calo, ifyo balubulula imilandu nangu umucinshi icalo afumako cakwata ku fyalo fimbi, cibe cila iteka, cilatekwa nangu capelwa ku calo cimbi ukutekwa.
03-00	Icikomo 3
03-01	Cila muntu alikwata insabu ya mweo, ukucita ico alefwaya elyo noku icingilila umwine.
04-00	Icikomo 4
04-01	Takuli nangu umo ukuba umusha nangu mu busha. Ubusha nokushitishana mu busha fili nokubindwa mu nshila ili yonse.
05-00	Icikomo 5
05-01	Tapali nangu umo atwile kucitwa kunkalwe, ukucushiwa nokucitwa nge nama paku kandwa.
06-00	Icikomo 6
06-01	Onse alikwata insambu ukwishibikwa ukuli konse ngo muntu pa menso ya cilye.
07-00	Icikomo 7
07-01	Bonse bali lingana pa menso ya cilye kabili balikwata insambu ukwabula akapatulula, ukupokolwa mu mulinganya pa menso ya cilye. Bonse balikwata insambu yakupokololwa mu mulinganya ku kapatulula akali konse ukupula muli uku kusosa ukubikapo ukupokololwa nakuli balya batunka bambi ukuti bale patulula.
08-00	Icikomo 8
08-01	Onse alikwata insambu kucingililwa ne filye fyalinga lintu afyengwa ku micitile ipula mu mafunde ya mupela insambu ukulingana na mafunde ya mu calo.
09-00	Icikomo 9
09-01	Takuli muntu afwile kukakwa ukwabula umulandu, ukusungwa bu citente nangu ukuba imbutushi ukwabula umulandu.
10-00	Icikomo 10
10-01	Onse alilinga mu mulinganya wine wine ukumulubulwisha ukwabula ulufyengo palwalala naba shi cilye bashi lemenena lubali lumo, lintu balepituluka mu nsambu shakwe nefyalinga ukucita nga nacita umulandu uli onse.
11-00	Icikomo 11
11-00	Onse uwapelwa umulandu alikwata insambu ukutunganishiwa uwakaele ukushinta lintu bamushinina ukulingana namafunde pa cilye capa lwalala ukwabula ukulesha inshila shonse enga pusukililamo.
11-01	Takuli muntu ali nokupelwa umulandu nokukandwa pa cilubo cishali mulandu lindu cacitike panshita iyo, cibe nimu calo cakwe nangu kufyalo fimbi. Nangu ukumulundilako ukukandwa ukucila fintu akandilwe panshita icilubo cacitike.
12-00	Icikomo 12
12-01	Takuli kula fulunganya kumaka inkama ya muntu, ulupwa lwakwe, kung'anda nangu amakalata ukubikapo nokonaula ishina lyakwe mukulanda ifyabipa pali ena. Onse alikwata insambu yakucingililwa ku mafunde ku fimfulunganya fya musango ngoyu nangu ukusanswa.
13-00	Icikomo 13
13-00	Onse alikwata insambu yakwenda nokwikala konse uko atemwa mu calo aikala.
13-01	Onse alikwata insambu ukufuma mu cala, nangu calo cakwe pamo nokubwelela ku calo ca kumwabo.
14-00	Icikomo 14
14-00	Onse alikwata insambu yakufwaya nokusekelamo ukusungwa nge mbutushi mu efyalo fimbi ukubutuka ulufyengo uko afuma.
14-01	Lelo iyi nsambu tainga bomba umuntu nga alebutuka imilandu ishikumine ku fikansa fya calo nangu ku micitile isha linga nefya imininapo ifyalo fyaikatana.
15-00	Icikomo 15
15-00	Onse alikwata insambu yakuba no mutundu.
15-01	Tapali nangu umo ku maka ali nokupokwa umutundu wakwe wa calo nangu ukumukanya insambu yakwe yakwalula uyu mutundu.
16-00	Icikomo 16
16-00	Abaume na banakashi nga bafika pa mushinku wa kupa tabafwile kuleshiwa kupana nokula panga indupwa kumulandu wa nkanda, uko bafuma nangu uko bapepa. Bonse balikwata insambu sha lingana ku cupo, lintu bali ku cupo ukushinta nalintu icupo capwa.
16-01	Icupo cili nokucitwa abalefwaya ukupana nga basuminishanya abene beka.
16-02	Indupwa nge ntulo ya mutundu ne calo shalilinga ukucingililwa nabekala calo pamo no buteko.
17-00	Icikomo 17
17-00	Onse alikwata insambu yakukwata ifipe umwine eka nangu naba nankwe.
17-01	Tapali ali nakupokwa ifipe kumaka.
18-00	Icikomo 18
18-01	Onse alikwata insambu yakukwata amatontonkanyo, ukutontonkanya no kupepa; iyi nsambu yalundapo neya kwalula ukwakupepa nangu amatontonkanyo ukubikapo neyakuti, atemwa eka nangu na bambi uko ekala, cibe nimu bumfisolo nangu palwalala ukulondolola amashiwi yakwa lesa nangu amatontonkanyo ukupitila mu kufunda, imicitile pamo nokupepa.
19-00	Icikomo 19
19-01	Onse alikwata insambu ukulanda ifyo aletontonkanya, neyi nsambu ilundapo neya kukwata amatontonkanyo ukwabula ukuleshiwa pamo neya kukwata, ukufwaya, ukupokelela pamo nokupelako bamo ilyashi namatontonkanyo ukubomfya umulabasa uli onse pakati ka fyalo.
20-00	Icikomo 20
20-00	Onse alikwata insambu yakulongana nokwangala mu mutelelwe.
20-01	Takuli nangu umo afwile ukupatikishiwa ukuba membala wa kabungwe ashilefwaya.
21-00	Icikomo 21
21-00	Onse alikwata insambu yakutungulula mu buteko bwa calo cakwe atemwa umwine eka nangu abasalwa, abaku mwimininako.
21-01	Onse alikwata insambu yakusekelamo mu fintu ubuteko bwa calo cakwe bupekanisha abekala calo.
21-02	Ubufwayo bwa bantu emaka ubuteko buli nokukwata, ici cakulamonwa ukupitila mukulakwata ukusala ubufi munshita, nabantu bakumenye imyaka yakusala bafwile basala ifyo batemenwe ukwabula ukwebwa (secret ballot) nangu ukubomfya inshila shimbi shishalinga ifi.
22-00	Icikomo 22
22-01	Onse alikwata insambu yakusungwa lilya akota, kabili ukupitila mu maka ya calo cakwe nangu ukubombela pamo ne fyalo fimbi ukulingana namaka cila calo cikwete, ukusanga ubukumu, imikalile isuma pamo ne ntambi sha cifyalilwa ukulingana nomucinshi mukuitwala pantanshi umwine.
23-00	Icikomo 23
23-00	Onse alikwata insambu yakukwata incito atemenwe nokubomba munshila yabula ukufyengwa kabili nokupokololwa ukutamfiwa incito.
23-01	Onse ukwabula akapatula alikwata insambu yakufola amalipilo yalinga pa ncito imo ine.
23-02	Onse abomba alikwata insambu yakupoka amalipilo yalingile pakuti ena nolupwa lwakwe lwingala ikala bwino, naya malipilo nga yacepa, ukubomfya inshila shimbi sahsuminishiwa ukula sangilamo indalama shimbi nangu ukumulundulako indalama afola.
23-03	(missing)
24-00	Icikomo 24
24-01	Onse alikwata insambu yakutusha nokwangala ukubikapo ukbomba insa ishalinga nokulaya pali cuti yakulipilwa.
25-00	Icikomo 25
25-00	Onse alikwata insambu yakwikala bwino nolupwa lwakwe mu bumi, ukubikapo nefya kulya, ing'anda nokulaya ku cipatala atemwa ku sukulu, pamo ne nsambu yaku cingililwa lintu aba pabulofwa, alwala alemana, afwilwa, akota nangu aba mubwafya kumulandu wafintu fimo ashinga citapo nangu cimo.
25-01	Banamayo pabukulu pamo nabana banono balikwata insambu yakutangatwa bwino nokwafwiwa, Abana bonse, abafyalwa mukati nangu kunse ya fyupo, bafwile ukusekelamo fimo fine ifili nga amasukulu nangu ifipatala.
26-00	Icikomo 26
26-00	Onse alikwata insambu yaku sambilila. Takufwile kuba kulipila ku masambililo mu masukulu yanono. Onse alefwaika uku sambililako mu masukulu yanono cibe alefwaya nangu iyo. Amasukulu yakusambililamo isha ncito yafwile yabako pamo namasukulu yakalamba (University) kuli balya balingile ukuyako.
26-01	Amasambililo yafwile yalenga umuntu umwine ukuitwala pantanshi ifyo afwaya nokukosha ukucindika insambu sha muntu no buntungwa. Amasambililo yafwile ukutwala pantanshi ukumfwana, ukubelela na bucibusa pakati ka fyalo, ukwikatanya abantu bapusana inkanda nangu uko bapepa kabili nokutwala pantanshi imilimo ya fyalo fyaikatana pakusungilila umutende.
26-02	Abafyashi balikwata insambu ya ntanshi ukusala amasambililo balefwaya abana babo ukukwata.
27-00	Icikomo 27
27-00	onse alikwata insambu yakucitako ifya ntambi sha cifyalilwa, ukusekelamo mufya kulenga nefya kupanga panga kuntu aikala pamo nokusekelamo mufyaleta abasungu (scientific advancement and its benefits).
27-01	Onse alikwata insambu yakucingililwa apo aiminina nangu umo alefwaya ukumwenamo ukupitila mu fintu apanga, ukulemba nangu ukulenga nga fyafuma mu mano yakwe.
28-00	Icikomo 28
28-01	Onse alikwata insambu ukwikala kuntu aikala nangu mu calo umo insambu nobutungwa shasoswa, shafikilishiwa ukwabula ukushako.
29-00	Icikomo 29
29-00	Onse alikwata umulimo kuntu aikala uko umwine eka ukwabula ukumufenenkesha enga itwala pantanshi ifyo afwaya.
29-01	Pakukwata ishi nsambu, onse afwile ukukonka amafunde pamulandufye wa kwishiba nokucindika insambu sha bambi pakuti kwingaba imbelo shisuma, nomutelelwe mu calo umo bonse bakwata insambu yakulandapo.
29-02	Ishi nsambu nobuntungwa teti shibomfiwe ukupula mubufwayo ne fyaimininapo ifyalo fya ikatana.
30-00	Icikomo 30
30-01	Tapali nangu cmo muli uku kusosa icinga pilibulwa ukuti icalo icili conse, ibumba lya bantu nangu umuntu umo nakwata insambu ukucita icili conse icakwiminina pa koanula insambu no buntungwa filondolelwe nokulembwa.
