00-00	JE TSUO BLO NYA TOMI KE HA ADESA HE BLOHI
00-01	Be abo ne a le odehe si himi ne Mawu bo adesahi tsuo ne a hi si nge je mi, ne e ha no tsuaa no he blohi sosoe, ne no ko be he blo ne e kpoo nge a de o, e ji he jomi ke dami same yemi ke tue mi jomi a sipoku nge je mi.
00-02	Be abo ne adesa he blohi a no tue gbomi ke he gue gbemi wo basabasa ni peemihi ke ba gba je o tsuo nya he je o, a ngo no kaa jehane o, adesa maa ye gbeye ke ohia no kunimi, ne e ma na hemi ke yemi ke nya ke tu munyu, ne ene ome ji nimli gu ome a hiami nihi ne pe kulaa.
00-03	Be abo ne, ke no ko hewi no ko o, e be gidigidi no ko pee kaa e nyagbe he pulemi no ke si yi kpeti wawe no yemi ke no no nyemi he je o, e he hia kaa a wo mlaa pe ke pee adesa he blohi a he fami no.
00-04	Be abo ne kake peemi he hia he je o, e sa kaa a to blo nya ke ha ma ke ma a kake peemi no yami.
00-05	Be abo ne Je Mahi A Kake Peemi Kuu o ma a hemi ke yemi no mi ekohu nge Womi o mi, nge adesa he blohi kledee ne e nge, ke odehe ne e ji, ke e he jua wami, ke nyumu ke yo a he blo sosoe ne a hee o, a fia pee si kaa a maa bo mode ne a ha ne adesa kake peemi ke si himi kpakpa ne ya no nge he jomi mi.
00-06	Be abo ne mahi ne nge Kake Peemi Kuu o mi wo si kaa a ma pataa Je Mahi A Kake Peemi Kuu o he o, a ngo no ka a ma tsu ni ke na je mi tsuo bumi ke ha adesa he blohi ke e he jomi kledee ome a no yemi.
00-07	Be abo ne, loko si womi ne o ma tsu ni o lee no ne he hia pe kulaa ji kaa no fee no ne nu kikeme a he blohi ke he jomi ne ome a sisi.
00-08	Jehane o,
00-09	Kpe Ngua a ha lemi kaa
00-10	Je tsuo Blo Nya Tomi ke Ha Adesa He Blohi ne o,
00-11	akene e ji blo nya tomi ke ha nimli adesahi tsuo ke mahi kulaa he je o, no fee no ke asafo tsuaa asafo ne wo kikeme a Blo nya tomi ne o ngo ma e he mi be fee be. E bo e he ni tsumi he mode, e gbo e tsoomi ke tsosemi he dengme, ne e gu blohi ne ma wo no yami ke ba nge mahi ke zugbahi a kpeti no, ke na bumi ha adesa he blohi ke he jomi ke gu ene ome a no loko ji je tsuo, ke mahi ne nge Kpe o mi tete a mi bime ke mahi ne nge a no yemi sisi a mi bime ma yose ne a maa ye no saminya.
01-00	Fieemi 1
01-01	Adesahi tsuo o, a bo me ne no fee no e ye e he, ne no tsuaa noso nge odehe si himi ke he blohi a blo fa mi. A bo me ke no se komi ke he nule juemi, ne e hia kaa no fee no ne e na nyemi suomi ke ha no tsuaa no.
02-00	Fieemi 2
02-01	No fee no nge he blohi ke he jomi ne a je ngo tsoo nge womi ne o mi a he blo, ne no ko kulaa ko we he ne no ko je he, bo ne no ko e he womi nge, nyumu loo yo ne e ji, gbi ne e tuo, jami mi ne e nge, ma mi sane yemi loo juemi kpa ko ne e hee, ma no loo asafo mi ne e je, weto ni ne e nge, no ko ne koo e fomi loo e blo nya kpa ko ne e hee.
02-02	Jehane se hu o, mi gbami ko be ne tsoo kaa nge no ko e ma mi he ne e je he je o, blo nya tomi ne o se e he. Jame a ma a nge e he no yee jio, a nge e no yee jio, e nge he wami ko sisi nge blo ko no jio, e sane yemi ke e mlaa ne e yeo, aloo e ke ma kpahi a kpeti blo nya tomi ko we blo nya tomi ne o he no ko kulaa.
03-00	Fieemi 3
03-01	No fee no nge wami ke he no yemi ke e yiwa nami he fami he blo.
04-00	Fieemi 4
04-01	A be no ko no ko woe ngo pee nyogue loo a maa tsi e nya yaka gu. A maa gu nyogue yemi ke nyogue jua yemi pesepese.
05-00	Fieemi 5
05-01	A be no ko piee, ne a be no ko yi kpeti wae. A be no ko basabasa pee, a be no ko he mi si puee, aloo a maa gbla no ko tue bo ne se.
06-00	Fieemi 6
06-01	Nge mlaa nya a, abu no fee no kaa adesa nge he fee he.
07-00	Fieemi 7
07-01	No tsuaa no so nge mlaa he mi. Lo o he je o, he blo nge ne mlaa faa no tsuaa no he pepeepe ne no mi gbami ko be mi. Mlaa ma fa no fee no he sosoe, nge tue gbomi ne maa te si ke si no mi hlami ne a tsi to nge womi ne o mi, aloo no ko ne ma wo no mi hlami ke ba a blo fa mi.
08-00	Fieemi 8
08-01	He blo nge ha no fee no, ne Amlaalo o e kojoli kpakpahi a dlaa ne a kojoo e sane o haa le, ke munyu ko maa te si ke si he blohi kledee ne mlaa ke ma no yemi mlaa haa le o.
09-00	Fieemi 9
