00-00	Powsitkowne wozjewjenje clowjecich prawow
00-01	Dokelz twori plipoznace wsem clonam clowjeskeje swojby plislusaceje dostojnosce a jich jenakich a njeparujomnych prawow zaklad swobody, sprawnosce a mera w swece,
00-02	dokelz stej njedopoznace a znajechanje clowjecich prawow k aktam barbarstwa wjedloj, kotrez su swedomje clowjestwa hluboko zranili, a dokelz je so wutworjenje sweta, w kotrymz spozci so clowjekam, swobodnym wot stracha a nuzy, swoboda recenja a wery, jako najwyse procowanje clowjestwa wozjewilo,
00-03	dokelz je bytostne, clowjece prawa z knjejstwom prawa skitac, zo njeby so clowjek k zbezkej pleciwo tyranstwu a potlocowanju jako poslednjemu sredkej nuzowal,
00-04	dokelz je bytostne, wuwice plecelskich pocahow mjez narodami spechowac,
00-05	dokelz su ludy Zjednocenych narodow we wustawkach znowa swoju weru do zakladnych clowjecich prawow, do dostojnosce a hodnoty clowjeskeje wosoby a do runoprawosce muza a zony wobkrucili a wobzamknyli, socialny postup a lepse ziwjenske pomery pli wjetsej swobodze spechowac,
00-06	dokelz su so sobustawske staty zawjazali, w zhromadnym dzele ze Zjednocenymi narodami powsitkowne respektowanje a zwoprawdzenje clowjecich prawow a zakladnych swobodow plesadzic,
00-07	dokelz je zhromadne menjenje wo tutych prawach a swobodach plewso wazne za polne spjelnjenje tutoho zawjazka,
00-08	proklamuje Generalna zhromadzizna
00-09	tute Powsitkowne wozjewjenje clowjecich prawow jako zhromadny ideal, kotryz ma so wot wsech ludow a narodow docpec, zo bychu kozdy jednotliwc a wse organy towarsnosce tute wozjewjenje stajnje w pomjatku meli a so procowali, plez wucbu a kublanje respektowanje tutych prawow a swobodow spechowac a plez postupowace naprawy w narodnym a mjezynarodnym wobluku jich powsitkowne a faktiske plipoznace a zwoprawdzenje pola wobydlerstwa kaz sobustawskich statow tak tez tych jich nadknjejstwu podstejacych teritorijow zarucec.
01-00	Artikl 1
01-01	Wsitcy clowjekojo su wot naroda swobodni a su jenacy po dostojnosci a prawach. Woni su z rozumom a swedomjom wobdarjeni a maja mjezsobu w duchu bratrowstwa wobchadzec.
02-00	Artikl 2
02-01	Kozdy je woprawnjeny, w tutym wozjewjenju proklamowane prawa a swobody wuziwac, a to bjez kozdehozkuli rozeznawanja, kaz po rasy, barbje, splahu, reci, religiji, politiskim abo druhim pleswedcenju, narodnym abo socialnym pochadze, po zamozenju, narodze abo druhim statusu .
02-02	Dale njesmedza so zane rozdzele cinic na zakladze politiskeje, prawniskeje abo mjezynarodneje pozicije kraja abo teritorija, kotremuz wosoba plislusa, njedziwajo na to, hac je njewotwisny, hac pod rukowacelstwom steji, hac njewobsedzi swojske knjezerstwo abo hac podlezi nekajkemu druhemu wobmjezowanju swojeje suwerenity.
03-00	Artikl 3
03-01	Kozdy ma prawo na ziwjenje, swobodu a westotu wosohy.
04-00	Artikl 4
04-01	Nichto njesme so w njewolnistwje abo robocanstwje dzerzec; njewolnistwo a wikowanje z njewolnikami stej we wsech swojich formach zakazanej.
05-00	Artikl 5
05-01	Nichto njesme so podcisnyc cwelowanju abo surowemu, njeclowjeskemu abo ponizowacemu wobchadzenju abo chlostanju.
06-00	Artikl 6
06-01	Kozdy ma prawo, wsudze jako prawakmany plipoznaty hyc.
07-00	Artikl 7
07-01	Wsitcy clowjekojo su pled zakonjom runi a maja b jez diskriminaeije prawo na jenaki skit plez zakon. Wsitey maja pawo na jenaki skit pleciwo kozdej diskriminaciji, kotraz by pledlezace wozjewjen je zranila, a pleciwo pozbudzen ju k tajkej diskriminaciji.
08-00	Artikl 8
08-01	Kozdy ma prawo na skutkownu juristisku pomoe pola plislusnych nutlkostatnych sudnistwow pleciwo jednanjam, kotrez jeho jemu po wustawje abo po zakonju plistejace zakladne prawa ranja.
09-00	Artikl 9
09-01	Nichto njesme so swojowolnje zajec w jatbje dzrzec abo z kraja wupokazac.
10-00	Artikl 10
10-01	Kozdy ma w polne; runoprawosci prawo na to, zo so wo jeho prawach a winowatoscach a wo kozdej pleciwo njemu zapolozenj; chlostanskoprawnej skorzbje plez njewotwisne a njestronske sudnistwo sprawnje a zjawnje jedna.
11-00	Artikl 11
11-01	Kozdy chlostajomneho jednanja dla wobskorzeny ma prawo na to, jako n jewinowaty placic, dolhoz njeje jeho wina w zjawnynl jednanju, w kotrymz je wse za swoje zakitowanje trebne garantije met, wotpowedujo zakon jej dopokazana
11-02	Nichto njesme so dla jednanja abo zanjechnanja neceho zasudzic, stoz njebe w casu, hdyz je so to stalo, po nutlkokrajnym abo po mjezynarodnym prawje chlostajomne. Runje tak njesme so zane cese chlostan je wuprajic hac te w casu chlostajolnneho jednanja plihrozene chlostanje.
12-00	Artikl 12
12-01	Nichto njesme swojowolnym zaplimnjenjam do swojeho priwatneno ziwjenja, swojeje swojby, swojeho bydlenja a swojeje korespondency abo njezakonskim skodam swojeje cesce a swojeho mjena wustajeny byc. Kozdy ma prawo na juristiski skit pleciwo tajkim zaplimnjenjam a skodam.
13-00	Artikl 13
13-01	Kozdy ma prawo, so znutlka slata swobodnje pohibowac a sej swoje bydlenje swobodnje wuzwolic.
13-02	Kozdy ma prawo, kozdy kra; inkluziwn je swoj swojski kraj wopuscic a so do swojeho kraja wrocic.
14-00	Artikl 14
14-01	Kozdy ma prawo, w drunich krajach pled plescehanjom azyl pytac a wuziwac.
14-02	Tute prawo njemoze so wuziwac w padze plescehanja dla ryzy njepolitiskicn zlostnistwow abo jednanjow, kotrez ranja cile a zasady Zjednocenycn narodow.
15-00	Artikl 15
15-01	Kozdy ma prawo na statnu plislusnosc.
15-02	Nikomu njesme so jeho statna plislusnosc swojowolnje scazac ani zaprajic prawo, swoju statnu plislusnosc zmenic.
16-00	Artikl 16
16-01	Muzojo a zony w zentwykmanej starobje maja bjez wobmjezowanja na zakladze rasy, statne je plislusnosce abo religije prawo, do mandzelstwa .stupic a swojbu zalozic.
16-02	Woni maja jenake prawa pli zmandzelenju, w mandzelstwje a pli rozwjazanju mandzelstwa.
16-03	Zmandzelenje sme so jenoz w swobodnej a dospolnej plezjednosci plichodneju mandzelskeju stac.
17-00	Artikl 17
17-01	Kozdy ma prawo, sam abo zhromadnje z druhimi wobsydstwo mec.
17-02	Nichto njesme swojowolnje swoje wobsydstwo zhubic.
18-00	Artikl 18
18-01	Kozdy ma prawo na swobodu myslow, swedomja a religije; tute prawo woplija swobodu, swoju religiju a swoj swetonahlad zmenic, kaz tez swobodu, swoju religiju abo swoj swetonahlad sam abo w znromadnosci z drunimi, zjawnje abo priwatnje plez wucbu, praktikowanje, bozu sluzbu a wobkedzbowanjc naboznych nalozkow zwuraznic.
19-00	Artikl 19
19-01	Kozdy ma prawo na swobodu menjenja a wuprajenje menjenja tute prawo woplija njehacenu swobodu menjenja a swobodu, sej njedziwajo na statne hranicy informacije a ideje ze sredkami kozdehozkuli razu wobstarac, plijimowac a dale dawac.
20-00	Artikl 20
20-01	Kozdy ma prawo na swobodu zhromadznja a zjednocenja za merliwe zamery.
20-02	Nichto n jesme so nuzowac, zjednocenstwu plislusec.
21-00	Artikl 21
21-01	Kozdy ma prawo, so pli rjadowanju zjawnych naleznoscow swojeho kraja njeposrednje abo plez swobodnje wolenycn zastupjerjow wobdzelic.
21-02	Kozdy ma pod jenakimi wumenjenjemi prawo na plistup k zjawnym zastojnstwam w swojim kraju.
21-03	Wola ludu twori zaklad za awtoritu zjawneje mocy; tuta wola dyrbi so zwuraznic plez so wospjetowace, woprawdzite, powsitkowne a rune wolby, kotrez wotmewaja so z tajnym wotedacom hlosow abo po tomu runohodnym swobodnym wolbnym modusu.
22-00	Artikl 22
22-01	Kozdy ma jako clon towarsnosce prawo na socialnu westotu a moze plez nutlkostatne naprawy a mjezynarodne zhromadne dzelo wobkedzbujo organizaciju a pomocne sredki kozdeho stata wuziwac za swoju dostojnosc a swobodne wuwice swojeje wosobiny njeparujomne hospodarske, socialne a kulturne prawa
23-00	Artikl 23
23-01	Kozdy ma prawo na dzelo, na swobodnu wolbu powolanja, na plimerjene a spokojace dzelowe wumenjenja kaz tez na skit pleciwo bjezdzelnosci.
23-02	Wsitcy clowjekojo maja bjcz kozdeje diskriminacije prawo na jenaku mzdu za jenake dzelo.
23-03	Kozdy, kiz dzela, ma prawo na sprawne a plihodne zarunanje dzela, kotrez jemu a jeho swojbje clowjeskej dostojnosci wotpowedowacu eksistencu zawesca a kotrez ma so, jeli trjeba, z druhimi socialnymi skitnynli naprawami dopjelnic.
23-04	Kozdy ma prawo, za skit swojich zajimow dzelarnistwa zalozic a tajkim plistupic.
24-00	Artikl 24
24-01	Kozdy ma prawo na dzelowe plestawki a swobodny cas inkluziwnje plimerjene wobmjezowanje dzeloweho casa kaz tez na prawidlowny placeny dowol.
25-00	Artikl 25
25-01	Kozdy ma prawo na za swo ju strowotu a derjemece a tu swojeje swojby plimerjeny ziwjenski standard, inkluziwnje dosahace zeziwjenje, drascenje, bydlenje, lekarske zastaranje a trebne socialne posluzby, kaz tez dale prawo na westotu w padze bjezdzelnosce, chorosce, inwalidity, zwudowjenja staroby abo druheje straty swojich zeziwjenskich sredkow plez njezawinowane wobstejnosce.
25-02	Macerje a dzeci maja prawo na wosebitu pomoc a podperu. Wsem dzecom, mandzelskim a njemandzelskim, plisteji jenaki socialny skit.
26-00	Artikl 26
26-01	Kozdy ma prawo na kublanje. Wucba dyrbi znajmjensa w elementarnym abo zakladnym schodzenku darmotna byc. Elementarna wucba je obligatoriska. Fachowo- a powolanskosulska wucba dyrbi powsitkownje plistupna byc, a wysokosulska wucba dyrbi wsem wotpowednje jich kmanoscam na jenake wasnje wotewrjena byc.
26-02	Kublanje dyrbi na polne rozwice clowjeskeje wosobiny a na sylnjenje respektowanja clowjecich prawow a zakladnycn swobodow wusmerjene byc. Wone dyrbi zrozumjenje, tolerancu a plecelstwo mjez wsemi ludami a wsemi rasowymi abo naboznymi skupinami spechowac a dzelawosc Zjednocenycn narodow za zdzerzenje mera podperowac.
26-03	Starsi maja prenjorjadne prawo druzinu kublanja wuzwolic, kotrez ma so jich dzecom posredkowac.
27-00	Artikl 27
27-01	Kozdy ma prawo, so na kulturnym ziwjenju zhronladnosce swobodnje wobdzelec, so nad wumelstwami wjeselic a na wedomostnym postupje a jeho wudobycacn dzel brac.
27-02	Kozdy ma prawo na skit duchownych a matericelnych zajimow, kotrez wurostuja za njeho jako tworicela z dzelow wedomosce, literatury abo wumelstwa.
28-00	Artikl 28
28-01	Kozdy ma prawo na socialny a mjezylnarodny porjad, w kotrymz moza so w tutym wozjewjenju wuprajene prawa a swobody polnje zwoprawdzic.
29-00	Artikl 29
29-01	Kozdy ma winowatosce napleco tej zhromadnosci, w kotrejz je jenicce mozne swobodne a polne wuwice jeno wosobiny.
29-02	Kozdy podlezi pli wuziwanju swojich prawow a swobodow jenoz tym wobmjezowanjam, kotrez zakon jenicce za ton zamer pledwidzi, plipoznace a respektowanje prawow a swobodow druhich zawescic a sprawnym zadanjam moralki, zjawneno porjada a powsitkowneho derjemeca w demokratiskej towarsnosci wotpowedowac.
29-03	Tute prawa a swobody njesmedza so w zanym padze w napleciwku k cilam a zasadam Zjednocenych narodow wuziwac.
30-00	Artikl 30
30-01	Nico w tutym wozjewjenju njesme so do toho smera wulozowac, zo so za stat, za skupinu abo wosobu prawo stwori, tajke dzelo wukonjec abo tajki skutk zwoprawdzic, kiz so na wotstronjenje w tutym wozjewjen ju wuprajenycn prawow a swobodow meritej.
