00-00	ADAM HUKUKLARYNYN AeHLUMUMY JARNAMASY
00-01	Adamzat kowmunyn agzalaryna den derejede degishli mertebaenin we olaryn den we ayrylmaz hukuklarynyn ykrar edilmeginin azatlygyn, adalatyn hem-de aehlumumy dynslygyn esasy bolup duryandygyny goez oenuende tutup; we
00-02	Adam hukuklarynyn aesgerilmezliginin we yigrenilmeginin adamzat ynsabyny hayykdyryan wagshysylyk aktlaryna getirendigini hem-de adamlaryn soez we wyzdan azatlygyna ye we gorkudyr maetaeslikden azat boljak duenyaesinin doeredilmeginin adamlaryn belent ymtylyshy diylip yglan edilendigini goez oenuende tutup; we
00-03	Zulmun we suetemin garshysyna in sonky serishde hoekmuende adamynyn gozgalana bash goetermek zerurlygyny aradan ayyrmak maksady bilen adam hukuklarynyn kanunyn haekimligi tarapyndan goralmagyny goez oenuende tutup; we
00-04	Halklaryn arasyndaky dostlukly gatnashyklaryn oesmegine yardam etmek zerurlygyny goez oenuende tutup; we
00-05	Birleshen Milletlerin halklarynyn esasy adam hukuklaryna, adam shahsyyetinin mertebesine we gymmatyna, erkegindir ayalyn denhukuklylygyna oez ynamlaryny Duezguennamada tassyklandyklaryny we sosial oesueshedir yashayysh shertlerinin gowulanmagyna has erkinlikde yardam etmegi yuereklerine duewendiklerini goez oenuende tutup; we
00-06	Agza-doewletlerin Birleshen Milletler Guramasy bilen hyzmatdashlykda adam hukuklaryna we esasy azatlyklaryna hemmelerin sarpa goymagyny we berjay etmegini goldamaga borslanandyklaryny goez oenuende tutup; we
00-07	Bu hukuklaryn we azatlyklaryn haesiyetine hemmelerin dueshuenmeginin olaryn doly yerine yetirilmegi uesin aegirt uly aehmiyetinin bardygyny goez oenuende tutup;
00-08	BASh ASSAMBLEYA
00-09	ADAM HUKUKLARYNYN BU AeHLUMUMY DEKLARASIYASYNY aehli halklaryn we doewletlerin yerine yetirmaege salyshmaly wezipesi hoekmuende jar edyaer
00-10	Her bir adam, jemgyyetin her bir guramasy bu Deklarasiyany guendelik goez oenuende tutup, an-dueshuenje yayratmak we ylym-bilim bermek arkaly bu hukuklara we azatlyklara sarpa goyulmagyna yardam etmaege milli we halkara  progressiw saereler arkaly, olaryn aehlumumy we degerli ykrar edilmegini hem-de olaryn agza-doewletler tarapyndan we shonun yaly-da oez garamagyndaky halklaryn we territoriyalaryn isinde ykrar edilmegini gazanmaga jan etmelidirler.
01-00	1-nji madda:
01-01	Adamlaryn hemmesi azat dogulyarlar we oez mertebesi hem-de hukuklary boyunsa ilkibashdan dendirler. Olara ozal-bashdan an, ynsap berlendir we biri-birine oezara doganlyk ruhunda semeleshmek olaryn yarashygydyr.
02-00	2-nji madda:
02-01	Her bir adam jynsyna, derisinin renkine, ayal- erkekligine, diline, dinine, syyasy ya-da beyleki ynamlaryna, milli we sosial gelip sykyshyna, emlaek yagdayyna, haysy gatlakdandygyna ya-da gayry tapawutlaryna garamazdan, bu Deklarasiyada jar edilen aehli hukuklara we aehli azatlyklara yedir.
