00-00	[missing]
00-01	Tyasezybi”, kunia basebsa nanasane” korse tere, ittuo bendi” nanasanei tande” teretini, none khelide” nile menutun” (pravaitin) ittu bezetuobsa tokhiteny, khuntemeny buobsa, bende” nanasane”dya ittuo khetegee nilu; none
00-02	tyasezybi”, kunia nintu” tyasezybsya none nonkhomeny ibsya nanasane” nile mene”dya (k pravam) teza”a” nombe” kersu”, kuredi” boluatuguitu” nanasanei syaru, none melyzebi” teredi khetegee nilu, kunini nanasane” khonsyze” nyandyatuo” buozu” none manu”tebsa, nisyze” khyledyate” none menkeemeny nily”, debturusu” khiregee nanasane” mene isya; none
00-03	tyasezybi”, kunia nanasanei nile mene” (prava”) muuntabu” myntu kemiabsa zakoneteny, ninagety nanasa nonsu” nizi”tikhiasy nile menutu (pravaitu); none
00-04	tyasezybi”, kunia nanasanei tande” khely”syny” nyatun suoarurnu” duzytendyn; none
00-05	tyasezybi”, kunia nanasanei tande” ittuo” Sune 5uomtumee” Tandeiteny (Obedinennyi Natsiyateny) nanuzumtuduo” Ustavatenynty ittuo” nile khunturubsyatun nanasanei nile mene”dya (prava”dya), nanasane korse nunazeidya, denside” nile mene”dya (prava”dya) kuodumu none ny dermeeny temeeny sytyn mundusuo” khelysybsyaniimeeny sotsialnyi progresseteny nyagei nilynyagetyn nyandya”sa; none
00-06	tyasezybi”, kunia mou”-tere” (gosudarstva-chleny) mundukhu” Sune 5uomtumee” Tandeinanu (Obedinennyi Natsiyananu), nyatun nezunagetun, suoarurnagetun, nezunagetun nanasanei nile mene” (prava”) none menezee nendyabsanutun; none
00-07	tyasezybi”, kunia bende” nanasane” dilsitini” korse none nory tendei nile menei (etikh prav) none nyandyabsa” khonty tetua ani”e toru dulsynage eme sier,
00-08	Generalnaya Assambleya
00-09	debtazatu nanuo
00-10	Bende” nanasane” dyazykudya ittuo deklaratsiya nanasane nile mene” (prav) nerutety khuantetu dyameleke kersu, kuredi tuunyantunu” bende” nanasane” tande” none gosudarstva”, tende dyazyku kuredite nanasa ketti kuredite obshchestvo tere, senursa eme nanuo Deklaratsiyadya, kerbulokhazeite” tenymtyguisya none khozatebsa sereemeny tende” prava” none nyandyabsa” nyagei bendeti tenyrynagetyn none mitebiaze” natsionalnyi none mezhdunarodnyi progressivnyi sereemeny, bende” nanasane” tande” none gosudarstva-tere organizatsiya tenyrynagetyn, tende komeeny mou tere” ittuo” yurisdiktsietenyntyn.
01-00	Statya 1
01-01	Bende” nanasane” netukendy” nendya”tuo” none khonsy khelide” nile menei (pravai). Sytyn khondy” nile nonda none syaru, duzytendyn ikhutun nyagee” suoaruse”.
02-00	Statya 2
02-01	Kuredite nanasa khonkhity myntu nile menu”tu (pravaitu) none nyandyabsatu, khozutuo” nanuo Deklaratsieteny, nisy senure”: kuredi nanasane” tansegete imme, kuredi syabyty kukhuo, kuodumu ketti ny, kuredi nile netumiamuo siedety, kuredi nuodya khunturubsyazy inu, kuredi politike nezu kamyanu, kuredi nanasane tansedya inu none kuredi netumiamuontu sier: nunya” ketti menkee” ikhu” tagebtee” iriti, imiditi.
02-02	Tende komeeny nibi” nyagee senure” khunse” politichesky, nile menentenunty ittuo (pravovoi) none mezhdunarodnyi mounty statusedya, kunini nilyny nanasa nisy senure” khundyaltuo ketti kamya”lutuo tende” mou”.
03-00	Statya 3
03-01	Kuredite nanasa khonty nile mene (pravo) nilybsyadya, nyandyabsadya none nintu” mentizibsyatydya.
04-00	Statya 4
04-01	Sylygalite nibiti nyagee siba”teru”, siba”terubsa none tamtarubsa siba”tini nintu kuniteny nyagee kersu.
05-00	Statya 5
05-01	Sylygalite nibiti myntu khosi”tery”, siba”teru”, khettibtyguili” nembeniize.
06-00	Statya 6
06-01	Kuredite nanasa, kuniteny nibiti nuo”, khonkhiti nyagee nile mene (pravo) nile nilutyniimeny
07-00	Statya 7
07-01	Bende” nanasane” khelide” zakonateny none khondy” nile mene (pravo) nisy senure” nintu” khelide” nizisibsya”dya ituo” tende zakoneteny. Bende” nanasane” khondy” nile mene (pravo) khelidemeeny nizi”silinyagetyn diskriminatsiegete, nintu” nezu”lutuo nanuo Deklaratsieteny none khunse kuredite nomu”tetuo teredi diskriminatsiyadya kersu.
08-00	Statya 8
