00-00	nigvnadv diganotsalanvi aniyvwi unihv iyunadvdii
00-01	gvniyuquo didanilvtsv nasgi atloyasdisgi atlvquododi ale nasgino igati ale udohiyuhiya unihv iyunadvdi nasgino nigada anila nasgi aniyvwi sidanelv ananelv nanai digagusdai dohi adedii, duyugodv usdayohisdi ale nvwadohiyadv nahna nasgi elohi,
00-02	gvniyuquo agasestanvna ale nigalvquodvna nasgina aniyvwi unihv iyunadvdii unihvi winidulistanvgi na unisgaseti nanadvnenv nasginano unihv galosvstanv atalawohisdi nasgi tsunugododiyi unadediyi yvwi, ale nasgi elohi ulutse nahnai nasginano aniyvwi ase alihelisdi dohi gawonihisdi ale unohiyusv ale dohi adedii nasgina niganayehisdvna ale kanetsvgi unadulvda nvlistanvgi nasgi wagalvladiyv anadulvtanv nasgi nanigavquu yvwi,
00-03	gvniyuquo nai ulisgedv, nasgina asgaya gvsdiyedodi nigesvna yigi nasgi gohusdi nudanetlvna, oni udalulv udanetliyvda, yudayilv uwohiyudi nasgi tsugatilvsdi nidatsetlvnaquo nanadvnehvgi ale uyo iyadadvnehi, nasgi aniyvwi unihv yunadvnedii elisdi alisinvdodi yigi navi nasgi tsunikanawadvsdodi dikahnawadvsdi,
00-04	gvniyuquo nasgi ulisgedv nai gvnigesv nanvnehv nasgi udanvti uweladisdv dudoluwadvhv udotsatlvgi ayeli dunadotlvsvi,
00-05	gvniyuquo nasgi aniyvwi nasgino unadadudewidv ayeli dunadotlvsv nunvhnanv nahna adalisgolvdanehi dilasidodi dasdayidvi nasginano unohiyutanv dunalasidv aniyvwi unihv yunadvdii, nai nasgi atlvquododa ale tsugvwalodi nasgino aniyvwi anisiyvwiha ale nai etsulahaquo unihv iyunadvnedi nai anisgaya ale anigeyv ale dunugotanvgi gvnigesv nanvnehv unadotlvhi aliyilisv ale datsetlv igatihaquu na vlenidohvgi nahna equohigesdi dohi adedii,
00-06	gvniyuquo anela sgadugi ududalvnvhi nai unvsa unatlinigvnedii, nai unaligosv-uligohi nasgi unadadudewidv ayeli dunadotlvsv, nasgi gvnigesv nanvnehvgi nigvnadena gohiyuhi nasgina ale agasestanvgi na aniyvwi unihv yunadvnedii ale dunalasidv dohi tsunadedii, gvniyuquo utloyaquo unolitsvgi nasgi unihv iyunadvdii ale dohi adedii nasgi wequa ulisgedi nasgina kalii adelahosvhi hia adudalvdi,
00-07	noquono, nasgi iyusdi, nasgi nigadaquu danilawiv
00-08	dilasitanvhi hia nigvnadv diganotsalanvi aniyvwi unihv iyunadvnedii nasgi utloyaquo igatihaquu alinigvnelvgi nasgina nigada aniyvwi ale nigada unadadudewidv ayeli dunadotlvsv, nai nasgi asquadvhi nasginano nigadiyu asiyvwi ale nigadiyu ayelv nasgi yvwi, unisquanigododi hia diganotsalanv nigohilvi anadanvtesgoi, aseno anelvdodi nasgi danadeyohvsgvgi ale tsunadeloquasdii nai gvnigesv nanvnehv gohiyuhi nasgina hia unihv iyunadvnedii ale dohi tsunadedii navi aliyilisvgi watlilohihi, ayeli ale ayeli dunadotlvsv, nunayehisdvnaquo nasgi nigvnadena ale iyulisdodiyi digegadanilvtsvgi ale agasestanvgi, itsulano nunadvnv nasgi aniyvwi na anela sgadugi unvsa ale nunadvnv nasgi aniyvwi nanai disgadugi hawiniditlv iyunadvnelidasdi unihvi.
01-00	ayadolv 1
01-01	nigada aniyvwi unadenvi unadudaleda ale etsulahaquo nai atlvquododi ale unihv iyunadvdii. nasginano ulisgolvtanvgi utloyasdi nvyelidvgi ale adanvtetlidasdi ale elisdi siyvwiha nidunadadvnadegvgi na dinadanvtli adanvdo gvdi.
02-00	ayadolv 2
02-01	nigadv aniyvwi unadanidla nai nigada unihv iyunadvnedii ale dohi adedii nai degakanvgi hia diganotsalanvi, unatselidv nunatloyasdvna nai nigavquo tsudalenvda, dekaneistanvhi tsunadalenvda aniyvwi, digegaganvdii, ageya ale asgaya, gawonihisdi, tsunanelidi, dinadogiyasgi ale soi nanilisgvgi, ayeli unadotlvhi ale yvwi nidodayunadalenvgi, nunvhnanv, udenv ale soi nusdidanvi.
02-02	udiditlvigesdodi, tla nunatloyasdvna udohiyusvna nasgino dinadogiyasgi nidayulisdotanv nasgi udotlvnvi, iyunadvnelidasdi unihvgi ale ayeli dunadotlvsv nusdidanv nasgi nigvnadvi ale sgadugi nasgino aniyvwi ananelvgi, iyunosquu nasginai unadatselida, gageganvti gesvi, gvnigvgv-uwasv-ugasesdidegi hawiniditlv nigav soi nvniyoisdanehvna nai unihv unadatseligaya.
03-00	ayadolv 3
03-01	nigadv aniyvwi unihv nasgi duyugodv yunadvdii vlenidohvi, ogadatseli gesvi ale nasgi ugasesdi yvwi.
04-00	ayadolv 4
04-01	udohiyuhi tlagiloi atsiniyvdi nasgi digetsinatlav ale gasadoyasdi atsinatlai yigesesdi; digetsinatlav ale nasgi digetsinatla diganadinvdi udohiyuhiya ganvsdosgesdi nasgi nigav nasgi iyusdi.
05-00	ayadolv 5
05-01	udohiyuhi tlagiloi atsilvsdi yigesesdi ale uyo iyadadvnehi yigesesdi, aniyvwi nigesvna yigvdi yigesesdi ale udehohisdi yigvdi yigesesdi ale asdvdisdodi yigesesdi.
06-00	ayadolv 6
06-01	nigadv aniyvwi unihv nasgi duyugodv iyunadvnedii nigvnadv gegolitsedi nasgi yvwi igvyatitli nasgi dikanowadvsdi.
07-00	ayadolv 7
07-01	nigadv itsulahaquo igvyatitli nasgi dikahnawadvsdi ale unadanidlanvi nvtloyasdvna nigav adadvyutsedi nasgi itsulahaquo gvwanisdelvdodi nasgi dikahnawadvsdi. nigada unadanidlanvi itsulahaquo gvwanisdelvdodi digvwanatludisgi nigav adadvyutsedi nasgi asganvgvi hia diganotsalanvi ale digvwanatludisgi ale nigav dadadulegv nasgi iyusdi adadvyutsedi.
08-00	ayadolv 8
08-01	nigadv aniyvwi unihesdi nasgi duyugodv iyunadvdii nai degugotanvgi iyulisdodi nasgi yeli nigvwanadvdi gesv ayeli tsunadayilidasdi nasgina dulinetsvgi asganvtsvi nasgi dunalasidv dunihvgi ulisgolvdanelvgi nasgino gagusdvdi ale nasgino dikahnawadvsdi.
09-00	ayadolv 9
09-01	udohiyuhi tlagiloi asequuquu tsagugodanedi yigesesdi nai atsiniyvdi yigesesdi, atsisdudi ale ayeli atsinugowisdi.
10-00	ayadolv 10
