00-00	OLMMOSVUOIGATVUODAID OPPAMAILMMALAS JULGASTUS
00-01	Danne go friddjavuoda, vanhurskkisvuoda ja rafi vuoddu mailmmis lea buot olmmosgoddai gullevaccaid lunddolas olmmosarvvu dovddiidus ja sin dassasas ja massemeahttun vuoigatvuodaid dovddiidus,
00-02	danne go olggustus olmmosvuoigatvuodain ja badjelgeahccanvuohta daid harrai lea mielddisbuktan veahkajoas daguid, mat leat suorggahan olmmosgotti oamedovddu, ja danne go albmogiid alimus joksanmearrin lea dovddastuvvon dakkaras mailmmi ovdasaddu, gos lea sardnun- ja oskufriddjavuohta ja gos lea balus ja headis friddjavuohta,
00-03	danne go lea vealtameahttun darbbaslas suodjalit olmmosvuoigatvuodaid laga bokte, amaset olbmot fertet manimus headisteaset stuimadaga noastit baggovalddi ja soardu vuosta,
00-04	danne go lea deatalas ovddidit ustitlas gaskavuodaid gargedusa nassuvnnaid gaskkas,
00-05	danne go Ovttastuvvon Nassuvnnaid albmogat lihtu bokte oddasis duodastit sin oskkuset olbmo vuoddovuoigatvuodaide, olmmosoktagasa arvui ja mavssolasvuhtii, olmmaiolbmo ja nissonolbmo dassasas vuoigatvuodaide, ja leat soahpan ovddidit sosialalas ovdaneami ja buorranaddit eallineavttuid stuorit friddjavuoda siste,
00-06	danne go miellahttostadat leat geatnegahttan iezaset, Ovttastuvvon Nassuvnllaiguin ovttasbarggadettiin, vafistit olmmosvuoigatvuodaid oppalas gudnejahttojumi ja doahttaleami,
00-07	danne go daid vuoigatvuodaid ja friddjavuodaid oktasas ipmardusas lea stuorimus mavssolasvuohta dan fertemusa duohtandahkamis,
00-08	de danne
00-09	OAIVECOAHKKIN
00-10	dakko bokte almmuha
00-11	dan olmmosvuoigatvuodaid oppamailmmalas julggastusa oktasas joksanmearrin buot albmogiidda ja buot nassuvnnaide vai juohke olmmosoktagas ja juohke servodateissevaldi, alo muittus anedettiin dan julggastusa, vikkasii oahpahusa ja bajasgeassima bokte ovddidit gudnejahttojumi daid vuoigatvuodaid ja friddjavuodaid harrai, ja nassuvnnalas ja internassuvnnalas doaibmabijuid bokte vafistit ahte dat saddet oppalaccat ja famolaccat dovddastuvvot ja doahttaluvvot sihke miellahttostahtaid iezas albmoga siste ja daid lagavaldi vuolde orru radjosiid albmogiid siste.
01-00	Artihkkal 1.
01-01	Buot olbmot leat riegadan friddjan ja olmmosarvvu ja olmmosvuoigatvuodaid dafus. Sii leat jierbmalas olbmot geain lea oamedovdu ja sii galggase leat dego vieljacagat.
02-00	Artihkkal 2.
02-01	Juohkehas lea vuoigaduvvon buot daid vuoigatvuodaide ja friddjavuodaide, mat dan julggastusas leat namahuvvon, almma mange vealahaga, nali, ivnni, sohkabeali, giela, oskku, politihkalas dahje eara miellaguottu, nassuvnnalas dahje sosialalas surggiideami, opmodaga, riegadeami dahje eara dilalasvuoda dafus.
02-02	Orruneatnama dahje -guovllu politihkalas, lagavalddalas dahje internassuvnnalas dilli maidda ii galgga vaikkuhit vealahusa, lehkos dat eanan dahje guovlu iesstivrejeaddji dahje earaid geahcu vuolde dahje mudui mange lahkai earaid halddus stivrra dafus.
03-00	Artihkkal 3.
03-01	Juohke olbmos lea vuoigatvuohta eallimii, friddjavuhtii ja persovnnalas oadjebasvuhtii.
04-00	Artihkkal 4.
04-01	Ii oktage galgga dollojuvvot slavvan dahje baggu balvalusas. Slavvavuohta ja slavvagavppi joraheapmi, vaikko gudege vuogi mielde, galga leat gildojuvvon.
05-00	Artihkkal 5.
05-01	Ii oktage galgga illastusa vuollai dagahuvvot dahje goaves, olmmosmeahttun dahje vuolideaddji giedahallama dahje rangggastusa vuollai.
06-00	Artihkkal 6.
06-01	Juohke olbmos lea juohke sajis vuoigatvuohta dasa, ahte son galga dovddastuvvot olmmosoktagassan laga ovddas.
07-00	Artihkkal 7.
07-01	Buohkat leat laga ovddas dassasaccat ja almma mangelagan vealahusa haga lea buohkain vuoigatvuohta oazzut seamma lahkasuodjalusa. Buohkain lea dassasas vuoigatvuohta oazzut laga suodjalusa buotlagan vealahusa vuosta, man bokte dat julggastus rihkkojuvvo, ja juohkelagan avzzullusa vuosta danlagan vealahusa dahkamii.
08-00	Artihkkal 8.
08-01	Juohkehaccas lea vuoigatvuohta oazzut ulmmalas veahki dohkalas nassuvnnalas duopmostuoluin dakkaras daguid vuosta mat rihkkot daid vuoddodahkki vuoigatvuodaid, mat leat sutnje addon vuoddoasahusa dahje laga bokte.
09-00	Artihkkal 9.
09-01	Ii oktage galgga sahte sivas gitta valdojuvvot, giddagassii biddjojuvvot dahje riikkabahtarussii addjojuvvot.
10-00	Artihkkal 10
10-01	Go geange vuoigatvuodat ja geatnegasvuodat galget mearriduvvot, ja go su vuosta nostojuvvon rangggastuslivahis galga merrejuvvot, de juohke olbmos lea ollislas dassasas vuoigatvuohta oazzut vanhurskkis ja almmolas assevuodjima sorjjasmeahttun ja bealatgeahtes duopmostuolo ovddas.
11-00	Artihkkal 11.
11-01	Juohke olbmos guhte rangggastusvulos daguin sivahuvvo, lea vuoigatvuohta lohkkojuvvot vigiheapmin gitta dassago su sivalasvuohta lea nanuduvvon almmolas duopmostuolu riektemeanuin, main sus leat leamas buot dat dahkadusat mat leat darbbaslaccat iezas bealustussii.
11-02	Ii oktage galgga dubmejuvvot rangggastussii dakkar dagu dahje slaibmahusa ovddas, mii dahkuaiggi ii lean rangggastusvulos nassuvnnalas laga mielde dahje albmotrievtti mielde. Iige galgga garraset duomu sahttit cealkit go dan mii lagas leai mearriduvvon dalle go rangggastusvulos dahku dahpahuvai.
12-00	Artihkkal 12.
12-01	Ii oktage galgga gillat evttolas seaguheami iezas olitahaseallimii, bearrasii, ruktui dahje reivelonohallamii, iige alageavvama gudni dahje mainnolmasvuoda ala. Juohkeilas lea vuoigaduvvon laga suodjalussii dakkar seaguheami dahje alageavvama vuosta.
13-00	Artihkkal 13.
13-01	Juohkehaccas lea vuoigatvuohta friddja johtalit ja friddja valljet alccesis orrunsaji stahta rajiid siskkobealde.
13-02	Juohkehaccas lea vuoigatvuohta vuolgit riikkas eret, maiddai iezas riikkas, ja mahccat ruoktot su iezas riikii.
14-00	Artihkkal 14.
14-01	Juohkehaccas lea vuoigatvuohta vierroriikkain ohcat ja oazzut dorvobaikki doarradallama sivas.
14-02	Dat vuoigatvuohta ii sahte curvojuvvot doarjjan go riektedoarradallama duodalas vuoddun leat eahpepolitihkalas rihkkosat dahje dagut, mat leat Ovttastuvvon Nassuvnnaid ulbmiliid ja vuoddojurdagiid vuosta.
15-00	Artihkkal 15.
15-01	Juohkehaccas lea vuoigatvuohta stahtaboargarvuhtii.
15-02	Ii ovttasge galgga evttolaccat valdojuvvot eret stahtaboargarvuohta, dahje biehttaluvvot vuoigatvuohta molsut stahtaboargarvuoda.
16-00	Artihkkal 16.
16-01	Dievasahkasas olmmaiolbmuin ja nissonolbmuin lea vuoigatvuohta naitalit ja vuoddudit bearrasa almma mange raddjehusailaga mii boahta nalis, nassuvnnalasvuodas dahje oskkus. Sis lea gaibadus dassasas vuoigatvuodaide naitosa dafus, naitosa aiggi ja naitosa haddjehusa mangnga.
16-02	Naittosvuhtii mannan galga dusse dalle dahpahuvvat go friddja ja ollislas miedahus guktuid saddi beallelaccaid bealis lea duodastuvvon.
16-03	Bearas lea servodaga lunddolas vuoddooktavuohta ja servodat ja stahta galga dan suodjalit.
17-00	Artihkkal 17.
17-01	Juolliieilaccas lea vuoigatvuohta opmodaga eaiggadussat, okto dahje earrasiiguin searvalagaid.
17-02	Ii ovttasge galgga su opmodaga evttolaccat eret valdojuvvot.
18-00	Artihkkal 18.
18-01	Juohkehaccas lea vuoigatvuohta jurddasan-, oamedovddu- ja oskufriddjavuhtii. Dat vuoigatvuohta sisttisdoalla friddjavuoda religiovnna dahje oskku ovdandoallamii juogo okto dahje earrasiiguin searvalagaid, almmolaccat dahje oktasaccat, oallpalleami bokte, meanuid bokte, balvalusa bokte ja religiovnnalas vieruid basuhemiin.
19-00	Artihkkal 19.
19-01	Juohkehaccas lea vuoigatvuohta oaivil- ja satnefriddjavuhtii. Dat vuoigatvuohta sisttisdoalla friddjavuoda cuoccuhit oaiviliid almma earrasiid seaguhushaga, ja friddjavuoda ohcat, vuostavaldit ja almmuhit dieduid ja oainnuid juohkelagan almmuhusgaskomiid cada, beroskeahtta riikarajiin.
20-00	Artihkkal 20
20-01	Juohkehaccas lea vuoigatvuohta rafalas coahkkimiin ja ovttastumiin friddja oassadallat.
20-02	Ii oktage galgga baggejuvvot searvat makkarge ovttastupmai.
21-00	Artihkkal 21
21-01	Juohkehaccas lea vuoigatvuohta lea osolas iezas riikka stivrejumis, juogo vuigestaga dahje friddja valljejuvvon ovddasteddjiid bokte.
21-02	Juohkehaccas lea dassasas vuoigatvuohta beassat iezas riikka almmolas doaimmaide.
21-03	Albmoga dahttu lea almmolas valddi vuoddu. Dat dahttu galga dovdosii boahtit mearreaigasas ja duodalas valggain main oppalas ja dassasas jienastanvuoigatvuohta ciegus jienasteapmi dahje eara ovttaarvosas friddja jienastanvuohki.
22-00	Artihkkal 22
22-01	Servodatmiellahttun lea juohkehaccas vuoigatvuohta sosialalas oadjebasvuhtii ja juohkehas sahtta gaibidit ahte dat ekonomalas, sosialalas ja kultuvrralas buorit, mat leat vealtameahttun darbbaslaccat olbmo arvui ja su persovnnalas friddja ovdaneapmai, duohtandahkkojuvvojit nassuvnnalas doaibmabijuid bokte ja internassuvnnalas ovttasbarggu bokte vuhtiivalddedettiin juohke sierralas stahta organisasuvnna ja veahkkevariid.
23-00	Artihkkal 23
23-01	Juohkehaccas lea dassasas vuoigatvuohta oazzut barggu, beassat friddja valljet alccesis fitnu, oazzut vanhurskkis ja buriid bargoeavttuid ja oazzut suodjalusa bargguhisvuoda vuosta.
23-02	Almma mange vealahusahaga lea juohkehaccas vuoigatvuohta oazzut seamma balkka seamma barggu ovddas.
23-03	Juohke barggolaccas lea vuoigatvuohta oazzut vanhurskkis ja govttolas mavssu, mii dahkida sutnje alccesis ja su bearrasii olmmosarvvolas aigaboadu, ja mii, juos darbbaslazzan cajehuvvo, ollistuvvo eara sosialalas suodjalusa bokte.
23-04	Juohkehaccas lea vuoigatvuohta vuoddudit fagaservviid, ja miellahttun searvat dakkariidda, suodjalan dihte iezas berostumiid.
24-00	Artihkkal 24
24-01	Juohkehaccas lea vuoigatvuohta vuoigatvuohta vuoingngadussii ja luopmoaigai: dan vuoigatvuoda vuollai gulla maiddai bargoaiggi govttolas raddjehus ja mearreaigasas balkkahuvvon luopmu.
25-00	Artihkkal 25
25-01	Juohkehaccas lea vuoigatvuohta dan muddosas eallindassai, ahte dat dahkida su ja su bearrasa dearvvasvuoda ja buorredili borramusa, biktasiid, asodaga ja dearvvasfuola dafus, ja maiddai darbbaslas sosialalas addosiid dafus ja vela lassin oadjebasvuoda dafus go bargguhisvuohta , buohcuvuoda, bargolamisvuohta, leaskavuohta, boarisvuohta dahjege mudui birgenvadjitvuohta deaivida, masa olmmos ies ii leat sivalas.
25-02	Etniin ja manain lea vuoigatvuohta sierralas ovddasmorrasii ja veahkkai. Buot manain, lehkoset sii dal riegadan naittosvuoda siskkobealde dahje olggobealde, galga lea seamma sosialalas suodjalus.
26-00	Artihkkal 26.
26-01	Juohkehaccas lea vuoigatvuohta oahpahussii. Oahpahus galga addojuvvot almma mavssushaga, goit algo- ja vuoddooahpahusa dafus. Algooahpahus galga leat bakkolas. Buohkain galga leat vejolasvuohta fidnooahpahusa oazzut ja buohkaide galga leat dassasas vejolasvuohta valdit alit oahpahusa veajuideaset mielde.
26-02	Oahpahus galga atnit joksanmearrin gargedit olmmoslas persovnnalasvuoda ja nannudit olmmosvuoigatvuodaid ja vuoddodahkki friddjavuodaid gudnejahttojumi. Dat galga ovddidit ipmardusa, subalasvuoda ja ustitvuoda buot nassuvnnaid, buot nallejuhkosiid ja buot religiovnna juhkosiid gaskkas ja dat galga ovdanahttit Ovttastuvvon Nassuvnnaid barggu bisuhan dihte rafi.
26-03	Vanhemiin lea vuosttassadjasas vuoigatvuohta valljet sin manaideaset varas oahpahusvuogi.
27-00	Artihkkal 27.
27-01	Juohkehaccas lea vuoigatvuohta friddja oassadallat servodaga kultuvrralas eallimis, navddasit mahttadiin ja saddat osolazzan diedalas ovdaneapmai ja daid buriide, mat das cuvvot.
27-02	Juohkehaccas lea vuoigatvuohta oazzut daidda vuoingngalas ja avnnaslas berostumiide suodjalusa, mat cuvvot boadusin vaikko gudelagan diedalas, girjjalas dahje mahtolas dahkosis, maid guhtege ies lea avdnen.
28-00	Artihkkal 28.
28-01	Juohkehas sahtta gaibidit dakkar sosialalas ja internasuvnnalas ortnega mii ollislaccat sahtta duohtandahkat daid vuoigatvuodaid ja friddjavuodaid , mat dan julggastusas leat namuhuvvon.
29-00	Artihkkal 29.
29-01	Juohkellaccas leat dat geatnegasvuodat servodaga guovdu, mat aittonassii dahket vejolazzan persovnnalasvuoda friddja ja dievaslas ovdaneami.
29-02	Geavahettiin vuoigatvuodaidis ja navddasettiin friddjavuodaidis ii leat oktage earalagan raddjehusa vulos, go dakkariid mat laga bokte leat mearriduvvon aittonassii dahkidan dihte earrasiid vuoigatvuodaid ja friddjavuodaid darbbaslas dovdiidusa ja gudnejahttojumi ja deavdin dihte daid gaibadusaid maid morala, almmolas ortnet ja oppalas buorredilli demokrahtalas servodagas rievttuid mielde ovdandivvu.
29-03	Diet vuoigatvuodat ja friddjavuodat eai gudege dahpahusas sahte adnojuvvot vuosta Ovttastuvvon Nasssuvnnaid ulbmiliid ja vuoddojurdagiid.
30-00	Artihkkal 30.
30-01	Ii mihkkige dan julggastusas sahte nu dulkojuvvot ahte dat vuoigada ovttage stahta, juhkosa dahje olmmosoktagasa oassadallat dakkar doaimmas, dahje dahkat dakkar dagu, mii dussindagasii ovttage dain vuoigatvuodain dahje friddjavuodain mat leat namahuvvon Julggastusas.
