00-00	Nana Comini Uri Illafue
00-01	Biena uino: Nana comini jiaie comini anamo inellena, ie finua diese nagamie feinollena, nana comini uri illena, bie rafuena lloticai. Comena nagamie jeicia jira, bie rafuena lloticai. Nana cominimo bie rafue daje isoi duide.
00-02	Biena uino: Ailluena comini, diga icaino jiaie cominimona duere sefuilla jira, nana comini jaciruineno iacana jira, naga comini rana iacana jira, bie rafuena lloticai. Duere sefui raillano, nana comini nie isoide rafuena jaciruineno llollena, bie rafuena lloticai. Duere sefui raillano, nana comini nie isoide rafuena jaciruineno llollena, bie rafuena lloticai.
00-03	Biena uino: Naga gobierno ie cominina canua, naimacimo bie isoide rafue illena. Gobierno diga, jobaime naimaci finonellena, bie isoide rafue ie cominimo illena, naga gobierno ie cominina canua.
00-04	Biena uino: Naga nairai jiaie nairai diga, nabairillana caijitailla jira, bie rafuena lloticai.
00-05	Biena uino: Naga Naciones Unidamo duide nairai bie rafuedo jaiacana jira, bie rafuena lloticai. Nagamie comena jeiciga. Iima rino baifemo fainede. Rino iima baifemo fainede. Comini duere itinona jitainedicai, iadedi naimaci uri caimare illana jitaidicai.
00-06	Biena uino: -Danomo bie rafue llocana jaiticai - nana Naciones Unidamo duide nairai llotimaci.
00-07	Biena uino: Bie rafuena nana comini raise atona uinuana jitaidicai. Iena nana comini uinuamona, bie rafue suicana jaite.
00-08	Danomo ofillanona bie rafuena lloticai
00-09	Nana comini bie rafue anamo jitaidicai. Naga nairai bie rafuena iiuana jitaidicai. Bie rafuena naimaci cominina llofuiana jitaidicai. Naga nairai bie rafue lloga uai finuana jitaidicai, nana naimaci comini bie rafuena ollena. Ie jira bie rafuena lloticai.
01-00	Rafue 1.
01-01	Nana cai comuillamona dama cai abido iticai. Cai comuillamona jiaimie anamo inedicai. Nana daje facaiconi iticai. Abi uinuanona comuidicai. Dani coninirie cai nabairilla.
02-00	Rafue 2.
02-01	Nana cominimo bie rafue duide. Naga nairaimo bie rafue duide: naga rinomo, naga iimamo, Jusinamuina sedadimiemo, Jusinamuina sedanedimiemo, jamai bue isoidimiemo, jamai bue isoinedimiemo, dueredimiemo, ucuberedimiemo, riai uaina naitimiemo, jiaie uaina naitimiemo, diese itinomo bie rafue duide. Nie isoide gobierno anamo naimaci ia, bie rafue nana naimacimo duide.
03-00	Rafue 3.
03-01	Nana comini illana jitaidicai. Jiaie comini anamo bu jacainenia, jiaime anamo budi naimie anamo orenena. Nana comini jiaie cominina jaciruinenana jitaidicai.
04-00	Rafue 4.
04-01	Jiaie comemo maijillena jaca budi cominina ebe isoi fecanena. Iena caidica.
05-00	Rafue 5.
05-01	Cominina isi cacaitanena. Duere sefuinellena, cominina janafefitanena.
06-00	Rafue 6.
06-01	Naga gobierno railla: -Nana cai eniruemo itinodi cominidimaci. Ie jira daje isoi nagamiiaina canoiticai -railla.
07-00	Rafue 7.
07-01	Nana comini gobierno lloga uai anamo daje isoi itimaci. Nana cominimo gobierno lloga uai daje isoi duide. Bie rafuedo jainedimiemona jaca buna duere sefuinena.
08-00	Rafue 8.
08-01	Gobierno lloga uaido jainedimiemona bu duere sefuia, naiena raise siadollena, juez dine naimie jaillana buna rairuinena.
09-00	Rafue 9.
09-01	Illaicominidi jamai ebena buna gaitanena. Calabozomo, carcelmo jamai ebena buna uinega. Ie nairai motomona budi jamai ebena dotanega.
10-00	Rafue 10.
10-01	Bumo llogidua rafue ia, naie rafue duinena juez dine naimiena uille, naie rafue raise siadollena. Bainino iene finonena.
11-00	Rafue 11.
11-01	Bumo llogidua rafue ia, naie rafuena nia siadonenia, naimiena nia duere finonena. Juez dine naie rafuena bainino siadonena. Naimie dibeimo itinona naimiena riidollena rairuinena.
11-02	Navui ie finoca nia rairuinega rafue facaina birui naimiena duere finonena. Rairuica rafue bu finoia, ie finoca facaise duere sefuillacino baifemo naimie duere sefuinena.
12-00	Rafue 12.
12-01	Nagamie jofomo uri illa. Ie illa comini diga icirafuena finonena. Bu naimiena uri itatanenia, naimie jitaia, ie uri itatanedimiena naimie llogidoia, iena illaicomini rairuinena. Bu naimie jeare naia, naimie jitaia, naimie jeare naitimiena naimie llogidoia, iena illaicomini rairuinena.
13-00	Rafue 13.
13-01	Ie nairaimo nine bu macariacania, illaicomini naimiena rairuinena. Ie nairaimo nine ie jofo illana bu jitaia, illaicomini naimiena rairuinena.
13-02	Jiaie nairaimo bu macariacania, illaicomini naimiena rairuinena. Abido ie nairaimo naimie biacania, illaicomini naimiena rairuinena. Illaicomini naimiena caidinena.
14-00	Rafue 14.
14-01	Duere sefuillamona jiaie nairaimo nainomo duere sefuinellena bu jaiacania, illaicomini naimiena rairuinena.
14-02	Marainedicino finonenia, naimie jaillana illaicominidi rairuinena.
15-00	Rafue 15.
15-01	Naga gobierno railla: -Nana cai eniruemo itinodi cai comini. Cai nairaimo duudimaci -railla.
15-02	Gobierno ie cominina oni dotanena, jiaie gobierno naimacina feinoiacainenia. Cai nairaimo duinedio -illaicomini buna iese llonena. Jiaie nairai imiena bu jaiacania, illaicomini iena rairuinena.
16-00	Rafue 16.
16-01	Ie aina illena, nie eimie rinona oiacania, iena buna rairuinena. Nie isoide rinona ollena buna rairuinena. Ie ini illena, nie rino einaino iimana oiacania, iena buna rairuinena. Nie isoide iimana ollena buna rairuinena. Ua mei, uruiaina iaimaiai comuitajana buna rairuinena.
16-02	Aina ollena, inina ollena, conimana jitaillanona iite.
16-03	Naga iima ie ai diga ia, naga rino ie ini diga ia, ie nairai judaisineite, iadedi naga iima ie ainede rino diga icabia, ie nairaidi judairite. Naimaci comini uri illena, naimaci nairaiai judaisinellena, naga gobierno ie cominina canua.
17-00	Rafue 17.
17-01	Eniruena bu namataacania, jofona bu namataacania, rana bu namataacania, illaicomini naimiena rairuinena. Naga come iena namataacania, jiaie comini diga iena namataacania, illaicomini naimiena rairuinena.
17-02	Bumona ie eniruena, bumona ie jofona, bumona ie rana jamai ebena baironena.
18-00	Rafue 18.
18-01	Bue isoide ramo ie comecina facaia, buna naimiena rairuinena. Jusinamuina bu sedaacania, buna naimiena rairuinena. Nie isoidimiena bu sedaacania, buna naimiena rairuinena. Jiaie raiuedo bu jaiacania, buna naimie rairuinena. Jiaie cominimo naimie iinuacino lluana buna rairuinena. Ie joiomo iena lloia, jino iena lloia, naimiena buna rairuinena.
19-00	Rafue 19.
19-01	Nie isoide ramo ie comeci facaia, naimiena buna rairuinena. Naimie comeci facajacino muidona, naimie duere sefuinena. Jiaie nairaimona bue isoide comecina facajacinona naimie feinoiacania, jiaie nairaimo bue isoide comeci facajacinona naimie oretaiacania, iena illaicomini rairuinena.
20-00	Rafue 20.
20-01	Jamai nie isoide rafue finollena comini ofitaia, naimacina buna rairuinena. Nie isoide rafuemo bu duicania, iena buna rairuinena.
20-02	Nie isoide rafuemo bu duiacainenia. Iemo naimie duinena buna rairuinena.
