00-00	Kishhi byraabyn uopsai Deklaratsiyata
00-01	Kishhi aimakh beie suoltatyn oidobule, teng uonna bystyspat byraaba aan doiduga kongul uonna kyrdyk biir torute buolaryn bolghomtogho ylan turan,
00-02	kishhi byraabyn akhsarbat buoluu uonna seneeshhin tumuger don aimakh suobashhyn abardar varvardyy  byshhyylar  takhsybattarynan,  tyl  uonna  sanaa  konguluger,  kyshhalghata,  kuttala suokh olokhkho don dulushharyn bolghomtogho ylan turan,
00-03	kishhi byraaba sokuon bylaashhynan kharystanyakhtaaghyn, kishhi battallaakh bylaashhy utary oro turuunu buteshhik nyma kurduk tushhammatyn tushhugar,
00-04	noruottar ikki ardylarygar doghordoshhuunu kuushhurder tushhugar,
00-05	Kholboshhuktaakh Natsiyalar noruottara Ustaaptarygar kishhi surun byraabygar, kishhi lichnost byshhyytynan beie suoltatygar, er kishhi uonna dakhtar teng buoluularygar itegheiellerin bigergeppiterin, ol kenne sotsialnai progress osso kongul olokh usuluobuialara tupsaryn tushhugar uleleshherge byshhaarymmyttaryn bolghomtogho ylan turan, chilien byshhyytanan kiirbit sudaarystybalar Kholbouktaakh natsiyalar organizatsiyalaryn kytary kishhi byraabyn uonna kongulun tutushhuu tushhugar yksa uleleshhiekh buolan bige tyl bierbitterin bolghomtogho ylan turan,
00-06	yiyllybyt byraap uonna kongul dien eidebulleri diringnik oidooshhun bu berillibit bige tyllary olokhkho killeriige ulakhan suoltalaaghyn bolghomtogho ylan turan.  Generalnai Assambleya,
00-07	Kishhi byraabyn uopsai Deklaratsiyatyn aan doidu noruottara uonna sudaarystybalara toloruokh tustaakh syallarynan-soruktarynan billerer, khas biirdii kishhi uonna obshchestvo khas biirdii organa bu Deklaratsiyany syrdatyy uoretii komotunen byraaby uonna kongulu ubaastyyllaryn sitishhiekhteekh, natsionalnai uonna noruottar ikki ardylarynaaghy tereeshhinner komolorunen Kholboshhuk ishhiger kiirbit sudaarystybalar isteriger, many tashhynan, sudaarystyba suuttuur byraaptaryn targhanar uobalastarygar (yurisdiktsiya) oloror noruottarga kiengnik uonna koduusteekhtik targhanaryn.
01-00	1 ystatyia
01-01	Don baryta beie suoltatygar uonna byraabygar teng buolan toruuller. Kiniler bary orkon oidookh, suobastaakh buolan toruuller, uonna beie beieleriger tylga kiiriniges byshhyylara doghordoshhuu tyynnaakh buoluokhtaakh.
02-00	2 ystatyia
02-01	Khas biirdii kishhi, rasatyttan, tiriitin ongutten, er  kishhititten-dakhtaryttan, sangarar tylyttan, omuguttan, religiyatyttan, politicheskai da khannyk da sanaatyttan, natsionalnai ebeter sotsialnai torututten, baaiyttan- dadangytyttan tutuluga suokh bu Deklaratsiya billererin kurduk byraaptaakh uonna kongulleekh.
02-02	Many tashhynan donu khannyk da doiduga, khannyk da politicheskai, pravovoi ebeter noruottar ikki ardylarynaaghy statushhuttan sietteren araaryllyy suokh buoluokhtaakh, bu doidu territoriyata toshho da tutuluga suokh, eppiekke syldaachchy, beiete salammat biiter suverenitet ottunen khaachchakhtaakh buolbutun da ishhin.
03-00	3 ystatyia
03-01	Khas biirdii kishhi uchugei ologhu oloror, kongulleekh uonna tus tyyttyllybat buolar byraaptaakh.
04-00	4 ystatyia
04-01	Kim daghany kuluttuur, beietin bas bilimmet buolar turukka syldya suokhtaakh: donu kulut ongostuu uonna donu atyylaashhyn khannyk da korungnere bobullar.
05-00	5 ystatyia
05-01	Kim daghany kishhi byshhyytyttan takhsybyt, kishhi byshhyytynan tushherer uonna beie suoltatyn suokh ongoror sordooshhungnga, nakaastabylga, kushhaghan syshhyangnga tubeshhie suokhtaakh.
06-00	6 ystatyia
06-01	Khas biirdii kishhi, khanna da syryttar, beietin pravosubektnai byshhyytynan aaghynar byraaptaakh.
07-00	7 ystatyia
07-01	Don baryta sokuon inniger teng byraaptaakhtar uonna sokuon teng komuskebilinen tushhanar byraaptaakhtar.  Don baryta dingneekh Deklaratsiyany keshher araas diskriminatsiyattan komusketer uonna mannyk sarbyiaashhyngnga kikseriitten komusketer byraaptaakhtar.
08-00	8 ystatyia
08-01	Khas biirdii kishhi konstitutsiyanan, sokuonunan korullubut beietin tus byraaptara keshhillibit tugeniger, natsionalnai suuttar komolorunen ol byraaptaryn turgennik uonna toloru tonnoror byraaptaakh.
09-00	9 ystatyia
09-01	Khannyk da kishhini beie talbytynan buruia suokh khaaiyllybat, kongulun sarbyiyllybat, uurullubet.
10-00	10 ystatyia
10-01	Khas biirdii kishhi, kholuobunai buruiu ongorbut dien duullener buollaghyna beietin byraabyn uonna ebeeshhineshhin byshhaarynaary, many tashhynan kiniekhe tikserillibit kholuobunai burui toshho olokhtooghun byshhaarar innitten, teng byraaptaaghynan tushhanan, kini dyalatyn tutuluga suokh, kyrdyk bary irdebillerin tutushhar suukka, ashhaghastyk korullerin sitishher byraaptaakh.
11-00	11 ystatyia
11-00	Khas biirdii buruiu ongoruuga uorbalanaachchy kishhi, komuskenerge kyakh baryta berillen turan yytyllar suut kini buruidaaghyn dakaastyar dyly, buruia suoghunan aaghynar byraaptaakh.
11-01	Kim daghany khannyk ebit daiyyny ongoruu, ebeter tugu da gynymyy ishhin buruiga, buruiu ongoruu kemiger natsionalnai sokuon biiter aan doidutaaghy byraap byshhyytynan buruiu ongoruunnan aaghyllybat buollakhtaryna, buruidammat.  Nakaastabyl burui ongoshhullar kemiger tuttulla syldybyt nakaastabyltan yarakhan buoluo suokhtaakh.
12-00	12 ystatyia
12-01	Kim daghany khannyk da kishhi tus ologhor, die kergeniger, kini oloror dietin tyytyllybat buoluutugar, kini suruisuutun kistelenger bukkushhuo, orooshhuo suokhtaakh.  Kini chieshhiger, aatygar-suolugar apcharyiya suokhtaakh.  Khas biirdii kishhi itinnik kishhi ologhor orooshhorton sokuonunan komusketer byraaptaakh.
13-00	13 ystatyia
13-00	Khas biirdii kishhi khaia bagharar sudaarystyba cherchitiger kongul aiannyyr, khannyk bagharar sudaarystybagha oloror sirin beiete talynar byraaptaakh.
13-01	Khas biirdii kishhi khaia bagharar sudaarystybattan, ol ishhiger beietin toroobut doidututtan, koshhon barar uonna tonnon keler byraaptaakh.
14-00	14 ystatyia
14-00	Khas biirdii kishhi soiuolaashhyntan kuotunan atyn doidularga khorghoior sir korduur uonna onno khorghoior byraaptaakh.
14-01	Bu byraap, Kholboshhuktaakh natsiyalar organizatsiyalaryn syallaryn uonna ylymmyt sanaalaryn utarar din chakhchy politikagha syshhyana suokh buruiu ongoruu tubeltetiger tushhanyllybat.
15-00	15 ystatyia
15-00	Khas biirdii kishhi grazhdanstvo ylar byraaptaakh.
15-01	Kim daghany beie kongulunen grazhdanstvotyttan matya suokhtaakh, ebeter beietin grazhdanstvotyn ularytar byraabyttan matya suokhtaakh.
16-00	16 ystatyia
