00-00	OPShTA DEKLARATSIJA O PRAVIMA ChOVEKA
00-01	Poshto je priznavanje urodjenog dostojanstva i jednakikh i neotudjivikh prava svikh chlanova ljudske poroditse temelj slobode, pravde i mira u svetu;
00-02	poshto je neposhtovanje i preziranje prava choveka vodilo varvarskim postuptsima, koji su vredjali savest chovechanstva, i poshto je stvaranje sveta u kojem tshe ljudska bitsha uzhivati slobodu govora i verovanja i biti slobodna od strakha i nemashtine proglasheno kao najvisha tezhnja svakog choveka;
00-03	poshto je bitno da prava choveka budu zashtitshena pravnim sistemom kako chovek ne bi bio primoran da kao krajnjem izlazu pribegne pobuni protiv tiranije i ugnjetavanja;
00-04	poshto je bitno da se podstiche razvoj prijateljskikh odnosa medju narodima;
00-05	poshto su narodi Ujedinjenikh natsija u Povelji ponovo proglasili svoju veru u osnovna prava choveka, u dostojanstvo i vrednost chovekove lichnosti i ravnopravnost mushkaratsa i zhena i poshto su odluchili da podstichu drushtveni napredak i poboljshaju zhivotni standard u vetshoj slobodi;
00-06	poshto su se drzhave chlanitse obavezale da u saradnji s Ujedinjenim natsijama obezbede opshte poshtovanje i primenu ljudskikh prava i osnovnikh sloboda;
00-07	poshto je opshte skhvatanje ovikh prava i sloboda od najvetshe vazhnosti za puno ostvarenje ove obaveze,
00-08	GENERALNA SKUPShTINA PROGLAShAVA
00-09	OVU OPShTU DEKLARATSIJU O PRAVIMA ChOVEKA kao zajednichki domet koji treba da postignu svi narodi i sve natsije da bi svaki pojedinats i svaki organ drushtva, imajutshi ovu Deklaratsiju stalno na umu, tezhio da uchenjem i vaspitavanjem doprinese poshtovanju ovikh prava i sloboda da bi se postupnim unutrashnjim i medjunarodnim merama obezbedilo njikhovo opshte i stvarno priznanje i poshtovanje kako medju narodima samikh drzhava chlanitsa, tako i medju narodima onikh teritorija koje su pod njikhovom upravom.
01-00	Chlan 1.
01-01	Sva ljudska bitsha radjaju se slobodna i jednaka u dostojanstvu i pravima. Ona su obdarena razumom i sveshtshu i treba jedni prema drugima da postupaju u dukhu bratstva.
02-00	Chlan 2.
02-01	Svakom pripadaju sva prava i slobode proglashene u ovoj Deklaratsiji bez ikakvikh razlika u pogledu rase, boje, pola, jezika, veroispovesti, politichkog ili drugog mishljenja, natsionalnog ili drushtvenog porekla, imovine, rodjenja ili drugikh okolnosti.
02-02	Dalje, netshe se praviti nikakva razlika na osnovu politichkog, pravnog ili medjunarodnog statusa zemlje ili teritorije kojoj neko litse pripada, bilo da je ona nezavisna, pod starateljstvom, nesamoupravna, ili da joj je suverenost na ma koji drugi nachin ogranichena.
03-00	Chlan 3.
03-01	Svako ima pravo na zhivot, slobodu i bezbednost lichnosti.
04-00	Chlan 4.
04-01	Niko se ne sme drzhati u ropstvu ili potchinjenosti: ropstvo i trgovina robljem zabranjeni su u svim oblitsima.
05-00	Chlan 5.
05-01	Niko ne sme biti podvrgnut muchenju ili svirepom, nechovechnom ili ponizhavajutshem postupku ili kazni.
06-00	Chlan 6.
06-01	Svako ima pravo da svuda bude priznat kao pravni subjekt.
07-00	Chlan 7.
07-01	Svi su pred zakonom jednaki i imaju pravo bez ikakve razlike na podjednaku zakonsku zashtitu. Svi imaju pravo na jednaku zashtitu protiv bilo kakve diskriminatsije kojom se krshi ova Deklaratsija i protiv svakog podstitsanja na ovakvu diskriminatsiju.
08-00	Chlan 8.
08-01	Svako ima pravo da ga nadlezhni natsionalni sudovi efikasno shtite od dela krshenja osnovnikh prava koja su mu priznata ustavom ili zakonom.
09-00	Chlan 9.
