00-00	GBETA GBE O BI TON EE DO XO DO ACE E GBETO DO KPODO SISI E DO NA DO N'I LE KPO WU E
00-01	Ee nyi do hennu dokpo me o, me dokpodokpo ka do susu ton, bo ace dokpo o we mebi do bo e ma sixu kan fen kpon e di medesusi jije, hwejijozinzan, kpodo fifa ni tiin nu weke o bi e o,
00-02	Ee nyi do nukumamo je nume kpodo wangbenu sen dedee na zon bo gbeto na do tiin nyi le we no don alannuwiwa dee no zon bo gbeto no fon gu e, lo bo nu taji dee hudo gbeto o we nyi do gbe e me gbeto le ma na no mekannu do xodido sin alinu kpodo nudidi lo bo na ton sin adohuhu kpodo ya kpo me e o,
00-03	Ee nyi do dandanme we e do na je hun do sen dee na zon bo gbeto na do tiin nyi le gbon acedido sin alinu se na zon bo gbeto ma na lin do emi do na de emidee sin mekannu kpo yadonume kpo e o,
00-04	Ee nyi do e do dandanme bo e do na de alinu wennyinyi ee do na tiin nyi do to dokpodokpo tentin e o,
00-05	Ee nyi do, do xwedowema elo me o weke o bi le vo mo nu je ace kpo do sisi dodo e gbeto do na do e, do medesunonyinyi kpodo susu e do na xo nu gbeto e do ace kpodo sisi sunnu kpodo nyonu ton kpo na nyi dokpo o; lo bo ye le yalo akon bonu nukonyinyi ni tiin lo bo na so gbe dagbe zinzan gbon medesunosi jije taji ze jijon ayi e o,
00-06	Ee nyi do to dokpodokpo yi gbe bo na do sisi nu ace e gbeto le do kpodo medesusijije taji kpo do alo do alome xa to le bi sin kplekple e o,
00-07	Ee nyi do linlin dokpo o dudo nu ace, sisi kpodo medesunosi jije gbeto ton le, we nyi nu taji ee na zon bo mi na nyi sen elo le e o,
00-08	Gbeto o sin kplekple de gbeta elo ton bo e na do xo do ace e gbeto do na do kpo sisi e do na do n'i e kpo wu. Gbeta elo na nyi su dokpo tawun bo gbeto le kpo to le bi kpo do na nyi bonu me bi kpodo tuto e nyi gbeto le ton le dee gbeta elo do tame na nugbo le e ni tenkpon nu sisi ni tiin nu ace kpodo medesunosi jije gbon nunyweyiyi li xo. Mo dokpo o ye do na tuun sen ene o le bo na zan ye nugbo ton gbon tuto e do ayi do to dokpodokpome kpodo gbe o bi me e kpo; ace ene o kpodo susu ene kpan sin zinzan o kpo nukun mo je yene kpo o do na nyi nu taji dokpo nu tovi ee sin to do gbeta elo me e kpodo tovi dee sin to le kpo do acekpikpa to ene o le ton glo e.
01-00	Gbetaken 1
01-01	Ace, susu kpo sisi dokpo o kpo we gbeto bi do do gbewiwa ton hwenu; ye do linkpon bo ayi yeton me kpe lo bo ye do na do alo yedee di novinovi dohun.
02-00	Gbetaken 2
02-01	Me dokpodokpo sixu tuun do ace, su su kpo sisi dee kpo xo e do do gbe ta elo me o nyi edesuno sin nu ma de nude kpo di: akota, sun nu, nyonu, gbe e no do e, sinsen, nu e lin do toxo wu e, alo linlin devo see b'e nyi to meton le alo gbe to le ton, dokunjije, lee e ji me gbon e kpodo nu devodevo ne le kpan.
02-02	Mo dokpo o, e do na kpon do tuto ee e ze jijon ayi do to e me e gosin e wu do toxodido sin alinu, sen e ji to o jijon e kpodo sen gbe o ton dee do nu do to o nu e we a, do to ene o ko je edee si alo e kpo do mekannu, alo acekpikpa ton ma yi hadeji wu a.
03-00	Gbetaken 3
03-01	Gbeto dokpodokpo do na mo gbe bo no edesu si lo bo na le nyi edee.
04-00	Gbetaken 4
04-01	E so do na hen mede do mekannu alo mede a; mekannunino kpodo mede kpo do alo le bi me o so de a.
05-00	Gbetaken 5
05-01	Gbetowikukon alo ya do nu me kpodo adakacomewu kpo so do na de a.
06-00	Gbetaken 6
06-01	Gbeto o nusisi we do na nyi do fi bi.
07-00	Gbetaken 7
07-01	Ace dokpo o we me bi na do lo bo na no nyi sen dokpo o; mo dokpo o mede na yi gbe nu walo e na de me kpo alo dee nyi wudozonume ton kpo e lo bo na wa gba sen e do do fi e a.
08-00	Gbetaken 8
08-01	Enyi mede mo do e yi ace e nyi eton bo sen dodo ee doo nu do to ton nu o n'e o, e hen o e na ylo hwe do to ton me.
09-00	Gbetaken 9
09-01	E do na ya mede sin to ton me alo e na wli i alo e na su i do ganme do nude kpoun wu a.
10-00	Gbetaken 10
10-01	E do dandanme bo e na se nu ee mede wa e do hwedoxosa do togume kpa a kwedoxosa ene o we do na do ace e nyi eton le e kpodo nu e de na wa le e kpo; mo dokpo o fi ene o we e na do nu e wu e ylo hwe e e de.
11-00	Gbetaken 11
11-00	Me e e ve nu nyanyade do e na to do yi ton yi we hwe bo e na ba do nu lee nu le yi gbon e cobo na ylo e do hwenukon; cobonu e ka na do hwe do e e o, e do na n'e me e na sixu hwlenne do hwenukon e.
11-01	Enyi nu e mede wa d'ayi e ma nyi nu e na sa sen do me do hwe ene nu di lee sen e ji to o alo gbe o jijon e do gbon e a o, e do na sen gan ton a.
12-00	Gbetaken 12
12-01	E do na ba do nu me di lee jlo me gbon e gbon xo e kun kpla. Gbezinzan meton, hennu meton, xo meton alo wen meton le e a. Mo dokpo o e ka do na do winnya me bo le kon wi meton a. Ace e nyi gbeto ton e do hwlen me do ali ene o nu.
13-00	Gbetaken 13
13-00	Fi e jlo mede o we na no gbon bo na le ze noten e jlo e o do todeme.
13-01	Mede do jlo ton o e sixu be agban sin to debu me di to ton me dohun. E jlo e o, e sixu le le ko wa xwe.
14-00	Gbetaken 14
14-00	Enyi do e do gbeya do nu mede we kaka bo ku hwen wan d'e me o, e hen o e na hon yi to devome bo e do na yi i do fi ene.
14-01	Amo enyi e mo do me o je senme nugbo alo e te afo sen e ji gbe e to le bi kplekple so jujon ayi e ji e o, e so do ace bo e na yi i dandan do to devome a.
15-00	Gbetaken 15
15-00	Gbeto bi do ace bo na nyi tode sin vi.
15-01	E sixu hugan mede bo de e sin tovikenme a; mo dokpo o e hen o e na ze edee ze ji nu to devo.
16-00	Gbetaken 16
16-00	Enyi sunnu kpo nyonu kpo do wyanwyanxwe o, ye hen o, ye na da yedee bo de hennu yeton. Akota yeton, to yeton, alo sinsen yeton do na gbe nu ye a. Ace dokpo le we ye do do yedeedida hwenu kponuno yeton alo yedeejodo hwenu.
16-01	Cobonu gbeto de na da de o, jlo yeton me nu we e do na nyi.
16-02	Hennu we nyi sosyen nu gbeto sin togun; lobo togun ene o kpodo acekpikpa to o ton kpan ka do na je hun do ji to.
17-00	Gbetaken 17
17-00	Gbeto bi, me e do ee dokpono e alo ee do gbe kplekpledeme e, do na do ace do nudeji.
17-01	Nu e nyi eton o mede sixu tafu i du bo yi do asi ton a.
18-00	Gbetaken 18
18-01	Gbeto bi do ace bo na len nu nu e jlo e kpon bo d'ayime lobo le sen nu e jlo e. Ace ene o we zon bo ton le le do togunme alo kwenkwenme gbon alokpa le bi me di: nunyeyiyi, walo kpo yehwe sin alinu kpo.
19-00	Gbetaken 19
19-01	Gbeto bi do ace bo na lin nu e do nuwu bo ka na do xo; hun mede do na van nukun do mede a. Mo dokpo o, me bi do ace bo na se bo jla nu e do jije we do to o me kpo togudo le e kpo. E hen wlenwin debu o, e na ba bo do se na.
20-00	Gbetaken 20
20-00	Gbeto bi do ace bo na yi kple. Lobo na le do gbe e ma na don hunnyahunnya wa a e.
20-01	E sixu so mede do gbedeme gannu gannu a.
21-00	Gbetaken 21
21-00	Gbeto bi hen o, e na go alo nu to ton bonu e na do yi nukon. Eye desu hen o e na no nukon nu nuwi wa ene alo e na de me bo e na no do ton me.
21-01	Ace dokpo o we me bi do bo na do wa axosuzo do to ton me.
21-02	Jlo to o ton we nyi linlin dodo e ji to o sin acekpikpa junjon e. Jlo ene o, e na ze wema na do xwiji, do sendeji bo ahizi na ton d'eme a. Mo dokpo o, nuwiwa ene o, e na no blo e do hwe ton nu. Wema ene o, e sixu no yeme bo so alo e le sixu so do togunme lee e na blo gbon bo ayi na j'ayi nu wemazeto le e.
22-00	Gbetaken 22
22-01	Gbeto bi o, togundeme we e de. Ene o wu o, nude na do tagba n'i do akwelinu, lanme na no ganji k kpodo nunywe na do kpo sin alinu a; nu ene o we na zon bo e na ton nyi. Amo kan e van we to o de e kpodo nuwadokpo e do todeetodee kpan sin tentin gbon tuto e ze do te e kpo to o sin dokun le kpo we na zon bo e na mo.
23-00	Gbetaken 23
23-00	Gbeto bi do na wa azo. Azo e ja jlo e we e na wa; sen dokpo o we na do nu do me bi nu lobo e ka do na no azogba a.
23-01	Azo e mede wa e sin akwe we na du.
23-02	Mede wa nude o, e na yi nude d'enu dandan. Ene o we na zon bo e na mo nu e na do hen hennu ton na e. E hwedo e o, gbeto sin togun o na go alo nu i do ali devonu.
23-03	Gbeto bi do ace bo na do azojigbe alo e hen o e na no gbe mohun dee na sixu glon nyona ton le n'i eme.
24-00	Gbetaken 24
24-01	Gbeto bi do ace bo na do gbojehwe nu kpodo ayided'ayi sin hwenu kpan Ganxuxo nabide we e do na wa azo na. E do na yi azogboje hwehwe bo gboje ene me o, e ka do na no sun akwe e.
25-00	Gbetaken 25
25-00	Gbeto bi do na na do nu e na zon bo e na hwlen edee gan do azonsi e; lobo na jla nunome edee ton kpo do hennu ton kpan do; taji o, do nududulinu, avodudolinu xo e me e na no e sin alinu, azon gblegblelinu. Mo dokpo o, e do na mo alodo do do azomamo hwenu, asukuku alo asikuku xome nuno hwenu, kpukpoxome kpodo hwe e nu e ma so sixu wa nu bo mo nu a e bi kpan.
25-01	Vijiji kpo yokpovume nuno kpo bi do na mo kpatakide. Alowlivi kpo do vi e ma da asu cobo ji a le e bi we do ace dokpo o do xe nya do yeji sin alinu.
26-00	Gbetaken 26
26-00	Gbeto bi d'ace nu wemakplonkplon bo wemakplonkplon ka do na byo kwe zinzan a; hun nuvonnu we e do na nyi. E do na do kplon kleunde vovo ene o dandanme we e de. Alolyenzo kpo alonuno kpaa kpo do na vun kan kpe to o me. Wemakplonyiji nu alo vo o, me bi nu we e do na nyi, bo e kan na xwedo lee e je xa me dokpodokpo gbon e.
26-01	Wemakplonkplon o gbeto sin nukonyiyi we e na ba; bo na don gbeto sin ace le yi nukon bo je hun do ye ji. E do na zon bo mojeme kpo nuwadokpo kpo hwesokeme kpo na tein xonton sin walo na tiin, bo to e do bu le e sin gbe o na yi nukon bo fifa na tiin nu gbe o bi.
26-02	Vito, vino le we do na de nyi kplon e vi yeton le na yi e.
27-00	Gbetaken 27
27-00	Gbeto bi do ace bo na go alo nu tonunywe le bi; me bi do na mo mo dagbe e do alolyenme bo na zan mo dokpo o, e na so so nu nukonyi yi nunye ton bo na sixu mo nyona e d'e me le e de.
27-01	Nu e na ton sin nu e mede gba tame bo blo e o, me o ton we e do na nyi; b'e na je hun do nu ton ji do nujinjanlinu we a, wemawlan wlan sin alinu we a, alo alolyen zowiwa sin alinu.
28-00	Gbetaken 28
28-01	Gbeto bi do na ba tuto gbon nukonyiyi hennu e me de e kpodo gbe o bi kpan sin alinu bonu ace, sisi kpo jlokokonuno e xo e do do wema elo me o ni no xwiji.
29-00	Gbetaken 29
29-00	Togun e me gbeto de e bo nukon yiyi ton kpo nyona ton kpo na ton sin me e o, e do na do nunomede le do wu ton.
29-01	Do ace e gbeto do le sin zinzan kpo nuno ton kpo me o, me dokpodokpo do na ba jle na bo na nyi sen e na zon bo e ma na te afo ace nozo ton ton le kpo jlokokonuno ton ton le ji kpo ji a e di lee mesisi sin kplon byo gbon e, tuto e ji to o de kpo togun bi kpaa gbeto le ton sin nunome byo gbon e.
29-02	Ace, sisi kpo jlokokonuno ene le do na xwedo su kpodo linlin to ee do bu le ton.
30-00	Gbetaken 30
30-01	Yode, kplekplede, gbeto godokponode na yi huzu nu e do do wema elo me e do alo ton ji bo na mo ten bo de walode alo ayide ton ee na zon bo e na mo ten bo do kpo ace, sisi kpodo jlokokonuno ee xo e do do fi e bo hen gba a.
