00-00	DEN INTERNASJONALE FRAaSEGNA OM MENNESKERETTANE
00-01	Daa det aa godkjenne det naturlege menneskeverdet med like og umissande rettar for alle menneske paa jorda er grunnlaget for fridom, rettferd og fred i verda,
00-02	og daa haan og voerdsloeyse mot menneskerettane har foert til barbariske handlingar som har skaka samvitet til menneskeretta, er framvoksteren i den verda der menneska skal ha talefridom og trusfridom og vere loeyste fraa otte og naud, kunngjord som det hoegste maalet for kvart menneske,
00-03	og daa det er noedvendig at menneskerettane blir verna om av lover slik at menneska ikkje blir tvinga til aa finne den siste utvegen i aa gjere opproer mot tyranni og traelekaar,
00-04	og daa det er noedvendig aa arbeide for betre tilhoeve mellom nasjonane,
00-05	og daa folka i Dei Sameinte Nasjonane har stadfest trua si i denne pakta, paa grunnleggjande menneskerettar, paa menneskeverd og paa same rett for mann og kvinne, og har vedteke aa arbeide for sosiale framsteg og betre levevilkaar i stoerre fridom,
00-06	og daa medlemsstatane har bunde seg til aa fremje allmenn voerdnad for pakta og halde seg etter menneskerettane og den grunnleggjande fridomen i samarbeid med Dei Sameinte Nasjonane,
00-07	og daa denne retten og fridomen maa bli godkjend av alle dersom pakta skal bli roeyndom,
00-08	KUNNGJER
00-09	GENERALFORSAMLINGA
00-10	DEN INTERNASJONALE FRAaSEGNA OM MENNESKERETTANE, som skal peike mot eit sams maal for alle folk og nasjonar. Fraasegna maa alltid vere i tankane til den einskilde og dei styrande og faa dei til aa styrkje voerdnaden for rett og fridom gjennom undervisning og oppseding. Dei skal syte for at fraasegna blir allment kjend og etterlevd baade i medlemslanda og i tilsynsomraada, og arbeide trufast med dette baade paa nasjonalt og internasjonalt grunnlag.
01-00	Artikkel 1.
01-01	Alle menneske er foedde til fridom og med same menneskeverd og menneskerettar. Dei har faatt fornuft og samvit og skal leve med kvarandre som broer.
02-00	Artikkel 2.
02-01	Kvar einskild har krav paa all den rett og fridom som fraasegna nemner, utan skilnad av noko slag paa grunn av rase, farge, kjoenn, spraak, religion, politisk syn eller anna meining, nasjonalt eller sosialt opphav, eigedom, foedsel eller andre tilhoeve.
02-02	Den politiske stoda, lovverket eller dei internasjonale paaboda eit land lever under, kan ikkje vere paaskott til at det blir gjort skilnad paa nokon i det landet eller omraadet han hoeyrer til, anten landet har sjoelvstende, staar under tilsyn, er ikkje-sjoelvstyrt eller sjoelvstyret er avgrensa paa nokon annan maate.
03-00	Artikkel 3.
03-01	Alle har rett til liv, fridom og personleg tryggleik.
04-00	Artikkel 4.
04-01	Ingen skal haldast i slaveri eller traeldom. Slaveri og slavehandel av alle slag er forbode.
05-00	Artikkel 5.
05-01	Ingen maa torturerast, pinast eller straffast paa umenneskeleg eller nedsetjande vis.
06-00	Artikkel 6.
06-01	Alle menneske har krav paa at domstolane alle stader godtek dei som rettssubjekt.
07-00	Artikkel 7.
07-01	Alle er like for lova og har krav paa same rettsvern, utan skilnad av noko slag. Alle har krav paa same vern mot at det blir gjort skilnad paa folk i strid med denne fraasegna, og vern mot tiltak som ber i seg ein slik fare.
08-00	Artikkel 8.
08-01	Alle har rett til aa faa fullgod hjelp fraa dei lovlege nasjonale domstolane naar det gjeld handlingar som krenkjer den retten den einskilde har faatt i grunnlova eller lovverket elles.
09-00	Artikkel 9.
09-01	Ingan maa utan lov og rett arresterast, setjast i fengsel eller visast ut or landet.
10-00	Artikkel 10.
10-01	Alle har same rett til aa faa saka si rettferdig og offentleg granska av ein sjoelvstendig og upartisk domstol, baade naar det er pliktene og retten til den einskilde som skal fastsetjast, og naar det er reist klagemaal mot han.
11-00	Artikkel 11.
11-00	Den som er klaga for ei straffbar handling, har rett til aa bli rekna som skuldlaus til ein offentleg domstol, der han har faatt full trygd for retten til aa forsvare seg, har prova at han er skuldig etter lova.
11-01	Ingen skal kjennast skuldig i ei straffbar handling naar det han har gjort eller forsoemt ikkje streid mot nasjonal lov eller folkeretten paa den tida det hende. Han maa heller ikkje doemast hardare enn det lova gav hoeve til daa den straffbare handlinga vart utfoerd.
12-00	Artikkel 12.
12-01	Ingen skal lide under vilkaarleg innblanding fraa andre, anten det gjeld hans eigen person, familie, heim, brevskifte, eller aatak paa aere og omdoeme. Alle har krav paa at lova vernar dei mot slik innblanding eller slike aatak.
13-00	Artikkel 13.
13-00	Alle menneske har rett til aa ferdast fritt og til aa velje bustad innafor grensene i sitt eige land.
13-01	Det skal ogsaa vere full rett til aa reise ut or det landet ein bur i, same kva land det er, og til aa vende attende til sitt eige land.
14-00	Artikkel 14.
14-00	Alle som blir forfoelgde har rett til aa soekje og ta imot asyl i eit anna land.
14-01	Denne retten gjeld ikkje i rettssakar som har roeynleg grunnlag i upolitiske brotsverk eller handlingar som strir mot formaalet og prinsippet til Dei Sameinte Nasjonane.
15-00	Artikkel 15.
15-00	Alle har rett til eit statsborgarskap.
15-01	Ingen skal misse statsborgarskapet sitt vilkaarleg, eller bli nekta retten til aa endre det.
16-00	Artikkel 16.
16-00	Vaksne menn og kvinner har rett til aa gifte seg og skipe familie utan avgrensing av noko slag paa grunn av rase, nasjonalitet eller religion. Dei har krav paa dei same rettane naar det gjeld ekteskapet, baade saa lenge ekteskapet varer og medan det blir loeyst opp.
16-01	Ekteskapet maa berre kome i stand etter fritt og fullt samtykke fraa begge partar.
16-02	Familien er den naturlege og grunnleggjande eininga i samfunnet og har krav paa at staten og samfunnet vernar om det.
17-00	Artikkel 17.
17-00	Alle har rett til aa ha eigedom aaleine og saman med andre.
17-01	Ingen skal vilkaarleg bli fraateken eigedomen sin.
18-00	Artikkel 18.
18-01	Alle har rett til tankefridom, samvitsfridom og religionfridom. Denne retten gjeld fridom til aa endre religion eller tru, og fridom til aa maalbere sin eigen religion eller si eiga truslaere i gjerning og framferd, anten aaleine eller saman med andre, offentleg eller privat.
19-00	Artikkel 19.
19-01	Alle skal ha meinings- og ytringsfridom. Denne retten gjeld fridom til aa ha meiningar utan innblanding, til aa soekje, ta imot og gjere kjent opplysningar og idear gjennom alle dei informasjonskanalar som finst, og paa tvers av alle grenser.
20-00	Artikkel 20.
20-00	Alle har rett til fritt aa vere med paa moete og i organisasjonar med fredelege formaal.
20-01	Ingen kan tvingast inn i ein organisasjon.
21-00	Artikkel 21.
21-00	Alle skal ha rett til aa vere med paa aa styre landet sitt, beinveges eller gjennom talsmenn som er peika ut i frie val.
21-01	Alle skal ha same retten til aa gjere teneste i offentlege ombod i landet sitt.
