00-00	TOTOBATSO E AKARETSANG YA DITOKELO TSA BOTHO
00-01	Ka hona he, ho amohela seriti seo motho a tswalwang le sona ha mmoho le ditokelo tse lekanang tseo motho a ke keng a di amohuwa tsa batho bohle, ke mohlodi wa tokoloho, toka le kgotso lefatsheng.
00-02	Ka hona he, ho se natse le ho tella ditokelo tsa botho, ho tswetse diketso tsa bohlaha tse tamukantseng letswalo la batho, mme tsena di entse hore ho labalabelwe lefatshe leo ho lona batho ba tlang ho thabela bolokolohi ba ho bua le tumelo, le bolokolohi ditlamong tsa matswalo le bohloki. Tsena he ho thwe ke tabatabelo e hodimodimo ya batho ka kakaretso.
00-03	Ka hona he, ho a hlokahala, ha motho a sa dumellwa ho ba le boipiletso, e le monyetla wa ho qetela, hore a hanane le tlatlapo le kgatello. Ka lebaka lena ditokelo tsa botho di tlamehile ho sireletswa ke taolo ya molao.
00-04	Ka hona he, taba ya bohlokwa ke ho kgothallesta ntshetsopele ya dikamano tsa setwalle matjhabeng.
00-05	Ka hona he, batho ba Matjhaba a Kopaneng, ho molao wa motheo wa bona, ba tiisa botjha tumelo ya bona ya ditokelo tsa motheo tsa botho, seriti le bohlowa ba motho, ha mmoho le ditokelo tse lekanang tsa banna le basadi, mme ba dumellane ho kgothalletsa ntshetsopele ya kahisano le maemo a betere a bophelo bolokolohing bo namileng.
00-06	Ka hona he, Dinaha tsa Mokgatlo ona di itlamile ho fihlella , ka tshebetsommoho le Matjhaba a Kopaneng, ntshetsopele ya tlhonepho e akaretsang ha mmoho le poloko ya ditokelo tsa botho le bolokolohi ba motheo.
00-07	Ka hona he, kutlwisiso e akaretsang ya ditokelo le bolokolohi bona ke taba ya bohlokwahadi ho fihlella kano ena.
00-08	JWALE HE,
00-09	Seboka se Akaretsang
00-10	Se phatlalatsa Totobatso e Akaretsang ya Ditokelo tsa Botho e le boemo bo tlwaelehileng bo ka fihlellwang ke batho bohle le matjhaba ohle.
00-11	Qutellong motho e mong le e mong le mokgatlo o mong le o mong, ho sa lebalwe Totobatso ena, o tla hahamalla ho ruta ho ntshetsa pele tlhompho ya ditokelo le bolokolohi. Batho le mekgatlo ena, ka ho sebedisa ditsela tsa tswelopele tsa naha le tsa matjhaba, ba hlokomele hore ditokelo le bolokolohi bona, di a amoheleha, di be di baballwe ditjhabeng tseo e leng ditho tsa Matjhaba a Kopaneng le ditjhabeng tse taolong ya Matjhaba a Kopaneng.
01-00	Pehelo ya 1
01-01	Batho bohle ba tswetswe ba lokolohile mme ba lekana ka botho le ditokelo. Ba tswetswe le monahano le letswalo mme ba tlamehile ho phedisana le ba bang ka moya wa boena.
02-00	Pehelo ya 2
02-01	Motho e mong le e mong o na le ditokelo le bolokolohi bo boletsweng Phatlalatsong ena, ho se kgethollo ya letho, e kang ya morabe, mmala, bong, puo, tumelo, dipolitike, kapa mohopolo o mong, botjhaba kapa e itshetlehile ka naha eo motho a ahileng ho yona, le ha e ka ba e lokolohileng ya bodisa, e sa ipuseng, kapa e le tlasa dithibelo tse itseng tsa bolokolohi.
03-00	Pehelo ya 3
03-01	Motho e mong le e mong o na le tokelo ya ho phela, ya bolokolohi le ya paballo ya botho ba hae.
04-00	Pehelo ya 4
04-01	Ha ho motho ya tla etswa lekgoba kapa mohlanka ; bokgoba le kgwebo ya makgoba di tla hanelwa ka hohlehohle.
05-00	Pehelo ya 5
05-01	Ha ho motho ya tla tujwa kapa a tshwarwe ka tsela e khopo, eo e seng ya botho, kapa a otlwa ka tsela e tlotlollang.
06-00	Pehelo ya 6
06-01	Motho e mong le e mong o na le tokelo ya ho amoheleha hohle e le motho molaong.
07-00	Pehelo ya 7
07-01	Batho bohle ba a lekana molaong, mme ba lokelwa, ho se kgethollo ya letho, ke tahireletso e lekanang molaong. Batho bohle ba lokelwa ke tshireletso e lekanang kgahlanong le kgethollo e hananang le Phatlalatso ena, le kgohlanong efe kapa efe e hlohlelletsang kgethollo ena.
08-00	Pehelo ya 8
08-01	Motho e mong le e mong o na le tokelo ya ho fumantshwa matshediso ke makgotla a molao a setjhaba, mabapi le diketso tse lwantshang le ditokelo tsa motheo tseo motho a di filweng ke molao wa motheo.
09-00	Pehelo ya 9
09-01	Ha ho motho ya tla tshwarwa feelafeela, a kwallwe kapa a lelekwe naheng.
10-00	Pehelo ya 10
10-01	Motho e mong le e mong o na le tokelo e tletseng ya ho mamelwa ke lekgotla le ikemetseng, le se nang leeme, ha ho qaqiswa ditokelo le boikarabelo ba hae, la mabapi le tseo a di qosetswang.
11-00	Pehelo ya 11
11-00	Motho e mong le e mong ya qoswang ka molato o tsamayang le kotlo, o na le tokelo ya ho tadingwa a se molato ho fihlela a fumanwa a le molato lekgotleng la setjhaba moo a bileng le tiiso tsohle tsa ho itshireletsa.
11-01	Ha ho motho ya tla fumanwa a le molato o tsamayang le kotlo ka baka la ho etsa kapa ho se phethe taba eo e leng molato o tsamayang le kotlo, ho ya ka molao wa setjhaaba kapa wa matjhaba, nakong eo tlolo ena e neng e etsahala. Ho feta mona ho ke ke ha fanwa ka kotlo e matla ho feta e neng e ka fuwa ha tlolo e ne e etswa.
12-00	Pehelo ya 12
12-01	Ha ho motho ya tla hlekefetswa boinotshing ba hae ba lelapa, lehae kapa mangolong, esitana le ho tlatlapuwa ho hlompheheng le setumong sa hae. Motho e mong le e mong o na le tokelo ya tshireletso ya molao mabapi le tlhekefetso le ho tlatlapuwa hona.
13-00	Pehelo ya 13
13-00	Motho e mong le e mong o na le tokelo ya ho tsamaya le ho dula ka bolokolohi ka hara naha yabo.
13-01	Motho e mong le e mong o na le tokelo ya ho falla naheng efeng kapa efeng, seitana le ya habo, le ho kgutlela naheng ya habo.
14-00	Pehelo ya 14
14-00	Motho e mong le e mong o na le tokelaoya ho batla le ho fumana tshireletso ya tlatlapo, dinaheng tse ding.
14-01	2.Tokela ena e se ke ya sebediswa ho phema diqoso tsa melato eo e seng ya dipolotiki kapa diketso tse kgahlanong le sepheo le melao ya Matjhaba a Kopaneng.
15-00	Pehelo ya 15
15-00	Motho e mong le e mong o na le tokelo ya ho ba wa morabe o itseng.
15-01	Ha ho motho ya tla hanelwa botjhaba ba hae ka mabaka a fokolang, esitana le ho hanelwa ho fetola botjhaba ba hae.
16-00	Pehelo ya 16
16-00	Banna le basadi ba dilemong, ho sa kgathallwe morabe, botjhaba kapa tumelo, ba na le tokelo ya ho nyalana le ho thea malapa. Ba na le ditokelo tse lekanang tsa ho nyalana bophelong ba lenyalo, le mohla le kgaolwang.
16-01	Lenyalo le tla phethahala feela ka bolokolohi le tumellano ya banyalani.
16-02	Lelapa ke bonngwe ba tlhaho le motheo setjhabeng mme le tlamehile ho sireletswa ke setjhaba le mmuso.
17-00	Pehelo ya 17
17-00	Motho e mong le e mong o na le tokelo ya ho ba le thepa ya hae a le inotshi kapa a e kopanetse le ba bang.
17-01	Ha ho motho ya tla amohuwa thepa ya hae ka mabaka a fokolang.
18-00	Pehelo ya 18
18-01	Motho e mong le e mong o na le tokelo ya bolokolohi ba menahano, maikutlo le tumelo. Tokelo ena e kenyeletsa le bolokolohi ba ho fetola bodumeding, tumelong, le bolokolohing, ba motho a le inotshi kapa a ena le ba bang, pontsheng kapa boinotshing. Bodumedi kapa tumelo eo a e totobatse dithutonng, diketsong, borapeding le ho hlompheng.
19-00	Pehelo ya 19
19-01	Motho e mong le e mong o na le tokelo ya bolokolohi ba tjhadimo le dipuo. Tokelo ena e kenyeletsa le bolokolohi ba ho ba le tjhadimo ya hao ntle le tshitiso, esitana le ho batla, ho amohela le ho phatlalatsa aitaba le mehopolo ka tsela efe kapa efe ya phatlalatso, ho sa natswe meedi.
20-00	Pehelo ya 20
20-00	Motho e mong le e mong o na le tokelo ya ho ba setho kapa ho ba sebokeng sa kgotso.
20-01	Ha ho motho ya ka qobellwang ho ba setho sa mokgatlo.
21-00	Pehelo ya 21.
21-00	Motho e mong le e mong o na le tokelo ya ho ba le kabelo pusong ya naha ya habo, ka ho otloloha kapa ka thuso ya baemedi ba kgethilweng ka bolokolohi.
21-01	Motho e mong le e mong o na le tokelo e lekanang le ya ba bang ditshebeletsong tsa setjhaba tsa naha ya habo.
21-02	Thato ya setjhaba e tla ba motheo wa matla a mmuso. Thato ena e tla ipontshahatsa dikgethong tsa nako le nako ha mmoho le tsa sebele. Dikgetho tsena e tla ba tse akaretsang tsa ditokelo tse lekanang, mme di tla phethwa ka divoutu tsa sephiri kapa ka ditsela tse tshwanang le tsona tsa divoutu tsa bolokolohi.
22-00	Pehelo ya 22
