00-00	Mort pravoezlon bydos miris otlasa deklaratsiya
00-01	Medby todny, chto mort semyais byd chlenlon em aslas dostoinstvo, a sylon otkod da myrddytom pravoez loo volya, spravedlivost da lon olan ponda osnovaon;  medby todny, chto mort pravoez nem tuio puktom vaiotis  ni umol, koda mort uvtyrlo oz set ovny sovest sorti, i chto setshom mirys, kyton otirys pondas aviyny da sernitny povtog, a ovny nuzhdatog, loas solomsyan kerom bydonnys ponda; i
00-02	medby todny, chto kolo kerny bydos, medby mortlon pra- voez doziraitsiso zakonon i ez adzziso moggez mortyslo lebtisny panyt umolya vidzomlo da dzeskotomlo; i
00-03	medby todny, chto pyr kolo otsavny otirrezlo ertasomyn; i
00-04	medby todny, chto Iitom Natsiyaezlon naroddez gizhiso  vyn mortlis medydzhyt pravoez, vylyna lebtiso lichnostli don, muzhikkezlis da inkaezlis otyzhda pravoez i kutchisiso esho enzhyka otsavny sotsialnoi progress da volnoi olan bursotomyn; i
00-05	medby todny, chto chlennez-gosudarstvoez kosiisiso otsavny Natsiyaezlon Iitom Chukorlo otlasa udzhyn, otamod kolasyn mort pravoez sorti bytshoma da volnoya olomyn; i
00-06	medby todny, chto eno pravoeso da svobodaeso pozo tyrmo pyrtny olanas dzir sek, kor bydonnys vezhortony nylis ydzhyt donso,
00-07	GENERALNOI ASSAMBLEYa paskyta yuorto eto mort pravoezlis bydos miris otlasa deklaratsiyaso kydz zadacha, kodo kerny kolo vyntotchyny byd otirlo i gosudarstvolo siion, medby byd mortys i byd obshchestvennoi  eto Deklaratsiyaso yuryn orottog vidzton, prosveshchenne da velotchom uvya vyntotchiso kerny bydos, medby dontny eno pravoeso da svobodaeso, pyrtny niio olano natsionalno da otirrezlon otlasa progressivnoi prazdnikkezo Chukoris chlennez-gosudarstvoezlon byd otirrezon bytshoma primitomon.
01-00	1 gizhot
01-01	Bydos otirys chuzhony volnoiezon da otkoddezon  dostoinstvoyn da pravoezyn. Nylo setom myvkyd da sovest ovny otamodnyskot kydz vonnezlo.
02-00	2 gizhot
02-01	Byd mortlo boriistog setsony bydos pravoez da  ez, kodna vistalomos eta Deklaratsiyayn, kytshom by ez vov rasa, kuchiklon rom, pol, kyv, eno veritom, politicheskoi da modik vezhor, natsionalnoi neto sotsialnoi petom, imushchestvo da soslovie.
02-02	Sidz zho oz poz toriotlyny politicheskoi, pravovoi neto stranalon mezhdunarodnoi status uvya, neto  sorti, kyton olo mortys, as eta territoriyays volno kinko uvtyn, asnas oz veskotly neto kydz-nibud modnezh zelotom suverenitetyn.
03-00	3 gizhot
03-01	Byd mortlon em pravo ovny dzeskottog da vorzottog.
04-00	4 gizhot
04-01	Nekinos oz poz vidzny rabstvoyn neto podan saiyn; rab vidzom da rabbezon vuzasom oz vermo vovny miyan olanyn.
05-00	5 gizhot
05-01	Nekinos oz vermo pytaitny, uskotny mortyslis dostoinstvo umol mog neto nakazanne pyr.
06-00	6 gizhot
06-01	Byd mortlon, kyton by siya ez vov, em pravo lyddyny asso pravolon subekton.
07-00	7 gizhot
07-01	Miyo bydonnym zakonys odzyn otkodos i otmoza  doriomos. Miyan bydonnymlon eta Deklaratsiya sorti  pravo doriyny asnymos bydos umolsyan, kinsyan by siya ez lok.
08-00	8 gizhot
08-01	Byd mortlon em pravo bertny aslys oshtom pravoez, kodna setomos sylo konstitutsiyaon neto zakonon, todchana natsionalnoi suddezyn.
09-00	9 gizhot
09-01	Nekinos oz poz zakontog arestuitny, kutny neto votlyny.
10-00	10 gizhot
