00-00	bwdqa tyuvlyua lpwt zdqa anshyua
00-01	mn sbb mwdyuta bayuqra shrshnyua lklh hdma dklpt dbrnshwta wbzdqa la mtyuhvna ayuna askyuma dharwta wkyunwta wshlma gw tyuvl.
00-02	mn sbb plta dla myuqrta wmslyuta dzdqa anshyua yuvdena levdwyuta brbryua wegzna lanyut dbrnshwta. wataayutaaa hd dwnyua ayuka dbrnsha bd psh bharwta dhmzmta whyumnwta wharwta mn zdrweta wsnyuqwta pyushyu mwrvha ayuk anyu nyuusha bwsh elyua dansha eyudyua.
00-03	mn sbb annqyutayulh qa qnwn shaql shwpa lntrta zdqa dbrnsha qa la evd mrwdwta drqbl dtrwna wzlwmyua.
00-04	mn sbb emea damwta mhyuda mshrwrna gw ewtda hyumnwtyu gw zdqa anshyua wgw ayuqra prswpyua wbrbrwta gw zdqa wshwyua dnsha wdkhra. wqvwlna ltmwma lmtwrta shwshta shwtpyua wmrmta dhyua el hd drga bwsh elyua gw hd aar dharwta bwsh rwhta.
00-05	wmn sbb datrwta hdma qvwlna dhyura em amwta mhyuda lmrwhta dzdqa anshyua wntrta harwta shrshnyuta.
00-06	ayuka prmyuta klnyuta lana zdqa wharwyuta ayuna annqyua ltmmta aha qwla.
00-07	bwd aha knwshyua gwnyua,
00-08	mwdwyulh daha bwdqa tyuvlyua dzdqa anshyua ayula hd mkmlta gwnyuta qa klh ansha watrwta lpwt nyusha dkl prswpa wkl gwshma dshwtpwta dthra hmsha laha ewtda wgrbyu lmqryuta wmlpta wlmrwhta ayuqra qa ana zdqa wharwta byud awrhta mtqdmna atrnyua wtyuvlyua lntrta lana pswlyuta mtqdmna.
01-00	mlwaa 1
01-01	kl brnsha bryulh hara wbrbr gw ayuqra wzdqa. wpyushyulh yuhba hwna wanyut. bwd daha gshqtyu el ahrna grg hwyua bhd rwha dahnwta.
02-00	mlwaa 2
02-01	kl hd ayutlh hqwta lzdqa wharwta dpyushna rshyuma gw daha bwdqa dla hk pwrshwnyua byul thr ayuk gnsa wrnga wnsha wdkhra wlshna wtwdyuta. wpwlyutyuqyu yun reyuna ahrna. awpza pwrshwnyua grg la paesh mwtba bsbb aknyuwta pwlyutyuqyuta yun tvlyuta dhd atra yun area dhd prswpa dsyuryulh byuh.
03-00	mlwaa 3
03-01	kl hd ayutlh hqwta lhyua wharwta wshyuna prswpyua.
04-00	mlwaa 4
04-01	hk hd grg la pash dvyuqda gw qwlwta yun hlmtwta yun twgrwta dqlwta whlmtwta.
05-00	mlwaa 5
05-01	hk hd prswpa grg la pash ewgza yun ayuqra shqyula yun zlyuma yun tnba yuhba.
06-00	mlwaa 6
06-01	kl hd ansha grg pash mwdyua byuh ayuk hd prswpa qm qanwn.
07-00	mlwaa 7
07-01	kl ansha yulh brbr qm qanwn wgrg pash ntyura byud qanwn dla mtwta dpwrshwnyua blyuhyu. wkl ansha grg pyushyu ntyura brbr qm kl pwrshwnyua dshmtta dshret daha bwdqa.
08-00	mlwaa 8
08-01	kl hd ayutlh hqwta dpash pwreyua byud hd byut dyuna qa evdwyuta la anshyua dpyushyu wyuda drqbl dzdqa shrshnyua dntyurna byud qnwna shtsyua yun byud qanwn.
09-00	mlwaa 9
09-01	grg hk hd la pash dvyuqa yun mwtba gw byut asyura yun tryuda mn atra dla qanwn.
10-00	mlwaa 10
10-01	kl hd ayulh brbr qm byut dyuna hara wla mtgnyuna gw qtyuta dhqwta wgbwyuta wkl gwnha drqwlh.
11-00	mlwaa 11
11-01	kl hd dpash mthma lshmtta dqanwn ayutlh hqwta dla pash hwshbna gwnhkr hl dmshrra qa yulh gwnhkr byud qanwn.
11-02	la pash dyuna hk prswpa mn tmmta hd evdwta yun mhplta mn tmmta hd evdwta ahkyu an hd hdha mndyu pash hwshbna ayuk hd gwnha mayuk qanwn datra yun qanwn tvlyua bdena bshqlayulh shwpa. hr bayu dena grg la pash mwtva elh hd tnba bwsh yuqwra mn dena dqwmta dhdha mndyu.
12-00	mlwaa 12
12-01	grg la ewryu gw hyua dyulnyua dhd prswpa yun byuta yun agryuta yun ayuqra yun shma tva mshmhwta. kl hd prswpa ayutlh hqwta dpash ntyura byud qanwn drqwbl hdha sphyuta.
13-00	mlwaa 13
13-01	kl hd ayutlh hqwta lharwta dgwgta mhyuta gw thwba dkl atra wdyurta el atra.
13-02	kl hd ayutlh hqwta lshwqa kl atra bhvsha atra wdyurta el atra.
14-00	mlwaa 14
14-01	kl hd ayutlh hqwta lharwta dtlb byutgwsa pwlyutyuqyua.
14-02	hd hdha hqwta lyu pyusha yuhvlta qa ansha dvdna gnha la pwlyutyuqyua yun evdwyutala dbyuqa mn nyusha damwta mhyuda.
15-00	mlwaa 15
15-01	kl hd ayutlh hqwta qa reyutwta.
15-02	hk hd grg la pash mwhrma mn reyutwta yun mn shhlpta reyutwta.
16-00	mlwaa 16
16-01	nsha em dkhra ayutlhwn hqwta lgbra wshtsta dkwlt dla hk shrt gnsyua yun twdyutnyua. wayutlhwn hqwta mayuk ahdda bdena dgbrta yun rpyuta.
16-02	gbrta bd shqla  shwpa ayumn trwyu gwrna szgra.
16-03	kwlpt yulh byut nwra dhd shwtpwta wgrg pyusha ntrta byud ansha wshwltna.
17-00	mlwaa 17
17-01	kl hd ayutlh hqwta dmrwta wdyurtwta bnwpsha yun em ahrna.
17-02	hk hd grg la pash hsyukha mn yurtwta.
18-00	mlwaa 18
18-01	kl hd ayutlh hqwta dthmnta wdanyut wtwdyuta. aha hqwta bhvshyula hqwta dshhlpta dtwdyuta yun hyumnwta wharwta bnwpsha yun em gw shwtpwta em ahrna.
19-00	mlwaa 19
19-01	kl hd ayutlh hqwta dreyuna whmzmta. aha harwta bhvshyula harwta dreyuna dla wrta dgwyu mn hk ansha wtewyua btr wqblta mdenwta bkl awrha dhwyua dla qyuda dthwba.
20-00	mlwaa 20
20-01	kl hd ayutlh hqwta dharwta lgmyueta bshlma wshryukwta.
20-02	lhk hd grg la mtbyu hyula lshrwka gw hd knwshna.
21-00	mlwaa 21
21-01	kl hd ayutlh hqwta lmshtwpa gw shwltna datra dwza dwz yun bawrha dqyuwma mgwbyua bharwta.
21-02	kl hd ayutlh hqwta dpash yuhba prst lshqlta shwla gw atra dla pwrshnyua.
21-03	svyuna dansha yulh mbwea dshwltna. aha svyuna grg pash twmma bgbyuta zbnna wshryura dpyushyu mwkmla byuhvlta dqla tshyuayut wbrbr byul kl hd yun ayuk hd awrha ahrta ayuka harwta dgbyuna pyusha ntrta.
22-00	mlwaa 22
22-01	kl hd prswpa ayuk hd hdma gw shwtpwta ayutlh hqwta lhtrgmewta shwtpta gw tmmta bawrha evdwta atryuta whyurta tvlyuta. wkl hd ayuk mbwea datra ayutlh hqwta lhyurta aqnwmyuta wshwtpyuta wmrdwtnyuta dwqa em ayuqra wmtwrta prswpyuta.
23-00	mlwaa 23
23-01	kl hd ansha ayutlh hqwta lpwlhna wharayulh lgbyuta pwlhna gw hd aknyuwta spyu wpash ntyura mn btyulwta.
23-02	kl hd dla hk pwrshwnyua ayutlh hqwta dpash pryua mayuk hw ahrna.
23-03	kl hd ayutlh hqwta qa ayugra kyuna mshrwra qtw wqa kwlpta qa hyua bayuqra.
23-04	kl hd ayutlh hqwta lshtasta wzbgta yum hwyuda twgryua lhmyuta yuwtrna.
24-00	mlwaa 24
24-01	kl hd ayutlh hqwta qa mnyuhta wbwsma wbhbsha mthmta seta dpwlhna wyuwma dmnyuhta bpwrena.
25-00	mlwaa 25
25-01	kl hd ayutlh hqwta lhd qdra spyu mn hwlmna bhvsha mkhwlta wlvshta wbyuta wdrmna whqwta lhtrgmwta bdena dbtlwta wmrea warmlta wsyubwta wahblta ahrna.
25-02	yumyuwta wyuldwta ayutlhwn hqwta qa tgbrta whyurta mtdlnyuta wyuhla bryua bawrha dgwra yun la ayutlhwn hqwta ayuk ahdda.
26-00	mlwaa 26
26-01	kl hd ayutlh hqwta lyuwlpna wyuwlpna grg hva dla pwrena gw mdrshta shrbyuta wrhta shtasna. wgrg kl ansha shql yuwlpna shrvyua wyuwlpna tqnyuqyua welyua grg hva ptyuha qa kl hd dla pwrshwnyua bnyua el msyuta dansha.
26-02	yuwlpna grg hva rshyuma lmtwrta ansha wmqwyuta myuqrta zdqa anshyua wyuarwta shrshanyuta. grg mrwha prmyuta wmtqblnwta wrhmwta byul klyu atrwta wgnsa wgmeta twdtnyua wmzyud evdwyuta damwta mhyuda lhmyuta dshlma.
26-03	avha ayutlhwn hqwta lgbyuta yuwlpna qa yuhlyuhyu.
27-00	mlwaa 27
