00-00	TISERRIHT TAGRAGHLANT IZERFAN N WEMDAN
00-01	Imi asmussen n lhwerma i ttalasen akkw yaggalen n twachult talsawt d yizerfan n sen yemsawan, d nitni i d llsas n tlelli, taghdemt akkw d- tifrat deg wmadal (di ddunit).
00-02	Imi kra n widn nesmussun ara izerfan n wemdan d widn iheqqren s lkhwedm n lewhuch yesserfayen tamsakwit n talsa akkw d- tlilin umadal and'ara hedren u and'ara yamnen yemdanen s tlelli idg ur yelli la aserheb la lmizirya, d nettat i d asirem alayan n wemdan.
00-03	Imi tebbwi - dd nnig kra yellan ad ttuhudden izerfan n wemdan s nnidam azerfan i wakkn ur yettuherrs ara wemdan di taggara alamma yughal d amnafeg dadd temheqranit akkw d unaghur.
00-04	Imi yessefk ad tennerni tegmi d wassaghen n tmidwa d lemhibba gar yeghlanen.
00-05	Imi di lqanun izerfan n wemdan imudan n ledjnas yedduklen berrhen i tikkelt tajdidt laman n sen deg zerfan ilsasiyen n wemdan di ccherf akkw d wazal n bnadem di tugdut izerfan n tulawin d yergazen u berrhen belli qesden ad snernin aqeddem amgarwan u ad sbed'den tigwnatin timenyafin n tudert di tlelli yettimghuren.
00-06	Imi, timura yetteskin di ledjnas yedduklen lezment iman n sent ad myallent (ad mmawanent) i wakken ad demnent nitenti d-tuddsa n ledjnas yedduklen, di mkull timura leqder aheqqani izerfan n wemdan akkw tlella tilsasiyin.
00-07	Imi afham amechruk n tlella d yizerfan agi degs lqima tameqwrant i wakken ad uqment leqder tmura leqder i lahd n sent.
00-08	Tajmait tamatawt
00-09	Tberreh belli tiserriht agi tagraghlant izerfan n wemdan d anawad amechruk igher ssaramen imudan d yeghlanen akken ma llan i wakken akkw yemdanen d yaggaln n temgarwa i glan (i ges an) dima tiserriht agi di lbal n sen, ad skhedmen akkw lmedjhud n sen, s leqraya d ttrebga i wakkn ad senernin aqader n tlella d yizerfan agi u ad demnen s ttawilat idd iteddun s laqel, (wa deffir wa) deg wennar aghelnaw d ugraghlan asmussen d usnefdes igraghlanen iheqqaniyen gar imezdaghen n ddulat taggalin s timmad n sent nagh gar yimezdaghen n tmizar i gellan ddaw lhwekm n sent aghedman.
01-00	Tamadda 1:
01-01	Imdanen, akken ma llan ttlalen d ilelliyen msawan di lhwerma d yizerfan- ghur sen tamsakwit d laquel u yessefk ad-tili tegmatt gar asen.
02-00	Tamadda 2:
02-01	Kull yiwen ghur-s lheqq ad ighellat tilella d yizerfan idd yeddan di tserriht agi bla tarayit idd yettasen si cchetla, d llun, d ldjens d tutlait, d ddin d rray asiyasi nagh rray iden i gerzan lasl aghelnaw, tamgarwa, aila talalit nagh lihala n iden yehwa yas d argaz nagh d-tamettut.
02-02	Rnu gher-s, ur ilaq ara ad-tili trayit yebnan ghef lihala tasiyasit, taghedmawt nagh tagraghlant n tmurt nagh n temnadt ideg yezdegh wemdan yehwa yas tella tmurt agi nagh temnadt agi d- talellit nagh ddaw lewkala, nagh ur tehkim ara deg yiman is nagh ur tekmil ara tlelli ines.
03-00	Tamadda 3:
03-01	Kull amdan ghur es lheqq n tudert, tilelli d laman ghef timmad is.
04-00	Tamadda 4:
04-01	Ur ilaqar a ad yughal wemdan d akli nagh d aqeddach n wemdan iden. Tasakla d uzenzi n waklan ttuherrmen madi.
05-00	Tamadda 5:
05-01	Ur ilaqara ad yettusellet ghef umdan uaqeb nagh ssikis d- teghriwin yesnughbuyen, itekksen fell as sser.
06-00	Tamadda 6:
06-01	Ang'is yehwa yili wemdan, ghur s lheqq ad yettwag leqder i timmadit is taghedmawt.
07-00	Tamadda 7:
07-01	Akkw indamen msawan zdat lqanun u ghur sen lheqq bla afraz i wakkn atn ihudd lqanun - ghur sen irkwelli lheqq i uhuddu, akken ma llan dedd tarayit ur nwufq ara tiserriht agi.
08-00	Tamadda 8:
08-01	Kull amdan ghur-s lheqq ad ichetki i tnehkamin tighelnawin yettuk'ellfen i wakkn ad fkent lheqq dedd tnehyafin ur nettqadar ara izerfan ilsasiyen is yettak udustur d lqanun.
09-00	Tamadda 9:
09-01	Ula d yiwen ur yezmir ad yettwattef, nagh ad yettwahbes nagh ad yet twanfu s ldjur.
10-00	Tamadda 10:
10-01	Kull amdan ghur-s lheqq ad-taddi tluft is zdat tnehkamt, ainani, bla tnehyaft i wakkn ad - tseyyi ma sehhant telzimin is d yizerfan is nagh ma d-tidett wayn - idd gren fell as deg wennar n laqubat.
11-00	Tamadda 11:
11-01	Kra n win yettutehmen s ssiya ad yettwahseb d imzekki alama yettusehheh s ladel ddenb idd gren fell as, ainani, zdat tnahkamt and'ara yettwadmen akkw wayn i glaqen i uhuddu ines.
11-02	Ula d yiwen ur yettwahkam ara fell as ma yekh dem kra n ssiya yettuherrmen nagh ma iferret di kra iwudjben fell as ma yella di tallit ni ayn idd gren fell as ur ikhulfara lqanun aghelnaw nagh agraghlan, yerna laquba ur d as-dd yettak ara ad - tagwar tin is i ghekkm lqanun di tallit ideg tedra ssiya.
12-00	Tamadda 12:
12-01	Ur yezmir hedd ad yessekchem iman is s ldjur di tudert n wemdan, di twachult is; deg wekkham is, timuzniwin is nagh ad yessims lhwerma-s d nnif is; kull amdan ghur-s lheqq at ihudd lqanun si tiytiwin yechban tigi.
13-00	Tamadda 13:
13-01	Kull amdan ghur-s lheqq ad yelhu s tlelli u ad yekhtir tanezdught di tmurt is.
13-02	Kull amdan ghur-s lheqq ad yeffegh si yall tamurt ghas d - tamurt is u ma yehwa yas yezmer ad yughal ghur es.
14-00	Tamadda 14:
14-01	Ma yella yettwahres wemdan s ldjur, ghur-s lheqq ad yesdari iman is u ad ighellet lanaya n tmura iden.
14-02	Amani ur d-as-dd tebbw ara ad ighellet lheqq agi ma yella yekhdem ssiya ikhulfen lqanun amechruk nagh ayn ur nwufq ara inawaden d yimenzayen n tmura yedduklen.
15-00	Tamadda 15:
15-01	Kull amdan ghur-s lheqq i tghelna is yehwan.
15-02	Ur d-as yettwakkes i yiwen s ldjur la taghelna ines la lheqq ubeddel n tghelna.
16-00	Tamadda 16:
16-01	Mi geblegh weqchich nagh teqchicht, ghur sen lheqq ad zewdjen i wakkn ad bnum tawachult bla ma yettuqegged lheqq gi s cchetla, taghelna, nagh ddiyana msawan deg zerfen m'ara zewdjen, nad'am zewdjen nagh m'ara yefsekh zzwadj.
16-02	Ur yettili zzwady alamma s lebghi d umyeqbel ukmil n wergaz d- tmettut.
16-03	Tawachult d-tagwejdit talemmast n temgarwa, ghur-s lheqq att thudd temgarwa d ddula.
17-00	Tamadda 17:
