00-00	VWAMBULULO VWA CIFUTI VWA VILINGA VYA VANU
00-01	Kusinganyeka ngwetu kutanekeyesa vulemu vwa kama ku voxe vapandama ku vuxoko vwa vanu co vwoxe vulemu vwavo mumo co keti vya kwaasa kujeneka vinapu vya nibangelo lya kulimanena, lya vwako ca na ciyulo mu lifuti.
00-02	Kusinganyeka ngwetu kukala ye kundzimba co na kayengu ca vulemu vwa vanu vwatwalele ku vulemu vwa kuviisa vije vikanena litoto lya vanu co nawa na kutatamena ca lifuti limo kuje vanu vakapwa kwaasa kulyendekela mu cizango co na vutava, vakuliyo vola ku vuxonde, co na kayando, vavilingile ngwe vikevyo vyakama manene ku manyonga ce vanu.
00-03	Kusinganeka ngwetu ca kama kutakama kwaamesa vusamba vwa vusepa mukati kamafuti.
00-04	Kusinganyenga ngwetu mu mukanda vanu vamu mafuti akulipandakana valingile nawa litavelo lyavo ku vulemu vwa mbangelo vwa vanu, na lutsimo ca kutsima ca munu ku mbunga, na kupwisa mumo vulemu vwa vanu, co na vanakazi co vije vivendeka na kulitavele kuzeyesa kutwala ku lutwe ca mbunga co na kutunga vwino vwa vuvwa vwa mwonyo mu kulimanena kwa kama.
00-05	Kusinganyeka ngwetu mafuti amaato valyakeleko mu kukolesa mu vukwasi vwa kusungamesa kwa mafuti akulinunga, kasingimiko ka voxe co vukale vwaya ye vwa vulemu vwa vanu co na vujovole vwa vutanku.
00-06	Kusinganyeka ngwetu ciwano cimo ca voxe ca vusungame co na vulimanene vukevwo vwapwa vwa kama linga valitavele mwoxe mwoxe eci cipangi.
00-07	Ciwano ca voxe cilinga vwavuno vwambwililo vwa mbunga vwa vulemu vwa vanu ngwe linyonga lya voxe mu kweta ku vanu voxe co na ku mafuti oxe linga ngwe voxe vanu co na vyoxe vikungulwilo vya vavusamba, njili na vwambulwilo ovu simbu yoxe mu mbunge, vakwatesa na nzili akati ka lilongeso co na kulongesa, na kwaamesa kasingimiko kevi visungameso ca na vwovole co na kukwatesa akati ka visiteko vya kutwala ku lutwe vya vusungamo vwa lifuti lyetu co nawa lya mu mafuti, tanekeyesi co na kupangesa ku vyoxe co ca simbu yoxe kwesekesa ku vanu va ku mafuti akulyatako ngwe na mu mafuti apandama kuvwako vwavo :
01-00	LIXIKO LYA MBANGELO
01-01	Vanu voxe vakasemuka mu cizango co mumo lika mu vulemu co kulimanena. Vakevo vakala na mangana co na mbunge co vana pande kulinga vamo na vakwavo na mbunge ya vuna yina.
02-00	LIXIKO LYA MUCIVALI
02-01	Umo na umo aasa kukala na vumwene vwoxe co na kulinga mwanaxakela vya kwambulula mu vulolo vuvanaxolola, kaesi katonde na kamo kayi, mbangelo mbangelo ka muyati, ka cikova, ka cifwa, ka lilimi, ka vukulaelo, ka manyonga oxe akwavo, ka cikota ca cisemwa, ka vufuko ka kusemuka indi ka lyoxe likwavo linyonga lyapandamako.
02-02	Akwavo nawa kaapandele kulinga na kamo katonde kayi ka kundama kamo katonde kayi ka kundama ku mukanda wa maxiko wa vungaji, ya munzango ya kusompela indi ya ku mafuti mu lifuti lyetu indi ya mutombela wa lifuti ku mumu uje wakusemukila muje lifuti, uje lije lifuti indi mutambela wakwo upwe wakulimanena, waakati, keti walika lyendi indi ya kutumina kuvakwavo ku woxe owo wa vumwene.
03-00	LIXIKO LYA MUCITATU
03-01	Naumo wa yayi apwa mu vundungo nambe cyuti; vundungo indi kulandesa ca vandungo vyapwa mukati kavyo vyoxe mumolika mu cifwa ca vyo.
04-00	LIXIKO LYA MUCIWANA
04-01	Naumo wayi apwa wakuyandesa, nambu lika kumupwisa na kumumwesa tuyando, twa tuvi indi tuje kutwapandele.
05-00	LIXIKO LYA MUCITANU
05-01	Umo na umo ali na vulemu vwa cizivukiso cendi ku mwela yoxe ya kalenyeso kendi ya kuje kwapangela.
06-00	LIXIKO LYA MUCITANU NA LIMO
06-01	Voxe vapwa vamolika kutwa ku maxiko co vakala na kalememeso na katonde kayi ku vumolika vwa lifwa kukuvanyunga ku lixiko. Voxe vapwa mumolika kukalemeso ka kuvanyunga ku vuxonde vwa katonde vuje vuviisa vwambulula vwa vulolo co vutundisa koxe katombo na kuje kutepesa.
07-00	LIXIKO LYA MUCITANU NA AVALI
07-01	Umo na umo ali na vulemu vwa vipangi vya mupande kuli vindzango vya kusompela vya mu mu lifuti vije vinatela kusompa milonga ya kulitondela livenya na kusevuka kalemeso kakama kaje va mwanene ku nzango ya kusompela indi ku maxiko.
08-00	LIXIKO LYA MUCITANU NA ATATU
08-01	Naumo wayayi napande ku mukwata ngoco, kumuxoko indi ku muximuna mu lifuti lyendi.
09-00	LIXIKO LYA MUCITANU NA AWANA
09-01	Munu umo na umo ali na kalemeso, kupwisila mumo, ku vuje vuve vwendi vupwe vwa kutanekeya mwa muvwa muvwa co yakuzivuka ku mbunga yoxe ku nzango ya kusompela ya kulimanena keti ya kuzivuka, ije itongola, impwe ya vulemu vwendi co cakumuzangesa ikeye, cipwe ca kama ku vyoxe vya kumuxuma ku vyuma vya ku mutsiisa vya kulingiwa mu kumusompesa ikeye.
10-00	LIXIKO LYA MULIKUMI
10-00	Munu woxe wakukuma kulinga vuvi vumo wapwa wakumona wa kala kundzimba noo ngwe vuvi vwendi vukapwa vwa kutanekeya mu simbu ya kumusompesa ije vwoxe vukwasi vwa kupwisamo mu kumwoyela vunapwiled kuli ikeye vwa kuzikila.
10-01	Naumo wayi akapwa wakuxuma mulonga ku vuvi indi ku vukonekelo vuje mu simbu ije wa vulingile, embwe kuvupu vuvi vumo mukutwala ku kalemeso ka mu lifuti indi ka mukaye koxe kupwa mumolika, keti kukapwe vukundiko vwa kuxuma mulonga wa kama uje unapandele kulinga mu simbu ije walingile vuje vuvi.
11-00	LIXIKO LYA MULIKUMI NA LIMO
11-01	Naumo wayi akayandiwa vivwezelelo vya kumbilumuna ku mwenyo wendi wamupandama, wa vavuxoko vendi, njivo yendi indi muvutalo vwendi nambu ku vuseteko vwa kasingimiko kendi co na vulemu vwendi.
12-00	LIXIKO LYA MULIKUMI NA AVALI
12-01	Naumo wayi amona kayando ka vivwezelelo vwa kutengulula ku mwonyo wendi wamupandama vavuxoko vwendi, njuvo yendi indi vutavelo nambu ku vuseteko vwa kasingimiko kendi.
12-02	Munu woxe ali na vulemu kukumunyunga kwa lixiko kutwa ku vitengululo indi ku vyesekeso vyaco.
13-00	LIXIKO LYA MULIKUMI NA ATATU
13-00	Munu woxewo aasa kwendangana mu cizango co na kwangula kuje nazange kutanga mukati kalifuti.
13-01	Munu woxewo aasa kutunda mu lifuti lyoxe na kuzanga vyendi, na kwiluka mu lifuti lyendi.
14-00	LIXIKO LYA MULIKUMI NA AWANA
14-01	Mukati ka kwendangana, munu woxewo aasa ya kutonda kwa kuvanda co na vukwasi vwa kuvuvandelo ku mafuti eka.
15-00	LIXIKO LYA MULIKUMI NA ATANU
15-00	Munu woxe ali na vulemu vwa cisemukila cendi.
15-01	Naumo wayi napande ku mutengulula vulenu vwa mupanda na vwa cisemukila cendi, nambu ku mutundisa vulemu vwa cisemwa cendi.
16-00	LIXIKO LYA MULIKUMI NA ATANU NA LIMO
16-00	Kutunda a simbu ya myaka yakuxomboka munalume na munakazi kukwesi na katonde kamo ka muyati, ku vusemukilo indi ku mutambela umo wa lifuti, citava kwaasa kulixombola co na kulinga vuxoko. Vakevo vali na vulemu vumolika mu myaka ya vulo co na muje mukulyandununa.
16-01	Vulo vupwa vwa kumanesa lika na cizango co na linyonga na cizango ca vaxombola va kulutwe.
16-02	Vuxoko vwapwa cuma cimo ca cisemwa co cakama manene ku mbunga co cakala na vulemu vwa kunyungisa mbunga co na vungulu.
17-00	LIXIKO LYA MULIKUMI NA ATANU NA AVALI
17-00	Munu woxe nambu lika mu mbunga imo, aasa kupwa na vyendi.
17-01	Naumo wayi napande ku mukwisa kujeneka kupwa na vyendi.
18-00	LIXIKO LYA MULIKUMI NA ATANU NA ATATU
18-01	Munu woxe ali na vukule vwa kusinganyeka, mana co na vukalaelo .
19-00	LIXIKO LYA MULIKUMI NA ATANU NA AWANA
19-01	Munu woxewo ali na vulemu vwa vukule na vusungameso vwa manyonga co na kulyendekela mu cizango.
20-00	LIXIKO LYA MAKUMI AVALI
20-00	Munu woxe ali vukule vwa cikungulukilo co na vupandakano vwa ciyulo.
20-01	Naumo wayi aasa kumusindiya na kulinga vupandakano vumo.
21-00	LIXIKO LYA MAKUMI AVALI NA LIMO
21-00	Munu woxe ali na vulemu vwa kulyaka ku vupandame ku cikota ca vinganda vya mbunga vya mu lifuti lyendi, cipwe ca kulizangela cipwe ca mukati-kati ca vakale o vakutongola mu vulika.
21-01	Munu woxe ali na vulemu vwa kukala, na kupwisa mumolika, vipangi vya mbunga vya mu lifuti lyendi.
21-02	Cipango ca vwingi capwa cuma ca kama ca vutumi vwa vumwene vwa voxe; eci cizango capande kucendeka mu kwangula ca mpundu na ku cilinga mu visimbu vyoxe mu kwangula kwa vanu voxe ca kulipwa co na kwangula ca kuxwekesa, indi kutonda mwa kulinga ya kulipwa na kunyunga kasingimiko ka kwangula.
22-00	LIXIKO LYA MAKUMI AVALI NA AVALI
22-01	Munu woxe, simbu napu mwato wa civunga, ali na vulemu vwa kumumyunga ku mbunga, vukevwo vwakala mu kuvuwana mu kasingimiko ka kumwononokesa mu vulemu vwa vunkondi, vwa mbunga, co vwa cisemwa vwa kujeneka ku vulemu vwendi co vwa kulimanena ku vukame vwa vukame vwendi, ku kandelela ku ndzili ya lifuti co na ku vukwasi vwa mafuti oxe, kumona mukulinga mwa kusungamesa co na vupite vwa mu lifuti na lifuti.
23-00	LIXIKO LYA MAKUMI AVALI NA ATATU
23-00	Munu woxe ali na vulemu vwa kukala na vipangi, mu cizango cendi ca kwangula vipangi vyendi, vukwai vumolika co vwa kuvwaelela ku vipangi co nawa kutwala mu kujeneka vipangi.
23-01	Voxe vanu vali na vulemu, kukwesi katonde, ku fweteo ya kupwisa amulika ku vipangi vimolika.
23-02	Woxe uje apanga ali na vulemu ku fweto ya kupwisa na kuvwaelela kumukalesa muje ikeye na vavuxoko vwendi vukulaelo vumo kwesekesa ku vulemu vwa munu co na kwamesa, ngwe cinapande, ca vyoxe vingila vya vukwasi vyapandama ku mbenga.
23-03	Munu woxe ali na vulemu vwa kulinga, na vakwavo, vinzango co na kulipandakanesa ku vinzango vya kwamena ku vinzango vyavo.
24-00	LIXIKO LYA MAKUMI AVALI NA AWANA
