00-00	A’K’EL TA JAMAL OXIL SKOTOL LEYETIK SKOLTAOBIL SKOTOL KUXLEJEL TA SPEJEL BALUMIL
00-01	Si’ch alel que kolemajel, lekilal y machlejel ta spejel balumile stsak spuersa va’ak’in si’ch a’k’el ta mu’k k’ux-elan yanetik stalel skuxijik ju jun kuxlejel ta spejel balumile.
00-02	Ojtakinbil ilkoloetik syu’ va’k’in mu si’ch a’k’el ta mu’k’ lekil i’ch-vaile, ja’ skoj k’u sjalil oy vinik ta sba spejel balumile xa’beoj sjam i sigue xa’be hasta abile lekil i slekil tas kuxlejale, bujechuk spas skuxij sin xi’el i schu’uk stak’in i sbeel, bujechuk spas sk’opoj i spas xal i slok’es ta ye k’ute sk’an sch’une.
00-03	Te-me si’ch a’k’el ta mu’k’ i si’ch cha’biel yanetik stalelik i skuxijik viniketik ta spejel balumile schi’uk jun mukta ley Derecho sbie ja jeche muk mu’ch’u va xok sba ta ilkolo ni ba xokbanuk.
00-04	Si’ch k’anel que jak oyuk lekilbail schu’uk yanetikxa oxiletik nomik.
00-05	Tas Karta o stsibabiljun yu’un Naciones Unidas ya’k’oj yo’n ke te’oy tsakbil skotol k’uxitik lek sventa si’ch a’k’el ta mu’k’, ta jun vinik i ta jun ants, yaloj jeuk ke va xa’be sjam k’uxchi lek kuxlejal sin ilbajinel.
00-06	A’kbil ta venta ke Estadoetike ya’k’ojik sk’opik ke va spasik o va ya’k’ik ta mu’k’ sderechoik libre skuxijelik viniketik ta sba balumile sin jinilxokvanej.
00-07	Entre mas ep xojtakin i sna stunel sderecho i slibertade mas va yi’ch a’k’el ta mu’k’.
00-08	Asamblea Generale xal ke Declaracion Universal yu’un Derecho Humanoe ja sventa sk’anojel ta komon bujechuk ch’inik teklumetik i mu’k’tikteklumetike xa’k’ik spuersaik ta stunel i yak’ik ta a’k’el ta mu’k’, ja jeche cha’k’uxi viniketik y bujechuk yabil chanubtesbanele stik’ik ta sjolik i snaulanik k’uxitik ora ke a’k’el ta mu’k’ sderechoetik i slibertade, ja jeche spasik asegurar ta stojol jun nacion o ta yanetikxa nacionetik stunel i k’uxchi spas ta amtelanel ta skotol oxiletik ta stojol jun Estado o ta sbalumilaletikal jun teklum mas mu’k’ ke jun Estado.
01-00	Jun Artikulo:
01-01	Skotol vinik o ants ta spejel balumile k’olem x-hayan i ko’ol ta sch’ulal i sderechoetik i, skotol k’ux-elan oyike oy srasonik y slekilalik, sventa skuxijik leknoo ta ju jun ju ju vo.
02-00	Chib Artikulo:
02-01	Skotol kuxlejel oy yu’un skotol sderecho i slibertad albil li ta Declaracion yu’un Naciones Unidase, sin ke t’ujbilnoo k’u razailal, sp’i’jil skoloral, ants o vinik, sk’op, sch’unobil ta kajbaltik, st’ujobil ta politika, o yanetikxa chak’uxchi slikemajelal ta oxiltik o slikemajeltal ta genteal, k’u yepal stak’in, bus ayanel o k’uxitik mas, mauk t’ujbil ta mu’uch’u va oyuk stunel li Declaraciones sino ke ta skotolnoo.
02-02	Jech jeuk, muk va yi’ch t’ujilanel mu’uch’u skoj yanxa st’ujomal i k’ux-elan xanbaj ta spolitika o chu’uk leyetik ta mismo spais bu yu’unale jun vinik o ta yanetikxa paisetik, mu’k’u spas me jun lugar mu’yuk oy ta stojol yanxa pais, chak’uxchi jun sbalumil o oy ta stojol yamtelanel stak’in o leyetik ko’ol oy sderechoik ja’tsa bu lugaril s-oyij.
03-00	Oxib Articulo:
03-01	Skotol gente oy ta sderecho skuxij libre xanab ja’nab ja’tsa bu te sk’ane i seguro s-oyij.
04-00	Chanib Artikulo:
04-01	Muk mu’ch’u va oyuk ta tunel sin ke va yi’ch stojol, le’ye va yi’ch k’elel noo te-me sk’an stunban ta jechnoe.
05-00	Joob Artikulo:
05-01	Muk mu’ch’u va sta majel, ximtexel o mu’k’tailbajinel o k’elel cha jun tsi o yan o yanxa k’elomal.
06-00	Vakub Artikulo:
06-01	Skotol gente ta sba balumil oy sderecho ta skotol lugaretik, sventa xojtakinik stalel leyetik ta stojol.
07-00	Jukib Artikulo:
07-01	Skotol gente ta sba balumil ko’olik ta leyetik i oy yu’unik derecho staik koltael va’k’in staik lamtael i ke snaojik ke mu sventa spaxik o xalik porque oy ta Declaracion yu’un Naciones Unidas o ke me oy mu’uch’u sk’an s-otesvan ta ilkolo ta lamtaelbanej.
08-00	Vaxakib Artikulo:
08-01	Skotol gente oy sderecho que sta y s-oyij sta’k’in, i sta koltael taj u’eletik butik sventa sta tuxel va’k’in staoj ilbajinel i ke ojtakinbil ta ley yu’un Constitucion ke oy stuxobile.
09-00	Baluneb Artikulo:
09-01	Muk mu’ch’u sventa sta tsakel i chukel ni nutsel ta yanxa nom oxiltik.
10-00	Lajuneb Artikulo:
10-01	Skotol gente oy ta sderecho, s-aibet skotol i ta skotol i ta epal gente i s-ak’ot ta mu’k ta jun tribunal independiente o imparcial yu’un sk’elvet sderechoetik y s-obligacionetik o yu’un sk’elvet k’u yu’un spasot acusar me tsots o muk tsots smule, me sta o mu sventa sta chukel.
11-00	Buluchib Artikulo:
11-01	Skotol gente ke staoj albeel ke oy smule oy sderecho ke spas xa’be sjam xa’k’ ta jamal oxil ke mu’yuk smule te me mu’yuk k’uxchi spasbet comprobar k’uyes s-albete, segun ta ley k’uxchi xal ke ja jech mulile i ta stojol yelobal yanetik gente lek slok y sta koltael.
11-02	Muk mu’ch’u va sta tak’el-el ta na’k’el teme k’uxi la spase mauk mulil segun sderecho ta nacional o internacional. Jech jeuk muk va yi’ch akbeel mu’k smulilal ta yorail me la sta ojtakinbeel smule.
12-00	Lajchaeb Artikulo:
12-01	Muk mu’ch’u sventa sta ochanel ta stalel kuxlejel ta ju jun naklejal ni ilbajinel ta slekilal kuxijemtalel. Skotol gente oy sderecho sta koltael taj u’el va’k’in sta ilbajinele o ochanele.
13-00	Oxlajuneb Artikulo:
13-01	Skotol gente oy ta sderecho xanbaj sin xielal i xa’ ja’tsa bu te sk’ane spas snakij tas sbalumilal jun Estado.
13-02	Skotol gente oy sderecho sbat ta buyik on paisal te sk’ane o ta mismo spais i te me lok’em-el ta yanxa paise spas xut k’otel ipxa bu lo’k’em-ele.
14-00	Chanlajuneb Artikulo:
14-01	Te me sta nutsel ta tsakele, skotol gente oy sderecho sk’an koltael y sk’upinel ta k’uk-on junukal balumil te sta koltaele.
14-02	Le derechoe mu spas ta tunel o sk’anel va’k’in oy jun mulin ke mauk sk’anojel yu’un Naciones Unidas.
15-00	Jolajuneb Artikulo:
15-01	Skotol gente oy sderecho stek’aj i skuxij ta jun balumil.
15-02	Muk mu’ch’u sventa si’ch pojbeel o jelbeel sbalumilal i te me sk’an sk’omes i sjelbael ta bu sk’anojelyu’une muk va yi’ch tek’ajexel ta puersa.
16-00	Vaklajuneb Artikulo:
16-01	Tanto viniketik i antsatik, te me laxa staik sch’ielik, i spa-xa staik smalalik o yajnilik oy sderechoik, sin ke staik te’k’ajesel yu’un me k’ux-elan razail, bu yu’unal o k’u schunobil yu’un ta kajbaltil ta vinajel i s-ak’otik jak nupunukik i spas slekoj snaik i sk’upinik ko’ol sderechoik ta k’u sjalil snupujelalike i spasik seguir chu’uk mismo sderechoik aunke sk’ej-sbaik.
16-02	Ja’no me sk’anojel yu’unik mu’ch’u te sk’an sbaike spas snupunik.
16-03	Jun familia stalel-ono s-oyij i ja’ smeltsan jun sociedad i oy ta sderecho sta koltael ta stojol i jech jeuk yu’un Estadoe.
17-00	Julajuneb Artikulo:
17-01	Skotol gente oy ta sderecho s-ayan yu’un sk’ustik ya sea stuknoo o entre epalik.
17-02	Muk mu’ch’u sventa spojvet sk’ustik ta jechnoo.
18-00	Vaxaklajuneb Artikulo:
18-01	Skotol gente oy ta sderecho ke spas snopolaj i snop k’u te sk’ane, skom ta ju ju vo i spas sch’un o mu sch’un k’usitik nopbil yu’un kajvaltik ta vinajel bu o k’u paisal te sk’ane; le derechoe spaso ta venta jeuk ke oy libertad ke spas si’ch jelel jun sch’unel ta kajbaltik, jech jeuk ta alel k’u sch’unojel ta kajvaltik yu’un ju jun ju ju vo’ o yu’un skotol stsobomal, ya sea xak ta a’yel ta yelobal epal gente o xal entre stuk noo, yak’oj venta jeuk ke spas ta chanel i chanubtesbanej, i schunel i spasel practikar sk’anel i sk’elel k’uyes te si’ch k’anele.
19-00	Balunlajuneb Artikulo:
19-01	Skotol gente oy sderecho ke spas sk’opoj i xal k’ute snopojel i sk’an xale, le derechoe ya’k’oj ta venta jeuk ke mu sventa si’ch tael ilbajinel sk’oj k’u la yi’ch alel ya’k’oj venta jeuk ke spas si’ch xa’el, ja’k’el k’uyes te si’ch k’anele i spas ta a’k’el ta a’yel, sin ke mu’ch’u stal te’k’ajesbanuk i ja’tsa bu mu’yuk srayail, i k’uxchi te spas yu’une.
20-00	Jun vinik Artikulo:
20-01	Skotol gente oy sderecho libre spas stsomsbaik i muktalekil tsombail.
20-02	Muk mu’ch’u spas ta otexel ta puersa ta jun mukta tsombail.
21-00	Jun schavinik Artikulo:
21-01	Skotol gente oy sderecho spas xochan u’elanbanej ya sea ta vikit o ta mukta slumal; ta stojol o chu’uk yanxa vinik tuxbil t’ujbil entre schiuktak ta slumal.
21-02	Skotol vinik oy derecho yu’un spas ko’ol s-och taj u’el ta smu’kta balumil.
21-03	Lo ke sk’anojel jun lugar ja’ xa’k’ mantal ta skotol; le sk’anojelale si’ch tael ta k’elel i ta pasel va’k’in si’ch xa’el i kujanel jun u’el, ta ko’ol k’opiletik o sea komon junoo ye-sti’ik o yanxa sjam xabanej pero ke xak’-oyuk libertad yu’un spasel votar.
22-00	Chib schavinik Artikulo:
