00-00	LOePUKOe/LEUSA NA UNIVERSAL DECLARATION OF HUMAN RIGHTS I KUTUK NA BARI.
00-01	KWEJA ADI
00-02	Denet nagwon adi kugga ko tojojo na dekesi ti ngutu ling nagwon bain titiki ngutu. Kona kwe ngutu ti mede/’bang logwon gwodiet na tolien, todiri ko taling i kak ‘bukulung.
00-03	KWEJA ADI
00-04	‘Bakan na yenet ko laundya na todiri na ngutu aje jondia konesi narok nagwon aje toworja yeyesi ti ngutu. Kona kwe duroekin na kune dekesi kwekindya adi anyen ngutu ling ryeju tolien na jambu ko yenet ko yupet toeki ko tolien akwe na kujoenoe ko dekesi aje tokoro gwoso yenet duma na ngutu i piritoen ti kak.
00-05	KWEJA ADI
00-06	Dedekarikin adi ngutu koedyoe ti ridiki anyen dekan ngaret i dingitan na gwusulak na ti tndu ngutu i renya na saresi ti miri karudanit ko kasasanyanit kogwon dekesi ti ngutu koedyoe gagaya ko saresi ti putet.
00-07	KWEJA ADI
00-08	Dedekarikin parik i dilikindya na durjoe na tojulin i kiden na ngutu logwon nyanyar gwon i pirit geleng ko ngarju konesi na geleng.
00-09	KWEJA ADI
00-10	Koedyoe dedekarikin adi ti ngutu gwe ko todurjoe na gwilingit ko tojulin ko juroen.
00-11	KWEJA ADI
00-12	Langet na juroen lomomorja i saresi kase lo peta i kwekindya na yupet i dekesi ko ‘bulit na ngutu i tojojo na ngutu lyan ko wate adi se agi koedyoe tindu ringit i todurjoe i pirit na geleng gwilingit lo’but i tolien duma.
00-13	KWEJA ADI
00-14	Yeyesi na morja ti kine dekesi ko tolien gwon ‘bulit duma ko ati denesi ti kine ngo nagwon a yukwe kine.
00-15	SONGlNANA NYENAGWON.
00-16	NGina momoret duma tokorju ngina kweyet na todurjoe na dekesi ti ngutu ling i kak ‘bukulung gwon a temet na konaki i morja ling i juroen ling tojo ko dutet. Karen ngutu ko karen mugun na langet kepekep ngina tokoret dingitan ling i kwe anyen tindu ringit duma na todindyoe ko todinet anyen todindyoe kuket na kine dekesi. Tolien ko temet na durjoe i Iukata ko nakango na jur anyen gaju gwon nase i kak ‘bukulung ko anyen jongga dekesi ko time nase ko langet na kilo juroen ko ‘boerik kase ako ngutu logwon gwon kase i saresi.
01-00	1.
01-01	NGutu ling a yungwe kana, jojo i todiri ko dekesi ko ti se tokitaki ko ‘boerik ko muloekoetyo lo tolungaseran. Se a doka ko denet na kulya na’but ko narok.
02-00	2.
02-01	Karen nguto a ‘buruki dekesi ling ko tokoret ‘bak nyunyumboe i gwearijin kadekade gwoso adi: ‘Borikoet, Kutuk ko Yupet/Yuboe.
02-02	I.anget kode kunie yeyesi ti lukata kode suluwet na gwolong, toro’bo kode kulye gwearijin i juyu na kine nene gelet koedyoe ti kona kwoeng kode i kiden na langet na miri na kango kode jur, kode gwon a luwitoet, yiyiniki, ‘bain deba mugun kode gwon ko denesi ti tolien.
03-00	3.
03-01	Karen nguto koedyoe kata ko todiri na gwilingit adi gwon joerun ko tolien na gaya na ngutu.
04-00	4.
04-01	Lele nguto koedyoe ti buloe d'epa a dupiet kogwon todupien kode tugwoeroe a dupiet, kine konesi koedyoe ti buloe konaki ngutu i gweyarijin kase kadekade kwoeng.
05-00	5.
05-01	Lele nguto koedyoe ti buloe tiki i miyesi kode depet loron logwon ti temakindya i gwilingit lo ngutu kode ringet nagwon koerju mugun na ngutu.
06-00	6.
06-01	Karen nguto koedyoe kata ko todiri i karen jur ko i karen pirit i komong na saret.
07-00	7.
07-01	NGutu ling agi gwon jojo kode ti nyunyumoe i komong na saret lo miri. Lepeng koedyoe agi gaya jojo ko saret. NGutu ling koedyoe gwon ko gayet nageleng ‘bak nene nyunyumet kode langa na kilo saresi toeki kode konesi nagwon ti temakindya i kebbu na saret lo jur.
08-00	8.
08-01	Karen nguto koedyoe gwon ko todiri na kiko lo rigwo ko langet na rigwo dunget na putesi i kenesi na langgo saresi ti tod'iri na dekesi ti nguto logwon a tiki nye ko saresi kode saret lo jur.
09-00	9.
09-01	Lele nguto koedyoe ti buloe moka ‘bakan na saret, rereka kode rikoeji kango kanyit i jur.
10-00	10.
10-01	Karen nguto koedyoe agi gwon ko tojojo i putet ko ti yingani yinga ko ngutu ti jur ko koedyoe ti kadungoek ti putet kulo gwe a luwi i langet nase koedyoe na kadungoek. Ti nyunyumboe, kujoenoe miri. Ti dunggoe na putet gwe i denet na todiri ko kepesi narok nagwon mokani ngutu.
11-00	11.
