00-00	Decleraziun universala dals drets umans
00-01	Considerond cha la recugnuschentscha da la dignita da tuot ils commembers da la famiglia umana e da lur drets eguals ed inalienabels fuorma il fundamaint da la liberta, da la guestia e da la pasch i’l muond;
00-02	considerond cha la scugnuschentscha ed il spredsch dals drets umans han mana ad acts da barbaria chi offendan la conscienza da l’umanita e cha la creaziun d’uen muond, i’l qual ils umans han la liberta da discuorrer e da crajer, libers da terrur e miseria, es gnueda proclamada sco l’aspiraziun suprema da l’uman;
00-03	considerond chi’d es essenzial da proteger ils drets umans cun ledschas, per cha l’uman nu saja sforza d’applichar sco ultim mez la revolta cunter la tirannia e l’oppressiun;
00-04	considerond chi’d es essenzial da promouver las relaziuns amicablas tanter las naziuns;
00-05	considerond cha’ls poevels da las Naziuns Unidas han proclama danouvmaing i’l statut lur cretta i’ls drets fundamentals da l’uman, illa dignita ed illa valur da la persuna umana, ill’egualita dals drets dad hom e duonna, e ch’els s’han declerats decis da promouver il progress social e d’instituir megldras cundiziuns da viver in uena liberta plue vasta;
00-06	considerond cha’ls stadis commembers s’han obliats d’asguerar, in cooperaziun cull’Organisaziun da las Naziuns Unidas, il respet universal ed effectiv dals drets umans e da las libertads fundamentalas;
00-07	considerond ch’uena concepziun cumuenaivla da quists drets e da quistas libertads es d’importanza suprema per ademplir plainamaing quist ingaschamaint,
00-08	proclamescha l’Assemblea generala la preschainta decleraziun universala dals drets umans sco ideal ch’id es da ragiundscher cumuenaivelmaing da tuot ils poevels e da tuot las naziuns, per cha tuot ils umans e tuot ils organs da la societa tegnan aduena preschainta quista decleraziun, ed as staintan da promouver ill’instrucziun ed ill’educaziun il respet da quists drets e da quistas libertads e da garantir a quels, cun masueras progressivas suen plan naziunal ed internaziunal, recugnuschentscha ed applicaziun universala ed effectiva, tant tanter las populaziuns dals stadis commembers svess sco tanter ils territoris suottamiss a lur giurisdicziun.
01-00	Art. 1:
01-01	Tuot ils umans naschan libers ed eguals in dignita ed in drets. Els sun dotats cun radschun e conscienza e dessan agir uen invers l’oter in uen spiert da fraternita.
02-00	Art. 2:
02-01	Mincha persuna po far valair tuot ils drets e tuot las libertads proclamats illa Decleraziun preschainta sainza distincziun, particularmaing da razza, da culur, da gener, da religiun, d’opiniun politica o otra, d’origin naziunal o social, da possess, da naschentscha o d’otras circunstanzas.
02-02	Pluenavant nu vain fatta inguena disctincziun fundada suel status politic, giuridic o internaziunal dals pajais o dal territori, dal qual deriva uena persuna, cha quist pajais o territori saja independent, suot tutela, na-autonom opuer suottamiss ad uen’otra limitaziun da la suveranita.
03-00	Art. 3:
03-01	Mincha uman ha il dret da vita, da liberta e da sguerezza da la persuna.
04-00	Art. 4:
04-01	Inguen nu das-cha gnir tgnue in sclavaria o in servitued, la sclavaria ed il commerzi da sclavs sun scumandats in tuot lur fuormas.
05-00	Art. 5:
05-01	Inguen nu das-cha gnir suottamiss a la tortura, ne a painas, ne a trattamaints crudels, inumans o degradants.
06-00	Art. 6:
06-01	Mincha uman ha il dret da gnir recugnuschue dapertuot sco persunalita giuridica.
07-00	Art. 7:
07-01	Tuot ils umans sun eguals davant la ledscha ed han sainza distincziun il dret da protecziun eguala cunter tuotta discriminaziun chi violess la Decleraziun preschainta e cunter tuotta provocaziun e d’uena tala discriminaziun.
08-00	Art. 8:
08-01	Mincha persuna ha il dret da protecziun legala davant las giurisdicziuns naziunalas cumpetentas cunter acts chi violeschan ils drets fundamentals garantits illa constituziun o illa ledscha.
09-00	Art. 9:
09-01	Inguen nu da-scha gnir arresta, detegnue o exilia arbitrariamaing.
10-00	Art. 10:
10-01	Mincha persuna ha il dret, in cumplaina egualita, cha seis cas gnia tratta guestamaing e publicamaing d’uen tribunal independent ed imparzial chi decida davart seis drets e seis obligs o davart la validita da tuotta achuesa penala drizzada cunter ella.
11-00	Art 11:
11-01	Mincha persuna achuesada d’uen act punibel es innozainta fin al mumaint cha sia cuolpa es cumprovada legalmaing in uen process public, ingio cha tuot las garanzias necessarias per sia defaisa tilla sun gnuedas asgueradas.
11-02	Inguen nu vain cundanna per acziuns o omissiuns chi nu valaivan al mumaint cha l’act punibel es gnue commiss.
12-00	Art. 12:
12-01	Inguen nu das-cha dvantar l’object d’intervenziuns arbitrarias in sia vita privata, sia famiglia, seis domicil o sia correspondenza, ne d’attachas cunter sia onur e sia reputaziun. Mincha uman ha il dret da protecziun legala cunter talas intervernziuns o talas attachas.
13-00	Art. 13:
13-01	Mincha persuna ha il dret da circular libramaing e da tscherner seis domicil a l’intern d’uen stadi.
13-02	Mincha persuna ha il dret da bandunar mincha pajais, eir seis agen, e da tuornar in seis pajaias.
14-00	Art. 14:
14-01	In cas da persecuziun ha mincha persuna il dret da tscherchar asil e da surgnir asil in oters pajais.
14-02	Quist dret nu po gnir invocha in cas da persecuziun pervi da delicts na-politics o pervi d’acziuns chi cuntrafan a las miras ed als principis da las Naziuns Unidas.
15-00	Art. 15:
15-01	Mincha uman ha il dret d’uena naziunalita.
15-02	Inguen nu das-cha gnir priva arbitrariamaing da sia naziunalita o dal dret da muedar naziunalita.
16-00	Art 16:
16-01	Hom e duonna cun eta adequata han il dret da maridar e da fundar uena famiglia sainza restricziuns a reguard la razza, la naziunalita o la religiun. Els han ils medems drets a reguard il matrimoni, duerant il matrimoni e pro sia dissoluziun.
16-02	Il matrimoni po gnir conclus unicamaing cun l’acconsientimaint liber e cumplain dals conjugals futurs.
16-03	La famiglia es l’elemaint natueral e fundamental da la societa e sto gnir protetta da la societa e dal stadi.
17-00	Art. 17:
17-01	Mincha persuna ha il dret d’avair uena proprieta aigna o cumuenaivla cun oters.
17-02	Inguen nu das-cha gnir priva arbitrariamaing da sia proprieta.
18-00	Art. 18:
