00-00	MoeG-A ACIMMI YI KOeMI LAeBoe KI RI GIG-A DWADDI KIPER DHANHoe BENE
00-01	Ka arum yieeyii kinni woeri beedi dhanhoe a dhanhoe pere tek, ki kinni gin-a cwoel a dhanhoe paer bene, o di dwaddoe kinni beed ji benn ki koemi piny ki mer, ge goegg-a dyer, e bong ngan geny,
00-02	Ka beed woeyi dhanhoe nyii kaenoe ki beedoe me raj, ki liny geki renyi rumi dhanhoe, ka been-a di beed ji ge koem-a dyer e bong ngan maeaen kwoebi kej dhoege, o yieye beede a cwagge kete, e dhanhoe pa boeggi rumoe yieyoe kinni bene been-a tyer yi ji benn,
00-03	Ka beede a gin pere tek kinni keloeg dhanhoe odhaloe yi raeji beedoe, nyii rumoe kinni oyiel-a yi ngaenyi waeye kipe ka guud wange, ngan ni menani di ceg ka korroe yi cigg,
00-04	Ka beede a gin pere teg kinni beed poedhhi koemi piny benn ki mer, e ri gen ngaenyi yi gen,
00-05	Ka arum yieeyii yi Buri Poedhhi Koemi Piny, ka cib yi gen a Cigg kinni dhanhoe bene paer, o ko maeaen gindoej men-a dwdde, ma ji ceg beedroe ga ji benn ceth, o ge paer benn ying ga cwoew wala maenn, ge di dwaddoe kinni koeny gen ki tyenyi beedi gen, o ge doenyi gen ge benn,
00-06	Ka arum yieeyii yi Poedhh-a Yij Buri Koemi Piny, ka ge okoeoeboe kinni ge ogoeoegoe kiper tyegi moeg-a ayiey yi gen ki gwoegoe, kyeel ki Buri Poedhhi Koemi Piny, a loeg koenyi dhanhoe bene ki woeri ree, ki korri ji benn,
00-07	Ka oerum yodii yii ji kinni gig-a dwaddi yi dhanhoe bene paeaer ki kinni beed dhanhoe wije, bene gen a per gen teg kiper dhanhoe bene,
00-08	Anan, ki bang moegani benn,
00-09	Buri Koemi Piny Bene
00-10	Ceg-a cib ki Gig-a Dwaddi Kiper Dhanhoe bene ki Koemi Laeboe; moegani cib ga moeg midhi yi ji benn ki poedhh benn; ge koedd-a koemi dhanhoe geki tyeng-a beed gen ki kej akyel, beed gen ceth ge midh-a Moeg-a Acib ki waedhi gen, ka gigani pwoenyi teedoe, kiep kinni o ji did gen ki woeri ri gen, o gigdwaddi moeg-a acib kipe beedi ji ki waedhi gen ge pa boeggi midhi ki wuoedoe ki yij poedhoe kete ki kelli poedhhi koemi piny, kipe midhi doeoeji buroe ki koemi piny bene, e ji ri gen gaenyi yi gen, o ge woer-a ri gen ki yedhi Poedhh-a Yij Buri Koemi Piny, ki kelli tyeng-a beedoe ki yedhi pinyi poedhhani ge midh-a cigg.
01-00	Cigg 1
01-01	Dhanhoe bene ba anywoeloe e path ki baeng, ge paer ki yij beedoe geki dyeroe. gin-a dwaddi kiper gen yi gen da rumi ki beedoe moe goeoeg gen ki pyew akyel ga nyimegg.
02-00	Cigg 2
02-01	Dhanhoe bene yie da cwagge kipe gin-a dwadde ki bongi baengoe men-a acib ki yij buri jur benn, e bong geny, kiri jur wala kidoe wala ki beedoe a dhajoe wala jaloe, wala kwoebbi poedhoe wala keloeg e da rum moe been poedhi wun wala tha goel wun wala jammi wala nywoeloe ki beedoe.
03-00	Cigg 3
03-01	Dhanhoe bene dwadd-a nenni ki koemi laeboe, ki bongi baengoe ki kori deele.
04-00	Cigg 4
04-01	Ko di dhanhoe me midhi wala ngew a baeng Ngyew ki baengg ba akeroe ki yedh-a nyi goegii benn.
05-00	Cigg 5
05-01	Dhanhoe ko pwoed wala dwany, wala ko goeggi ki gin-a pa nyi goeggi dhanhoe wala moeg-a raj wala ko goeggi ki abaaroe.
06-00	Cigg 6
06-01	Dhanhoe bene di dwaddoe kinni woer a dhanhoe ceth ki boeli cigg.
07-00	Cigg 7
07-01	Dhanhoe bene paer ki boeli cigg, o ge dwadd-a beedoe e bong geny, o beed ji benn ge okorroe yi cigg.
08-00	Cigg 8
08-01	Dhanhoe bene ocuggoe kedhi buri poedhoe keloeg e ogoeggoe ki raj ki koemi gee men-a meggii yi cigg.
09-00	Cigg 9
09-01	Bong dhanhoe me mag wala maeaen wala kyeew kej megoe.
10-00	Cigg 10
10-01	Dhanhoe bene beede e par ki ji benn ki boeli buroe. Ka goenye lidh ki buroe me yije bong geny ki ruj.
11-00	Cigg 11
11-01	Dhanhoe men koeme di cay beed a acwag kinni yie baer giti na keny-a ocayii, e cayani koeoel-a koemi cigg.
11-02	Bong dhanhoe men cuggi cayoe kipe gin-a gwoeg yi en wala men-a nuti gwoegoe yi en giti keny-a o yodi kinni cigg moe poedhoe wala moe koemi laeboe gi pyeem en ki boeli keny-a ocwoeb kwoebani. Thyew, ko cay ki cay moe lod moeg-a caayii ki boeli keny-a acwoeb rajjani.
12-00	Cigg 12
12-01	Ko di dhanhoe me goeggi ki raj ki yij beede wala goele wala keny-a beede. wala koeme ko koeoeb ki kwoeb moe renyi nyinge. Dhanhoe bene di dwaddoe kinni kor yi cigg.
13-00	Cigg 13
13-01	Dhanhoe bene ba ayiey kinni wele. wlala beede ki yij keew poedhoe bene.
