00-00	Kizhining tap-erikterining Tekshi  Deklaratsiyazy
00-01	Kizhilik bilezining  oncho turchylarynyng jaramyktu, jakshy janyn, onoido ok teng-tai la tuura salbas tap-erikterin ajaruga algany olordyng jaiymynyng, ak-chegining le tekshilei amyr-enchuning tozogozi bolot; kizhining tap-erigin kerekke albai, kyia korgoni shok-tabarularga ekelgenin ajaruga alyp, onong ulam kizhilikting agaru kuun-tabyn achyndyrat.  Ulusta achyk sosting  jaiymy boloton lo jedikpes-tutaktang la korkorynang jaiym jadynjurumdi tozogoni ulustyng ichkeri jutkimeli dep jarlalgan; kizhining taperigi  jasaktyng jangyla kyialtazy jogynang korulalary  ajaruga alylar uchurlu. Chokymdap aitsa, kizhi komo bazyshka udura turup chygarynyng epargazyla tuzalanbazyn; albatylar ortodogy najylyk kolbulardyng ozumin jomoorin ajaruga alyp; onoido ok Biriktirilgen Natsiyalardyng kalyktary boiynyng Ustavynda kizhining tos tap-erigine  budumjizin jomogonin ajaruga alyp, uzeeri kazhy la kizhining kizhilik kuundu bailygyn la er le epshi kizhining  teng-tai tap-eriktu boloryn ajaruga  alyp, jaiym aialgada sotsialnyi ichkeri ozumdi le jadyn-jurumning aialgazyn ongdoltoryn jomoor dep shuultege kelgen; turchy-oroondor Biriktirilgen Natsiyalardyng Organizatsiyazyla omo-jomo ishteeri dep moljongonyn ajaruga alyp, jomoltobolush azhyra tekshi toomjyga la kizhining tap-erikterin le tos jaiymyn buspas dep aidar kerek; bu tap-erikterding le jaiymnyng  tekshi uchuryn ongdooryn ajaruga algany, bu moljuny jurumde tolo budurerinde surekei jaan uchurlu bolgonyn baza ajaruga alyp, Generalnyi Assambleya kizhining taperikterining chyndyk Tekshi Deklaratsiyazyn jurumge kiydireten karuulu ish dep jarlap jat. Karuulu ishti budurerge tekshi kalyktar, oroondor jilbirkep jutkiir uchurlu. Kazhy la kizhi, onoido ok obshchestvonyng kazhy la organy chyndyk, jurumdik Deklaratsiyany ajaruga alyp, ureduning le bilgirding shyltuzynda bu tap-erikterdi le jaiymdy tooryna, jetkildeerine boluzhyp-jomozhorine  amadazyn. Onoido ok kalyktar la oroondor ortodo ish azhyra  ozochyl amadulu, tekshilei jaramyktu jedimge jeder. Ol karuulu ishti Biriktirilgen Natsiyalardyng Organizatsiyazynyng turchy-oroondorynyng kalyktary ortodo, onoido ok olordyng yurisdiktsiyazyndagy jerlerdegi jurtap jatkan kalyktary ortodo tekshilei  toop, jurumde kiydirerin jetkildeer.
01-00	1-ky tizim
01-01	Oncho ulus ak-jarykka jaiym la teng-tai tap-eriktu tuulat. Olor sanaaukaalu la chek kuun-taptu bolup butken le boi-boiyn karyndash kirezi koror lo jurer uchurlu.
02-00	2-chi tizim
02-01	Kazhy la kizhide chyndyk Deklaratsiyala jaradylgan oncho tap-erikter le jaiym bolor uchurlu. Mynda ugy, budumining ongi, budumi, tili, jangdagan jangy, politikalyk emeze osko korumi, ugy-tozi, sotsialnyi aialgazy, argazy aaiyncha bir de  angylash-ylgamal jok bolor uchurlu.
02-02	Ogo uzeeri kizhining jurtap jatkan jerineng kamaany jogynang politikalyk tap-erik aaiyncha emeze kalyktar ortodogy uchury aaiyncha bir de angylanysh-bashkalanysh bolbos uchurlu. Kizhining jatkan jeri kemneng de kamaandu, kemning de korulynda, boiyn boiy bashkarynbai da turgan bolzo emeze boiynyng (jerinde)  suverenitedinde kandyi bir tudulu da bolgonynang kamaandu bolbos uchurlu.
03-00	3-chi tizim
03-01	Kazhy la kizhi jadyn-jurumge, jaiymga la tangynang boiyna tiyerge jarabas tap-eriktu.
04-00	4-chi tizim
04-01	Kem de jalchy emeze albandu bazynchyk aialgada bolbos uchurlu; jalchylardy sadarynyng emeze jalchylanarynyng, bazynarynyng oncho budumi jaradylbai jat.
05-00	5-chi tizim
05-01	Kem de kandyi da kyiynga emeze onyng uchuryn, toomjyzyn tuzhurip turgan kizhi  kuuni jok bazynyshka aldyrtpas uchurlu.
06-00	6-chy tizim
06-01	Kazhy la kizhi, kaida da jurze, onyng pravosubektozyn tooryna tap-eriktu.
07-00	7-chi tizim
07-01	Oncho ulus jasaktyng  aldynda tep-teng, kandyi la ylgash jogynang jasaktyng teng-tai korulyna tap-eriktu. Oncho ulus chyndyk Deklaratsiyany buzup turgan kyiyktashtang teng-tai korulga tap-eriktu. Onoido ok ondyi kyiyktashka  tekterishteng baza tap-eriktu.
08-00	8-chi tizim
