00-00	POWSZECHNA DEKLARACJA PRAW CZLOWIEKA
00-01	ZWAZYWSZY, ze uznanie przyrodzonej godnosci oraz rownych i niezbywalnych praw wszystkich czlonkow wspolnoty ludzkiej jest podstawa wolnosci, sprawiedliwosci i pokoju swiata,
00-02	ZWAZYWSZY, ze nieposzanowanie i nieprzestrzeganie praw czlowieka doprowadzilo do aktow barbarzynstwa, ktore wstrzasnely sumieniem ludzkosci, i ze ogloszono uroczyscie jako najwznioslejszy cel ludzkosci dazenie do zbudowania takiego swiata, w ktorym ludzie korzystac beda z wolnosci slowa i przekonan oraz z wolnosci od strachu i nedzy,
00-03	ZWAZYWSZY, ze konieczne jest zawarowanie praw czlowieka przepisami prawa, aby nie musial - doprowadzony do ostatecznosci - uciekac sie do buntu przeciw tyranii i uciskowi,
00-04	ZWAZYWSZY, ze konieczne jest popieranie rozwoju przyjaznych stosunkow miedzy narodami,
00-05	ZWAZYWSZY, ze Narody Zjednoczone przywrocily swa wiare w podstawowe prawa czlowieka, godnosc i wartosc jednostki oraz w rownouprawnienie mezczyzn i kobiet, oraz wyrazily swe zdecydowanie popierania postepu spolecznego i poprawy warunkow zycia w wiekszej wolnosci,
00-06	ZWAZYWSZY, ze Panstwa Czlonkowskie podjely sie we wspolpracy z Organizacja Narodow Zjednoczonych zapewnic powszechne poszanowanie i przestrzeganie praw czlowieka i podstawowych wolnosci,
00-07	ZWAZYWSZY, ze jednakowe rozumienie tych praw i wolnosci ma olbrzymie znaczenie dla ich pelnej realizacji,
00-08	PRZETO ZGROMADZENIE OGOLNE
00-09	Oglasza Uroczyscie niniejsza Powszechna Deklaracje Praw Czlowieka jako wspolny najwyzszy cel wszystkich ludow i wszystkich narodow, aby wszyscy ludzie i wszystkie organy spoleczenstwa - majac stale w pamieci niniejsza Deklaracje - dazyly w drodze nauczania i wychowywania do rozwijania poszanowania tych praw i wolnosci i aby zapewnily za pomoca postepowych srodkow o zasiegu krajowym i miedzynarodowym powszechne i skuteczne uznanie i stosowanie tej Deklaracji zarowno wsrod narodow Panstw Czlonkowskich, jak i wsrod narodow zamieszkujacych obszary podlegle ich wladzy.
01-00	Artykul 1
01-01	Wszyscy ludzie rodza sie wolni i rowni pod wzgledem swej godnosci i swych praw. Sa oni obdarzeni rozumem i sumieniem i powinni postepowac wobec innych w duchu braterstwa.
02-00	Artykul 2
02-01	Kazdy czlowiek posiada wszystkie prawa i wolnosci zawarte w niniejszej Deklaracji bez wzgledu na jakiekolwiek roznice rasy, koloru, plci, jezyka, wyznania, pogladow politycznych i innych, narodowosci, pochodzenia spolecznego, majatku, urodzenia lub jakiegokolwiek innego stanu.
02-02	Nie wolno ponadto czynic zadnej roznicy w zaleznosci od sytuacji politycznej, prawnej lub miedzynarodowej kraju lub obszaru, do ktorego dana osoba przynalezy, bez wzgledu na to, czy dany kraj lub obszar jest niepodlegly, czy tez podlega systemowi powiernictwa, nie rzadzi sie samodzielnie lub jest w jakikolwiek sposob ograniczony w swej niepodleglosci.
03-00	Artykul 3
03-01	Kazdy czlowiek ma prawo do zycia, wolnosci i bezpieczenstwa swej osoby.
04-00	Artykul 4
04-01	Nie wolno nikogo czynic niewolnikiem ani nakladac na nikogo sluzebnosci; niewolnictwo i handel niewolnikami sa zakazane we wszystkich swych postaciach.
05-00	Artykul 5
05-01	Nie wolno nikogo torturowac ani karac lub traktowac w sposob okrutny, nieludzki lub ponizajacy.
06-00	Artykul 6
06-01	Kazdy czlowiek ma prawo do uznawania wszedzie jego osobowosci prawnej.
07-00	Artykul 7
07-01	Wszyscy sa rowni wobec prawa i maja prawo, bez jakiejkolwiek roznicy, do jednakowej ochrony prawnej. Wszyscy maja prawo do jednakowej ochrony przed jakakolwiek dyskryminacja, bedaca pogwalceniem niniejszej Deklaracji, i przed jakimkolwiek narazeniem na taka dyskryminacje.
08-00	Artykul 8
08-01	Kazdy czlowiek ma prawo do skutecznego odwolywania sie do kompetentnych sadow krajowych przeciw czynom stanowiacym pogwalcenie podstawowych praw przyznanych mu przez konstytucje lub przez prawo.
09-00	Artykul 9
09-01	Nikogo nie wolno samowolnie aresztowac, zatrzymac lub wygnac z kraju.
10-00	Artykul 10
10-01	Kazdy czlowiek ma na warunkach calkowitej rownosci prawo, aby przy rozstrzyganiu o jego prawach i zobowiazaniach lub o zasadnosci wysuwanego przeciw niemu oskarzenia o popelnienie przestepstwa byc sluchanym sprawiedliwie i publicznie przez niezalezny i bezstronny sad.
11-00	Artykul 11
11-00	Kazdy czlowiek oskarzony o popelnienie przestepstwa ma prawo, aby uznawano go za niewinnego dopoty, dopoki nie udowodni mu sie winy zgodnie z prawem podczas publicznego procesu, w ktorym zapewniono mu wszystkie konieczne srodki obrony.
11-01	Nikt nie moze byc skazany za przestepstwo z powodu dzialania lub zaniechania nie stanowiacego w chwili jego dokonania przestepstwa wedlug prawa krajowego lub miedzynarodowego. Nie wolno takze wymierzac kary wyzszej niz ta, ktora byla przewidziana w chwili popelnienia przestepstwa.
12-00	Artykul 12
12-01	Nie wolno ingerowac samowolnie w czyjekolwiek zycie prywatne, rodzinne, domowe, ani w jego korespondencje, ani tez uwlaczac jego honorowi lub dobremu imieniu. Kazdy czlowiek ma prawo do ochrony prawnej przeciwko takiej ingerencji lub uwlaczaniu.
13-00	Artykul 13
13-00	Kazdy czlowiek ma prawo swobodnego poruszania sie i wyboru miejsca zamieszkania w granicach kazdego Panstwa.
13-01	Kazdy czlowiek ma prawo opuscic jakikolwiek kraj, wlaczajac w to swoj wlasny, i powrocic do swego kraju.
14-00	Artykul 14
14-00	Kazdy czlowiek ma prawo ubiegac sie o azyl i korzystac z niego w innym kraju w razie przesladowania.
14-01	Nie mozna powolywac sie na to prawo w przypadku scigania wszczetego rzeczywiscie z powodu popelnienia przestepstwa pospolitego lub czynu sprzecznego z celami i zasadami Organizacji Narodow Zjednoczonych.
15-00	Artykul 15
15-00	Kazdy czlowiek ma prawo do posiadania obywatelstwa.
15-01	Nie wolno nikogo pozbawiac samowolnie obywatelstwa ani nikomu odmawiac prawa do zmiany obywatelstwa.
16-00	Artykul 16
