00-00	JAVADA JUNIBUN MAl DASIBI AUN AKAIBUN, JATU NEMATIDUBUMAKI
00-01	Ainbu inun juni yudakuinki, yuinakamadan. Jabiaskadi xinain, pepanametidubuki, detenamemadan. Jaska xinanma, sinatakin, yuda betsa chakabu va, nuitapamisbuki. Ikunkin, yuikin, xinain, xinan pepamisbuki, dateamadan.
00-02	Detenamekatsi ikama, xanen ibubun jancha pepa jau chibanunbunven. Javen nabu jivea pepa uinmatidubuki. Dasibi jau medabenamenunbunven, jaibunameidan.
00-03	Yudabu dasibi pepa xinain, juni inun ainbu jau dua vanunbunven, jabiaskadi vakinan. Yuda dasibi pe jivenunbunan. Jaska xinankin, xanen ibun javen nabu pepa vakatsi imiski.
00-04	Jaskaven taexun, yuda dasibibun unayan, xanen ibubu ichapa ichaxun, na jancha kenenibuki.
01-00	Articulo 1
01-01	Yudabu dasibi jabiaskadi akin, xinantidubuki. Javen taea jau jaibunamenunbunven.
02-00	Articulo 2
02-01	Na jancha dasibibun atidubuki, yuda mexupabu, yuda taxipabu, yuda juxupabu jusia, jancha betsa betsapabu, ikuain betsa betsapabu, baiyabu, baiumabu, jene betsa betsapaven jiveabu, bekex betsa betsapaven jiveabu, na dasibi jau duanamenunbunven, jabiaskadi vaidan.
03-00	Articulo 3
03-01	Dasibi unanuma maniabun, juni betsa betsapan jau nemayamanunbunven.
04-00	Articulo 4
04-01	Tsumavakin, dayamakin, java inamadan, chakabuki. Jau nemanunbunven.
05-00	Articulo 5
05-01	Ichakanika chakabuki. Jau nemanunbunven.
06-00	Articulo 6
06-01	Gobierno xanen ibubun yudabu dasibi jau dua vanunbunven, jabiaskadidan, javen jaibu bestimadan.
07-00	Articulo 7
07-01	Xanen ibu bexmastun jancha pepa chibanma, yudabu ichaka vaya, javen xanen ibun jau pevanunven.
08-00	Articulo 8
08-01	Ichaka vaken, gobierno xanen ibubun jau medabe vanunbunven, dau vakinan.
09-00	Articulo 9
09-01	Chakabu xinankin, guardiabun achixun, jau bichiyamanunbunven. Jakia pe xinankin, atiduki. Jabiaskadi achixun, mae betsanu jau nichinyamanunbunven.
10-00	Articulo 10
10-01	Yuda betsan yuikin -Ja juni chakabuki -ivanan, kupimakatsi ika, gobierno xanen ibubun javen xinan pepa, ninkakin, Jadatu pemen? akin, yukabaunkin, jau katununbunven, unankinan.
11-00	Articulo 11
11-01	Ja dukun juni pepa xanen ibun jau uinunven. Xinanxun javen chakabu uinkin -Juni chakabuki -ixun, xinantiduki. -En peki -ixun, uinmakatsi ika, xanen ibun ja juni jau medabe vanunven.
12-00	Articulo 12
12-01	Juni betsa jiveabu ichaka vatimaki. Unanma, juni betsa kidi chakabu yuitimaki. Unanma, juni betsa kidi chakabu vaken, xanen ibun jau nemanunven, medabe vakinan.
13-00	Articulo 13
13-01	Janida jivekatsi iki, itiduki. Javen mae jenebaini, katiduki. Xinan ana jukatsi iki, jutiduki.
14-00	Articulo 14
14-01	Javen mae anu ichaka vaya, mae betsa anu ka, janu unanuma jivetiduki.
15-00	Articulo 15
15-01	Dasibi mae jayabuki. Chakabu jayamaken, xanen ibun nichintidumaki.
16-00	Articulo 16
16-01	Junin ainbu eva ain vantiduki. Ainbun juni eva bene vatiduki. Ja dabe jabiaskadi itiduki.
16-02	Ja dabe bechipainamei, beneyamiski. Bechipaiamaken, bimatimaki.
16-03	Javen nabubes jivea, peki. Javen nabuuma, unanuma jivetidubumaki. Javen nabu xanen ibun jau mekenunven.
17-00	Articulo 17
17-01	Dasibi bai jayatidubuki. Pakamaxun, gobierno jatu mebintidumaki.
18-00	Articulo 18
18-01	Javada ikuankin, yuikin, yusinkin, ken vankin, juni betsa ichaka vama, itidubuki. Jau nemayamanunbunven.
19-00	Articulo 19
