00-00	LI XJULTIKANKIL XWANKILAL XLOQ'AL LI POYANAM SA' RUCHICH'OCH'
00-01	Xch'olob'ankil naq li waank sa' xyaalal, li waank sa' usilal ut li tuqtuukilal sa'li ruchich'och' toj naraj naq xk'eb'al xloq'al ut juntaq'eetaq xwankil chijunil li poyanam;
00-02	Xch'olob'ankil naq makach'in li raylal nak'ulman sa' ruchich'och' xb'aan naq maak'a' nake'raj re ut xik' nake'ril li xwankilal li xloq'al li poyanam, ut jo'kan naq xxaqab'aman kama' li jual aajel ru chiru li poyaman li xx'ub'ankil ru li ruchich'och' b'ar wi' li poyanam ink'a' te'xuwa rib' ut ink'a' sub'suqeb' sa' neb'a'il, re naq chi jo'kan sa naq te'aatinaq ut sa naq te'xpaab' li k'a'ru te'raj;
00-03	Xch'olob'ankil naq tento kolb'ilaq sa' li chaq'rab' li xwankilal ut li xloq'al li poyanam, re naq ink'a' taawakliiq chi xkolb'al rix sa' josq'il;
00-04	Xch'olob'ankil naq tento ajwi' xwaklesinkil li k'amok ib' sa' usilal sa' xyaanqeb' li k'ila tenamit sa' ruchich'och';
00-05	Xch'olob'ankil naq li Xch'uutamil li K'ila Tenamit sa' Ruchich'och' (Naciones Unidas) ak xe'xaqab' chi us sa' li xhuheb' li xwankilal ut li xloq'al li poyanam, li xjuntaq'eetil li wiinq rochb'en li ixq, ut xe'xke' xch'ool chi junajwa xwaklesinkil li tenamit re naq waanq xsahilal xyu'am ut twaanq sa' xyaalal;
00-06	Xch'olob'ankil naq li k'ila tenamit ch'utch'uukeb' sa' ruchich'och xe'xye naq te'xkol rix li xwankil ut li xloq'al li poyanam sa' chijunil li ruchich'och', ut
00-07	Xch'olob'ankil naq aajel ru naq juntaq'eet chi tawmaanq ru li na'leb' xyeeman arin, re naq chi tz'aqatz'aqal tauxmaanq;
00-08	Li Xnimla Ch'utam li K'ila Tenamit sa' Ruchich'och' naxxaqab' li xjultikankil li xwankilal xloq'al li poyanam sa' ruchich'och' re naq a'an wanq sa' xch'ooleb' chijunil li tenamit, a'an li te'xsik' chi junelik sa' junesal jo' sa' komonil, re naq te'xwaklesi rik'in li tzolom li roxloq'inkil li usilal ut li sahilal a'in ut te'xk'e xch'ool chi xb'aanunkil sa' xb'een chijunil li ruchich'och'.
01-00	Xb'een raqal (1)
01-01	Chijunil li poyanam juntaq'eet wankil xloq'al naq nake'yo'la, ut kama' ak reheb' naq wan xna'leb'eb ut nake'reek'a rib', tento naq te'xk'am rib' sa' usilal chirib'ilrib'eb'.
02-00	Xkab' raqal (2)
02-01	Chijunil li usilal chaab'ilal wan sa' li Jultikahom a'in a'an re chijunil li poyanam, maak'a' naxye b'ar elajenaq, b'ar yo'lajenaq', chanru nailok, ma ixq ma wiinq, k'a'ru li raatinob'aal, li xpaab'aal, k'a'ru naxk'a'uxla chirix li awab'ejiink malaq k'a'ru chik chi na'leb'il, us ta b'ihom us ta neb'a', ut k'a'aq re ru chik.
02-02	Jo'kan ajwi' maak'a' naxye chanru wan li tenamit b'ar wi' chaljenaq wi'.
03-00	Rox raqal (3)
03-01	Chijunil li poyanam kolb'ilaq rix, jo' li xyu'am jo' li xwanjinik sa' xyaalal.
04-00	Xkaa raqal (4)
04-01	Maajun li poyanam tireechani ta junaq chik li poyanam malaq tixtawasi ta rik'in kawil k'anjel. A'in ramb'il tz'aqal chiru li chaq'rab'.
05-00	Ro' raqal (5)
05-01	Maani taaruuq tatawasiiq, tak'eheq chi toje'k xmaak malaq tasak'e'q chi yo'on malaq takub'siiq xwankil xpoyanamil.
06-00	Xwaq raqal (6)
06-01	Chijunil li poyanam yalaq b'ar naru xaqab'anb9ilaq xwankil chiru li chaq'rab'.
07-00	Xwuq raqak (7)
07-01	Juntaq'eeteb' chijunil li poyanam chiru li chaq'rab' ut juntaq'eet ajwi' naq kolb'ilaqeb' chiru. Junta'eet naq kolb'ilaqeb' wi te'raj ch'e'e'k chiru li usilal chaab'ilal wan chisa' li Jultikahom a'in.
08-00	Xwaqxaq raqal (8)
08-01	Chijunil li poyanam naru tajitoq chiru li chaq'rab' re naq takole'q xwankilal xloq'al wan sa' li Xnimal Ruhil Chaq'rab' jo' ajwi' sa' li k'ila chaq'rab'.
09-00	Xb'elee raqal (9)
09-01	Maani naru tachape'q, tak'eheq' sa' tz'alam malaq taisiiq sa' xtenamit wi maak'a' xmaak.
10-00	Xlajee raqal (10)
10-01	Chijunil li poyanam naru taa'ab'iiq sa' juntaq'eetil ut chiru tenamit, xb'aan junaq li raqob'aal aatin ak a'an xk'anjel xaqxooq wi', re naq tasik'e'q chanru wan chiru li chaq'rab' malaq k'a'ut naq yo chi q'ab'aak.
11-00	Xjunlajuhil raqal (11)
11-01	Chijunil li poyanam q'ab'anb'il, naru xyeb'al naq maak'a' xmaak wi maji' natawman xmaak, chiru li chaq'rab' ut chiru li tenamit, ut b'ar wi' nak'utun naq xteenq'aak chi us chi xkolb'al rib'.
11-02	Maani tak'eheq chi toje'k xmaak wi li xb'anuhom malaq ink'a' xb'anuhom, moko maak ta chiru li charq'rab' naq xk'ulman. Jo'kan ajwi' ink'a' naru xk'eb'al xtz'aqob' xtojb'al xmaak wi' maawa' a'an wan sa' li chaq'rab' naq xmaako'.
12-00	Xkab'lajuhil raqal (12)
12-01	Maani tach'i'ch'i'iiq chi maak'a' xyaalal, jo' sa' xjunkab'al, sa' rochoch, malaq xtanql hu, malaq re xjob'al. Chijunil li poyanam naru tixkol rib' chiru li chaq'rab' wi yo chi ch'i'ch'i'iik chi jo'kan.
13-00	Roxlajuhil raqal (13)
13-01	Chijunil li poyanam yalaq b'ar taaruuq tab'eeq ut yaal re k'a'ru tenamitul takanaaq wi' chi waank.
13-02	Chijunil li tenamit naru tixkanab' li poyanam, us ta li re, ut naru tasutq'iiq sa xtenamit.
14-00	Xkaalajuhil raqal (14)
14-01	Wi yo chi sik'e'k junaq li poyanam naru tixkol rib' sa' junaq chik tenamit.
14-02	A'in ink'a' naru xb'aanunkil wi tz'aqal ch'olch'o sa' raqob'aal aatin naq wan xmaak chiru li chaq'rab' malaq chiru li xyehom xna'leb'il xch'utaamil li xk'ila tenamitul li ruchich'och'.
15-00	Ro'lajuhil raqal (15)
