00-00	E'E JNA JAU LA KIO LE KOe MUKUU KIO NIA NE KIO TSA RUeJNIA
00-01	Koe.
00-02	Ejmo' chu e kio tsa makaloo ne sia majmo'juis†kio mukuu sia maours e kio kalakues i sia juyi' tinei' kio juso kia' kure i tasia li ko' sasia' kio lej† tsa rue jnia tsa tio jila suo.
00-03	Tue.
00-04	Ejmo' e sasno sia kalakues ne sia i ki ekio juso e kio sou e kani male i mugu† sia nioa e kio michii kio mukuu ne e kio jua'ts ale kal† jue'ga jmoo sanue' e ma kua koe mukuu e tiou jnia re lej† tsa ruejnia, maka k† y koe ne ekio tini; Lii maji jau kioe ne jna l† jaea soul li lijmo' jnia le nio jnia kio juise kio.
00-05	Ne.
00-06	Ejmo' kio jna juso kiojnia i jmo i tsa l†̎ ta jue'; mojoo tsa nue' li lijmos ii juso ijmoo tsa jue' ini e kio tsa ni ki jo kaaes mugu† ne ekio sia kues ijmonia lej† ijnio jnia.
00-07	Kiue.
00-08	Ejmo' chu kio lej†̎ jnia jmo' tio ilii ta ne ele' kioe amei joe' kio le koe mukuu.
00-09	Naa.
00-10	Ejmo'kio lej†̎ tsa juu ne ekio le koe mukuu e makajmos tso ni lii jmo' i jau juso kio sanue' ji roo juyi' ne iki nue sou ne kure jmo' juso le sanue' ne tsam†̎ y makales' makal† ijmos sou re kio lej†̎ lene soo ti sa†' kio tsa siae gi li jmos jue'ga kio lej†̎ tsaloo.
00-11	Jni.
00-12	Ejmo' re kio lej†̎ tsou tsa kua e'e jmos ilii re kio lej†̎ sou le koe mukuu, ne mako mukuu ijmos kusoo juso kio tsa loo kati nei† kio tsa nu'; Ejmo' koe kio lej†̎ ilaa juso ne saloo i jue' ijmo' i kio ilii imakajua's.
00-13	Kio.
