00-00	Auahyteyhsa izinkea Zegeitsyrzeipshu Adeklaratsia
00-01	Dyzustzaalak, auaateyhsate taatseara ialakheu ihatyri, iara iuzikeymtkho imou izinkeei, akhakeitrei, aiasharei, aduneizhelarbzharatei atynchrei shatas ishrymou khshyhzyshtra azua,
00-02	iara ubas auahy izinkea rateambarei khyrhaa rymtarei, lamys zmou darbanzaalak izymychhasha agygsheygrate khymhapgasha akyndza auahy dyshnanagakho eilkaany, nasgy auahy iazheei iduneikheapshyshei drykeitny, ashearei amamzaarei dydmyrgeakua – adunei iakhabalak abri ahyza apstazaara aptsara auahy zeg ireihau igeyghrakea ishyruakyu khshyhzyshtra azua,
00-03	iara ubas, auahy adzhamygheei akheurei iaartny dyrchamgylar ada tsarta imamkea akyndza inamgaraz, auahy izinkea azakuan amchra iamykhchar ada psykhea shykam khshyhzyshtra azua,
00-04	iara ubas azhelarkea reihyzara aizhazyghara atskhyraara shatakhyu khshyhzyshtra azua,
00-05	iara ubas Eidu Amilatkea Reichkaara ialakheu azhelarkea auah ikhadarou izinkeei, ipatui, auah ikhatara aharakyrei, khatsei pheysi zinla reikararei – abart zeg rakh irymou ageragara rypkaptsa akny ishakerghegheany auaazhelarrate chiarei auah eiha akhakeitra imany ipstazaara aighterei iatskhraarts shyrydzbaz khshyhzyshtra azua,
00-06	iara ubas eilakheu aheyntkarrakeei Eidu Amilatkea Reichkaarei rus eitsurala, zeg eitsyrzeipshu ahatyreiketsarei auahyteyhsa izinkeei ikhadarou ikhakeitrakeei rymhapgara iatskhraarts akhyrydzbaz khshyhzyshtra azua,
00-07	iara ubas art azinkeei akhakeitrakeei eitseipshny zeg rzy ailkaarei, rkhy iadyrtsaz abri aus anagdzarei atsak du shrymou khshyhzyshtra azua
00-08	Assambleia Khada
00-09	irylanaheoit auahyteyhsa izinkea Zegeitsyrzeipshu Adeklaratsia, azhelarkeei aheyntkarrakeei zegy zynagdzara rchazyrsheo khykekyk ahasabala iakheapshny, darbanzaalak auahi, ailazaara iarban khutazaalakgy abri Adeklaratsia rkhy iarkheany, atsaradyrra alartseara amhala abart azinkeei akhakeitrakeei hatyr ryketsara iatskhraaua, eiueipshym amilattei, zhelarbzharatei aprogressivte uskhkkea rynagdzarala, iakhabalk, Eidu Amilatkea Reichkaara ialakheu aheyntkarrakea rykneipsh, urt rnapatsaka ikou ateylakea irykenkho azhelarkeagy eitsyrzeipshny irydyrkylarts, iagynarygdzalarts azy.
01-00	Akhetach 1
01-01	Darbanzaalak auahy dshoup ikhy dakeitny. Auaa zeg zinlei patulei eikaroup. Urt irymoup akhshyhi alamysi, dara darag aeshei aeshei reipsh eizykazaroup.
02-00	Akhutach 2
02-01	Darbanzaalak auahy abri Adeklaratsia irylanaheo azinkeei akhakeitrakeei zeg imazaroup, milatlei, khatsalei pheyslei, byzshealei, khyltsshtralei, dinlei, mallei, matsuralei, nkharta typlei duneikheapshyshalei, tseapshsheakheylei dyztsazkuazaalak.
02-02	Iara ubas dakhykenkho ateyla apolitikate, azinte, ma Aduneizhelarbzharatei astatus zeipshrazaalak, ui ateyla khypshymzarg, ma akhate napkhgara amamkua adzeyr inapatsaka ikazag, mamzargy dachakala akhakeitra nadza amamzargy.
03-00	Akhetach 3
