00-00	Az Emberi Jogok Egyetemes Nyilatkozata
00-01	Tekintettel arra, hogy az emberiseg csaladja minden egyes tagja meltosaganak, valamint egyenlo es elidegenithetetlen jogainak elismerese alkotja a szabadsag, az igazsag es a beke alapjat a vilagon,
00-02	Tekintettel arra, hogy az emberi jogok el nem ismerese es semmibevevese az emberiseg lelkiismeretet fellazito barbar cselekmenyekhez vezetett, es hogy az ember legfobb vagya egy olyan vilag eljoevetele, amelyben az elnyomastol, valamint a nyomortol megszabadult emberi lenyek szava es meggyozodese szabad lesz,
00-03	Tekintettel annak fontossagara, hogy az emberi jogokat a jog uralma vedelmezze, nehogy az ember vegso szueksegeben a zsarnoksag es az elnyomas elleni lazadasra kenyszerueljoen,
00-04	Tekintettel arra, hogy igen lenyeges a nemzetek koezoetti barati kapcsolatok kifejezodesenek elomozditasa,
00-05	Tekintettel arra, hogy az Alapokmanyban az Egyesuelt Nemzetek nepei ujbol hitet tettek az alapveto emberi jogok, az emberi szemelyiseg meltosaga es erteke, a ferfiak es nok egyenjogusaga mellett, valamint kinyilvanitottak azt az elhatarozasukat, hogy elosegitik a szocialis haladast es nagyobb szabadsag mellett jobb eletfelteteleket valositanak meg,
00-06	Tekintettel arra, hogy a tagallamok koeteleztek magukat arra, hogy az Egyesuelt Nemzetek Szervezetevel egyuettmukoedve biztositjak az emberi jogok es alapveto szabadsagok altalanos es tenyleges tiszteletbentartasat,
00-07	Tekintettel arra, hogy a jogok es szabadsagok mibenlete tekinteteben koezoes felfogas kialakitasanak a legnagyobb jelentosege van az emlitett koetelezettseg maradektalan teljesitesenek szempontjabol
00-08	a koezgyules kinyilvanitja az emberi jogok egyetemleges nyilatkozatat
00-09	mint azt a koezoes eszmenyt, amelynek eleresere minden nepnek es minden nemzetnek toerekednie kell abbol a celbol, hogy minden szemely es a tarsadalom minden szerve, allandoan szem elott tartva a jelen Nyilatkozatot, oktatas es neveles utjan elomozditsa e jogok es szabadsagok tiszteletbentartasanak kifejleszteset, valamint azoknak fokozatosan megvalosulo hazai es nemzetkoezi jogszabalyok utjan toerteno altalanos es tenyleges alkalmazasat es elismereset mind a tagallamok nepei koezoett, mind pedig a joghatosaguk alatt allo terueletek nepei koezoett.
01-00	1. cikk
01-01	Minden. emberi leny szabadon szueletik es egyenlo meltosaga es joga van. Az emberek, esszel es lelkiismerettel birvan, egymassal szemben testveri szellemben kell hogy viseltessenek.
02-00	2. cikk
02-01	Mindenki, barmely megkueloenboeztetesre, nevezetesen fajra, szinre, nemre, nyelvre, vallasra, politikai vagy barmely mas velemenyre, nemzeti vagy tarsadalmi eredetre, vagyonra, szueletesre, vagy barmely mas koeruelmenyre valo tekintet nelkuel hivatkozhat a jelen Nyilatkozatban kinyilvanitott oesszes jogokra es szabadsagokra.
02-02	Ezenfeluel nem lehet semmifele megkueloenboeztetest tenni annak az orszagnak, vagy terueletnek politikai, jogi vagy nemzetkoezi helyzete alapjan sem, amelynek a szemely allampolgara, aszerint, hogy az illeto orszag vagy teruelet fueggetlen, gyamsag alatt all, nem autonom vagy szuverenitasa barmely vonatkozasban korlatozott.
03-00	3. cikk
