00-00	AMEGBETO FE ABLODEVINYENYE NGU KPEDODZINYA
00-01	Esi wode dzesi kotee be, amegbetowo kata fe gomekpokpo sosoe, anye gomedokpe na amegbetofomea fe ablodemenono, nutefewowo kple ngutifafa le xexeame ta la.
00-02	Esi eme va ko faa be, ablodevinyenye si nye amegbeto desiade to la ngu mabumabu akpo gboe wotso be hlonuwowo de amegbetofomea ngu va bo ta la, amewo fe dzitsinya va tsi tre de nuwona vloe sia nguti ale wode adzogbe hedoe kplikpaa be, le egbe xexe sia me la, ele be amegbeto nano agbe le ablode me, ade efe didi agblo faa vovo manomee, asubo nusi dzi woxo se, avo tso ngodzidodoname si me eye hiakame maganye agbenono fe afoklinu na ame hahoawo o nguti la,
00-03	Esi wodo kpe edzi be, ehia be se nadzo Amegbeto fe Ablodevinyenye ngu Kpedodzinya la ngu, be ametetedeto kple funyafunyawowo ame magawoe be ame adeke nayi edokui ta vli gei la to agladzedze me o nguti la,
00-04	Esi wohia vevie be woado duko kple dukowo dome kadodo de nggo le xexemedukowo kata dome ta la,
00-05	Esi Xexeme Duko Fofuawo de adzogbe le wofe Dodo si te wode asie la me be, to Amegbeto fe ablodevinyenye ngu Kpedodzinya me la, amegbeto desiade, edanye nyonu alo ngutsu o, fe gomekpokpo so eye wokpo mo be to esia me la, hadomegbenono azo de nggo, ablode asu amesiame si wu tsa eye agbenono nadze edzi nyuie na amesiame wu tsa ta la,
00-06	Esi duko siwo kata da asi de Kpedodzinya dzi la de adzogbe be yewoakpo egbo be amesiame de bubu Kpedodzinya la kple amewo fe ablodemenono bliboe ngu kpakple ngkulele de dodo la nguti to dekawowo me kple Xexeme Duko Fofuawo la,
00-07	Esi eme ko faa be gomekpokpo kple Ablodemenono gomesese tsitotsito nye nu vevito wu, hena takpokpo na adzogbedede sia bliboe ta la,
00-08	XEXEME DUKO FOFUAWO FE TAKPEKPEGA LE GBEFA DEM:
00-09	Amegbetowo fe Ablodevinyenye ngu Kpedodzinya sia be, enye dodo si dzi mieda asi do na amewo kata le xexeame godoo. Miele mokpokpo me be amesiame kple xexeame habobo desiade le afisiafi azo de Kpedodzinya sia nu. Woakakae de xexeame kata to efiafia kple emedede na amewo me. Esia awoe be amewo nase Kpedodzinya la gome eye woaxoe, awo de edzi be, agbenono natso afo nyuie le Duko siwo le Xexeme Duko Fofuawo fe Habobo me la me. Wokpo mo be woakaka Kpedodzinya la de Xodeasinyigba siwo dzi dum duko adewo le la ha me hena dzidzedzekpokpo.
01-00	KPEDODZINYA DODO 1
01-01	Wodzi amegbetowo kata ablodeviwoe eye wodzena bubu kple gomekpokpo sosoe. Susu kple dzitsinya le wo dometo desiade si eyata wodze be woano anyi le dekawowo blibo me.
02-00	KPEDODZINYA DODO 2-LIA
02-01	Ele be amesiame nakpo gome le ablodevinyenye fe dodo siwo kata le Kpedodzinya la me me. Woawo dodo siawo dzi vovototodeameme manometoe de efe dzotsofe, ngutigbale fe amadede, ngutsu alo nyonuyenye, gbegbogblo, xosehamenono, dunyahehamenono, ame fe susu fe vovototo, devinyenye alo dofe toxe adeke ta o.
02-02	Gawu la, vovototodeameme madze le ame adeke fe dunyahenyawo alo efe dukoa fe kadodo kple duko bubuwo me o. Nenema ke ame la fe duko si me wotso la danye duko no-edokui si o, edanye xodeasi duko alo duko manodokuisi o, vovototodeameme nuwona adeke mayi edzi ku de engu o.
03-00	KPEDODZINYA DODO 3-LIA
03-01	Ele be amesiame nano agbe leablode kple dedienono me.
04-00	KPEDODZINYA DODO 4-LIA
04-01	Womatso ame adeke awo kluvie alo adoe awobae o, woatsi kluvinyenye kple kluvisitsatsa nu gbidii le mo vovovoawo nu.
05-00	KPEDODZINYA DODO 5-LIA
05-01	Womawo funyafunya ame, ase tame le engu, awo hlonu adeke de engu, ahe to ne ahadi gboe o.
06-00	KPEDODZINYA DODO 6-LIA
06-01	Woade bubu amesiame ngu le afisiafi abe amegbeto ene le se la nu.
07-00	KPEDODZINYA DODO 7-LIA
07-01	Amewo kata so le se la dziwowo me eye wo kata akpo gome le se la fe wo tavivli me vovototomanomee.
08-00	KPEDODZINYA DODO 8-LIA
08-01	Gomekpokpo le amesiame si le dukoa fe vonudrofewo hena dododowowo siwo ku de efe ablodevinyenye fe kuxiwo ngu abe alesi wole dukplose la me ene.
09-00	KPEDODZINYA DODO 9-LIA
09-01	Womale ame adeke akpasesetoe, azi edzi de gaxome, alo anyae le dukoa me de adzemadze dzi o.
10-00	KPEDODZINYA DODO 10-LIA
