00-00	ADAM KUKYKTARYNYN ZhALPYGHA BIRDEI DEKLARATSIYaSY
00-01	Adam balasy uielmeninin barlyk mushelerine ten kadir-kasietin, kukyktarynyn tendigi men tartyp alynbaityndyghyn tanu, bostandyk pen edildiktin zhene zhalpygha birdei beibitshiliktin negizi bolyp tabylatynyna nazar audara otyryp,
00-02	adam kukyktaryna degen elemeushilik, mensinbeushilik adam balasy arynyn zyghyrdanyn kainatatyn taghylyk zhaghdaigha ekelip soghatynyna zhene dunie zhuzi adamdary soz ben nanym-senim bostandyktaryna ie bolyp, urei men muktazhdyktan ada bola alatyn ortany kuru – adam balasynyn zhoghary mertebeli umtylysy dep zhariyalanghanyna nazar audara otyryp,
00-03	adam balasy zorlyk-zombylyk pen kanaugha karsy koteriliske mezhbur bolatyn zhaghdaidy tudyrmau ushin, adam kukyktary zan biligimen korghaluy kerek ekenine nazar audara otyryp,
00-04	khalyktar arasynda dostyk karym-katynastyn damuyna zherdemdesu kerek ekenine nazar audara otyryp,
00-05	BirikkenUlttar elderi oz Zharghysynda negizgi adam kukyktaryna, zheke adam basynyn kadir-kasieti men kundylyghyna zhene erler men eielderdin tendigine senimderin rastap, eleumettik progress pen adamgha ylaiyk omir suru dengeiin, naktylanghan bostandyktardan tys, ken aukymdy bostandyktardy arttyrugha zherdemdesu kerek degen sheshimge kelgenderine nazar audara otyryp,
00-06	mushe-memleketter Birikken Ulttar Uiymymen yntyktamasa otyryp, adam kukyktary men negizgi bostandyktary zhalpygha birdei kurmettelip saktaluyna ykpal zhasaugha mindettengenderine nazar audara otyryp,
00-07	osy mindettemelerdi tolykkandy zhuzege asyru zholynda osy kukyktar men bostandyktardyn men-maghynasy men erekshelitkterin ughynyp tusinudin manyzy zor ekendigine nazar audara otyryp,
00-08	BAS ASSAMBLEYa,
00-09	Adam kukyktarynyn zhalpygha birdei Deklaratsiyasyn bukil khalyktar men memleketterdin umtylystary arkyly er adammen katar, koghamnyn er organy osy deklaratsiyany unemi zhadynda tutyp, bilim beru zhene aghartu zhumystary arkyly osy kukyktar men bostandyktardy kadir tutugha ykpal zhasap, ulttyk khalykaralyk sharalar arkyly Uiymnyn mushe-memleketterinin khalyktarymen kosa, olardyn yurisdiktsiyasyna karasty territoryalardyn khalyktary arasynda da, zhalpygha birdei tiimdi turde tanylyp, zhuzege asyryluy ushin algha koiylghan maksat retinde zhariya etip otyr.
01-00	1 bap
01-01	Barlyk adamdar tumysynan azat zhene kadir-kasieti men kukyktary ten bolyp duniege keledi. Adamdargha akyl-parasat, ar-ozhdan berilgen, sondyktan olar bir-birimen tuystyk, bauyrmaldyk karym-katynas zhasaulary tiis.
02-00	2 bap
02-01	er adam, nesiline, tur-tusine, zhynysyna. tiline, dinine, sayasi nemese baska da nanym-senimderine, ulttyk, nemese eleumettik tegine, muliktik. tektik-toptyk, nemese baska da zhaghdayattargha karamastan osy Deklaratsiyada zhariyalanghan barlyk kukyktar men bostandyktargha alalanbai, birdei ten ie boluy tiis.
02-02	Sonymen katar, eshkim de ozi turatyn elinin, ne bolmasa territoriyanyn sayasi, kukyktyk, nemese khalykaralyk mertebesinin negizi boiynsha, zhene de ol territoriya teuelsiz, elde bireudin karamaghynda, elde ozin-ozi baskarushy emes, nemese onyn egemendigi erturli nysanda shekteuli bolghan kunnin ozinde de, alalanbauy tiis.
03-00	3 bap
03-01	er adam omir suruge, bostandykta bolugha zhene onyn zheke basyna kol sughylmauyna kukyly.
04-00	4 bap
04-01	Eshkim de kuldykta nemese kiriptarlykta ustaluy tiis emes. Kuldyk pen kul saudasyna, kandai turde bolsa da, tyiym salynady.
05-00	5 bap
05-01	Eshkim de azaptalugha nemese kadir-kasietin korlaityndai adamshylykka zhatpaityn katygezdik zholmen zhebirlenuge, nemese zhazalanugha tiis emes.
06-00	6 bap
06-01	er adam kai zherde zhurse de, kukyktyk subektisi retinde tanyluyna kukyly.
07-00	7 bap
07-01	Zan aldynda zhurttyn beri ten zhene de zan arkyly alalanbai, birdei ten korghalugha kukyly. Barlyk adam osy Deklaratsiyanyn erezhelerin buzatyn kemsituden zhene kemsituge arandatushylyktyn barlyk turinen ten korghalugha kukyly.
08-00	8 bap
08-01	er adam, konstitutsiyamen, nemese zanmen berilgen negizgi kukyktary buzylghan zhaghdaida, kukyghyn kuzyretti ulttyk sot arkyly tiimdi turde kalpyna keltiruge kukyly.
09-00	9 bap
09-01	Eshkim de negizsiz tutkyndalugha, kamauda ustalugha nemese kughyngha ushyratylugha tiis emes.
10-00	10 bap
10-01	er adam, ozinin kukyktary men mindetterin anyktap, ozine taghylghan kylmystyk aiyptaudyn negizdiligin belgileu ushin, isi tolyk tendik negizinde, edilettik talaptargha sai, teuelsiz zhene edil sot arkyly ashyk karaluyna kukyghy bar.
11-00	11 bap
11-01	Kylmys zhasady dep aiyptalghan er adam, korghanu kukyghy kamtamasyzdandyrylyp, zandy zhene ashyk sot talkylauy onyn kinesin tolyk anyktaghangha deiin, kinesiz dep esepteluge kukyghy bar.
11-02	Eshkim de zhasaghan ereketi nemese ereketsizdigi negizinde, eger ol ereketi ulttyk zandar men khalykaralyk kukyk boiynsha kylmys bolyp sanalmasa, zhauapka tartylmaidy. Sonymen katar kylmys ushin berilgen zhaza, kylmys zhasalghan kezde zanmen kozdelgen zhazadan auyr bolmaugha tiis.
12-00	12 bap
12-01	er adam zheke zhene otbasylyk omirine ozgelerdin oz betinshe aralasuynan, ozbyrlyk zhasap baspanasyna, khat zhazysyp-alysu kupiyasyna kol sughuynan, ar-namysy men abyroi bedeline nuksan keltiruinen korghalugha kukyghy bar.
13-00	13 bap
13-01	er adamnyn er memlekettin ishinde zhurip-turuyna zhene oz kalauynsha turatyn meken-zhaidy tandauyna kukyghy bar.
13-02	er adam kez-kelgen elden, sonyn ishinde ozinin tughan elinen, baska elge konys audarugha zhene oz eline kaityp oralugha kukyly.
14-00	14 bap
14-01	er adamnyn kughyngha ushyraghan zhaghdaida, baska elderden baspana izdep zhene sol baspanany paidalanugha kukyghy bar.
14-02	Bul kukyk shyntuatynda sayasi emes kylmystyn negizinde, nemese Birikken Ulttar Uiymynyn maksattary men kaghidalaryna kaishy keletin ereketteri ushin kughyndalghandargha zhurmeidi.
15-00	15 bap
15-01	er adamnyn azamattykka kukyghy bar.
15-02	Eshkimdi de azamattyghynan nemese azamattyghyn ozgertu kukyghynan eriksiz aiyrugha bolmaidy.
16-00	16 bap
16-01	Kemelettik zhaska tolghan erler men eielder ozderinin nesiline, ultyna, dinine karamastan nekege turyp, otbasyn kurugha kukyly. Olar nekege turghan, nekede bolghan zhene azhyraskan kezde birdei kukyktardy paidalanady.
