00-00	Insan haklari evrensel beyannamesi
00-01	Insanlik ailesinin buetuen ueyelerinde bulunan haysiyetin ve bunlarin eshit ve devir kabul etmez haklarinin taninmasi hususunun, huerriyetin, adaletin ve duenya barishinin temeli olmasina,
00-02	Insan haklarinin taninmamasi ve hor goeruelmesinin insanlik vicdanini isyana sevkeden vahshiliklere sebep olmush bulunmasina, dehshetten ve yoksulluktan kurtulmush insanlarin, isinde soez ve inanma huerriyetlerine sahip olacaklari bir duenyanin kurulmasi en yueksek amaslari oralak ilan edilmish bulunmasina,
00-03	Insanin zuluem ve baskiya karshi son sare olarak ayaklanmaya mecbur kalmamasi isin insan haklarinin bir hukuk rejimi ile korunmasinin esasli bir zaruret olmasina,
00-04	Uluslararasinda dostsa ilishkiler gelishtirilmesini teshvik etmenin esasli bir zaruret olmasina,
00-05	Birleshmish Milletler halklarinin, Antlashmada, insanin ana haklarina, insan shahsinin haysiyet ve degerine, erkek ve kadinlarin eshitligine olan imanlarini bir kere daha ilan etmish olmalarina ve sosyal ilerlemeyi kolaylashtirmaya, daha genish bir huerriyet iserisinde daha iyi hayat shartlari kurmaya karar verdiklerini beyan etmish bulunmalarina,
00-06	Ueye devletlerin, Birleshmish Milletler Teshkilati ile ishbirligi ederek insan haklarina ve ana huerriyetlerine buetuen duenyada gersekten saygi goesterilmesinin teminini taahhuet etmish olmalarina,
00-07	Bu haklar ve huerriyetlerin herkesse ayni shekilde anlashilmasinin yukaridaki taahhueduen yerine getirilmesi isin son derece oenemli bulunmasina goere,
00-08	Birleshmish Milletler Genel Kurulu,
00-09	Insanlik toplulugunun buetuen fertleriyle uzuvlarinin bu beyannameyi daima goezoenuende tutarak
00-10	oegretim ve egitim yoluyla bu haklar ve huerriyetlere saygiyi gelishtirmeye, gittikse artan milli ve milletlerarasi tedbirlerle gerek bizzat ueye devletler ahalisi gerekse bu devletlerin idaresi altindaki uelkeler ahalisi arasinda bu haklarin duenyaca fiilen taninmasini ve tatbik edilmesini saglamaya gayret etmeleri amaciyla buetuen halklar ve milletler isin ulashilacak ortak ideal olarak ishbu Insan Haklari Evrensel Beyannamesini ilan eder.
01-00	Madde 1
01-01	Buetuen insanlar huer, haysiyet ve haklar bakimindan eshit dogarlar. Akil ve vicdana sahiptirler ve birbirlerine karshi kardeshlik zihniyeti ile hareket etmelidirler.
02-00	Madde 2
02-01	Herkes, irk, renk, cinsiyet, dil, din, siyasi veya diger herhangi bir akide, milli veya istimai menshe, servet, dogush veya herhangi diger bir fark goezetilmeksizin ishbu Beyannamede ilan olunan tekmil haklardan ve buetuen huerriyetlerden istifade edebilir.
02-02	Bundan bashka, bagimsiz memleket uyrugu olsun, vesayet altinda bulunan, gayri muhtar veya sair bir egemenlik kayitlamasina tabi uelke uyrugu olsun, bir shahis hakkinda, uyrugu bulundugu memleket veya uelkenin siyasi, hukuki veya milletlerarasi statuesue bakimindan hisbir ayrilik goezetilmeyecektir.
03-00	Madde 3
03-01	Yashamak, huerriyet ve kishi emniyeti her ferdin hakkidir.
04-00	Madde 4
04-01	His kimse koelelik veya kulluk altinda bulundurulamaz; koelelik ve koele ticareti her tuerlue shekliyle yasaktir.
05-00	Madde 5
