00-00	QUERO ANCOTAVACAAJIAQUEMPANI MAASANO CAQUINTE ANCHOOCMIAQUENIJI CAMEETSA
00-01	Ariqueate aquejetavacaajiaca maasano. Anintajiaque anchoocajiaque cameetsa. Tee oncameetsateji iromperanajiacaji itsipapae, tee oncameetsatej iramataviij iacaj i, tee oncameetsatej i iraacaantsiitacaj i, tee oncameetsatej i irashimirintaj iacaj i. Aatogueti itsatiro maasano caquinte ocatica tioncanquitsica, aato achoocajigui cameetsa.
00-02	Atsajiaque caaviji ocameetsamajaque ancavintsaajiaqueri itsipapae caquintepae. Irooquea cotanquitsi chooca atsipetacaaj iacarica i tsipapae. Teequeate oncameetsateji. Tee amejiguemparoji yantajiguica iriatimpa. Tee anintaj igueji inchoocaque catsimatashitacaj ineca arigueti anquenquetsajiaquero quejetaroca aninque antsavetacotanqueri Aapani Irioshi. Tee oncameetsateji irinijashinaj icaji. Ocameetsataque anquemisantajiaquero taaca opajitapae anintajiaqueca. Tee anintajigue inchoocaque catsimatimentacajironeca, iroguenti anintajiaque anchoocaque cameetsa, aatoquea ashoshoguitetimentiro taacaopajitapae. Aisa anintajiaque onchoocaguetaque ashecapae, avatsacaropae, maasano, aatonijite ashimampoancajiga.
00-03	Atsajiaquequeate aisa ocameetsataque impigamentajiacaji irira majirontaguetatsica aisa coareta, maasano. Teequeate oncameetsateji incatsimatashicaji. Aisa arica incatsimatashij iacaj i itsipapae, ocameetsataque iramicaj iamaj irote, aatoquea yoguishinej iri catsimajiacajinemeca, mana irogameetsantavaqueri, aatoniji maasano acatsimatavacaga.
00-04	Atsajiaquequea aisa ocameetsataque incavintsajavacaajiaquempa maasano caquinteguetatsica.
00-05	Ariqueate aquejetavacaajiaca: chooca cameetsaguetatsica anintajiaqueca. Irootaquequea acapiocantajiacaca ocaniqui, aquenaguepojaque maasano guinteninintsipaequi. Icameetsajiaque maasano caquinte: tee oncameetsateji anaaqueri, tee oncameetsateji ashirontimentempari. Choocaqueate amejigaca aisaquea anintajiaqueca maasano: shirampari, manquigarentsi, maasano. Anintajiaque anchoocajiaque cameetsa onchoocaguetanaquenijite anintaguequeca.
00-06	Aroguentiqueate itigancanejia agonoropae ontaniqui aguintenipaequi, acoraquepinijiaque acaniqui atsatacaavacaajica. Atsipajiacaca Naciones Unidas, maasano anintajiaque aguishinejajiaqueri maasano caquintepae icoacocaca aisa aguishineavacaajiaquempa cameetsaguetatsica amejiacaca. Tee oncameetsateji amperanajiguemparigueti itsipa.
00-07	Ariqueate ocameetsataque antioncajiaqueneri maasano caquintepae ocatica anejaguequeca cameetsa. Ocameetsataque irimajiaquero maasano caquinte: tee oncameetsateji inchoocate tsaneaquemparineca.
00-08	Irootaquequeate notioncantajiacaroca naatimpavio
00-09	ASAMBLEA GENERAL
00-10	ocatica cantajiacajineca:
00-11	"Quero Ancotavacaajiaquempani Maasano Caquinte Anchoocajiaqueniji Cameetsa" Choocaquea noncamantajiaquerica maasano caquintepae, querocagueti ichoocajiguigueti aisa querocagueti ocantagueta iguenquetsatsare iriatimpa. Ocameetsataque inquenquejaquero maasano caquinte ocatica notioncaqueca, incavintsajantajiaquemparica itsipapae. Aisaquea ocameetsataque antsatacaajiaqueri maasano caquintepae, querocagueti ichoocaguetigueti.
01-00	Antsajiaqueca 1
01-01	Aquejetavacaajiaca maasano caquinte. Chooca aquenquejantaca maasano, chooca amejigaca, atsajiaque taaca opajitapae ocameetsataque antajiguica. Tee oncameetsateji iromperaperanajicaji, tee oncameetsateji irogashinoncajajiacaji. Jero cameetsatatsica aavacaj aiaquempa.
02-00	Antsajiaqueca 2
02-01	Anintajiaque intsajiaquero maasano caquinte ocatica cameetsaguetatsica ationcacotaqueca. Tee oncameetsatej intsaneacotaquemparo. Aritari aquejetavacaajiaca, aato acantimentiri itsipapae: "Aato noguishinejimpi aviatimpa. Picantashitatiaca tee nogonorontempij i, ocantashitatiaca pitsino, aviatimpa manquigarentsi, ocantashitatiaca piguenquetsatsare, ocantashitatiaca piquemisanqueca, piponeacaquea otsipapaequi quepatsi, tee pashintajarantempaji, tee pimaj irontempaj i, tee pincameetsateji". Tee oncameetsatej i ancanquegueti ocaticapae, iroguenti ocameetsataque anquejetavacajaiaquempa maasano.
02-02	Aisati, querocagueti aponeaca, querocagueti icocani imaj irontacagueti amaj irojiate, querocagueti ococani icantacaantaqueca aato itsaneacotapitsaj itaj iro oca tioncacotanquitsica. Arigueti irimajirontaquempa poneanquitsica jmm aisa iricatica choocatimocajica aato itsaneacotapitsatajiro ocatica.
03-00	Antsajiaqueca 3
03-01	Tee oncameetsateji irimetojajitaji, tee oncameetsateji iroguiaashijitacaji, tee oncameetsateji irantsipetacaashijitacaji.
04-00	Antsajiaqueca 4
04-01	Tee oncameetsateji irinoshicajitajeri caquinte romperanajiaquempariqueate incatsiquetacaantajiaquemparicate. Tee oncameetsateji incatsiquetacaaqueri teeca irininteji incatsiquete. Ocameetsataque irovegarajiqueri maasano catsiquetimotantatsica.
05-00	Antsajiaqueca 5
05-01	Tee oncameetsateji inquemacatsicatacajaiqueri caquinte, aato aquejetacagari caarica caquintetatsi. Tee oncameetsatej i irishimampojancacajaiquempari, tee oncameetsateji impashiventacajaiquempari.
06-00	Antsajiaqueca 6
06-01	Caquintetari anajiaque, aquejetavacaajiaca. Tee oncameetsateji incantajiacaji majirontatsica gobierno, coareta aisa joese: "Tee aviro caquinte. Tee pinquejetenaji naatimpa".
07-00	Antsajiaqueca 7
07-01	Arimaja aquejetavacaajiaca. Ocameetsataque incavintsaj ajiacaj i maasano itigancanepae gobierno majirontatsica anquejetantajiaquemparica maasano itsipapae. Itioncacaanqueca majirontatsica amitacoj iacaj aatimpajia maasano. Tee oncameetsateji incantajiacajigueti, "Tee pincameetsateji aviatimpa tee pinquejetenaji".
08-00	Antsajiaqueca 8
08-01	Chooca itioncacaanqueca majirojiatsica anquemisanqueca. Iroquetica pariacaroca opajita "constitucion". Onchoocavetaquempa otsipapae "ley" aato avishiro "constitucion". Maasano caquintej ia iraavej aque iraventaquemparo leyepae aisa "constitucion". Inchoocaquegueti nintatsineca intsaneapitsacajiro, cameetsaquea incantacoventajiacajiqueate irira majirontaguetatsica. Tee oncameetsateji iroguishinejaqueri atsipetacaaj iacaj ineca.
09-00	Antsajiaqueca 9
09-01	Teegueti onchoocateji antaqueca tee oncameetsateji iraashitanacaji coareta, tee oncameetsateji iroguiaashij itacaji. Aisa tee oncameetsateji iraashiitanacaji otsipaqui quepatsi.
10-00	Antsajiaqueca l0
10-01	Choocagueti cantanquitsineca ochoocati caarica cameetsaguetatsica antaqueca, ocameetsataque inchoocate caarica catsimataj ineca, incoacotacaantaj iacaj i. Irira caarica catsimatatsi iriotaquequea iriomajaia icantajitica irira cantacovencajineca. Incoacocajigueti aato yaaveji apaniro irisenacaquempa, inquemavaqueronijite taaca nintanquitsine.
11-00	Antsajiaqueca 11
11-01	Arigueti inchoocate caquinte intsavetacocaji incante: "Chooca yantaqueca poguijagueri", irooqueate cotanquitsi tee oncameetsatej i incantsitaquempagueti maj irontatsica: "Arimaja, chooca yantaqueca". Iroquetita incoacomaj acaj inquemisancaji aatimpa aisa itsipavio intsamaj atantaj iavaquempaca quero ococani maasano. Ocameetsataque intsajiaqueroqueate maasano agonoropae, aatonij ite yatsipetacaashitaji.
11-02	Arigueti onchoocaque antaguetica caarica icantacoti amajirote, iroompaquea incancajigueti amajirQtepae tee oncameetsatej i ocatica antaguetaqueca, irooqueate cotanquitsi tee oncameetsateji incatsimatimencaj iro ocatica antsitacaca coramani. Pamenero, coramani antaquero tequerotagueti intioncacaanteroji. Ari oquejetaca, arigueti irogaaquero ovegaratagueti teegueti inquemisantaji teroj i tioncacotanquitsica "ley", aato ogaga coramanitica iroquetica yantaque tequerotagueti irogagueroji.
12-00	Antsajiaqueca 12
