00-00	INSAN AQLARININ UMUMIY BEYANNAMESI
00-01	Insan ailesinin cemi azalarina has olgan menlik duygusi em de olarnin musaviy ve ayirilmaz aqlarinin tanilmasi adalet ve umumiy barishiqliqnin temeli olganini nazarga alaraq; ve
00-02	insan aqlarina laqaydliq ve aqaret besheriyetnin vicdanini gadaplandirgan vahshiy amellerge alip kelgeni ve insanlarnin soez ve aqide serbestligine malik olacagi, qorqu ve muhtacliqtan azat olacagi bir duenyanin yaratilmasi insanlarnin en bueyuek arzusi kibi beyan etilgenini nazarga alaraq; ve
00-03	insannin istibdat ve basqiga qarshi en son sare olaraq bash koetermege mecbur qalmamasini temin etmek maqsadinda insan aqlarinin uquq uestuenligi ile qorulmasinin zarurligini nazarga alaraq; ve
00-04	milletler arasinda dostluq munasebetlerinin inkishafini desteklemeknin zarur olganini nazarga alaraq; ve
00-05	Birleshken Milletler halqlarinin Nizamnamede insannin esas aqlarina, insan shahsinin degerligi ve qiymetine, erler ve qadinlarnin musaviyligine olgan ishanslarini tasdiqlaganlari, istimaiy teraqqiyat ve yashayish sharaitlerinin daa ziyade serbestlik mueitinde yahshilashtirilmasina qoltutmaga qarar bergenlerini nazarga alaraq; ve
00-06	aza devletler Birleshken Milletler Teshkilati ile ishbirlikte bulunip, insan aqlarina ve temelli ueriyetlerine buetuen duenyanin kersekten de saygi koestermesi ve riayet etmesini teminlemek mecburiyetini alganlarini nazarga alaraq; ve
00-07	bu aqlar ve ueriyetler er kes tarafindan ayni shekilde anlashilmasi yuqarida qayd etilgen mecburiyetnin tolusinen yerine ketirilmesi isuen bueyuek emiyetke malik olganini nazarga alaraq,
00-08	Birleshken Milletlernin Bash Assambleyasi
00-09	er kes ve cemiyetnin er bir qurumi mezkuer Beyannameni daima koez oeguende tutaraq, bu aqlarga ve ueriyetlerge, maarif ve tasil yolunen, terakqqiy milliy ve halqara tedbirler yolunen, olarnin em de Teshkilatqa aza olgan devletlernin halqlari, em de bu devletlernin idaresi altinda olgan topraqlarda yashagan milletler arasinda bu aqlarnin duenyaca ve semereli shekilde tanilmasi ve tadbiq etilmesini teminlemege gayret etmeleri isuen mezkuer Insan Aqlarinin Umumiy Beyannamesini ilan ete.
01-00	1-nci madde
