00-00	Beehazaa Il Ch'et'aah
00-01	Kot'eego Haz'aah: Baa akohwiindzingo ei iligo adaanisiikeesgo nihiisila. Aadoo aheelt'eego doo bee niha'ahoot'i'igii doo handit'aago. Bila' ashdla'ii ei t'aa' altsoni bee holdzilgo beehwiidoo'aal t'aa niik'eh doo aheelt'eego bee ahaanitsahakeesgo ei bee ahihodine'enah nahasdzaan bikaagi.
00-02	Kot'eego Haz'aah: Dine doo iliigo baa nitsahakeesgo adeesdee' ei biniinaa t'aa na'nile'dii abi'dil'i. Biniinaa dine bini' dazlii' doo nahasdzaan t'aa niit'ee bila' bee hideeznaa ashdla'ii t'aa biniik'eh hadeesdzih nizingo bee ba haz'aa doo doo yoodlanigii doo doo yinaldzidgo doo doo bini' si'aago t'aa altsoni ni'hookaa' dine'e alaahdi bee ba'akohwiidzin doo.
00-03	Kot'eego Haz'aah: Tsi'do doo t'aageedda bila' ashdla'ii' ach'aa' hadeesdzih nizingo t'aadoo le'e bee bidiljishgo biniinaa ei bila' ashdla'ii t'aa altsoni bee baahoochi'go beehazaanii ba alyaa.
00-04	Kot'eego Haz'aah: Tsida alaahdi ach'ihol'i k'e wolye higii dine alaa at'ehigii keyah yee da'ahoota doo biniiye.
00-05	Kot'eego Haz'aah: Bila' ashdla'ii keyah dahnidahaaz'aago yee da'ahota'igii yik'ehgo deiyilniishigii yee haadaashziih bila' ashdla'ii bee baa akohwiiniidzinigii binahji' bila' ashdla'ii iliigo baanitsinahoodeeskeez. Dine doo saanii t'aa la'i nizinigo aheelteego ba adahazl'i ee bina;hji' dine beeiina' naas nooseel doo iina ya'at'eehii neididooleelgo ba bicha' hwiidoone'.
00-06	Kot'eego Haz'aah: Keyah ya nidaazinigii yee adahadaasdziih kodoo nididoolyeel ahil nideiilnishgo keyah nidahaz'aago yee do'ahoota'igii bil nahasdzaan t'aa niit'ee bidine'e yee hodisin doo. Bila' ashdla'ii bee baa hoch'i'igii doo t'aa bi bini' k'ehgo hiinananigii.
00-07	Kot'eego Haz'aah: T'aa altsoni yaa akonidzin dii bee baa hochi'igii doo t'aa yinik'eh iinaago alaah aniltsohgo baa nitsa'hakeesgo binahjji' baa akohwiinidzinigii bee ha'oodziih.
00-08	K'ad Kot'e Alah' Azlii'igii Yee Ak'ihadaasdzii
00-09	Dii nahasdzaan bee ba ha'adziih bila' ashdla'ii bee baa hochi'igii bik'ehgo o'ool'iildoo biniiye, bila' ashdlaa'ii t'aa altso ba ate doo keyah t'aa at'e siniligii ba'at'e, t'aala'ijinizinigo doo bila ashdla'ii ninanil'aaji' adiiyolta' dooleel dii ha'oodzii'igii. Bila' ashdlaa'ii alahji' bini'niliidoo doo yee naasgoo anootiildoo. Aadoo bee o'hoo'aahdoo nee'ni'ji' bee hodilzindoo dii bee'aahochi'igii doo yinik'ehgo bee naas 'iina yidildoo dii keyah haz'aadoo doo towonanigoo be holdzildoo t'aa altsohjigo doo bik'eh 'eehozin doo doo dilyindoo naat'aanii keyah yandaazinigii bitahgo aadoo dine yil keehat'iinii yasizinigii bil haz'aaji.
01-00	Laa'ii Gone' Biyi' Yisdzohigii
01-01	Bila'ashda'ii t'aa altsoh yinik'ehgo bidizhchih doo aheelt'eego iliigo bee baahochi'. Eii hani' doo hanitshakees hwiihdaasya' eii binahji' ahidinilnahgo alileek'ehgo k'e bee ahil niidli.
02-00	Naaki Gone' Biyi' Yisdzohigii
02-01	Tsidi t'aa ajit'e beehahaz'a' haahochi'go doo yinik'ehgo nijighao kodoo bee hoo'a'igii bik'ehgo t'aadoo bee' al'aa'at'ehegoo. Jo dii doone'e idlinigii, hakagi anoolninigii, asdzani doo dine idlihigii doo nihizaad aadoo nihe'oodla' aadoo nihiwaashindoon baa nitsiikeesigii aadoo bee ndahsiidzinigii, doo nihikeyah doo nihi'dizhchiihji' bee nihaahochi'.
02-02	Kodoo nasgoo doohaadeet'eegodah bee ahantsiikeesda dooleel nihiwaashindoon at'ehagii doo nihil haz'anigii doodaii' towanaanigoo keyah adahoot'ehigii doodaii' keyah nijighaadee' azaashii t'aasahdii bilhazaandi, aadoo nanala'bigo bikaa' kehojit'iigo azhashii doo t'aa bi adahnahat'aada ndi doodaii' t'aaho adahnahwiijit'ahigii t'aabi'oh ndi.
03-00	Taa Gone' Biyi' Yisdzohigii
03-01	Tsidi t'aa ajit'e bee hahaz'a iina'azhdooliilgo aadoo 'aldo t'aa yini k'ehgo holdzilgo holhaz'aadoo.
04-00	Dii Gone' Biyi' Yisdzohigii
04-01	La'dah ei doo naalteeh'e dooleelda doo doohaida ya naal a'i dooleel da doo doo naalteh'e adoolniilgo doo bee haz'aada.
05-00	Ashdla' Gone' Biyi' Yisdzohigii
05-01	T'aa heiida ei doo atidoolniilda aadoo 'aldo' doo t'aa na'nile'dii dine doo idliigo baa tsehodidookosda.
06-00	Hastaa Gone' Biyi' Yisdzohigii
06-01	Tsi'di T'aa ajit'e ha bee haaz'a haa'akowhiindzingo t'aa altsohji' bila'ashdla'ii jiliigo bee haz'aanii yeehas'a.
07-00	Tsosts'id Gone' Yisdzohigii
