00-00	TENDAA NENSAABA ZAA YELESOOBO SOBIE MOOLOO
00-01	A yeli nang bebe la, ka nee zaa bang ka nengsaala emmo ane o yelsoore seng la taa a nengsaala booro poo; a nengsaala mengesoobo ane o yelmenge noba zie la binne eng-maarong ane yelmenne noba zie a tengazu.
00-02	Ka nengsaala kaa-ba-nye e ka tongfaare tong ka noba banang nang taa teerong veele nye posaana. A yele ama ee la ka nengsaala zaa nang booro bone ne ka ka bie tenga benee nengsaaba zaa nang so ba menne a yele yele zaa ba nang booro, a puoro puoru zaa ba nang booro, a ta zoro bebiri kang nang.
00-03	Ka a da sengee la ka anang ba fere nee kao e yeli nang fere o, a kuu ne o baao poo ka o faa o menge dogrong poo, ka ka a yelmenne toretero la guuro a tendaa zaa noba yelesoobo sobie.
00-04	Ka a da sengee la ka to-ne-to nommo yele a tendaa za.
00-05	Ka a noba nang be a Tendaa Langne poo lee maaleng nyogee ba yeldeebo a a yelmanne binne nga nang guuro a tendaa zaa yelesoobo sobie poo, ka doo ane poge nang ba gang taa song ka nengsaala maaloo ane o mengesoobo yele gere ninge a tenga zu.
00-06	A tenne na zaa nang be a Tendaa Langne nga poo eng la noore ka bana ane a Tendaa Langne na nye a tendaa zaa nongtaa, a engne a Tendaa zaa yelesoobo ane mengesoobo sobie.
00-07	Ka ka nee zaa bang ka a yelesoobo sobie ama ane a nensaala menge soobo la yelkpong nang be a noore nga emmo poo.
00-08	Pampanga a Le Zueng,
00-09	A TENDAA LANGNE NOBA LANG TAA
00-10	moolo la:
00-11	ka a TENDAA ZA YELESOOBO SOBIE waa la bone noba zaa ane tenne zaa nang na moo nimiri k'a nye eebo. A lezueng nee zaa, bee nengsaaba langne zaa na taa la a yele ama teerong tegtegle a ere anee ba wuluu poo ane ba zanno poo a e k'a yelesoobo sobie ane a noba mennesoobo yele duoro saa kye ere beele beele tenga zaa poo a na e k'a tendaa zaa bang kye tuuro a yele ama. Tenne na zaa nang be a lammo nga ane noba na zaa nang kpeere a tenne na poo, a lang ne a noba banang zaa nang be tenne na zaa ba nang di naalong a zu.
01-00	Dore 1
01-01	Nengsaala zaa ba nang doge so la o menga, ka o ne o taaba zaa sengtaa noba emmo ane yelesoobo sobic poo. Ba dogee ba zaa ne yeng ane yele-iruu k'a da seng ka ba ere yele koro taa a nga yoomine.
02-00	Dore 2
02-01	Neezaa soobo la a Tendaa zaa yelesoobo sobie ama nang be a gane poo; a ba wullo ka nee nga waa ngaa ne ngaa; a nga balong, bee o enge waalong, k'o waa la poge bee doo, o kokoyelaa, puoru na o nang puoro, o teerong nang are le a tenga maalo yele poo, o tengyiraa ane o aroozie a tenga poo, boma o nang taa, o dogebo zie bee o arezie.
02-02	A la waana le puoreng, gyegru kyebe ane nee teerong nang wuli o ka o tuuro a tenga maalo yele le, bee bone na naalong ba nang dire a tenga na poo a nee na nang yi, ka a tenga na so la o menge bee ka o be la tenga kang nuureng, bee ka o nang ba so o menge, be ka yele mine bebe la a pogro o mengesoobo sobiri.
03-00	Dore 3
03-01	Neezaa taa la sori ka o taa nyovore, ka bone zaa ta ngmaara o sobiri o yelerre poo, ka tuo ta be o zie.
04-00	Dore 4
04-01	Neezaa ba taa sori a taa o tosoba ka o waa o gbangbaa bee ka o tono gbangba-toma. A feree la kaa gbangbaalong ane nengsaaba kooro ta bebe togtog yelizaa poo.
05-00	Dore 5
05-01	Neezaa ba seng ne enge dogrong nang gang, bee potuyele, bee dogrong zaa nang ba seng ne nengsaala.
06-00	Dore 6
06-01	Ka neeng be zie zaa a feree la ka a tenga na deme de o k'o waa nengsaala a loo poo.
07-00	Dore 7
07-01	Loo ninge poo noba zaang sengtaa k'a fere ka a loo kaara ba zaa zu ka gyegru kyebe. A yele ama mooloo poo kyiirung la ka gyegru bebe nee zaa zie, bee ka nee dore ka ba gyegri nee.
08-00	Dore 8
