00-00	BOIKANOKAKARETSO BJA DITOKELO TSA BOTHO
00-01	Le ge re dutse re tseba gore seriti seo motho a belegilwego ka sona le tekatekanelo gammogo le ditokelo tseo di sa tseelwego kgang tsa batho ka moka ke motheo wa tokologo ya toka le khutso lefseng ka bophara.
00-02	Le ge re dutse re tseba gore go se elwe hloko le go phaelwa ka thoko ga ditokelo tsa botho go tlisitse dilesadihlong tseo di rumutsego le go sisinya maikutlo le letswalo la botho bathong, go tla ga pono le tebelelo ye mpsha mo lefaseng yeo e ikemiseditsego go ela hloko gore batho ba swanetse go ipshina ka tokologo ya polelo, ya bodumedi gammogo le go se tshoge selo goba gona go duma, go dirile gore se se boletswego ka mo godimo e be dinyakwa tsa maemo a godimodimo tsa batho ka moka.
00-03	Le ge re dutse re tseba gore go bohlokwa, ntle le ge motho a gapeletswa ke mabaka, go thibela ka gohlegohle puso ya mmusakatshipi le kgatelelo gore ditokelo tsa botho di swanetse go sireletswa ke molao.
00-04	Le ge re dutse re tseba gore go bohlokwa go godisa tsweletsopele ya segwera magareng a ditshaba.
00-05	Le ge re dutse re tseba gore batho ba Ditshaba Kopano ka gare ga Molao wa Ditokelo tsa bona ba tiisetsa tshepo ya bona motheong wa ditokelo tsa botho, ka seriti le bohlokwa bja motho le gona go ba gona ga tekatekanelo gare ga banna le basadi, ba ikemiseditse go godisa tsweletsopele ya setho gammogo le kaonafatso ya maemo a bophelo ka gare ga tokologo ye kgolo.
00-06	Le ge re dutse re tseba gore Maloko a Ditshaba Kopano a ikanne go fihlelela, ka thuso ya Ditshaba Kopano, kgodiso ya tsweletso ya tlhompho le kelohloko ya ditokelo tsa botho gammogo le theo ya ditokologo.
00-07	Le ge re dutse re tseba gore kwesiso yeo e kopanetswego ya ditokelo le ditokologo tse ke taba ye bohlokwa gore go tle go kgonwe go fihlelela boikano bjo bo dirilwego.
00-08	KA FAO, GE
00-09	Lekgotla Kopanokakaretso
00-10	Le tsea sephetho sa gore Boikanokakaretso bjo bja Ditokelo tsa Botho ke kelo ya batho ka moka ya go ela bokgoni bja batho gammogo le ditshaba ka moka go fihla, mafelelong, fao mang le mang yo e lego setho sa setshaba, ba na le Boikano bjo dikgopolong tsa bona mme ba leka ka mesogofela, ka go ruta le mo thutong, go godisa tlhompho ya ditokelo le ditokologo tse ka mekgwa ya sebjalebjale ya go ela, setshabeng le gare ga ditshaba tse dingwe, go bona gore tsebego ya tsona lefaseng ka bophara di a tsebega e bile di elwa hloko ke batho ba Mebusomaloko ka bobona gammogo le batho ba nagadilete tseo di lego ka tlase ga puso ya bona.
01-00	Temana 1
01-01	Batho ka moka ba belegwe ba lokologile le gona ba na le seriti sa go lekana le ditokelo. Ba filwe monagano le letswalo mme ba swanetse go swarana ka moya wa bana ba mpa.
02-00	Temana 2
