00-00	Declaracion Universalde los Drechos Humanos
00-01	Visto que la lliberta, la xusticia y la paz en mundu sofitense na reconocencia de la dignida intrinseca y de los drechos iguales y inayenables de tolos miembros que formen la familia humana;
00-02	Visto que desconocer o facer de menos los drechos humanos foi la causa d'actos xabaces y danibles pa la conciencia de la humanida, y que se proclamo, comu aspiracion cimera del home, el llogru d'un mundu onde los seres humanos, llibres del mieu y de la llaceria, gocen de la lliberta de palabra y de la lliberta de creyencies;
00-03	Visto que ye esencial un rexime de Drechu que protexa los drechos humanos, p'asina nun se ver emburriau l'home al recursu caberu de rebelase escontra de la tirania y de la opresion;
00-04	Visto que ye tamien esencial promover l'afitamientu de rellaciones amistoses ente les naciones;
00-05	Visto que los pueblos dexaron llantau na Carta de les Naciones Xunies el so enfotu nos drechos fundamentales del home, na dignida y nel valor de la persona humana y na igualda de drechos d'homes y muyeres, amosando la clara intencion de promover el progresu social y de facer espoxigar el nivel de vida segun un conceutu mas ampliu de la lliberta;
00-06	Visto que los Estaos Miembros comprometieronse a asegurar, en comuna cola Organizacion de les Naciones Xunies, el respetu universal y efeutivu a los drechos y llibertaes fundamentales del home; y
00-07	Considerando qu'una conceicion comun d'estos drechos y llibertaes ye bramente importante a fin de percumplir el dichu compromisu;
00-08	EL CONCEYU XENERAL
00-09	Proclama
00-10	ESTA DECLARACION UNIVERSAL DE LOS DRECHOS HUMANOS comu ideal comun pol qu'han puxar tolos pueblos y naciones, al envis de que, lo mesmo los individuos que les instituciones, inspirandose de contino nella, promueva, por aciu de la ensenanza y la educacion, el respetu a estos drechos y llibertaes, y afite, con midies progresives de calter nacional y internacional, la so reconocencia y aplicacion universales y efeutives, tanto ente los pueblos de los Estaos Miembros comu ente los de los territorios allugaos baxo la so xurisdiccion.
01-00	Articulu 1
01-01	Tolos seres humanos nacen llibres y iguales en dignida y drechos y, pola mor de la razon y la conciencia de so, han comportase hermaniblemente los unos colos otros.
02-00	Articulu 2
02-01	Toa persona goza de tolos drechos y llibertaes afitaes nesta Declaracion, ensin estremamientu nengun de raza, de color, de sexu, de llingua, de relixon, d'opinion politica o de cualesquier otra mena, d'orixe nacional o social, de posicion economica, de nacencia o de cualesquier otra condicion.
02-02	D'otra miente, tampocu nun se fadra estremamientu nengun basau na condicion politica, xuridica o internacional del pais o territoriu de la xurisdiccion de la que dependa una persona, lo mesmo seya pais independiente o territoriu baxo tutela alministrativa, non autonomu o sometiu a cualesquier llende na so soberania.
03-00	Articulu 3
03-01	Tou individuu tien drechu a la vida, a la lliberta y a la segurida de la so persona.
04-00	Articulu 4
04-01	Naide nun sera sometiu a esclavismu nin a servidume; l'esclavismu y el comerciu d'esclavos prohibense en toles sos formes.
05-00	Articulu 5
05-01	Naide nun sera sometiu a tortures nin a penes o tratos crueles, inhumanos o degradantes.
06-00	Articulu 6
06-01	Tou ser humanu tien drechu, en tolos llugares, a que se-y reconoza la so personalida xuridica.
07-00	Articulu 7
07-01	Toos son iguales ante la llei y tienen drechu a que la llei los protexa de la mesma manera y ensin facer estremamientos. Toos tienen drechu a protexese escontra toa discriminacion qu'infrinxa esta Declaracion y escontra toa provocacion empobinada a una discriminacion tala.
08-00	Articulu 8
08-01	Toa persona tien drechu a un recursu efeutivu ante los tribunales nacionales competentes, que la ampare escontra d'actos que violen los drechos fundamentales que la constitucion o la llei-y reconoz.
09-00	Articulu 9
09-01	Naide nun podra ser deteniu, presu nin allonau de la so tierra de mou arbitrariu.
10-00	Articulu 10
10-01	Toa persona tien drechu, en condiciones dafechamente iguales, a qu'un tribunal independiente y imparcial la atienda publicamente y con xusticia, al envis de tomar determin sobre los sos drechos y obligaciones, o sobre cualesquier acusacion que se-y faiga escontra en materia penal.
11-00	Articulu 11
