00-00	ADASAMMA YIEDIE HO ANODISEM
00-01	Esiane se adasamma ahunu se, yesusu onipa, bu no, di no ni a, ebema ahofadie, atentenenee ne asomdwoee ase atim wo wiase yi mu nti,
00-02	Esiane se atuatee ne obuo a woammu adasamma yiedie yi de anitan ne atirimuoden baee, na abehwanyane nnipa ahonim de asetena foforo aba, ama nnipa ani aba won ho so se wowo ho kwan se woka won adwene a ehu biara nni mu, na wowo ho kwan se woyo adwuma na enhia won, na esiane se woapae mu aka ato dwa se yei ne nnipa anidasoo titre nti,
00-03	Esiane se, ense se eba no se obi de ahomtee beye nneyee bi a eye nneyee a etwa too koraa, a onii betumi afa so de ako atia anitan ne ahupoo, bere a mmara bo adasamma yiedie anodisem ho ban nti,
00-04	Esiane se eho hia se nnamfofa ba aman ahodoo ntam nti,
00-05	Esiane se Amanaman Nkabom Kuo mu nnipa asi won gyidie so dua wo Amammuo Nnyinasoo no mu, se onipa anim nyam ne boo a osom no nye adewa na obarima ne obaa nyinaa ye pe, na woawe ahinam so, se wobema asetena mu aye yie, na nnipa atumi atena ase se anuanom wo ahogono mu nti,
00-06	Esiane se aman hodoo a wofra Amanaman Kuo no mu ate wo ho ase ahye bo se wone Amanaman Nkabom Kuo de anokoro behwe ama obiara adi anodisem no ni, ama obiara anya n'ahofadie ne ahoto sedee efata no nti,
00-07	Esiane se ntease pa a yebenya no wo anodisem a efa onipa yiedie ne n'ahofadie ho bema yen bohye yi adi mu nti,
00-08	ekuo no badwa kesee no
00-09	pae mu ka se:
00-10	Ani da kwan se:
00-11	Saa adasamma Yiedie Ho Anodisem a woada no adie yi beye susudua titire baako pe a, ewo ho ma nnipa ne amanaman nyinaa, na Okontekoro anaa fekuo ahodoo nyinaa bema adi won tirim dem, abo no dawuro akyerekyere asee yie pa ara, agye ato mu, adi so, na wode afa won ankasa aman ne aman foforo dwumadie nhyehyee ahodo so ama ahyeta aman a wodom Amanaman Nkabom Kuo ne aman biara a ehye n'ase mu.
01-00	Ahyedee 1.
01-01	Nnipa nyinaa ye pe. Na wode adwene ne nyansa na abo obiara. Eno nti, ese se obiara do ne yonko, bu ne yonko, di ne yonko ni.
02-00	Ahyedee 2.
02-01	Yiedie ho anodisem mu asem yi wo ho ma obiara a nyiyimu biara nni mu. Emfa ho se obi ye tuntum anaa fufuo, obaa anaa obarima. Kasa a obi ka, asore a obi ko, amanyokuo ko a obi dom, dee obi fire, adwapadee a owo, n'awosuom ne dee ekeka ho nsi obiara kwan wo saa nhyehyee yi ho.
02-02	Dee eka ho ne se, ense se yeto oman biara a obi firi mu ho, se oman ko no di ne ho so anaa ehye oman foforo bi ase.
03-00	Ahyedee 3.
03-01	Obiara wo ho kwan se otena ase asomdwoee ne ahofadie mu a bone biara nka ne nipadua no.
04-00	Ahyedee 4.
04-01	Ense se obiara di obi nya. Nkoato ne nkoaton ye dwadie bi a ese se wotore asee korakora.
05-00	Ahyedee 5.
05-01	Ense se obi fa ekwan bi so hye onipa dasani biara anieyaadee. Anaa ofa atirimuoden kwan so twa obi asuo, gu n'anim asee.
06-00	Ahyedee 6.
06-01	Se obiara kopue mmara anim wo baabiara a, ese se wogye no to mu se onipa.
07-00	Ahyedee 7.
07-01	Nnipa nyinaa ye pe wo mmara anim. Mmara bo nnipa nyinaa ho ban pe a nyiyimu biara nni mu. Mmara mu dee, yenhwe obiara anim.
08-00	Ahyedee 8.
08-01	Se obi bu mmara yi bi so tia ofoforo a, owo ho kwan se ode no fa mmara kwan so ne no di sedee mmara see.
09-00	Ahyedee 9.
09-01	Ense se wokyere obiara kyehunu. Ense se wokyere obiara sie anaa wotwa obi asuo kwa.
10-00	Ahyedee 10.
10-01	Se wobo obi kwaadu wo biribi ho na wode onii ko asenniie a, ese se won a wobedi asem no bu atentenenee, bere a wonkyea won aso. Ese se asennifoo no ye nnipa a won ho nni asem no mu koraa.
11-00	Ahyedee 11.
11-00	Se wode so to obi so, nam so kye no, na wontumi mfeefee asem no mu, nhunuu nokore a ewo mu a, yefa no se onii no nyee saa bone no, gye se wonam mmara kwan so, ko asem no mu, hunu se odi fo. Se wode no ko asenniie mpo koraa a, owo ho kwan se ohwehwe mmoa biara a obetumi anya de atete ne ho akyiri kwan.
