00-00	dunya kishilik hoquqi xitabnamisi
00-01	insanlar ailisining barliq ezalirining oezige xas izzet-hoermitini shuningdek ularning barwer we tewrenmes hoquqini etrap qilishning dunyawi erkinlik, heqqaniyet we tinchliqning asasi ikenliki.
00-02	kixilik hoquqigha etibarsiz qarash we haqaret kelturush ewj elip kixilerning wijdanini bulghaydighan yawuz zorawanliqqa aylan'ghanliqi, hemme adem soez erkinliki we etikad erkinlikidin behrimen bolidighan hemde wehime we namratliqtin xaliy bolidighan dunyaning yetip kelishi addiy xelqning aliy arzusi dep elan qilin'ghanliqi.
00-03	insanlarning ilajisizliqtin zorawanliq we zulum ustide isyan koeturimiz dep tewekkulige heriket qilip yurmesliki uechuen, kishilik hoquqini qanun arqiliq idare qilish yoli bilen qoghdash zoeruer bolghanliqi,
00-04	doeletler ara dosttluq munasiwetning tereqqiyatini algha sueruesh zoeruerluki.
00-05	birleshken doeletler teshkilatigha eza doeletler xelqining birleshken doeletler xartiyiside oezlirining asasiy kishilik hoquqi, insaniy izzet-hoermiti we qedir-qimmiti shuningdek er-ayallarning barawerlik hoquqi toghrisidiki eqidisini qayta tekitligenliki hemde bir qeder chong erkinlik asasida jem'iyetning yuksilishi we turmush derijisining yaxshilinishini algha suerueshke bel baghlighanliqi.
00-06	eza doeletlerning birleshken doeletler teshkilati bilen hemkarliship, kishilik hoquqi we asasiy erkinlikning omumyuzluq hoermetlinishi we emelge qoyulushini algha sueruesh yolida qet'iy iradige kelgenliki.
00-07	ashu hoquq we erkinlikni omumyuezluek chushinishning shu qet'iy iradining toluq emelge ashurulushigha muhim tesir koersitidighanliqi.
00-08	koezde tutulghachqa, hazir
00-09	yighin,
00-10	barliq xelq we barliq doelet tiriship emelge ashuridighan ortaq oelchem suepitide mushu dunya kishilik hoquqi xitabnamisini elan qilidu. her bir adem we ijtima’iy apparatning mushu xitabnamini her daim este ching saqlap, telim we terbiye arqiliq hoquq we erkinlikning hoermetlinishni tiriship algha suerueshi hemde doeletlerning we xelq'araning tedrijiy ilgirilesh tedbirliri arqiliq ashu hoquq we erkinlikning eza doeletlerning oezidiki xelq arisida shuningdek shu doeletlerning bashqurush tewelikidiki zeminida yasaydighan xelq arisida omumyuezluek we unumluk etirap qilinishi we emelge qoyulushini umid qilidu:
01-00	1-madda
01-01	hemme adem zatidinla erkin, izzet-hoermet we hoquqta babbarawer bolup tughulghan. ular eqilghe we wijdan'gha ige hemde bir-birige qerindashliq munasiwitige xas roh bilen muamile qilishi kerek.
02-00	2-madda
02-01	hemme adem mushu xitabnamide qeyt qilin'ghan barliq hoquq we erkinliktin behrimen bolush salahiyitige ige. ular irqi, renggi, jinsi, tili, dini, siyasiy qarishi yaki bashqa qarishi, doelet teweliki yaki ijtimaiy kelip chiqishi, muelki, tughulushi yaki bashqa salahiyiti jehettin qilche perqlenmeydu.
