00-00	Delaracioe' Ki' DERECHO H Ki' la' la koeoe jmu guue kiae guia' su'
00-01	KUU-DSU-DSA, e ti tiae dsa, ki' dsa tia koe ni' jmi, nia asia jni siae la koe jmu guu; e sia: derecho ki' dsa, e jae ma-ja la juu dsa tiae' koe jmu guu.
00-02	KUU-DSU-DSA, e a s'ia dsa ni ju o e jae' D.H. e jae la dsa nae kiae ta' a sia jmo-dsa e dsi' nia dsa kiae dsa, ma jae koe ju t'a' dsa la kua' jmu guu, a sia ma gae nia rooe a siae e li goo' nia jeo dsa tae' e ja na jmo'.
00-03	KUU-DSU-DSA, e na ki D.H. ma jae ko rue jmo dsa tae', kuu juu dso' e sia e jmo dsa esa rue lu ji kae dsa tiae' juu ji na lu' dsa ta'.
00-04	KUU-DSU-DSA, y na j'mo gee fuu ki' dsa e la juu' tiae' la kua' jmu gueu e-ji a nia rooe'.
00-05	KUU-DSU-DSA, la juu ni dsa tiae la kuae' jmu guu dsa na tae gui' ni mo-yi ki' Naciones unidas, I e' dsa, la-ju e jae e ki' D.H. na huu ki' I' kae dsa, I koe ni ki' hie' nia dsa ni' I jmi jni' dsa e jae e na huu na jmo'.
00-06	KUU-DSU-DSA, e ka-la ju estado. ti' nia tee' ni' Naciones Unidas e-jmo – dsa i' derecho ki' tae koe jmu guu' nia.
00-07	KUU-DSU-DSA, e- koe ni' lu D.H. e ja e na' huu ki huu ja ru to ni mo-yi la'.
00-08	E. Asamblea General Jmo Jnia'
00-09	Juu' ki Derecho ti' la Koe jmo guu ki' D. H. e ti la juu' ni' dsa huu jae kup dsu-dsa, e e-dsa ki', nia jmo dsa i' dsa sia koe Nacioe' la ma nia dsa tiae la koe' jmu guu jmo dsa e no' ti ju la' jmu tia'.
01-00	Articulo 1°
01-01	La juu dsa lu siae –Dsa koe ni ba dsa, nia koe ni' ba na lu' dsa e dsa ti e li jnia' rooe'.
02-00	Articulo 2°
02-01	La juu' dsa ti jae e, la juu' eru jua' ni le' la, jua i jua dsa jua jnia a lia' jae jnia-a. Jua h'ie' o dsa-ni'. Jua e jua juu' gua' dsaeae-a; o e juu'-a. e fuue sia-a dsa. Tia ni. o dsa sia ku' o jua. E-ji-e suu'.
02-02	Nia la suu, a sia jeo dsa i ta, e joo ki politico i-a. o e vo' ti a- jua ti i ti vo' jua i jua jmo I', ji gua'-dsa o jua ita' gua'-gua jmo I'.
03-00	Articulo 3°
03-01	La ju-dsa ti i siae-a, e a sia e li ji-a- i gua h'iae dsu-a.
04-00	Articulo 4°
04-01	A, siae-dsa jmo tae ka-la I jni-o ta-la jmo dsa ta', tu sa li jma ki'-dsa.
05-00	Articulo 5°
05-01	Ji-jua i kae' jmu, u'i', o i jma dsa la sa h'ie' i'.
06-00	Articulo 6°
06-01	La-jua dsa h'ie' ju' dso, jua-si-dsa, a-ji' jae e si' dsa.
07-00	Articulo 7°
07-01	Koe-ni' ba. na ki' dsa tu ni lee' nia koe-re' ba jmo lee I' la ju' dsa
08-00	Articulo 8°
08-01	La-ju dsa ti'-tu ni' dsa ta', e jma o dsa ki' dsa tu' ni dsa 'na lu' ta h'uu la un ru ro' ni lee'.
09-00	Articulo 9°
09-01	A siae dsa-dsa I' juu' ni-ni, tu a sia dsoo ma ka ta' dsa nia jae i dsu-jie dsa tu u'o' suu'
10-00	Articulo 10
10-01	La ju dsa sua Derecho ki', I koe-ni' no' dsa ta juu' ki'-dsa nia i kae' dsa juu dsoo ki' dsa, ja dsa i ta' a sia' i jma ae i-jua-i na jua asia dso ma ka jmo dsa'.
11-00	Articulo 11
11-00	La-ju dsa h'ie' dso, sia ju' dsoo, e-li' jua dsa, e a-sia' dsoo raae-'a, ta-la sa lu rue dsoo ki' dsa, nia I jma-o dsa ma jae lia'-a.
11-01	A-siae dsa dso ni' ni, na-jua ka tae dsa ksoe' dsa, e sia dsoo ma lu' lo ma ka lu' nia asia li jmo dsa ta na' huu ma-dsi dso ki' dsa.
12-00	Articulo 12
12-01	Asia' dsa li jma dsiae dsa na lu' ta'-dsu juu' ki' dsa, dsa siae-kiae dsa, o-e-i sia ki' dsa o-mo gui' jie' ki' dsa o-e, ji e suu sia ki-dsa.
13-00	Articulo 13
13-00	La ju' dsa li na' tae' taeae', a ji' jne dsa nia i li gua-a ji jae jne' dsa.
13-01	La ju dsa li dsoo tu su, fuu suu' o gua' vo' suu, nia e li jia' dsa h'uo' ki' na jua jne' dsa.
14-00	Articulo 14
14-00	Na-jua ja dsa uu-a, e dsa li dsu gua u'o' suu, jua-a-uu ji.
14-01	Derecho la-e asia ki' na-jua dsa ma ka jmo dsa o e ma ka jmo dsa I sa ru toe ni mo-gui la'.
15-00	Articulo 15
15-00	La-ju-dsa sia derecho e li' ti dsa koe nacioe'.
15-01	Ji-jua i dsa a siae dsa e li dsa ki' e ti dsa koe nacioe nia jae' e li jua-dsa e sa li ki' dsa na-jua jne e li suu nacioe' ki-dsa.
16-00	Articulo 16
16-00	Dsa-ni'-nia h'ie', na-jua ma fuu' dsa; e dsa sia derecho, ki' la sa sia juu sia, jua e vo' fuu goo' dsa, o e ju gua' dsae dsa, e-ji' dsa-guo nia e jmo dsa ni ki'.
16-01	Nia e jae ba ji' dsa guo na, jua ejne ba sa ji' guo.
16-02	Koe see' dsa, e jae, ba e jnia' ma jae ne koe fuu nia e ti dsa ni ta' e-jmo dsa i la ju dsa tia jee fuu'.
17-00	Articulo 17
17-00	La-ju dsa e siae derecho –e li sia ki'.
17-01	Ji-jua i dsa sa li dsuu ki e siae ki'
18-00	Articulo 18
18-01	La juu dsa h, iaea o dsa kuu', sia derecho, ka tu nia religioe e i' dsa o e jma suu dsa religioe ki o e jae e i' dsa', nia ejma jnia dsa e jae e i' dsa.
19-00	Articulo 19
19-01	Ka-la juu dsa sia derecho ki' e siae e li jma dsiae dsu-dsa na-jua e jae kuu dsu dsa, na-jua e ja kuu dsu dsa e e' dsa, e jae kuu dsu-dsa.
20-00	Articulo 20
