00-00	U DZA'ABAL K'AJOOLTBIL U NOJ A'ALMAJ T'AANIL U NAJMAL WIINIKO'OB
00-01	Tumeen u kuxtal wiinik x-ma'a palitzilil, u chiimpolta'al yetel u cha'abal u kuxtal yook'ol kaab ich jedz oolal, ti' ku taal tu chiimpolta'al u no'oja'anil kuxtal sijnal yetel wiinik bey je'ex xan sijnal u najmalmajil keet kuxtal, mixmaak unaj u lu'sik ti' tulaakal u wiinikil yook'ol kaabe',
00-02	Tumeen yoo'lal ma' ojelta'an ku beetik u mixba'alkuunsa'al u najmalil u kuxtal wiinik, dzo'ok u beetik u yuuchul seen k'aak'as ba'alo'ob tu taan u no'aja'anil u tuukul wiinik; yetel tumeen dzo'ok u ya'ala'al u jach nojochil ba'ax ku dziiboltik wiinike', u kajtal yook'ol kaab tu'ux ka'a kuxlak luk'a'an u sajakil yetel x-ma'a ootzilil, ka'a beeyak u ya'alik ba'ax ku tukultik yetel u kili'ichkuunsik je'e maakalmaak Yumtzilil u k'aate',
00-03	Tumeen tun le najmal sijnal yetel wiinik jach k'a'abet u bo'oybesa'al tu yaanal jump'eel Noj A'almaj T'aan, u ti'al ma' u beeta'al u liik'il wiinik ba'ate'el tumeen u talamil kuxtal yetel u nuunsa'al,
00-04	Tumeen ku tukulta'al xan jach k'a'abet u kaxanta'al bix uchak u bisikuba ma'alob tulaakal u kaajilo'ob yook'ol kaab,
00-05	Tumeen k-k'a'ajsik tulaakal u kaajilo'ob Naciones Unidas, dzo'ok u dziibtiko'ob u mokt'aanil u chiimpoltiko'ob le Najmal sijnal yetel wiinik, ichil u no'oja'anil yetel u beelal bey wiinike', beytun wa ko'olel wa xiib; yetel tumeen dzo'ok ya'aliko'ob yaan u chuukpajal yoolo'ob u kaxanto'ob u ma'alobtal u kuxtal wiinik yetel u jook'so'ob ichil ootzilil ka'alikil u chiimpoltiko'ob u kuxtal,
00-06	Tumeen le kaajo'ob taaka'an dzo'ok u beetiko'on u Mok T'aanil yetel Organizacion ti' Naciones Unidas, ti'al u ciimpola'al bey je'e unaj tulaakal yook'ol kaab le Najmal Sijnal yetel wiiniko', bey je'ex u kuxtal x-ma'a palitzilil, yetel
00-07	Tumeen u k'ajoolta'al le Najmal Sijnal yetel wiinik yetel bix uchak u kuxtal x-ma'a palitzilil jach taanil yaan ti'al ka'a beeyak u dzo'okbesa'al le Mok T'aana',
00-08	Le NOJ MOLA'AYA' ku ya'alik
00-09	LE U NOJ A'ALMAJ T'AANIL le Najmal Sijnal yetel wiinika', jump'eel ba'al jach k'a'abet u yila'al u dzo'okbesa'al tumeen tulaakal u kaajilo'ob yook'ol kaab, tu'ux ka'a taaakpajak wiinik yetle u mola'ayilo'ob, ti'al u ch'a'ak ti' leti' u noj tuukulil yetel u ka'ansiko'ob u chiimpolta'al u kuxtal wiinik x-ma'a palitzilil yetel xan u beetiko'ob tulaakal ba'ax ka'abeet tu kaajalo'ob yetel tulaakal yook'ol kaab tu'ux ka'a ila'ak u chiimpolta'al yetel u dzo'okbesa'al ichil le kaajo'ob beetmajil u Mokt'aanilo' yetel xan ichil u meek'tan kaajilo'ob.
01-00	Articulo 1
01-01	Tulaakal wiinik ku siijil jaalk'ab yetel keet u tsiikul yetel Najmal Sijnalil, beytun xan na'ata'an sijnalil yetel no'oja'anil u tuukulo', k'a'abet u bisikuba bey laaktzilil yetel tulaakal u baatzile'.
02-00	Articulo 2
02-01	Tulaakal wiinike' sijnal yetel le Najmalo'oba' beeyxan yetel u siibalil u kuxtal x-ma'a palitzilil bey je'ex u ch'a'achi'ita'al ti' le A'almaj T'aana', kex tumeen jela'an u ch'i'ibal, u boonlil u yoot'el, xiib wa ko'olel, wa jela'an u t'aan, u kili'ichkuunaj, u tuukul wa u laak' je'e ba'alake', tu'ux u taal, u kaajal wa maax yetel ku much'ikubaa, beyka'aj u ayik'alil, tu'ux siijnal wa je'e ba'alak u laak' ba'alile'.
02-02	Yetele', ma'atan u paaykunta'al wiinik chen tumeen jela'an u tuukul, u Najmal Sijnalil wa u A'almaj T'aanil u kaajal, wa u Meek'tan kaajil tu'ux u taal, mix tumeen taanxelil tu'ux yaan u kaajal, wa yaan u jala'acho'ob wa taaka'an ichil u laak' kaaj.
03-00	Articulo 3
03-01	Tulaakal wiinike' Sijnal u Najmalmajil u kuxtal, ma' u palitzilta'al beeyxan ma' u lo'obol u wiinklal yetel u kaalanta'al u kuxtal.
04-00	Articulo 4
04-01	Mimaak unaj u palitzilta'al mix u meyajtik u ba'al u laak' maak; palitzilil yetel u ko'onol wiinik ti'al meyaje' ti' u laak' maak x-ma'a bo'olile' wet'a'an.
05-00	Articulo 5
05-01	Mixmaak ti' unaj u beeta'al loob, mix u nuumsa'al, u k'o'olol, wa u beeta'al u bo'otik u si'ipil bey ba'alche'e mix u t'onkiinta'al.
06-00	Articulo 6
06-01	Tulaakal maan sijnal u najmalmajil u chiimpolta'al u kuxtal yetel u dzo'zkbesa'al le Najmal Sijnal yanil ti' ku ya'ala'al te'ej Noj A'almaj T'aano'obo'.
07-00	Articulo 7
07-01	Mixmaak jela'an wa nojba'al tu taan le A'almaj T'aano'bo', beytuno' tulaakal maak uchak u bo'oybesjuba tu yaanal. Tulaakal maak u najmalmaj u tokbesa'al tu taan je'e ba'alak nuumsajil ka'a si'ipik tu taan le Tzol T'aana', wa ti' je'e maaxak ka'a liik'ik yool u beet le nuumsajo'.
08-00	Articulo 8
08-01	Tulaakal maak sijnal u najmalmajil u tokbesa'al tu kuuchil ti'ibilkunah tu kaajal, tu'ux ka'a ila'ak u chiimpolta'al le Najmal Sijnal yetelo' yetel u dzo'okbesa'al le ba'ax ku ya'ala'al te'ej A'almaj T'aano'obo'.
09-00	Articulo 9
09-01	Mixmaak unaj u k'a'alal wa ma'a u kaant yetel u k'am u si'ipili', mix u tojolch'inta'al tu kaajal.
10-00	Articulo 10
10-01	Tulaakal maak u najmalmaj, keet yetel je'e maaxake', u yu'ubal'al u t'aan tumeen tulaakal maak, wa ich ti'ibilile' ma' u makik u xikin maax jo'olbesik ti' ba'ax ku ya'alik, ti'al ka'a je'edzek yetel utz u najmal maak yetel ba'ax k'a'abet u beetik, beeytun xan ti'al u ch'ooch'a'al je'e ba'alak takpoolil yaan tu yook'ole'.
11-00	Articulo 11
11-00	Tulaakal maak ku ta'akal u poole' unaj u yaax tukulta'al mina'an u si'ipil ka'alikil ma'a e'esa'ak yetel wa ma' u kaant, bey je'ex u ya'ala'al te'ej A'alamaj T'aano'obo', yetel unaj u xa'ak'alta'al u tzikbe'enil tu taan kaaj ti'al yila'al wa yaan u si'ipil yetel xan u yila'al u tokbesa'al tumeen maaxo'ob leti' u meyaj.
11-01	Mixmaak unaj u dza'abal u kuuch yetel u k'a'alal tu yoo'lal ba'ax ku beetik, wa ba'a ma'atan u beetik, wa tu k'iinil u beetik wa u p'atik u beetike' ma'a wet'a'an wa dza'an bey yaan u si'ipilil tumeen u A'almaj T'aanil u kaajal wa je'e ba'alak kaajile'.
12-00	Articulo 12
12-01	Mixmaak yaan u paajtalil ti' u yokbesikuba tu kuxtal mix,aak, yetel u ch'i'ibalo'ob, ichil yotoch wa u wach'ik ju'un ku tuuxta'alti', mix u nuumsik u k'aaba' yetel tsikbe'enil. Tulaakal maak sijnal u najmatmajil u bo'oybesa'al tumeen A'almaj T'aan ti'al ma' yokbesikuba mixmaak tu kuxtal yetel ma' u nuumsa'al.
13-00	Articulo 13
13-00	Tulaakal maak yaanti' u paajtalil u bin je'e tu'uxak u k'aate', beeyxan u jeedzel kajtal je'e tu'uxak kaajil ichil u boj meek'tankaajale'.
13-01	Tulaakal maak yaanti' u paajtalil u jook'ol tu kaajal ti'al u bin je'e ba'alak kaajile', beeyan u suut tu kaajal.
14-00	Articulo 14
14-00	Wa taan u ch'a'apachta'al wa u maan u chu'ukile', tulaakal maak sijnal u najmatmajil u k'a'amal je'e tu'uxak u laak' kaajile' yetel ma'a u jook'sa'ali'.
14-01	Ba'ale' ma'atan u beeytal u bo'oybesik maak wa tumeen jach tu jaajil yaan u si'ipil tu kaajal, beeyxan wa wet'a'an tumeen u A'almaj T'aan Naciones Unidas.
15-00	Articulo 15
15-00	Tulaakal maak sijnal u najmatmajil u kajtal ti' jump'eel kaaj.
15-01	Ti' mixmaak uchak u luk'sa'al u kaajal, mix u luk'sa'alti' u paajtalil u k'exik u kaajal.
16-00	Articulo 16
16-00	Xiibo'ob yetel ko'olelo'ob, le ken u chuk u ja'abil u dzo'okol u beelo'obe', u najmatmajo'ob, je'e ba'alak u ch'i'ibalo'obe', je'e tu'uxak u kaajalo'obe', je'e maakalmaak k'ujil ku kili'ichkuunsiko'obe', u dzo'okol u beelo'ob ti'al ka'a yanak u kuuchkabalo'ob; yetel keet u najmalo'ob tu yoo'lal u dzo'okol u beelo'ob, ka'alikil dzoka'an u beelo'ob wa le ken u p'atuba'ob.
16-01	Chen yetel ka'a u dzaa u t'aan tu ka'atuulal le maax u k'aat dzo'okol u beelo', uchak u yuuchul le dzo'okol beelo'.
16-02	Kuuchkabale' leti' u chuun yetel yaax bix u much'ikuba wiinik kajtal beytuno' k'a'ana'an u kalaanta'al tumeen tulaakal kaaj yetel tumeen jala'acho'ob.
17-00	Articulo 17
17-00	Tulaakal maak sijnal u najmatmajil u yantal ba'al u ti'alinte, tu juunal wa muuch'kab.
17-01	Mixmaak uchak u luk'sik ba'al u ti'al maak.
18-00	Articulo 18
18-01	Tulaakal maak yaan u paajtalil u tukultik je'e ba'alak u k'aate', je'e bixak u k'aate' yetel u kili'ichkuunsik je'e maakalaak K'ujil u k'aate'; bey xan u k'exik u kili'ichkuunaj wa u tuukul je'e ba'alak k'iin u k'aate', beytun xan u dzaak ojeltbil u kili'ichkuunaj yetel ba'ax ku tukultik, tu juunal wa muuch'kab, beytun tu taan kaaj wa tu juunal, ti'al u kanik, u taakpajal wa u dzo'okbesik.
19-00	Articulo 19
19-01	Tulaakal maak yaanti' u paajtalil u tukultik yetel u ya'alik le ba'ax u k'aate'; le najmala' ku ya'alik ma' u chi'ichnak-kuunsa'al maak chen tu yoo'lal bix u tuukul, beytun u xak'al kaxantik ba'ax k'a'abet u yojeltik, u k'amik nu'uktaj yetel u dzaak k'ajooltbil ti' tulaakal yook'ol kaab yetel je'e ba'alak wa je'e bixak ku paajtale'.
20-00	Articulo 20
20-00	Tulaakal maak sijnal yetel u paajtalil u much'ikuba yetel u nupikuba yetel je'e maaxak ka'alikil ma'atan u beetik k'aas ti' mixmaak yetele'.
20-01	Mixmaak unaj u beeta'al u taakpajal ti' mixba'al yetel u nuch'ikuba yetel mixmaak wa ma' u k'aati'.
21-00	Articulo 21
21-00	Ti' tulaakal maak yaan u paajtalil u taakpajal ichil u jala'achil u kaajal, wa leti' ka'a u beet u jala'achil wa ka'a taakpajak ti'al paaykunsa'al u jala'chil.
21-01	Tulaakal maak sijnal u najmatmajil u taakpajal, bey je'e maaxak, ichil u mayej jala'ach.
21-02	U nij jala'achil jump'eel kaaje' u kajnaalilo'ob; beytuno' leti'ob k'a'abet u paaybesik u jala'acho'ob le ken k'uchuk tu k'iinil, tu'ux tulaakal maak unaj u tukultik tu juunal maax u k'aat u dzaa jala'achil.
22-00	Articulo 22
22-01	Tulaakal maak, tumeen taaka'an ichil jump'eel kaaje', sijnal u najmatmajil u kaalanta'al, yetel u dza'aba'alti', tumeen u kaajal yetel u yaantiaj u laak' kaajo'ob tu yook'ol kaabe', le ba'ax k'a'abetti' ti'al u kuxtale', ti'al u beeytal u kuxtal ti' jump'eel kkaj yetel u ye'esik u chiikul u kuxtal, bey je'ex ku k'a'abetkuunsik u tsikbe'enil yetel u no'oja'anil u kuxtale'.
23-00	Articulo 23
23-00	tulaakal maak sijnal u najmatmajil u dza'abal meyajti', u teetik ba'a meyajil u k'aat u beet bey je'e maaxake', ka'a kuxlak yetel u meyajm yetel u kaalaanta'al ma' u luk'sa'al meyajiti'.
23-01	Tulaakal maak sijnal u najmatmajil u naajal bey je'ex u naajal je'e maaxak ku beetik jump'eel meyaj bey je'ex le ku beetiko'.
23-02	Tulaakal maak ku neyaje' sijnal u najmatmajil u bo'ota'al le beyka'aj ku bo'ota'al u laak' maaxo'ob beetik le mayaj ku beetiko', uchak u naajaltik nonoj u ti'al u kuxtal ma'alob yetel kuuchkabal, ka'a dza'abakti' le beyka'aj k'a'abet ti'al u ma'alob kuxtal bey je'ex k'a'ana'an ti' u tzikbe'enil wiinike', yetel wa ma'atan u naajaltik tu p'iise', unaj u chuukbesa'al ti' tumeen jala'ach.
23-03	Ti' tulaakal maak yaan u paajtalil u much'ikubaa wa u taakpajal ichil muuch'kabalo'ob ti'al u tokbesa'al u najmal.
24-00	Articulo 24
24-01	Tulaakal maak u najmatmajil u cha'abal u je'elel, ma' u meyaj wa jayp'eel k'iin, ma' u maan ti' bulk'iin u meyaj yetel u bo'ota'al u je'elel wa jayp'eel k'iin kex ma'atan u meyaj.
25-00	Articulo 25
25-00	Tulaakal maak sijnal u najmatmajil u kuxtal ma'alob pa'te' yetel u kuuchkabal, beeyxan ka'an yanak u toj oolal, ka'a kuxlako'ob tu'ux ka'a taanilkuunsa'ak u yantal u janalo'ob, u nook'o'ob, u yotocho'ob, dzaak yetel tulaakal ba'ax k'a'abet ti'al jump'eel ma'alob kuxtal; sijnal xan u najmatmil wa ku p'aatal mina'an meyaj ti', wa ku k'oja'antal, ku yuuchul loob ti', ku kiimil yiicham, ku ch'iijil wa je'e ba'alak laak ka'a luk'esti' kex ma' u kaat ba'ax tu'ux ku kaxtik u kuxtale'.
25-01	X-yo'om ko'olel yetel mejen paalale' sijnal u najmatmajil u kalaanta'alo'ob ma'alob. Tulaakal mejen paalal siijil ti' ko'olel dzoka'an wa ma' dzoka'an u beele', u najmalamj u kalaanta'al tumeen kaaj yetel u yaanta'al liik'il ma'alob tumeen jala'ach.
26-00	Articulo 26
26-00	Tulaalak maak sijnal u najmatmajil u kaambal. Le yaax kaambalo'obo' k'ana'an ma' u tojoltik. Le yaax kaambalo'obo' tulaakal maak tzaaj u k'amik. U kaambalil jump'eel meyaje' tulaakal maak xan unaj u k'amik; ba'ale' te'ela' uchak u taakpajal le maax yaan u muuk'ile'.
26-01	Le kaambalo' uchak u kaxtik u mu'uk'a'ankuunsik u tsikbe'enil maak yetel u beetik u chiimpolta'al tumeen tulaakal maak le najmal sijnal yetel wiiniko' bey je'ex le a'almaj t'aano'obo'; unaj u yaantaj ti'al u na'atikuba wiinik, u bisikuba ma'alob meek'tan kaajo'ob, kaajo'ob, muuch' kili'ichkuunsajo'ob; yetel unaj u yaantaj ti' u meyaj Naciones Unidas ti'al u kuxtal kaajo'ob yetel jedz oolal.
26-02	Taatatzilo'obe' uchak u teetiko'ob ba'ax u k'aato'ob ka u kan u paalo'ob.
27-00	Articulo 27
27-00	Tulaakal maak sijnal u najmatmajil u taakpajal tu t'aan yoolaj ichil u chiikul u kuxtal u kaajal, u naaysik yool yetel jadzutz meyajo'ob, u taakpajal yetel u k'amik yutzil le xak'al na'ato'obo'.
27-01	Tulaakal maak sijnal u najmatmajil u bo'oybesa'al u no'oja'anil u kuxtal, ba'al u ti'al, u meyaj ti' xak'al na'at, u ik'il dziib wa je'e ba'alak ka'a u meyajte'.
28-00	Articulo 28
28-01	Tulaakal maak sijnal u najmatmajil u yantal u nu'ukbesajil tu kaajal wa tulaakal yook'ol kaab ti'al u dza'abal k'ajooltbil yetel u dzo'okbesa'al le Nu'uktaj t'aana'.
29-00	Articulo 29
29-00	Tulaakal maak yaan u kuch uchil u kaajal tumeen chen ja'ali ichil u kaajal uchak u beeytal u dzo'okbesik u tsikbe'enile'.
29-01	Ikil u dzo'okbesik u najmal yetel u kuxtal ichil le nu'uktajo'oba', tulaakal maake' chen uchak u chiimpoltik yetel ma' u xaak'abtik u xuul u t'aan le A'almaj T'aano'ob tu yoo'lal u laak' maako'obo', yetel u dzo'okbesa'al u no'oja'anil kuxtal, u chiimpolta'al wiinik yetel u keet yantal u toj oolal kaaj.
29-02	Le Najmalo'ob yetel u no'oja'anil kuxtala' ma'atan u beeytal u dzo'okbesa'al wa ma'atan u chiimpolta'al u Nu'uktaj yetel u A'almaj T'aan Naciones Unidas.
30-00	Articulo 30
