00-00	Declarason Universal di Diretu di Home
00-01	Punda dignidade di tudo ngue di mundu e diretu d'inem igual e andeji cu a na po bende fa sa ste di liberdade, di justisa e di paz ni mundu;
00-02	Punda fata di conheximentu e displezu di diretu di home plovoca atu di malvadez cu ca revolta cunxensa di tudu home di mundu e punda ua mundu cu tudu ngue ca po sa livli, pe po fla e pe po quele ni cua cue messe, se mendu e se miseria, fo ploclamadu cuma cua maxi importanti cu home inventa;
00-03	Punda ploteson di diretu di home baseado ni ua ligime di diretu sa importante lumadu, pa home na sa obligado utiliza, cuma ultimu recurso, livolta contla tirania e opresson;
00-04	Punda e sa importante lumadu conselha disenvolvimentu di amizade entre tudu tela;
00-05	Punda ni Cata, tudu povo di Nason Unida ploclama otlo ve, fe d'inen ni diretu di home cu di muala e nen declara cuma nen sa lesovido melhora ploglesso social pa tudu ngue te milho vida ni ua liberdade maxi nglandji;
00-06	Punda tudu Estado memblu xina complomissu cuma nen ca ba plomove, ni cooperason cu Organizason di Nason Unida, lispetu universal e efetivo di diretu di home e di liberdade maxi importanti;
00-07	Punda ua mema conceson di nen diretu cu liberdade se sa importanti lumadu pa po cumpli complomisso se:
00-08	Assembleia Geral
00-09	Ca ploclama Declarason Universal di Diretu di Home se cuma ua cua bua pa tudu povo cu tela di mundu po fe, pa tudu ngue cu tudu organizason di tela, po na txile ni cabesa fa, fe tudu cua cu nen ca poji, pa melhora ensino cu educason, disenvolve lispetu di diretu cu liberdade, tlaba pa po conce e pa po platica tudu cua se ni tudu Estado memblu e ni tela cu naxi te dependenxa fa.
01-00	Artigo 1º
01-01	Tudu ngue di mundu ca nance livli e igual ni dignidade e ni diretu. Punda nen ca pensa e nen te cunxensa, sela nen fe tudu cua cu tenson de lumon.
02-00	Artigo 2º
02-01	Tudu ngue ca po fla ni diretu cu liberdade cu sa ploclamadu ni Declarason se, se distinson, mo fala di lasa, di colo, di sexo, di lungua, di religion, di pensamento politico o otlo, di natureza di tela o di sociedade, di liqueza, di naximentu o qualque otlo situason.
02-02	Alen di cua se, a na ca po fe ne ua separason baseado ni estatuto politico, juridico o di tela di qualque ngue, memu xi tela se conquista dependenxa za o xi e naxi te fa.
03-00	Artigo 3º
03-01	Tudu ngue te diretu di vida, di liberdade e di seguransa pessoal.
04-00	Artigo 4º
04-01	Ne ua ngue ca po vive ni esclavatura fa; esclavatura cu bende o copla esclavo sa ploibido.
05-00	Artigo 5º
05-01	Ne ua ngue na ca po se tlatadu cu clueldade e se closon fa.
06-00	Artigo 6º
06-01	Tudu ngue te diretu pa tlate cu justisa ni tudu lugue
07-00	Artigo 7º
