00-00	TUCUY RUNACUNAPAC HATUM RIMAY
00-01	Yuyashpa ima shina quishpiri, taripa, sumac causay pachapi, mashcanga ricsipi cusilla causayta, ayacunapi mana pi miticuchum, runacunapac ucullapi tian.
00-02	Yuyashpa mana ricsicuna runaman millayhuan ricuchum nausashina pishihuan. Caycuna tucuy llaquicunata apamushca; chaymantami tucuylla ninchic, runacuna, pacha callaricpi mana manchay, huaccha llaqui charic carca, quishipita munashpa, rimaytapes cusilla cacharishpa, paycunahuanmi huinarca.
00-03	Yuyashpa runacunapac ancha allimi taripacuna mitsachum, mana runacuna cayta ricushpa hatum pinayhuan jatarichum.
00-04	Yuyashpa mashcanami llactacunaman, pay pura, mayjanpes cachum tandarishpa alli causayta catina.
00-05	Yuyashpa imashinami llactacuna tinguinacushca HATUM SUYUPI, catishpa alli yuyayhuan quella rurashcata, mana astahuan runacunata llaquichichum sumaclla cari, huarmicuna shuc maquillahuan causachum; chaymanta ninchic, puricunahuan shucla pachaman chayashum quishpicunahuan.
00-06	Yuyashpa imashina llactacunapes mingayta rurashca, tandarishca mama suyupi, rimayta cushcami tucuy runa quishpihuan causachum.
00-07	Yuyashpa chay taripacunaca astahuan allimi tucuyllacunapac, runacunapac, maypipes tiacuchum cay ura pachapi.
00-08	HATUM TANDARI
00-09	Nin, cay shuricunata, tucuy runacuna uyachum, imashina llactacuna, utiuc, hatum cachum tandari quipa sumacta rimarishpa, tutamanta, punlla, chishi, tuta cachum, llactacunallatac, ayllucunaman runacunama yachay huasipi shina yachachinga cay nishcacunata. Chaymantami pacarina shina llugshinga quishpicuna, alli causaycuna tucuypaglla.
01-00	Shayana 1
01-01	Tucuy runacuna quishpirihuan huinan, pactacunahuampes, pay pura, umahuan, ayahuan chay shucuna shina, chaymantami shuclla shina causangacuna.
02-00	Shayana 2
02-01	Tucuy runacuna paycunapac charin quishpita; rimaycunapi nishcata, misho, yana, quillu cachum, cayta, chayta nichum, rimachum, Pachacamac charichum mana charichum, charic cachum, mana charic cachum, caypi huinashca cachum, shuctac llactapi huinashca cachum.
02-02	Chasnalatac mana astahuan alli llacta cangachu, paypac allpacuna shuctac maquicunapi tiacuc, quishpilla cacpipes. Quishpicunata sisachinallami, millay runacuna munacpi, mana munacpi.
03-00	Shayana 3
03-01	Tucuy runacunami quiquin causayta, quishpita charin, mana pi shuashina caminga.
04-00	Shayana 4
04-01	Mana pi cay pachapi yanacuna, mitayucuna canga; yana catuc anchurichum tucuy llactacunapi.
