00-00	manukkhii adhikaaraam baaree vishavaviaapii ailaananaamaa
00-01	jada ki manukkhii parivaara dee saaree maimbaraam dii dhura amdaralii amtariiva shaana atee baraabarii tee naa ttaalee jaa sakanna vaalee adhikaara samsaara vica aazaadii, inasaapha atee amana dii niimha hana .
00-02	jada ki manukkhii adhikaaraam pratii niraadara atee nafarata daa sitttaa ujaddda kisama diiaam kaaravaaiiaam nikaliaa hai jisa naala maanavataa dii zamiira nuum sadamaa pujaa hai .
00-03	atee iha ajihee samsaara dee aagamana dii taamgha tee riijha aama lookaam daa ailaana hai jisa vica saaraa inasaanii bhaaiicaaraa boolanna dii aazaadii, vishavaasa dii aazaadii atee ddara tee gariibii toom aazaadii maanna sakee .
00-04	jadaki isa toom pahilaam ki manukkha beebasa hoo kee aakharii caaree vajoom zulama tee damana dee virudha bagaavata karana utee uttara aaee, iha zaruurii hai ki manukkhii adhikaaraam dii raakhii kaanuumna raahiim kiitii jaaee .
00-05	jadaki iha zaruurii hai ki mulakaam daramiaana sambamdhaam dee vikaasa nuum utashaaha milee .
00-06	jada ki samyukata raashattara dee deeshaam nee aapannee caarattara vica manukkha dee buniaadii adhikaaraam, manukkha dii shaanooshaukata atee maradaam tee aurataam dee adhikaaraam dii baraabarii vica aapannaa punaravishavaasa pragatta kiitaa hai atee pranna kiitaa hai ki vishaala aazaadii dee prasamga vica camgeerii jimdagii atee samaajaka tarakkii nuum utashaahata kiitaa jaaeegaa .
00-07	jada ki maimbara mulakaam nee samyukata raashattara dee sahiyooga naala iha pranna kiitaa hai ki uha manukkhii adhikaaraam atee buniaadii aazaadiiaam dee hakka vica khaloonna tee unhaam dii paalannaa dee varataaree nuum vishaviaapii satikaara rakhadiaam utashaahata kiitaa jaaeegaa, jada ki inhaam hakkaam tee aazaadiiaam dii saamjhii samajha ukata pranna nuum puurii tarhaam saakaara karanaa ika atii mahattavapuuranna galla hai .
00-08	isa laii hunna yuu.aina.oo dii janarala asaimbalii ailaana karadii hai ki manukkhii adhikaaraam baaree vishavaviaapii ailaananaamaa sabhanaa lookaam tee sabhanaa mulakaam diiaam saamjhiiaam praapatiiaam daa ika maapa damdda hai atee jisa daa udeesha hai ki hara viakatii tee samaaja daa hareeka amga isa ailaananaamee nuum hameeshaam dhiaana vica rakhadiaam manukkhii adhikaaraam atee aazaadiiaam pratii satikaara nuum utashaahata karadiaam isa sambamdhii lookaam nuum sikhiata kareegaa atee raashattarii tee amtararaashattarii paddhara utee usaaruu kadama cukeegaa, unhaam adhikaaraam tee aazaadiiaam dii samsaara paddharii atee prabhaavashaalii maanataa tee paalannaa karavaaeegaa atee iha kamma maimbara mulaka aapannee aapannee mulakaam vica unhaam dee adhikaara heettha aaumdee ilaakiaam vica vii karanagee .
01-00	aarattiikala: 1
01-01	saaraa manukkhii parivaara aapannii mahimaa, shaana atee hakkaam dee pakkhoom janama toom hii aazaada hai atee sutee siddha saaree looka baraabara hana . unhaam sabhanaa nuum taraka atee zamiira dii saugaata milii hooii hai atee unhaam nuum bharaatariibhaava dii bhaavanaa rakhadiaam aapasa vica vicarannaa caahiidaa hai .
02-00	aarattiikala: 2
02-01	hareeka viakatii nuum bhaaveem usa dii kooii nasala, ramga, limga, bhaashaa, dharama, raajaniitaka vicaaradhaaraa jaam kooii hoora vicaaradhaaraa hooee, bhaaveem usa dii kooii vii jaaidaada hoovee atee bhaaveem usa daa kitee vii janama hooiaa hoovee tee usadaa kooii vii rutabaa hoovee, uha ailaananaamee vica milee adhikaaraam tee aazaadiiaam nuum praapata karana daa hakka rakhadaa hai .
02-02	isa toom vii aggee isa galla daa kooii bheeda bhaava nahiim rakhiaa jaaeegaa ki uha viakatii kiharree mulaka daa hai atee usa mulaka daa amtararaashattarii rutabaa kihoo jihaa hai . isa galla daa vii khiaala nahiim rakhiaa jaaeegaa ki uha viakatii kisee aazaada mulaka daa hai, jaam uha mulaka kisee ttarassatta adhiina hai jaam usa daa aapannaa savaishaasana nahiim atee jaam uha kisee ajihee ilaakee vica rahimdaa hai jisa dii prabhuusattaa siimata hai .
03-00	aarattiikala: 3
03-01	hareeka manukkha nuum jimdagii jiiuunna, aazaadii atee surakkhiaa daa hakka hai .
04-00	aarattiikala: 4
04-01	kisee vii viakatii nuum gulaama jaam daasa nahiim bannaaiaa jaaeegaa atee gulaamaam daa vapaara bhaaveem uha kisee vii shakala vica hoovee, karana dii manaahii hai .
05-00	aarattiikala: 5
05-01	kisee vii viakatii nuum tasiihee nahiim ditee jaannagee atee usa naala annamanukkhii varataaoo nahiim kiitaa jaaeegaa atee usa nuum ihoo jihii sazaa nahiim dittii jaaeegii jisa daa manooratha usa nuum niivaam karanaa hoovee .
06-00	aarattiikala: 6
06-01	hareeka viakatii nuum kaanuumna saahamannee ika inasaana vajoom milanna daa hakka mileegaa .
07-00	aarattiikala: 7
07-01	sabhanaa lookaam nuum kaanuumna saahamannee baraabara samajhiaa jaaveegaa atee unhaam nuum binaam kisee bheeda bhaava toom kaanuumna mutaabika baraabara dii surakkhiaa mileegii . sabhanaa lookaam nuum kisee vii bheeda bhaava dee khilaapha baraabara dii surakkhiaa mileegii atee bheeda bhaava karana vaalii ukasaahatta virudha vii usa nuum baraabara dii surakkhiaa mileegii .
08-00	aarattiikala: 8
08-01	jeekara kisee viakatii nuum mahisuusa humdaa hai ki samvidhaana jaam kaanuumna tahita milee buniaadii adhikaaraam dii ulamghannaa hooii hai taam usa viakatii nuum yooga niaam praapata karana laii raashattarii ttirabiuunalaam taka pahumca karana daa hakka haasala hai .
09-00	aarattiikala: 9
09-01	kisee viakatii nuum aiveem aapahudaree ddhamga jaam manamarajii naala giraphataara, nazarabamda nahiim kiitaa jaaeegaa jaa deesha nikaalaa nahiim dittaa jaaeegaa .
10-00	aarattiikala: 10
10-01	hareeka viakatii nuum phaujadaarii doosha laganna dii suurata vica aapannee hakkaam tee jimmeevaariiaam nuum milanna laii ika sutamtara tee nirapakkha ttirabiuunala aggee niaam puuravaka tee janataka sunnavaaii daa hakka haasala hai .
11-00	aarattiikala: 11
11-01	hara ika viakatii jisa utee sazaa-yaafataa jurama karana daa ilazaama hai, uha udoom taka aapannee aapa nuum niradoosha mamnanna daa hakka rakhadaa hai jada taka kaanuumna mutaabika khulhee mukaddamee vica usa nuum dooshii nahiim karaara dittaa jaamdaa . isa toom ilaavaa, usa viakatii nuum dooshii taam hii tthahiraaiaa jaa sakeegaa jee usa nuum mukaddamee vica aapannii safaaii laii loorriimdiiaam tamaama sahuulataam tee saadhana muha'iiaa karaaee gaee hoonnagee .
