00-00	Universal Declaration of Human Rights
00-01	‘Oiai, ‘o ka ho’omaopop ‘ana i ka hanohano, a me na pono kivila i kau like ma luna o na pua apau loa o ka ‘ohana kanaka ke kumu kahua o ke ku’oko’a, ke kaulike, a me ka maluhia o ka honua, a
00-02	‘Oiai, ‘o ka hehiku a me ka ho’owahawaha i ka pono kivila o ke kanaka ke kumu o ka hana loko’ino, ka mea ho’i i pi’i ai ka inaina o ka luna’ikehala o kanaka, a ua kukala ‘ia ho’i ka wehena o ke ao e noo ia na maka ‘ainana apau me ke ku’oko’a o ka olelo a me ka mana’o, me ka maka’u ‘ole, a
00-03	‘Oiai, he mea nui ka ho’opakele ‘ana o ke kanawai i na pono kivila o kanaka, ina ho pono no e ‘imi i ke ala o ke kipi ‘ana i ka haina a me ka ho’oluhi hewa wale, a
00-04	‘Oiai, he mea nui ka ho’oko ‘ana i ka pili aloha ma waena o na aupuni, a
00-05	‘Oiai, ua ho’oia ka po’e o Na Aupuni Hui Pu la ma o ka Palapala Ho’ohui la, i ka hilina’i i ke kumu kahua o na pono kivila o kanaka, i ka hanohano a me ka waiwai o kanaka, a me ke kau like ‘ana o na pono kivila ma luna o ke kane a me ka wahine, a i ho’oholo ho’i e alu like i ka ho’opi’i ‘ana i ke kulana o ka nohona kanaka o ke ao noa a,
00-06	‘Oiai, ua ho’ohiki Na Aupuni Lala i ka lakou ‘olelo e ho’oko, ma ke alu like ‘ana me Na Aupuni Hui Pu ‘Ia, ka paipai ‘ana i ke ao kanaka e mahalo i ke kumu kahua pa’a o na pono kivila kanaka,
00-07	‘Oiai, ‘o ka ho’omaopopo like ‘ana i keia mau pono kivila ka mea nui e ko ai keia ‘olelo ho’ohiki,
00-08	No laila, ke KUAHAUA nei KA ‘AHA ‘OLELO, ‘o ka HO’IKE I NA PONO KIVILA O KE AO NEI ka pae ho’ohalikelike, kahi e pi’i like ai na lahui a me na aupuni apau loa, i ku kela kanaka, keia kanaka, a me kela hui, keia hui, me ka ho’omaopopo mau i keia Ho’ike, ma o ka ho’ona’auao ‘ana, i ho’ihi’ihi ‘ia na pono kivila ma ke ala e holumua ai ke aupuni, a i waena ho’i o na aupuni, a pa’a pono ka ‘ike a i ho’oko ‘ia ho’i e na Aupuni Lala a me ka po’e o na panala’au e noho ana i ka malu o lakou.
01-00	Pauku 1
01-01	Hanau ku’oko’a ‘ia na kanaka apau loa, a ua kau like ka hanohano a me na pono kivila ma luna o kakou pakahi. Ua ku’u mai ka no’ono’o pono a me ka ‘ike pono ma luna o kakou, no laila, e aloha kakou kekahi i kekahi.
02-00	Pauku 2
02-01	Ua noa i na kanaka apau loa na pono kivila i helu ‘ia ma keia Ho’ike, me ka ho’okae ‘ole i ka lahui, i ka wai ho’olu’u o ka ‘ili, i ke kane a i ‘ole ka wahine ka ‘olelo, ka ho’omana, ka mana’o politika a me na mana’o ‘e a’e, ka ‘aina a pilina paha i hanau ‘ia ai, ka waiwai, ke kulana hanauna a me na kulana ‘e a’e.
