00-00	ansani hqwq da 'almi mnshwr
00-01	tchwnkh hr ansan di thati 'zt wqar tye naqabl antqal akw jyeye hqwq da tslim kita jana dnia wtch azadi, ansaf tye amn di jiad aye . .
00-02	tchwnkh ansani hqwq da khial nh rkhn tye lwhnan di bye hrmti di wjh twn sngdli dye kyei ihw jyeye waq'at pish atchkye nin jnhan wtch ansanit nwn bht sdmh phntchia aye tye 'am lwkan di ihh sb twn wddi khwahsh rhi aye pyei dnia wtch hr shkhs nwn apni gl khn tye apnye 'qidye autye tchln di azadi hwdye tye awhnwn kwyei mhtaji tye ddr khwf di nh hwdye . .
00-03	tchwnkh qanwn autye 'ml wramd dye thri'ye ansani hqwq di hfazt is wastye bht drwri aye pyei ansan zlm tye thiadti twn tng akye bghawt krn autye mjbwr nh hw jayeye
00-04	tchwnkh sarian qwman dye aps dye dwstlnh t'lqat da wdhna drwri aye . .
00-05	tchwnkh rkn qwman nye aqwm mthdh dye mnshwr wtch bhiadi ansani hqwq, ansani 'zt wqar tye mrdan 'wrtan sb dye akw jyeye hqwq mn lyeye nye tye wsi' azadi dye mahwl wtch m'ashrti trqi 'am krn tye lwkan dye rhn shn da m'iar autcha krn da 'zm krlia aye . .
00-06	tchwnkh rkn mlkan nye aqwam mthdh ttal rl kye sari dnia wtch ansani hqwq tye bhiadi azadian di hfazt krn tye hfazt krwan da 'hd krlia aye . .
00-07	tchwnkh ihh 'hd pwra krn di khatr ihnan azadian tye hqwq nwn sb da tchngi tr han smjh lina bht drwri aye . .
00-08	is wastye hn
00-09	jnrl asmbli ansani hqwq dye is mnshwr
00-10	da a'lan kr di aye
00-11	ansani hqwq di hfazt da mqsd hasl krn dye slslye wtch ihh 'almi mnshwr sarian qwman lyei ak sanjha m'iar hwdye ga tan jye hr shkhs tye m'ashrye da hr adarh ihh mnshwr samnye rkh kye ansani hqwq tye azadian da ahtram pida krn tye sarye rkn mlkan tye awhnan 'laqian wtch wi ihnan nwn mnwan di kwshsh krda rhwye jhirrye rkn mlkan dye matht nin . .
01-00	df'h1
01-01	sarye ansan azad tye hqwq tye 'zt dye lhaz nal brabr pida hwndye nin . . awh 'ql smjh tye tchngye mndye di ptchhan tye ahsas rkhdye nye is wastye awhnan nwn ak dwjye nal bhayei tcharye wala slwk krna tchahi da aye . .
02-00	df'h2
02-01	hr shkhs awhnan sarian azadian tye hqwq da malk aye jhirrye is mnshwr wtch bian kr wtye gyeye nin tye awhdye is hq a tye awhdye rng, nsl, zban, mthhb, siasi nzriye, 'qidye, qwmit, m'ashrye, amiri ghribi, khandan tye awhdye 'wrt ia mrd hwn da kwyei frq nhin pinda
