00-00	ZAL'SHENGA NGAN KPANGSIR' ZOSIMDI NI NANGGBANG YINI ANDUNIA TINGGBANA SUNSUUNI
00-01	Yelimangli, behigu kam yi yen mali kore ni dariza zang n chang sal' mini o kpee sunsuuni faashee ka be che tab' bobbu ni tab' mugsubu yirung yirung. Din lan pahi, di bi tu ka boliyoli be be nimdi ni. Din nyaanga, di bi lan tu ka zab chogima ngan ka alifaani gor be be sunsuuni. Yeltog' yoya lala n yi dogsi nam tobu, ka bebu kong tulaale. Sal-nim yi lihimi zhem zal' shenga ngan be litaafi ngo ni ka zilsigu ni fabila nabigi m-maan pahi nabili be sunsuuni. Ashee togsigu ni shaawara ni be sheli, fabila ni yolitem ka ka di beni.
00-02	Din ni che ka fukumsi ni mugsigu sagim zosimdi ka sokam ti zor' n bahiri o sol' la, di tuya ka ti ning kookali ning ti suhu ni, ka zal' shenga ngankam be litaafi ngo ni daalifaani tabili sokam. Zal' shenga din be litaafi ngo ni lan nyela din tongdi aminsi ni zosimdi ka bukaata kam maana.
00-03	Tinggbana Nanggban Yini Laginggu sheli be ni boli yubolig' Yunaitid Neishins la nim zaa dihi nuu gbong ni ka dama be zaa yuya ni di kpangsi zal' shenga ngan zaa nye ngan kpangsir zosimdi ni togsigu tinggbana sunsuuni. Binnamda Naa yiko puuni, paga bi gari doo, doo mi bi gari paga. Be zaa la yim. Ni dinzugu be bor' ni yeda ni suhupielli be ti sunsuuni, ka ti puha yooi tab' zugu, ka yelli kam ku nyang ti. Din ni kpangsi ka zal' shenga ngan be litaafi ngo ni maali sokam buchi, sokam maaimi o nii n karim litaafi ngo ka di kpe o tibili ni venyelinga.
00-04	Dinzugu, pumpongo,
00-05	Jeneral Asembli Laginggu ni di
00-06	ti sokam lahabali ka dama
00-07	ZAL' SHENGA NGAN BE LITAAFI NGO NI NGO NYELA
00-08	ngan ni ning tinggbana ni sokam alifaani. Sokam, zang n-ti tabli dunia-yili laginggu balibu kam zangim zal' shenga ngan be litaafi ngo ni n-ning waazhibu, ka bo daliri din ni che ka nga ning bayaana ni achiika: Wulingpuhili, Wulingluhili, Nudirigu, Nuzaa, ni lugulikam. Amaa Zal' shenga be ni yu ni ti zaasa kpangsi maa n-dii mbongo.
01-00	N-dam 1
01-01	Sal' la sala. Behig' be sokam sanimi, din pa la amii. Suhizobo be sokam sani; ka nambogu beni. Suhubohibo mi bi lan kong yigunaadam kam sani. Dinzugu dimbongo zaa wuhiya ka dama di tu kamaata ka ti zaa yu tab' hali ni ti puuni.
