00-00	CAAMBILIZYO CA MULAWO WA MASI OONSE WA LWAANGULUKO LWA MUNTU MATALIKO
00-01	Mbuli mbokunga kulemeka muntu oonse ncizyalilwa ca lwaanguluko lwa mikwasyi yoonse kuba matalikilo akuliiba, kukwabililwa amulawo alimwi aluumuno munyika:
00-02	Kakuli kutalemeka alimwi akutyola milawo ya lwaanguluko lwa muntu kuleta micito yabujayi mibyaabi kulanyemya akutakkazyika kabotu bantu alimwi kwazungaanya nyika kuti ijane nzila yakwaangulula bantu kuti kabaliiba kukanana zyobayanda alimwi akutobela zyobasyoma alimwi akwaanguluka kwakutayoowa kwakaambilizyigwa kuba nenzila mpati veelede kuyumya muntu.
00-03	Kakuli ncintu cipati, kuti muntu tasungilizyi kulomba lugwasyo kuba nenzila ilikke yamamanino, ulakonzya kucita zyintu zyimbi zyibyaabi zyakulikwabilila kudyaamininwa, kuti buumi bwa muntu weelede kukwabililwa amulawo.
00-04	Kakuli ncintu cipati kusumpula lumvwano akati kamasi, kakuli bantu bamasi aali mu mbunga ya United Nations mu milawo ya malembo amumbunga eeyi akasyomenzya lusyomo mu milawo ya lwaanguluko lwa muntu, kubulemu alimwi abuvubi bwamuntu alimwi alwanguluko lweelene ku basankwa abakaintu alimwi akuba amakanze akusumpula bukkale bwabuumi bwabo mukuliiba kunji.
00-05	Kakuli masi aali ma memba ambunga eeyi akasyomezya kuya kuzwidilila, mukubelekela antoomwe ambunga ya United Nationes, kusumpula akucita kulemeka mulawo wa lwaanguluko lwa muntu alimwi akulekela bantu kuliiba, kakuli kumvwa kwa lwaanguluko oolu alimwi akuliiba nkupati mukubona kuti kusyomezya ooku kwabeleka.
00-06	Lino aboobo, Muswaangano Mupati (Generl Assembly) waambili zya zyeezyi: Eeci cizumino ca kwaambilizya lwaanguluko lwa muntu kuba nenzila ngubauba yabantu boonse alimwi amasi oonse kujana, kumasimpilo kuti muntu oonse alimwi azyibeela zya buleya, kuyeeya cisyomezyo eeci lyoonse mu myoyo, ciya kusola mbocikonzya kuyiisya alimwi akusumpula kulemeka lwaanguluko alimwi akuliiba alimwi kwiinda munzila isumpukide, masi alimwi akubantu bamumasi aali mubweendelezi bwa bantu bambi.
00-07	CIZUMINANO CA MULAWO UJATIKIZYA MASI OONSE CAKULESYA BUTUNDULUZI BWA MUNTU
01-00	Kapango 1
01-01	Bantu boonse balazyalwa kabaangulukide alimwi kabeelene alimwi akwaanguluka kucita zyobayanda. Balazyalwa amaanu akuyeeya, aakusala alimwi beelede kulanga bambi mbuli banabokwabo.
02-00	Kapango 2
02-01	Mukuya ambele, kunyina kusalaula kweelede kucitwa akaambo katwaambo twacisi, bweendelezi bwa milawo antela bulemekwa cisi nkwazwa muntu, cibe cisi cakalilela kale, citaninga kulilela nokuba kuba amweele wakutaindilizya.
02-02	Muntu oonse ulaangulukide ku zyintu zyoonse zyili mucizuminano, kakunyina kusalaula mbuli kwakusiyana cikanda, musyobo, buzyale, cikombelo, makani a twaambo twacisi antela kwiimpana kwakuyeeya, busicisi antela bukkale, buvubi, nkokazyalilwa antela kwiimpana kumbi.
03-00	Kapango 3
03-01	Muntu oonse ulaangulukide kubukkale bwabuumi, lwaanguluko alimwi akukwabililwa.
04-00	Kapango 4
04-01	Kunyina weelede kuba muzike antela cibelesyo, buzike alimwi amakwebo aabuzike zyeelede kukasyigwa munzila zyoonse.
05-00	Kapango 5
05-01	Kunyina weelede kupezyegwa, kutalanganyizyigwa mbuli muntu antela kubelesyegwa mbuli cibbalo antela kupegwa cisubulo.
06-00	Kapango 6
06-01	Muntu oonse ulaangulukide kulemekwa koonse nkwabede kuba muntu kubusyu bwa mulawo.
07-00	Kapango 7
07-01	Bantu boonse baleelene kubusyu bwa mulawo alimwi balizumizyidwe kakunyina kusalaula kubukwabilizi bwa mulawo bweelene. Boonse balaangulukide kukwabililwa kweelene kumicito yakusalaula mukutyola cizuminano eeci alimwi akumicito ya kubisya zyintu zyikonzya kuleta kusalaula.
08-00	Kapango 8
08-01	Muntu oonse ulaangulukide kwiimininwa ambunga ya bantu basalwa mucisi kubona kaambo kakwe nkasinkilwa kulwaanguluko lwakucita ncayanda ncazumizyilwe amulawo.
09-00	Kapango 9
09-01	Kunyina muntu weelede kwaangwa, kuyobolwa muntolongo kakunyina mulandu antela kutija kuya kukkala kucisi cimbi.
10-00	Kapango 10
10-01	Muntu oonse ulaangulukide kakunyina kwaandana kubetekwa ambunga yasalwa inyina nkoilikumbtizya alimi isitikene kulanga kukwabililwa ku lwaanguluko ndwajisi alimwi ayimwi milandu njakonzya kupegwa.
11-00	Kapango 11
11-00	Oonse wapegwa mulandu ulaangulukide kwiitwa kuti ucisalalakusikila akaianwe amulandu mu nkuta mbuli bwaamba mulawo libetekwa alimwi ulizumizyilwe kujmana bamwiimiminina libetekwa mulandu wakwe.
11-01	Kunyina ukonzya kujanwa mulandu kuti kakuli cintu comwe cicaala citakonzyi kupa kuti ube mulandu, kwiinda mu milawo ya cisi antela ijatikizya masi oonse, ciindi mulandu ooyu niwakacitika. Lyalo kunyina cisubulo cipati ceelede kupegwa kunze aacisubulo ceendelana amulawo ciindi mulandu niwakacitwa.
12-00	Kapango 12
12-01	Kunyina muntu weelede kunyonganyizyigwa kutayelede kuzyintu zyakwe, mukwasyi, munzi antela magwalo, antela kumutalika akaambo kabulemu bwakwe. Oonse ulaangulukide kukwabililwa amulawo kukunyonganyizyigwa antela kutalikwa ooku.
13-00	Kapango 13
13-00	Oonse muntu ulaangulukide kweenda mbwayanda alimwi akukkala kufumbwa mucisi.
13-01	Oonse muntu ulaangulukide kuzwa kufumbwa mucisi, kusanganizya acisi cokwabo, alimwi akupiluka kucisi cokwabo.
14-00	Kapango 14
14-00	Oonse muntu ulaangulukide kulomba kukkala akuliiba mucisi cimbi mwaatijila kuyuba kwaangwa antela kupezyegwa musi mwazwa.
14-01	Kukwabililwa kulwaanguluko oolu kulakozya kutyolwa kubantu batija kubetekwa milandu isalala kabotu itali mbuli ya makani atwaambo twacisi antela itayendelani anzila alimwi amilawo ya mbunga ya manyika oonse (United Nations).
15-00	Kapango 15
15-00	Oonse muntu ulaangulukide kuba munacisi wacisi ncayanda kukkala.
15-01	Kunyina uyedele kukasyigwa kucinca busicisi antela kukasyigwa kutacinca.
16-00	Kapango 16
16-00	Basankwa abakaintu bakakomena, kakunyina kubakasya akaambo kacikanda cabo, cisi ncobazwa antela cikombelo, balangulukide kukwata kufumbwa ngobayanda alimwi akubamba mukwasyi. Balangulukide kuba alwaanguluko lweelene lwa bakwetene ciindi nobacikwetene alimwi anobalekana.
16-01	Kukwatana kuya kulembezyegwa abaabo basikuyandana bobile kakunyina kuyoowa.
16-02	Mukwasyi ncilenga cabuleya kukkala antoomwe alimwi mukwasyi weelede kukwabililwa ku buleya alimwi akucisi.
17-00	Kapango 17
17-00	Oonse muntu ulaangulukide kuba alubono alikke antela kubeleka aatomwe abamwi.
17-01	Kunyina weelede kunyonganizyigwa antela kunyangwa lubono lwakwe.
18-00	Kapango 18
18-01	Muntu oonse ulaangulukide kuliyeeyela, kulisalila cikombelo ncayanda; lwaanguluko oolu lulajatikizya alusyomo ndwajisi alikke antela mu mbunga ya bana maleya nokuba kuliiba alikke, kutobela buyiisya cikombelo antela walo kuyyiisya, alimwi akukomba.
19-00	Kapango 19
19-01	Muntu oonse ulaangulukide kwaamba zyili kumoyo; kwaanguluka ooku kulajatikizya akubuzya, kulaigwa alimwi akupa mizeezo kwiinda mumapepa antela mulisikapepele kakunyina munyinza.
20-00	Kapango 20
20-00	Muntu oonse ulaangulukide kuba mukabunga antela kubungana kwaluumuno.
20-01	Kunyina weelede kusungilizyigwa kuba mukabunga nkatayandi.
21-00	Kapango 21
21-00	Muntu oonse ulaangulukide kutola lubazu mubweendelezi bwa mfulumende mucisi cokwabo antela kwiinda kumuntu usalwa biya abana maleya antela lwakwe mukamwini.
