00-00	ADASA NDZINOA HO DAWURBO
00-01	Onam de adasa hon enyimnyam ye per na ndzinoa a obi nngye mmfi hon nsamu a wowo no ngyetomu nye wiadze yi mu fahodzi, perperdzi, ntsentsenenee na asomdwee ne fapem;
00-02	Onam de tsia a yetsiatsia nyimpa ne ndzinoa do no dze ewurkadze nwenwen a obiara tsia aba, na afei so woabo wiadze a oreba a no mu nyimpa benya fahodzi wo kasa, gyedzi, suro na ohia ho dawur de nyimpapem nyina hon ahwehwedze tsitsir,
00-03	Onam de ohia pepeepe de yemmpe de yeye adasa ndzinoa ho mbra,
00-04	Onam de ohia de wotu aman na aman ntamu anyenkoye nkitahodzi mpon,
00-05	Onam de Amanaman Nkabomu Kuw mu nyimpa nyina edua Farbaa Nwoma no do agye hon gyedzi a owo adasa awose ndzinoa, nyimpa n'enyimnyam na nyimpa no bo a osom, na mbanyin na mbaa hon ndzinoa a oye per ato mu na woabo hon enyim biriw de wobotu asetsena mu kanko na atseyie mpon,
00-06	Onam de aman a wodom Amanaman Nkabomu Kuw no abo odabaa de wonye Kuw no beye ahwehwe amansuon nyina enyiedzi ama adasa ndzinoa na awose fahodzi ntsi.
00-07	KUW NO BAGUA KESE NO
00-08	Paa mu ka de:
00-09	Afei,
00-10	NHYIAMU KESE NO YI ADASA NDZINOA HO DAWURBO no kyere de: ono nye nhwhedodze tsitsir a owo ho ma nyimpa na aman nyina, ama ankorankor biara na nyimpa kuw biara, se wodze dem dawurbo yi si hon enyim a, woaabo mbodzen edua nkyere na adzesua do ama nkorofo eedzi ndzinoa na fahoazi ahorow no nyi; na woaatoa do afa honara hon man na amanaman nhyehyee do woama woaagye dawurbo yi ato mu na woeedzi do wo Aman a wodom Nkabomu Kuw no mu biara mu nye asaase biara a wohye hon ase no so do.
01-00	Asempow 1
01-01	Wowo adasa nyina to fahodzi mu, na hon nyina ye per wo enyimnyam na ndzinoa mu. Womaa hon nyina adwen na tsibowa, na owo de hon nkitahodzi mu ndzeyee da no edzi de woye enuanom.
02-00	Asempow 2
02-01	Obiara wo ndizona na fahodzi a woada no edzi wo Dawurbo yi mu no ho kwan a nyiyimu biara nnyi mu a ofa no obi n'awosu anaa no honamenyi ngyegyee mbre otse, de oye banyin anaa oye basia, ne kasaa a oka, ne nyamesom mbre otse, amanye ho adwen a owo, ne man anaa asetsena mu gyinabew a ofi mu, egyapadze a owo, n'awofo hon gyinabew anaa gyinabew fofor biara so a owo ho.
02-02	Bio, onnyi de wogyina oman a obi fi mu no n'amanye kwan, ne mbra anaa n'amanandze gyinabew do-de oman no dzi ne mansin, de ohye oman bi no nhwedo ase, anaade onnyi fahodzi, ye nyiyimu tsia nyimpa no.
03-00	Asempow 3
03-01	Nyimpadua no nkwa, ne fahodzi, na no totroto ye obiara ne ndzinoa.
04-00	Asempow 4
04-01	Onnyi de wodze obiara to nkowaasom mu anaade woma osom osomhun; owo de wogu nkowaasom na ndonkogua korakora.
05-00	Asempow 5
05-01	Onnyi de woye obiara ayakayakadze, etsiodzendze anaa enyinyandze anaa wotsea no anaa woma no asotwe biara a osee dasanyi n'enyimnyam.
06-00	Asempow 6
06-01	Oye obiara ne ndzinoa de, mbra mu, wobu no de nyimpa wo beebiara.
07-00	Asempow 7
07-01	Nyimpa nyina ye per wo mbra no enyim, na hon nyina fata mbra no ne ntwitwagye a nyiyimu nnyi mu. Obiara wo ho kwan de mbra no bo no ho ban tsia nyiyimu a obu Dawurbo yi mu nsempow no mu biara do no, nye nunu biara a wonunu nyimpa ma oye ma oye nyiyimu no.
08-00	Asempow 8
08-01	Obiara a woaye bon etsia ne ndzinoa a mbra na amambu ho mbra ma no ho kwan no, wo ho kwan de odua asendzi baguafo do gye nsiesie anaa mpata a ofata.
09-00	Asempow 9
09-01	Onnyi de abotsirmu ara wokyer obi, wodze no sie, anaa wotwa no esu.
10-00	Asempow 10
10-01	Obiara wo ho kwan de bagua asendzifo a wonnton hon asowa nndzi tsena hwehwe n'asem mu pefee wo ne ndzinoa, n'asadze anaa ewudzisem ho sombo bi a wodze abo no ho.
11-00	Asempow 11
11-01	Obiara a woabo no sombo bi a odze ntsea nam no wo ndzinoa de wobu no de odzi bem kesi de, woedzi n'asem ama no kwan biara a ohia de odze tstsew no ho, na woebu no fo de mbre mbra kyere.
11-02	Onnyi de wobu obiara fo na wotsea no wo ndzeyee bi a onnye ntsea nam ase. Na eso onnyi de woma obi ntsea a obor no mfomdo a oaye no ho ntsea do.
12-00	Asempow 12
