00-00	maanava baadhyategalla saarvatrika prakattane prastaavane
00-01	maanava kuttumbada samasta sadasyara sahaja gauravavannuu samaanavuu ananyahaaryavuu aada hakkugallannu amgiikarisuvudu prapamcadalli svaatamtryada dharmashaamtategalla tallahadiyaagiruvudarimdaluu.
00-02	maanava hakkugallage toorisalpattva upeeksse tiraskaaragallu, maanavana amtahkarannavannu daarunnagollisidamtaha kruurakrtyagallaagi parinnamisiruvudarimdaluu, mattu yaava prapamcadalli manussya jiivigallu vaaksvaatamtrya vishvaasa svaatamtryagallannu anubhavisuvavoo yaava prapamcadalli amjike mattu abhaavagallimda muktavaagiruvudu saamaanya janateya mahadaashayavembudaagi saaralpattttiruvudoo amthaa prapamcadaagamanavaagiruvudarimdaluu.
00-03	maanava hakkugallu kaanuunina kattttalleyimda samrakssisalpaddabeekaadare manussyanu avalambane homdalu ottaayapaddisalpaddadiddare, koneya upaayavaagi, dussprabhutva mattu kruuratanagallannu viroodhisi damgemaadduvudu atyagatyavaagiruvudarimdaluu.
00-04	janaamgagallalli sneehasambamdhagalla bellavannigeyannu abhivrddhigollisuvudu agatyavaagiruvudarimdaluu.
00-05	yukta raassttragalla prajegallu shaasanadalli maanavara muulaadhikaaragallalliruva tamma vishvaasavannuu manussya jiiviya yoogyate mattu gaambhiiryagallalliruva tamma vishvaasavannuu mattu striipurussara samaana hakkugallalliruva tamma vishvaasavannuu punah drddhiikarisuvudarimdaluu, saamaajika bellavannigeyannu abhivrddhigollasaluu, gurutara svaatamtrya sameeta jiivanamattttavannu uttamagollisalu nirdhasiruvudarimdaluu.
00-06	sadasyaraassttragallu yuktaraassttragalla sahakaaradoddane, maanava hakkugalliguu, muula svaatamtryagalliguu saarvatrika mannanneyannu abhivrddhigollisuvudannu saadhisaluu, avugallannu anusstthaanadalli taralu taavaagiyee pratijnye maaddiruvudarimdaluu.
00-07	ii hakku svaatamtryagalla saadhaaranna tilluvallikeya ii pratijnyeya sampuurnnaanubhavakke atimukhyavaagiruvudarimdaluu.
00-08	“ii nuutana baadhyategalla saarvatrika prakattane”yannu ellaa janagalliguu ellaa janaamgagalliguu kaaryasiddhiya saamaanya pramaannavemduu, koneyavareguu prati vyaktiyuu samaajada prati amgavuu ii prakattaneyannu sadaa manassinallittttukomddu boodhaneyimdaluu shikssannadimdaluu ii hakkugallannuu svaatamtryagallannuu gauravisuvudannuu abhivrddhigollisaluu prayatnisabeekemduu sadasya raassttragalla prajegallalliyuu avugalla aadhipatyakke ollapatttta raassttragalla prajegallalliyuu raassttrada mattu amtararaassttrada pragatishiilavaada saadhanagallimda ii hakku svaatamtryagalla saarvatrikavuu samdaayakavuu aada amgiikaaravannuu anusstthaanavannuu paddeyabeekemdu iiga saarvajanika sabheyu prakattisuttade.
01-00	nibamdhane 1.
01-01	ellaa maanavaruu svatamtraraagiyee janisiddaare. haaguu ghanate mattu hakkugallalli samaanaraagiddaare. viveeka mattu amtahkarannagallannu paddedavaraaddarimda avaru paraspara sahoodara bhaavadimda vartisabeeku.
02-00	nibamdhane 2.
02-01	jaati, varnna, striipurussa bheeda, bhaasse, dharma, raajakiiyaabhipraaya athavaa anyaabhipraaya, raassttriiya muula athavaa saamaajika muula, aasti, huttttu athavaa itara padaviyamthavugalla yaava riitiya bheedabhaavavillade, ii prakattaneyalli niruupisiruva ellaa hakkugalliguu svaatamtryagalliguu pratiyobbaniguu hakkumttu.
02-02	idallade obba vyaktige sambamdhisida raassttrada athavaa deeshada raajakiiya illavee nyaayaadhipatyada athavaa amtararaassttriiya sthitiya aadhaarada meele yaava taaratamyavannuu maaddalaaguvudilla. ii raassttravu svatamtravaagirali, adhiinavaadudaagirali, paratamtravaagirali, athavaa prabhutvada beeraava kattttinallaagirali.
03-00	nibamdhane 3.
03-01	pratiyobbaniguu jiivanada svaatamtryada mattu aatmasamraksseya hakkumttu.
04-00	nibamdhane 4.
