00-00	Allgemeen Verklaren vun de Minschenrechten
00-01	Vunwegen wat dat Anerkennen vun de Wueuerd, mit de all Minschen baren suend, un de Rechten, de all Maten vun de Gemeenschupp vun de Minschen hebbt un de gliek un nich to verkoepen suend, de Grundlaag vun Frieheit un Freden in de Welt is, un wat dat recht und billig togeiht,
00-02	vunwegen wat dat Verkennen un Minnachten vun de Minschen rechten to unminschlich Doon foehrt hett, un dat Geweten vun de Minschen daarvun vull is vun Schann, is dat voer nehmste Wark vun de Minschen dat Buen vun een Welt, wo elk un een seggen un gloven droeff, wat he will un he frie is vun Bang sien un Noot,
00-03	vunwegen wat dat noedig is, de Minschenrechten doerch dat Regeern vun’t Recht Schuul  geven, dat de Minsch nich dwungen  as lest Middel Wedderpart to hollen Tyrannei un Uennerdruecken,
00-04	vunwegen wat dat noedig is, dat mang de Natschonen foeddert ward, wat se fruendlich mit eenanner uemgaht,
00-05	vunwegen wat de Voelker vun de Vereenten Natschonen mit duesse Charta noch mehr daar up ruut wuellt un dat so besloten hebbt: dat se fastholen an de Minschenrechten vun elk un een, fastholen an de Wueuerd un den Weert vun elk un een, un wat Mannslueued un Fruunslueued de suelvigen Rechten hebben schuellt, un wat dat Wiederkamen vun de Gemeenschupp un een beter Leven in mehr aFrieheit foeddert warrn schall,
00-06	vunwegen wat de Matenlaenner toplicht hebbt, tosamen mit de Vereenten Natschonen allns daarfoer to doon, dat de Minschenrechten  de Frieheit vun elk un een samt un suenners acht un estimeert ward,
00-07	vunwegen wat dat mit duesse Verplichten wat ward, is dat vun groettste Bedueden, wat  suelvige meent ward, wat duesse Rechten un Frieheiten angeiht,
00-08	un so gifft de Generalversammeln Bott: Duesse Allgemeen Verklaren vun de Minschenrechten is dat, wat foer all de Voelker  Natschonen as Wiespahl gellen schall. Elk un een un all Inrichten vun de Sellschupp schuellt duesse Verklaren juemmers praat hebben un daarfoer wat doon. Doerch Uennerrichten un Uptrecken schall dat Estimeern vun duesse Rechten un Frieheiten foeddert warrn. Doerch natschonaal un internatschonaal Doon schall dat mehr warrn mit dat allgemeen un rejell Annerkennen un Uemsetten vun duesse Verklaren bi all de Lueued in de Matenstaaten, oever de duesse Gewalt hebbt.
01-00	Artikel 1
01-01	All de Minschen suend frie un gliek an Wueuerd un Rechten baren. Se hebbt Vernunft un een Geweten un se schuellt sik Broeder sien.
02-00	Artikel 2
02-01	Dat, wat in duesse Verklaren oever de Rechten un Frieheiten steiht, gellt foer elk un een. Daar gifft dat keen Uennerscheed vunwegen de Raas, de Farv vun de Huut, dat Geslecht, de Spraak, den Gloven, de Menen vunwegen de Politik orrer annereen Oevertuegen, dat natschonaal orrer soziaal Herkamen, den Riek doom, Geburt orrer suenst een Stand.
02-02	Ok droeff daar keen Uennerscheed maakt warrn vun wegen de politsch, rechtlich orrer inter natschonaal Stand vun dat Land orrer Flach, wo een Minsch tohoeren deit. Dat droeff keen Uenner scheed geven, wat dit Land orrer dat Flach uenner Vullmacht steiht, keen Suelfstregeern hett orrer anners in sien Egenrecht inschraenkt is.
03-00	Artikel 3
03-01	Elk un een hett dat Recht up Leven, Frieheit un Sekerheit vun de Persoon.
04-00	Artikel 4
04-01	Keeneen droeff Slaveree lieden orrer to dat Goot vun anner Minschen  jeedeen Aart un Wies vun Slaveree un Slavenhannel suend verbaden.
05-00	Artikel 5
