00-00	DUNYA’’ MUME MOOGOOYA’’ HAKEYAW DANTIIGELIIKAN
00-01	K’a mina a ma ko dunya’ manton’ bee ka kan ni bonya ye, ani ko bee ka kan sariya’ la lakika’ la, ko o le be bee ya horonya’ sabati, ka bee kanya nasuma’ dunya’ sigi’ la.
00-02	K’a mina a ma ko mogoya hake lonbaliya’ ni a jatebaliya’ nana ni syaman ye dunya kono, minw ka hadamadenw dusu’ kasi, ani K’a mina ma tele kura min bora, a fora ko kuma’ min ka di min ye, o be o fo, diina’ min ka di min ye, o be o ke, ko mogow ka siran ngon na, o banna, ko fagantanya jugu banna, o kuma’ kera benkan ye min kera hamamadenw haminankoba ye,
00-03	K’a mina a ma ko ka mogoya’ hake’ latanga ni sariya’ sigili’ ye sen kan, ye wajibi ye walasa mogow kana wajibiya ka muruti benkanni’ kanma, ani fangajugu’ kanma,
00-04	K’a mina a ma a ka kan teriya’ ye ke jamanaw ni ngon ce,
00-05	K’a mina a ma dunya’ mume saratikan’ na, Dunya’ Jamanaw ya to mantonw bee ka a yira ko u lanin be mogoya’ hakeyabaw’ la, u lanin hadamadenya’ ta bonya’ ni a lanbe’ la, u lanin be cew ni musow kanyangonmaya’ la hake’ la, ni u ka nganiya’ siri ka mogoya’ ya ne sabati, ani ka nanamaya’ kecogo numan’ sigi sen kan horonya’ berebere kono,
00-06	K’a mina a ma Dunya’ jamanaw ka a nganiya ko u be jen ni Tonba ye ka mogoya’ hakeyaw latanga a na’ ma dunya’ mume kono,
00-07	K’a mina a ma, o nganiya numan te se ka sira’ soro ni benkelenma ma ke mogoya’ hakeyako ni a horonyako’ kan,
00-08	Dunya’ tonba’ ya ngonlajereba’ ka i kan’ bila ka dunya’ mumee moogoo hakeeyaw dantigeelikan gansi ka a yira o ngnganiya nnuman ye feen ye, min ka kan ka kee manton’ ni nasoon’ beeee lannini ye, yalasa moogoo kelen kelen beeee, ani jeekulu kelen kelen beeee ye nin dantigeelikan’ nin to u hakili’ la, ka u kalan’ ni lamadamuni’ koonoo, ka feeree kee doooonin doooonin u ya hukumu’ koonoo, walima dunya beeee koonoo, ka hakeeya ninugu ni hooroonya ninnugu latangali’ yiriwa, ani ka a kee beeee ye soon u ma nna ma, a keera u ya jamana koonoona ye, walima jamana gbeeree min be u ya mara’ koonoo.
01-00	Baabu jonna
01-01	Wolo’ la, hadamaden’ bee ye horon ye, bee ka kan lanbe ni hakeyaw Mogo bee ye hakilitigi ye, bee ye hakilima ye ; o la, u ka kan ka ngon mina ni badenya ye.
02-00	Baabu 2 nan
02-01	Mogo’ bee do be ka a lon ko i ka kan ni mogoya hakeyaw ni a horo kofonin’ bee ye nin dantigelikan’ nin kono, mogo ma bo mogo kerenkerenninya la, faragbeko ni farafinko te a la, siyawoloma te a ce ni muso ma bo ngon na, i be kan min fo, o te a la, diinako te a la, hakilila ye min ye politikiko’ la, walima hakilila gberew, o te a boyoroko te a la, n ye fagantanden ye walima n ye fagamaden ye, o a la, nafolotigiya ni bolokolonya te a la, namakalako ni horonyako te a la ; fen o fen be na ni wolomali’ ye mogow ni ngon ce, o si te a la.
02-02	O cogoya kelen ma, boyoro ma bo boyoro la. I boyoro’ lanbe’ tow ce’ ma, i ya jamana’ kera jamana’ yeremahoronyanin ye, a ke jamana ye min be jamana gbere ya mara kono, walima a be a yere bolo jamana gbere ya hukumu’ kono, wolomali si te ke ka la o kan.
03-00	Baabu 3 nan
03-01	Mogo’ kera cogo o cogo, a ka kan ni nanamaya’ ye, a ka kan ni horonya’ ye, a ka kan ni lakandali’ ye.
04-00	Baabu 4 nan
04-01	Mogo si te se ka mina ka i ke jon ye walima ka i ke bolokonomogo ye, jonya’ banna, jonfeere’ banna sariya’ la.
05-00	Baabu 5 nan
05-01	A man kan mogo si ye jangata, walima ka lajaba, walima ka a ni toro, nijuguya’ danmateme’ fe, fo ka a leebu.
06-00	Baabu 6 nan
06-01	Bee ka kan ni lanbe’ ye sariya’ la, a kera yoro o yoro ye.
07-00	Baabu 7 nan
07-01	Bee ka kan sariya’ la, ayiwa bee ka kan ni sariya’ ya latangali’ ye ka a so a ma ke wolomali ye. Bee ka kan ni koseme ye sariya’ la ka i yere tanga bo wolomali’ sugu o sugu ma, min be dantigelikan’ nin soso, ani min be se ka na ni a sosoli’ ye.
08-00	Baabu 8 nan
08-01	A be ben mogo bee ye cen yere l, i ye i ya jamana’ sariyaso’ magbe sariya’ min nasininin be o kona’ ma, ka i lakisi ka bo walew ma, minw be jamana sariyaw soso.
09-00	Baabu 9 nan
09-01	A man kan mogo si ye mina, walima ka don kaso’ la, walima ka a gben ka bo a faso’ la, ka a soro kun te a la.
10-00	Baabu 10 nan
10-01	A ka kan mogo’ bee ye, bee fana ka kan o la, ni ben kera i kan, i ya kiti tige namara te min na, bee na’na, tiribinali la, min be a yere sago’ la, ka kan min na fana, tiribinali’ min bena jo di a ma ka a ya hake lo a ye, walima ka jalaki’ ben a kan cen’ yere la, ni a jo te a la.
11-00	Baabu 11 nan
11-00	Ni minaliko lara mogo o mogo kun, a te se ka mina abada, fo ni kiti ka a yira tiribinali’ la, ka a soro awoka ka a lafasa, ko ale no’ lo lakika’ la.
11-01	Mogo si te se ka mina ko la, ko’ min ketuma’ ka a soro kojugu te i ya jamana’ kono, walima dunya’ sariya’ la. Mogo’ be ko’ ke tuma’ min na fana, a ni nangili’ min ka kan, o wagati’ la, foyi te se ka fara o kan ko’ fe.
12-00	Baabu 12 nan
12-01	A te ben mogo si ye i sen’ don mogo gbere ya nanamaya’ konaw la, a ya sokono konaw la, ani ka a ya batakiw konona gundow la, ka a soro jonjon te a la ; walima ka mogo’ leebu, ka a togo’ cen. Sariya’ ka kan ka lo bee ko koro ka i latanga ka bo o ko suguya’ ma.
13-00	Baabu 13 nan
13-00	Ka tagama jamana’ kono, yoro o yoro ka di i ye, jamana’ yoro’ min ka di i ye, ka sigi yen fana, o benna bee ye.
13-01	Ka bo i faso’ la a ka di cogo’ min, ka segi a ka di i ye cogo’ min, o benna bee ye.
14-00	Baabu 14 nan
14-00	nanimabori’ na, min ye ka siran i ni’ na ka i yere nini, a be ben bee ye ye dogotu nini, ka jamana gbere nini, ka i kalifa’ sigi yen, wa jamana si te se ka ban i la ka i gben.
14-01	Ka kojugu’ ke sariya’ ka kan ka i no’ mina min na, walima min dunya’ sariyaba’ soso, ko i be boli ka taga i kalifa jamana gbere la, o ko te.
15-00	Baabu 15 nan
15-00	Mogo’ kera cogo o cogo, a ka kan ni jamana’ do jamanadenya ye.
15-01	Mogo si ya jamanadenya’ te se ka bosi i la ka a soro kun jonjon te a wa mogo si te se ka mogo si bali ka bo jamana’ do jamanadenya’ la ka don dogbere ta la.
16-00	Baabu 16 nan
16-00	Ce’ ni muso’ fen o fen sera balikuya’ ma, a be ben i ye furu ke, ka ke ; lonanya ni dugulenya te o la, diinako te o la. Ce ni muso bee ka kan sariya’ la, furu’ sirili’ la, celasigi’ kono, ani furusa’ ta fanfela’ la.
16-01	Furu’ te se ka siri ni a ma ke ni furungon’ fila ya jen’ ye.
16-02	Denbaya denbayaw kenin nogon kan, o le ye sigida’ ni marada’ ju’ ye, wa a ka kan sigida’ ni fanga’ ye u lakanda.
17-00	Baabu 17 nan
17-00	Mogo kelen, walima jekulu’, bee ka kan ni taya’ ye, bee ta ye i ta ye.
17-01	Mogo do man kan ka ben do kan ka a ta bosi a la faniya’ kan.
18-00	Baabu 18 nan
18-01	Miiriya’ min ka di i ye, i hakili’ ka fen’ min mina, diina’ min ka di i ye, benna bee ye ; o koro’ ye ko ni i be a fe ka bo diina’ do la ka don dogbe la, o be i ma ; ka diina’ falen, o be i ma ; ayiwa bee be se ka i ya seli’ ni ya diina’ ke i kelen, walima jama’ la, sutara la walima kene’ kan, a kera kalanni’ ta sira’ ye, walima bato’ ta sira’, walima seli.
19-00	Baabu 19 nan
19-01	Hakilila’ min ka di mogo’ min ye, o benna i ye, a foli’ kene’ kan, o dagara ye. O koro’ ye ko mogo si te se ka mogo tooro a hakilila’ kanma, mogo se ka mogo’ bali ka kunnafoniw gansi yoro’ min ka di i ye, jamana’ min ka di i ye.
20-00	Baabu 20 nan
20-00	Ka nogon lajen nogonye bolo ma, walima ka ton’ sigi, o dagara mogo’ bee ye.
20-01	A te se ka wajibiya mogo si kan, ko i ye ke ton do tonden ye ka a soro a man di i ye.
21-00	Baabu 21 nan
21-00	A be ben bee ye i sen’ don i faso’ konaw nanaboli’ la, a kera yerebakun’ ye walima i ka i wasa’ don mogo gbere la, i yere ka mogo’ min sugandi i yere ma.
21-01	Ka loyoro’ soro i faso’ forobabaaraw la, o be ben mogo bee ye, wa bee ka kan a la.
21-02	Jama’ nganiya’ le ye marabolo’ ya fanga’ ju’ ye ; jama’ be o ng lankenemaya kalafili’ sen’ fe, ni’ o ye wote’ ye, namara te min na. O kalafili’ ka kan ka ke tuma ni tuma, bee ye wote cogo kelen na, gundo la walima cogo la, bee be i yere le nganiya’ yira.
22-00	Baabu 22 nan
22-01	Sigidenya’ hukumu’ kono, bee ka kan ni i faso’ marabolo’ ni dunya’ to deme’ ye, i ya dunyalatige’ gbeleyaw la ; bee ka kan ni nafasoro hakeya’ ye, ani mogoya’ hakeya’, ani lonko’ ni seko’ hakeya’ min be i lanbe’ korota, ka i ya hadamadenya’ sabati.
23-00	Baabu 23 nan
23-00	Bee ka kan ni baara’ ye, baara’ min ka di a ye, ben te ke a kan baara’ min na ; bee ka kan ka latanga baarasorobaliya’ fana ma
23-01	Mogo’ ni mogo’ min ya baara’ ye kelen ye, olugu ka kan ni sara kelen ye, wolomali te min na.
23-02	Baarakela’ bee ka kan ni sara ye, min be ben a ya baara’ kiima’ ma, min be a mako’ na, min be a to a ni a ya denbaya’ be balo u hake’ la, bonya’ kono ; ka sininasigi’ fana jate’ mina o la n’a be ben.
23-03	A be ben bee ye sendika sigi, walima ka don sendika’ la, yalasa ka i yere latanga.
24-00	Baabu 24 nan
24-01	Bee ka kan ni laganfiya’ ni daamu’ ye : o be a yira ko dan ka kan ka ye baara’ kuntaga’ la, baarakela ka kan ka baara’ bila tuma ni tuma.
25-00	Baabu 25 nan
25-00	Bee ka kan ni nanamaya’ daamu’ ye, min be a to a ni a ya balo’, u feerobo, u siyoro’, u furakeli’, ani nanamaya’ laganfiyalan’ be nogoya cogo’ min ; baarakela’ ka kan ni marabolo’ ya deme’ ye ni ya baara’ cenna, ni jankaro’ ka lasigi, ni lujura ka a soro, ni a ke firiyato ye, ni koro’ nana ka a dese, walima gbeleya’ fen o fen ka a soro, min be a ke desebagato ye ka a soro a yere no te.
25-01	Musow ya konomaya’ ni denw ya denmisenya’ ka kan ni deme magben kerenkerennin ye. A kera furukonoden ye, walima a kera furukofeden ye, den’ bee ka kan ni tangali’ ye.
26-00	Baabu 26 nan
26-00	Bee ka kan ni kalan’ ye. Sara man kan ka bo o kalan’ na, i n’afo kalan’ dugumala’ fo ka taga se sepe’ ma, wala bepes’ la. Ka taga se ma, o ye wajibi ye. Tekinikikalan’ ni baarakalan’ ka kan ka ke fe lookonin ye ; sanfekalan’ ka kan ka nogoya bee ma, bee ka kan ka kanya a la.
26-01	Kalan’ lanini’ ka kan ka ke ka mogo’ ya hadamadenya’ fa, ani mogoya’ hakew ni a horonya’ lasabati. A ka kan ka nogonfaamuya nogonbonya’ sabati mogow ni nogon ce, ka teriya’ sabati jamanaw siyaw ni diinaw ni nogon ce, ani ka dunya’ tonba’ deme nasuma’ la dunya’ kono.
26-02	Den’ ladamu cogo ni a ya kalan’ sifaya’ sugandili’ ye face ni bamuso’ ta le ye folo.
27-00	Baabu 27 nan
27-00	A be ben bee ye i sen’ don, a ka di i ye cogo’ min na, i ya jamalajekow ni nanagbew la, ka daamu’ soro sekow la, ani ka i niyoro’ ke lonkow yiriwali’ la, ka u nafa’ soro.
27-01	Fen o fen bora lonkow ni sekow ni masalaw kono, ni a bena ke baasi mogow ma, a kera u bolofen cenni ye wala kunmasuuli, bee ka kan ni latangali ye olugu ma.
28-00	Baabu 28 nan
28-01	Dantigelikan’ nono hakeyaw ni horonya’ sabatili’ sigida’ la, jamana’ kono, ani dunya’ mume kono, bee ka kan ni o ye.
29-00	Baabu 29 nan
29-00	Sigida’ ya hake’ ye mogo kelen kelen bee kunko ye, k’a la a kan ni sigida’ te, i ya mogoya’ te dafa.
29-01	Dan si te mogo’ ya hakeyaw’ ni a ya yeremabila’ la, fo a do be ka i korosi a kana mogo gbere tono, a ye i janto mogo gbere ya hakeyaw la, ani jogonumanya’ ni nali’ ni jama’ laganfiya’ kanma, beekanya’ kono.
29-02	O hakeyaw ni n-ta-ye-n-yere-ye’ te ben cogo si la, ni u be Dunya’ tonba’ ya sariyaw soso.
30-00	Baabu 30 nan
30-01	Yoro si te dantigelikan‘ nin kono, ni fanga, walima jamakulu, walima mo gbansan be se ka miiriya gbere bo o kono ka na ni kow ye walima waleyaw ye, minw bena ni dantigelikan’ nin hakew ni a horonya’ benni’ ye.
