00-00	espitaskamikak askik kici itwewin ininiwi minikowisiwina oci
00-01	ita e ishi nisitawinicikatek misiwe ka tashit wicishanitowinik kiringtenitakosiwinik eki ishi nitawikit nesta anii minikowisiwina peyakwanok e ishi minikowisit nesta eka ciki aniskepaninik wina piko ka ki ishi minikowisit ekota weci nipawimakak tipenimitisowin nesta kwayaskitatisiwin nesta kayamenitamowin ota askik᙮
00-02	eko maka eka e pisiskenicikatek nesta e pikonikateki ininiwi minikowisiwina e kakwatakiicik ininiwak e kishiwaikonaniwak nesta e ati nokwak askik ininiw e pakitinamakowisit kici minwenitak waitwet piko kekwaniw kici itwet nesta otapweyenitamowin nesta otipenimitisowin eka kici nanicit nesta piko kici notepanit e kici itwaniwak ota e okoma mawac ka ishi moringteyenitak ininiw᙮
00-03	e kistenitakwak maka ininiwi minikowisiwin kici kanawenicikatek pici onashowewinik maka kishaspin ininiw eka ka pakitinit kici ayaspan pitoring kekwaniw ke kitotak kanake macic ke oci mashitat okimawiwininiw peyak kici okimaw e tipenciket nesta e patakonowet᙮
00-04	nesta e kistenitakwak kici shikitaniwak ototemimitowinik kici ishi kanawapamitocik itaskanesiwina᙮
00-05	nesta aniki ininiwak pici mamawi itaskanesiwinik pici onashowewinik e tapi itwecik e tapweyenitakik ka oci nipawimakaki ininiwi minikowisiwina okistenitakosiwinik nesta eshi tapweyenitakosit ininiw nestas peyakwanok eshi minikowisicik napew nesta iskwow nesta e itenitakik kici shikitacik kici minopaninici ininiwa opimatisiwininik nesta kici minwashininik opimatisiwininiw awasite kici oci tipenimitisinici᙮
00-06	eko nesta aniki ka ashitakimikosicik papeskici askiya eki ashotamakecik kiciwi karingkitacik e wawiciacik mamawi itaskanesiwina e kakaciwitaniwak misiweskamik askik kici kistenicikatek nesta kanawenicikatek ininiwi minikowisiwina nesta ka oci nipawimakaki tipenimitisowina᙮
00-07	eko nesta peyakwan e nisitocikateki anii minikowisiwina nesta tipenimitisiwina mawac e kistenitakwaki kici oci tapwewayekenitakwak oma ka ki ishi ashotamakecik᙮ eko maka anta kici mawaciitowinik e kici itwecik omeniw espitaskamikak askik kici itwewininiw ininiwi minikwoisiwini oci peyakwan ke ishi otisapatakik misiwe ininiwak nesta misiwe itaskanesiwina piniring misiwe katashit ininiw nesta misiwe ka ishinakwak pimatisiwin tashine kici mamitonenicikatek oma kici itwewin kici kocitaniwak kici kiskinoamakaniwak nesta kakaciwitaniwak kici kistenicikateki anii minikowisiwina nesta tipenimitisowina nesta misiwe eshi karingkitaniwak pici papeskici askik nesta espitaskamikak askik kici otinamasocik misiweskamik nesta kwayask kici nisitawenicikatek nesta kanawenicikatek kakinaw aniki ininiwak papeskic askiya nesta aniki ininiwak papeskic ot askiwak pici eshi tipentakosicik᙮
01-00	peyak piskitasinaikan
01-01	misiwe ininiw tipenimitisowinik eshi nitawikit nesta peyakwan kici ishi kanawapamikowisit kistenimitisowinik nesta minikowisiwina᙮ e pakitinamacik kaketawenitamowininiw nesta mitonenicikaniniw nesta wicikwesitowinik kici ishi kanawapamitocik᙮
02-00	nisho piskitasinaikan
