00-00	EWIADEAMRA NOLOBOLE MOO FALE SONLA NWO ADENLENYIANLE NE MO LA ANWO
00-01	Wo meke ala moo Maanle Maanle moo wo Eku ye anu la gyinlabele nee pepezele nee anwoadenlenyianle a fa atianwolile, pepelile nee anzondwole ba ewiade anu la,
00-02	Wo meke ala moo menli embu sonla nwo adenlenyianle ne mo bie amaa olua zo nyelee mgbane mgbane doonwo esisi emaa menli adwenle ezekye, nee ewiade ne moo eleba moo sonla biala banyia adenle aha edweke biala moo odaye okulo, nee diedi biala moo odaye okulo ke odie odi na onzulo la, emaa bela ye ali ke, ehye a le awienvolema anyelazo kpole kpale la,
00-03	Wo meke ala moo ohyia, saa benrehye sonla benremaa onreho onretia esisile nee atisesebeyele, ke owo ke mela bo sonla nwo adenlenyianle ne mo anwo bane la,
00-04	Wo meke ala moo ohyia ke bemaa agonwoleyele wo Maanle Maanle avinli kenyia anyuhole la,
00-05	Wo meke ala moo Maamgbole Koyele ne anu amra eva be diedi moo wo sonla nwo adenlenyianle ne mo, ye gyinlabele nee ye dibile nee mrenya nee mraale adenlenyianle pepe ne mo anu la ewula sonla nwo adenlenyianle nwo mela ne moo befele ye "Kyata" (Charter) ne anu na belie bedo nu ke beboa beamaa menli anyia anyuhole nee tenlabele kpale wo atianwolile bokoo nu la,
00-06	Wo meke ala moo Maanle Maanle moo wo Maamgbole Koyele Eku ne anu nee Maamgbole Koyele ne ebo ewoke ke bemaa awie biala anye azo sonla nwo adenlenyianle nee atianwolile ne mo na beali zole kpale la,
00-07	Wo meke ala moo adenlenyianle nee atianwolile ehye mo anwo ndelebebo kpale hyia kpole kpale maa ewokebole ne azolile anzee munlilile ne la,
00-08	Ati, Kekala
00-09	MAAMGBOLE KOYELE AYIA NE
00-10	bo nolo ke
00-11	Ewiadeamra Nolobole Moo Fale Sonla Nwo Adenlenyianle Nwo Ehye
00-12	le debie ko moo yelie yedo nu yemaa awie biala nee Maanle biala, amaa awie biala nee Eku biala moo dahuu keva. Nolobole ehye kezie ye adwenle nu la abo modenle alua ngilehilele nee ndetele zo yeamaa nidi ara adenlenyianle nee atianwolile ehye mo anwo, na eza yealua ngozo ndenle zo, Maanle nee Maanle Maanle zo, yeaboa yeamaa menli moo wo Maanle Maanle moo wo Eku ne anu nee Maanle Maanle moo Eku ne sie be la anu amra amuala alie ado nu kpale na beali zole kpale.
01-00	Edwekekpoke 1
