00-00	COPIRNORO'SA' NAPORINSOPITA YA'IPI PIYAPI NOYA YA'HUECAISO MARE'
00-01	Ya'ipi piyapi'sa' noya ya'hueina'. Ama incari teranta' topinan queran ana'inchinasohue'. Ina queran ya'ipi parti noya nini'tehua' ya'huerehua huachi.
00-02	A 'naquen piyapi 'sa' co nosorohuachinahue', chiniquen aparesitopi. A'na tahueri tepapi. Inaso' pa'pi co noyahue' tenehua'. Nonpiso mare', yonquipiso mare' Co ana'intacaso' ya'huerinhue'. Naporahuaton, ya'ipi piyapi ma'sha ya'huechina' Co nohuanterehuahue' a nayanquenpoateranta' pahuantinpoaso.
00-03	Ya'ipi Copirnoro'sa' noya hua'anentinpoaso' ya 'huerin. Ama topinan queran ana'inchinpoasohue'. Topinan queran aparesitohuachinpoara, a'naquen chiniquen no'huihuachina yaahuetopi. Ina queran a'na copirno acopi huachi.
00-04	Ya'ipi Copirnoro'sa' noya nini'tona' ya'hueina'. Ama nino'huiatonahue', ama quira niinasohue', tenehua'. Ya'nan niyontonehuaso' ninshiterehua'. -Ya'ipi piyapi 'sa' noya ya'hueina', tenehua'. Quemapi'sa', sanapiro'santa' napopianachin Copirnoro'sari noya niina'. Ya'ipi piyapi'sa' catahua'hua' noya noya ya'huecaiso mare', tenehua'.
00-05	Ya'ipinpoa' nani chinoterehua' piyapi'sa' catahuahuaso'. Ya'ipinpoa' noya nini 'tehua', ya'huea'hua', ta'tehua', nanan a'pa'hua' piyapi'sa' noya ya'huecaiso mare'.
00-06	Napoaton iso quirica ninshiterehua' ya'ipi piyapi'sa' nitotacaiso mare'.
00-07	HUA'ANO'SACOI NIYONTONPATOIRA
00-08	sha'huiterai
00-09	YA'IPI PIYAPI'SA' NOYA YA'HUEINA' TENEHUA'. Ya'ipi opirnoro'sa' inapochachi yonquiina'. Ya 'ipi escuelaro'saque a 'chinchina'. Mashoro'santa' anitotacaiso' ya'huerin. Ina queran ya'ipinpoa' nitotohuatehua', nicatahua'hua' noya noya nini'tehua' ya'huecaiso mare
01-00	1.
01-01	Ya'ipi piyapinpoa' capini noya ninosorocaso' ya'huerin. Ya'ipinpoa' yonquirehua'. Noya nicacaso' nitoterehua'. Napoaton iyanpoa pochin ninosorocaso' ya 'huerin.
02-00	2.
02-01	Ya'ipi piyapi napopianachin noya ninia'hua'. Nisha nisha nirihuarahuenta' ninosorocaso' ya'huerin. Nisha nisha nananque nonehua'. Nisha nisha imarehua'. A 'naquenpoa' yaraton, a 'naquenpoa' huiriton, a 'naquenpoa' quemapinpoa', a'naquenpoa' sanapinpoa'. A 'naquenpoa' ma 'huano 'sanpoa', a 'naquenpoa' Co na 'a ma'sha ya'hueterinpoahue'.
