00-00	 "shijierenquanxuanyan" 
00-01	renleishehuinosubetenogouchengyuannoguyounozunyantopingdengderangrukotonodekinaiquanlitoochengrensurukotoha, shijieniokeruziyou, zhengyijibipinghenojichudearunode, 
00-02	renquannowushijibizhiwuga, renleinoliangxinotaminijittayemanxingweiomotarashi, yanlunjibixinyangnoziyougashoukerare, kongbujibiqianfanonaishijienodaolaiga, 1bannoren²nozuigaonoyuanwangtoshitexuanyansaretanode, 
00-03	renjiangazhuanzhitoyapotoniduisuruzuihounoshouduantoshitefanninisuerukotoganaiyounisurutameniha, fanozhipeiniyotterenquanobaohusurukotogaganyaodearunode, 
00-04	zhuguojiannoyouhaoguanxinofazhanocujinsurukotogaganyaodearunode, guojilianhenozhuguominha, guolianxianzhangnioite, jibenderenquan, renjiannozunyanjibisizhibingbininannunotongquannitsuitenoxinnianozaiquerenshi, katsu, 1cengdakinaziyounouchideshehuidejinbutoshenghuoshuizhunnoxiangshangtoocujinsurukotoojueyishitanode, 
00-05	jiamengguoha, guojilianhetoxielishite, renquanjibijibendeziyounopubiandenazunzhongjibizunshounocujinodachengsurukotooshiyueshitanode, 
00-06	koreranoquanlijibiziyouniduisurugongtongnolijieha, konoshiyueowanquannisurutamenimottomozhongyaodearunode, 
00-07	yotte, kokoni, guolianzonghuiha, 
00-08	shehuinogegerenjibigejiguanga, konoshijierenquanxuanyanochangniniantounizhikinagara, jiamengguozishennorenminnojiannimo, mata, jiamengguonoguanxiaxianiarudeyunorenminnojiannimo, koreranoquanlitoziyoutonozunzhongozhidaojibijiaoyuniyottecujinsurukotobingbinisoreranopubiandecuozhiniyottequebaosurukotoninulisuruyouni, subetenorenmintosubetenoguotogadachengsubekigongtongnojizhuntoshite, konorenquanxuanyanogongbusuru. 
01-00	di1tiao
01-01	subetenorenjianha, shengmarenagaranishiteziyoudeari, katsu, zunyantoquanlitonitsuitepingdengdearu. renjianha, lixingtoliangxintooshoukerareteori, huinitongbaonojingshenomottexingdongshinakerebanaranai. 
02-00	di2tiao
02-01	subeterenha, renzhong, pifunose, xing, yanyu, zongjiao, zhengzhishangsonotanoyijian, guomindemoshikuhashehuidechushen, caichan, mendesonotanodeweiyouhakorenileisuruikanaruziyouniyoruchabieomoshoukerukotonaku, konoxuanyannijiegerusubetenoquanlitoziyoutooxiangyousurukotogadekiru. 
02-02	sarani, gerennoshusuruguoyouhadeyugaduliguodearuto, xintuotongzhideyudearuto, feizizhideyudearuto, youhatanonanrakanozhuquanzhixiannoxianiarutoowenwazu, sonoguoyouhadeyunozhengzhishang, guanxiashangyouhaguojishangnodeweinijizukuikanaruchabiemoshitehanaranai. 
03-00	di3tiao
03-01	subetenorenha, shengming, ziyoujibishentinoanquanniduisuruquanlioyousuru. 
04-00	di4tiao
04-01	herenmo, nulinisare, youhakuyinifusurukotohanai. nulizhidujibinulimaimaiha, ikanaruxingnioitemojinzhisuru. 
05-00	di5tiao
05-01	herenmo, kaowenyouhacannuena, feirendaodenamoshikuhaqurudenaquximoshikuhaxingfaoshoukerukotohanai. 
06-00	di6tiao
06-01	subetenorenha, ikanaruchangsuonioitemo, fanoxianioite, rentoshiterenmerareruquanlioyousuru. 
07-00	di7tiao
07-01	subetenorenha, fanoxianioitepingdengdeari, mata, ikanaruchabiemonashinifanopingdengnabaohuoshoukeruquanlioyousuru. subetenorenha, konoxuanyanniweifansuruikanaruchabieniduishitemo, mata, sonoyounachabieososonokasuikanaruxingweiniduishitemo, pingdengnabaohuoshoukeruquanlioyousuru. 
08-00	di8tiao
08-01	subetenorenha, xianfayouhafaluniyotteyueraretajibendequanlioqinhaisuruxingweiniduishi, quanxianoyousuruguoneicaipansuoniyoruxiaoguodenajiujioshoukeruquanlioyousuru. 
09-00	di9tiao
09-01	herenmo, hoshiimamanidaibu, jujin, youhazhuifangsarerukotohanai. 
10-00	di10tiao
10-01	subetenorenha, zijinoquanlijibiyiwubingbinizijiniduisuruxingshizerengajuedingsarerunidangtatte, dulinogongpingnacaipansuoniyorugongpingnagongkainoshenlioshoukerukotonitsuitewanquannipingdengnoquanlioyousuru. 
11-00	di11tiao
11-01	fanzuinosuzhuioshouketazheha, subete, zijinobianhunibiyaonasubetenobaozhangoyueraretagongkainocaipannioitefalunicongtteyouzuinolizhenggaarumadeha, wuzuitotuidingsareruquanlioyousuru. 
11-02	herenmo, shixingnoshiniguoneifayouhaguojifaniyorifanzuiogouchengshinakattazuoweiyouhabuzuoweinotameniyouzuitosarerukotohanai. mata, fanzuigaxingwaretashinishiyongsareruxingfayorizhongixingfahakeserarenai. 
12-00	di12tiao
12-01	herenmo, zijinosishi, jiazu, jiatingmoshikuhatongxinniduishite, hoshiimamaniganshesare, youhamingyujibixinyongniduishitegongjioshoukerukotohanai. renhasubete, konoyounagansheyouhagongjiniduishitefanobaohuoshoukeruquanlioyousuru. 
13-00	di13tiao
13-01	subeterenha, geguonojingjieneinioiteziyouniyizhuanjibijuzhusuruquanlioyousuru. 
13-02	subeterenha, ziguosonotaizurenoguoomolichiquri, jibiziguoniguiruquanlioyousuru. 
14-00	di14tiao
14-01	subeterenha, pohaikaranobinanotaguoniqiume, katsu, koreotaguodexiangyousuruquanlioyousuru. 
14-02	konoquanliha, feizhengzhifanzuiyouhaguojilianhenomudejibiyuanzenifansuruxingweiomopparayuanyintosurusuzhuinochangheniha, caiyongsurukotohadekinai
15-00	di15tiao
15-01	subeterenha, guojiomotsuquanlioyousuru. 
15-02	herenmo, hoshiimamanisonoguojioduoware, youhasonoguojiobiangengsuruquanliofourensarerukotohanai. 
16-00	di16tiao
16-01	chengniannonannuha, renzhong, guojiyouhazongjiaoniyoruikanaruzhixianomoshoukerukotonaku, hunyinshi, katsujiatingotsukuruquanlioyousuru. chengniannonannuha, hunyinzhongjibisonojiexiaonijishi, hunyinniguanshipingdengnoquanlioyousuru. 
16-02	hunyinha, hunyinnoyisioyousuruliangdangshizhenoziyoukatsuwanquannaheyiniyottenomichenglisuru. 
16-03	jiatingha, shehuinozirankatsujichudenajituandanweideatte, shehuijibiguonobaohuoshoukeruquanlioyousuru. 
17-00	di17tiao
17-01	subetenorenha, dandudeyouhatanozhetogongtongshitecaichanosuoyousuruquanlioyousuru. 
17-02	herenmo, hoshiimamanizijinocaichanoduowarerukotohanai. 
18-00	di18tiao
18-01	subeterenha, sixiang, liangxinjibizongjiaonoziyouoxiangyousuruquanlioyousuru. konoquanliha, zongjiaoyouhaxinnianobiangengsuruziyoubingbinidandudeyouhatanozhetogongtongshite, gongdeniyouhasideni, bujiao, xingshi, libaijibiyishiniyottezongjiaoyouhaxinnianobiaomingsuruziyouohanmu. 
19-00	di19tiao
