00-00	Universala Deklaracio de Homaj Rajtoj
00-01	Pro tio, ke agnosko de la esenca digno kaj de la egalaj kaj nefordoneblaj rajtoj de ciuj membroj de la homara familio estas la fundamento de libero, justo kaj paco en la mondo,
00-02	Pro tio, ke malagnosko kaj malestimo de la homaj rajtoj rezultigis barbarajn agojn, kiuj forte ofendis la konsciencon de la homaro, kaj ke la efektivigo de tia mondo, en kiu la homoj guos liberecon de parolo kaj de kredo kaj liberigon el timo kaj bezono, estas proklamita kiel la plej alta aspiro de ordinaraj homoj,
00-03	Pro tio, ke nepre necesas, se la homoj ne estu devigitaj, sen alia elektebla vojo, ribeli kontrau tiranismo kaj subpremo, ke la homaj rajtoj estu protektataj de la lego,
00-04	Pro tio, ke nepre necesas evoluigi amikajn rilatojn inter la nacioj,
00-05	Pro tio, ke la popoloj de Unuigintaj Nacioj en la Carto reasertis sian firman kredon je la fundamentaj homaj rajtoj, je la digno kaj valoro de la homa personeco kaj je la egalaj rajtoj de viroj kaj virinoj, kaj firme decidis antauenigi socian progreson kaj pli altnivelan vivon en pli granda libereco,
00-06	Pro tio, ke la Statoj-Membroj sin devigis atingi, en kunlaboro kun Unuigintaj Nacioj, la antauenigon de universala respekto al kaj observado de la homaj rajtoj kaj fundamentaj liberecoj,
00-07	Pro tio, ke komuna kompreno pri tiuj ci rajtoj kaj liberecoj estas esence grava por plena realigo de tiu sindevigo,
00-08	Tial, nun,
00-09	La Generala Asembleo,
00-10	Proklamas tiun ci Universalan Deklaracion de Homaj Rajtoj kiel komunan celon de atingo por ciuj popoloj kaj ciuj nacioj, por tio, ke ciu individuo kaj ciu organo de la socio, konstante atentante ci tiun Deklaracion, per instruado kaj edukado strebu al respektigo de tiuj ci rajtoj kaj liberecoj, kaj per laugradaj pasoj naciaj kaj internaciaj certigu ilian universalan kaj efektivan agnoskon kaj observadon, same tiel inter la popoloj de la Statoj-Membroj mem, kiel inter la popoloj de teritorioj sub ilia jurisdikcio.
01-00	Artikolo 1
01-01	Ciuj homoj estas denaske liberaj kaj egalaj lau digno kaj rajtoj. Ili posedas racion kaj konsciencon, kaj devus konduti unu al alia en spirito de frateco.
02-00	Artikolo 2
02-01	Ciuj rajtoj kaj liberecoj difinitaj en tiu ci Deklaracio validas same por ciuj homoj, sen kia ajn diferencigo, cu lau raso, hautkoloro, sekso, lingvo, religio, politika au alia opinio, nacia au socia deveno, posedajoj, naskigo au alia stato.
02-02	Plie, nenia diferencigo estu farata surbaze de la politika, jurisdikcia au internacia pozicio de la lando au teritorio, al kiu apartenas la koncerna persono, senkonsidere cu gi estas sendependa, sub kuratoreco, ne-sinreganta au sub kia ajn alia limigo de la suvereneco.
03-00	Artikolo 3
03-01	Ciu havas la rajtojn je vivo, libereco kaj persona sekureco.
04-00	Artikolo 4
04-01	Neniu estu tenata en sklaveco au servuteco; sklaveco kaj sklavkomerco estu malpermesitaj en ciuj siaj formoj.
05-00	Artikolo 5
05-01	Neniu suferu torturon au kruelan, nehoman au sendignigan traktadon au punon.
06-00	Artikolo 6
06-01	Ciu rajtas esti cie agnoskita jure kiel persono.
07-00	Artikolo 7
07-01	Ciuj homoj estas jure egalaj, kaj rajtas sen diskriminacio al egala jura protekto. Ciuj rajtas ricevi egalan protekton kontrau kia ajn diskriminacio, kiu kontrauas tiun ci Deklaracion, kaj kontrau kia ajn instigo al tia diskriminacio.
08-00	Artikolo 8
08-01	Ciu rajtas ricevi de la kompetentaj naciaj tribunaloj efikan riparon pro agoj, kiuj kontrauas la fundamentajn rajtojn, kiujn li havas lau la konstitucio au la legoj.
09-00	Artikolo 9
09-01	Neniu suferu arbitrajn areston, malliberigon au ekzilon.
10-00	Artikolo 10
10-01	Ciu en plena egaleco rajtas je justa kaj publika proceso antau sendependa kaj senpartia tribunalo, por prijugo de liaj rajtoj kaj devoj kaj de kiu ajn kriminala akuzo kontrau li.
11-00	Artikolo 11
